source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MSRB1	5	0.883	0.1766
ACE	PDIA2	3	0.175	0.0583333333333333
ACE	HLTF	5	0.166	0.0332
ACE	KRT35	5	1.135	0.227
ACE	FOXE1	5	0.885	0.177
ACE	PROL1	2	0.461	0.2305
ACE	GPR35	4	0.537	0.13425
ACE	ASCC1	4	0.472	0.118
ACE	RECK	4	0.218	0.0545
ACE	DAAM1	4	0.397	0.09925
ACE	ERCC6	3	0.156	0.052
ACE	BTG4	6	0.388	0.0646666666666667
ACE	MCRS1	4	0.152	0.038
ACE	NAV3	4	0.516	0.129
ACE	CHAD	4	0.654	0.1635
ACE	PRKX	3	0.163	0.0543333333333333
ACE	PNKP	4	0.506	0.1265
ACE	NXF3	6	0.358	0.0596666666666667
ACE	HAND1	3	0.613	0.204333333333333
ACE	TAF7	3	0.09	0.03
ACE	ESM1	2	0.233	0.1165
ACE	INHA	3	0.253	0.0843333333333333
KAPCA	MSRB1	6	0.84	0.14
KAPCA	PDIA2	4	0.173	0.04325
KAPCA	HLTF	3	0.152	0.0506666666666667
KAPCA	KRT35	4	0.89	0.2225
KAPCA	FOXE1	3	0.915	0.305
KAPCA	PROL1	4	0.754	0.1885
KAPCA	GPR35	5	0.535	0.107
KAPCA	ASCC1	5	0.47	0.094
KAPCA	RECK	4	0.243	0.06075
KAPCA	DAAM1	6	0.401	0.0668333333333333
KAPCA	ERCC6	3	0.141	0.047
KAPCA	BTG4	7	0.386	0.0551428571428571
KAPCA	MCRS1	4	0.137	0.03425
KAPCA	NAV3	7	0.551	0.0787142857142857
KAPCA	CHAD	5	0.611	0.1222
KAPCA	PRKX	2	0.136	0.068
KAPCA	PNKP	3	0.49	0.163333333333333
KAPCA	NXF3	5	0.375	0.075
KAPCA	HAND1	1	0.381	0.381
KAPCA	TAF7	4	0.081	0.02025
KAPCA	ESM1	3	0.377	0.125666666666667
KAPCA	INHA	4	0.397	0.09925
NTKL	MSRB1	5	0.71	0.142
NTKL	PDIA2	4	0.306	0.0765
NTKL	HLTF	4	0.321	0.08025
NTKL	KRT35	7	1.058	0.151142857142857
NTKL	FOXE1	6	0.957	0.1595
NTKL	PROL1	5	0.72	0.144
NTKL	GPR35	5	0.668	0.1336
NTKL	ASCC1	5	0.603	0.1206
NTKL	RECK	4	0.274	0.0685
NTKL	DAAM1	6	0.481	0.0801666666666667
NTKL	ERCC6	4	0.253	0.06325
NTKL	BTG4	8	0.496	0.062
NTKL	MCRS1	5	0.249	0.0498
NTKL	NAV3	6	0.681	0.1135
NTKL	CHAD	4	0.481	0.12025
NTKL	PRKX	5	0.308	0.0616
NTKL	PNKP	5	0.603	0.1206
NTKL	NXF3	6	0.544	0.0906666666666667
NTKL	HAND1	6	0.777	0.1295
NTKL	TAF7	5	0.228	0.0456
NTKL	ESM1	4	0.366	0.0915
NTKL	INHA	5	0.386	0.0772
CALM	MSRB1	4	0.59	0.1475
CALM	PDIA2	3	0.165	0.055
CALM	HLTF	5	0.156	0.0312
CALM	KRT35	3	0.782	0.260666666666667
CALM	FOXE1	5	0.871	0.1742
CALM	PROL1	4	0.695	0.17375
CALM	GPR35	4	0.527	0.13175
CALM	ASCC1	4	0.449	0.11225
CALM	RECK	3	0.154	0.0513333333333333
CALM	DAAM1	2	0.355	0.1775
CALM	ERCC6	3	0.133	0.0443333333333333
CALM	BTG4	6	0.372	0.062
CALM	MCRS1	4	0.129	0.03225
CALM	NAV3	2	0.44	0.22
CALM	CHAD	3	0.361	0.120333333333333
CALM	PRKX	2	0.127	0.0635
CALM	PNKP	2	0.335	0.1675
CALM	NXF3	5	0.338	0.0676
CALM	HAND1	4	0.605	0.15125
CALM	TAF7	4	0.082	0.0205
CALM	ESM1	3	0.246	0.082
CALM	INHA	4	0.266	0.0665
ACHA4	MSRB1	5	0.744	0.1488
ACHA4	PDIA2	4	0.266	0.0665
ACHA4	HLTF	5	0.276	0.0552
ACHA4	KRT35	6	1.035	0.1725
ACHA4	FOXE1	6	0.933	0.1555
ACHA4	PROL1	4	0.697	0.17425
ACHA4	GPR35	5	0.628	0.1256
ACHA4	ASCC1	5	0.563	0.1126
ACHA4	RECK	3	0.245	0.0816666666666667
ACHA4	DAAM1	4	0.454	0.1135
ACHA4	ERCC6	5	0.23	0.046
ACHA4	BTG4	7	0.479	0.0684285714285714
ACHA4	MCRS1	6	0.226	0.0376666666666667
ACHA4	NAV3	4	0.618	0.1545
ACHA4	CHAD	4	0.515	0.12875
ACHA4	PRKX	5	0.268	0.0536
ACHA4	PNKP	6	0.58	0.0966666666666667
ACHA4	NXF3	6	0.527	0.0878333333333333
ACHA4	HAND1	2	0.627	0.3135
ACHA4	TAF7	4	0.164	0.041
ACHA4	ESM1	4	0.344	0.086
ACHA4	INHA	5	0.364	0.0728
ANXA2	MSRB1	5	0.8	0.16
ANXA2	PDIA2	3	0.202	0.0673333333333333
ANXA2	HLTF	4	0.174	0.0435
ANXA2	KRT35	7	0.538	0.0768571428571429
ANXA2	FOXE1	5	0.954	0.1908
ANXA2	PROL1	3	0.689	0.229666666666667
ANXA2	GPR35	4	0.564	0.141
ANXA2	ASCC1	4	0.461	0.11525
ANXA2	RECK	5	0.271	0.0542
ANXA2	DAAM1	2	0.321	0.1605
ANXA2	ERCC6	4	0.18	0.045
ANXA2	BTG4	6	0.384	0.064
ANXA2	MCRS1	3	0.186	0.062
ANXA2	NAV3	4	0.528	0.132
ANXA2	CHAD	4	0.571	0.14275
ANXA2	PRKX	3	0.168	0.056
ANXA2	PNKP	3	0.54	0.18
ANXA2	NXF3	5	0.499	0.0998
ANXA2	HAND1	4	0.721	0.18025
ANXA2	TAF7	4	0.155	0.03875
ANXA2	ESM1	2	0.302	0.151
ANXA2	INHA	3	0.322	0.107333333333333
AURKB	MSRB1	4	0.554	0.1385
AURKB	PDIA2	5	0.204	0.0408
AURKB	HLTF	2	0.124	0.062
AURKB	KRT35	4	0.839	0.20975
AURKB	FOXE1	2	0.444	0.222
AURKB	PROL1	6	0.713	0.118833333333333
AURKB	GPR35	6	0.566	0.0943333333333333
AURKB	ASCC1	6	0.501	0.0835
AURKB	RECK	5	0.231	0.0462
AURKB	DAAM1	4	0.345	0.08625
AURKB	ERCC6	3	0.129	0.043
AURKB	BTG4	4	0.319	0.07975
AURKB	MCRS1	4	0.125	0.03125
AURKB	NAV3	4	0.555	0.13875
AURKB	CHAD	7	0.57	0.0814285714285714
AURKB	PRKX	6	0.206	0.0343333333333333
AURKB	PNKP	4	0.479	0.11975
AURKB	NXF3	4	0.366	0.0915
AURKB	HAND1	2	0.482	0.241
AURKB	TAF7	4	0.104	0.026
AURKB	ESM1	5	0.336	0.0672
AURKB	INHA	6	0.356	0.0593333333333333
GNAT3	MSRB1	4	0.599	0.14975
GNAT3	PDIA2	4	0.363	0.09075
GNAT3	HLTF	5	0.264	0.0528
GNAT3	KRT35	6	0.615	0.1025
GNAT3	FOXE1	6	0.897	0.1495
GNAT3	PROL1	6	0.843	0.1405
GNAT3	GPR35	5	0.725	0.145
GNAT3	ASCC1	6	0.64	0.106666666666667
GNAT3	RECK	6	0.357	0.0595
GNAT3	DAAM1	4	0.495	0.12375
GNAT3	ERCC6	4	0.231	0.05775
GNAT3	BTG4	6	0.507	0.0845
GNAT3	MCRS1	6	0.34	0.0566666666666667
GNAT3	NAV3	4	0.587	0.14675
GNAT3	CHAD	6	0.963	0.1605
GNAT3	PRKX	3	0.224	0.0746666666666667
GNAT3	PNKP	6	0.694	0.115666666666667
GNAT3	NXF3	6	0.419	0.0698333333333333
GNAT3	HAND1	7	0.875	0.125
GNAT3	TAF7	6	0.25	0.0416666666666667
GNAT3	ESM1	4	0.421	0.10525
GNAT3	INHA	5	0.441	0.0882
CA2D1	MSRB1	6	0.783	0.1305
CA2D1	PDIA2	5	0.527	0.1054
CA2D1	HLTF	5	0.284	0.0568
CA2D1	KRT35	7	0.681	0.0972857142857143
CA2D1	FOXE1	6	0.921	0.1535
CA2D1	PROL1	5	0.976	0.1952
CA2D1	GPR35	3	0.858	0.286
CA2D1	ASCC1	6	0.691	0.115166666666667
CA2D1	RECK	6	0.45	0.075
CA2D1	DAAM1	7	0.616	0.088
CA2D1	ERCC6	6	0.41	0.0683333333333333
CA2D1	BTG4	6	0.56	0.0933333333333333
CA2D1	MCRS1	5	0.473	0.0946
CA2D1	NAV3	4	0.563	0.14075
CA2D1	CHAD	4	0.662	0.1655
CA2D1	PRKX	1	0.2	0.2
CA2D1	PNKP	5	0.827	0.1654
CA2D1	NXF3	9	0.683	0.0758888888888889
CA2D1	HAND1	6	0.829	0.138166666666667
CA2D1	TAF7	7	0.31	0.0442857142857143
CA2D1	ESM1	3	0.554	0.184666666666667
CA2D1	INHA	4	0.574	0.1435
CAH4	MSRB1	7	0.87	0.124285714285714
CAH4	PDIA2	5	0.939	0.1878
CAH4	HLTF	4	0.445	0.11125
CAH4	KRT35	4	0.679	0.16975
CAH4	FOXE1	5	0.831	0.1662
CAH4	PROL1	4	0.966	0.2415
CAH4	GPR35	7	1.155	0.165
CAH4	ASCC1	5	0.831	0.1662
CAH4	RECK	3	0.497	0.165666666666667
CAH4	DAAM1	5	0.722	0.1444
CAH4	ERCC6	7	0.934	0.133428571428571
CAH4	BTG4	4	0.708	0.177
CAH4	MCRS1	6	0.914	0.152333333333333
CAH4	NAV3	5	0.917	0.1834
CAH4	CHAD	4	0.661	0.16525
CAH4	PRKX	4	0.474	0.1185
CAH4	PNKP	7	0.936	0.133714285714286
CAH4	NXF3	6	0.915	0.1525
