source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RSRC1	6	0.517	0.0861666666666667
ACE	CCNL1	4	0.827	0.20675
ACE	STMN1	4	0.902	0.2255
ACE	DDR2	4	0.431	0.10775
ACE	IL3	2	0.093	0.0465
ACE	SMG1	5	0.316	0.0632
ACE	AP3B2	6	0.407	0.0678333333333333
ACE	TAF1A	3	0.094	0.0313333333333333
ACE	VTCN1	6	0.607	0.101166666666667
ACE	SEMG2	5	0.306	0.0612
ACE	NGF	3	0.06	0.02
ACE	BARD1	3	0.14	0.0466666666666667
ACE	UCKL1	4	0.646	0.1615
ACE	RHOC	3	0.439	0.146333333333333
KAPCA	RSRC1	6	0.502	0.0836666666666667
KAPCA	CCNL1	4	0.812	0.203
KAPCA	STMN1	1	0.379	0.379
KAPCA	DDR2	4	0.416	0.104
KAPCA	IL3	3	0.084	0.028
KAPCA	SMG1	6	0.322	0.0536666666666667
KAPCA	AP3B2	3	0.395	0.131666666666667
KAPCA	TAF1A	4	0.085	0.02125
KAPCA	VTCN1	7	0.605	0.0864285714285714
KAPCA	SEMG2	4	0.338	0.0845
KAPCA	NGF	7	0.101	0.0144285714285714
KAPCA	BARD1	3	0.125	0.0416666666666667
KAPCA	UCKL1	3	0.663	0.221
KAPCA	RHOC	5	0.5	0.1
NTKL	RSRC1	6	0.491	0.0818333333333333
NTKL	CCNL1	8	0.6	0.075
NTKL	STMN1	4	0.729	0.18225
NTKL	DDR2	5	0.528	0.1056
NTKL	IL3	4	0.25	0.0625
NTKL	SMG1	6	0.342	0.057
NTKL	AP3B2	6	0.505	0.0841666666666667
NTKL	TAF1A	5	0.232	0.0464
NTKL	VTCN1	6	0.735	0.1225
NTKL	SEMG2	4	0.365	0.09125
NTKL	NGF	2	0.199	0.0995
NTKL	BARD1	6	0.227	0.0378333333333333
NTKL	UCKL1	6	0.888	0.148
NTKL	RHOC	4	0.584	0.146
CALM	RSRC1	5	0.371	0.0742
CALM	CCNL1	4	0.675	0.16875
CALM	STMN1	2	0.22	0.11
CALM	DDR2	4	0.408	0.102
CALM	IL3	3	0.085	0.0283333333333333
CALM	SMG1	5	0.222	0.0444
CALM	AP3B2	6	0.391	0.0651666666666667
CALM	TAF1A	4	0.086	0.0215
CALM	VTCN1	4	0.57	0.1425
CALM	SEMG2	3	0.245	0.0816666666666667
CALM	NGF	4	0.066	0.0165
CALM	BARD1	3	0.117	0.039
CALM	UCKL1	3	0.626	0.208666666666667
CALM	RHOC	3	0.429	0.143
ACHA4	RSRC1	6	0.474	0.079
ACHA4	CCNL1	4	0.789	0.19725
ACHA4	STMN1	2	0.334	0.167
ACHA4	DDR2	4	0.458	0.1145
ACHA4	IL3	2	0.154	0.077
ACHA4	SMG1	6	0.325	0.0541666666666667
ACHA4	AP3B2	7	0.498	0.0711428571428571
ACHA4	TAF1A	4	0.168	0.042
ACHA4	VTCN1	7	0.698	0.0997142857142857
ACHA4	SEMG2	5	0.363	0.0726
ACHA4	NGF	1	0.12	0.12
ACHA4	BARD1	5	0.214	0.0428
ACHA4	UCKL1	5	0.865	0.173
ACHA4	RHOC	5	0.593	0.1186
ANXA2	RSRC1	5	0.551	0.1102
ANXA2	CCNL1	6	0.676	0.112666666666667
ANXA2	STMN1	4	0.819	0.20475
ANXA2	DDR2	3	0.465	0.155
ANXA2	IL3	3	0.201	0.067
ANXA2	SMG1	5	0.317	0.0634
ANXA2	AP3B2	6	0.403	0.0671666666666667
ANXA2	TAF1A	3	0.169	0.0563333333333333
ANXA2	VTCN1	4	0.582	0.1455
ANXA2	SEMG2	4	0.378	0.0945
ANXA2	NGF	2	0.051	0.0255
ANXA2	BARD1	8	0.146	0.01825
ANXA2	UCKL1	6	0.969	0.1615
ANXA2	RHOC	4	0.529	0.13225
AURKB	RSRC1	4	0.313	0.07825
AURKB	CCNL1	2	0.108	0.054
AURKB	STMN1	1	0.061	0.061
AURKB	DDR2	4	0.404	0.101
AURKB	IL3	4	0.14	0.035
AURKB	SMG1	4	0.164	0.041
AURKB	AP3B2	4	0.334	0.0835
AURKB	TAF1A	4	0.108	0.027
AURKB	VTCN1	4	0.601	0.15025
AURKB	SEMG2	6	0.393	0.0655
AURKB	NGF	4	0.097	0.02425
AURKB	BARD1	4	0.064	0.016
AURKB	UCKL1	7	0.881	0.125857142857143
AURKB	RHOC	4	0.531	0.13275
GNAT3	RSRC1	5	0.554	0.1108
GNAT3	CCNL1	8	0.938	0.11725
GNAT3	STMN1	5	0.471	0.0942
GNAT3	DDR2	6	0.619	0.103166666666667
GNAT3	IL3	4	0.296	0.074
GNAT3	SMG1	5	0.363	0.0726
GNAT3	AP3B2	6	0.526	0.0876666666666667
GNAT3	TAF1A	4	0.297	0.07425
GNAT3	VTCN1	6	0.761	0.126833333333333
GNAT3	SEMG2	4	0.387	0.09675
GNAT3	NGF	3	0.196	0.0653333333333333
GNAT3	BARD1	5	0.264	0.0528
GNAT3	UCKL1	4	0.707	0.17675
GNAT3	RHOC	4	0.576	0.144
CA2D1	RSRC1	7	0.838	0.119714285714286
CA2D1	CCNL1	5	0.557	0.1114
CA2D1	STMN1	4	0.604	0.151
CA2D1	DDR2	4	0.552	0.138
CA2D1	IL3	5	0.458	0.0916
CA2D1	SMG1	7	0.547	0.0781428571428572
CA2D1	AP3B2	6	0.579	0.0965
CA2D1	TAF1A	5	0.456	0.0912
CA2D1	VTCN1	6	0.812	0.135333333333333
CA2D1	SEMG2	5	0.63	0.126
CA2D1	NGF	5	0.258	0.0516
CA2D1	BARD1	5	0.284	0.0568
CA2D1	UCKL1	7	0.894	0.127714285714286
CA2D1	RHOC	6	0.76	0.126666666666667
CAH4	RSRC1	7	0.979	0.139857142857143
CAH4	CCNL1	4	0.733	0.18325
CAH4	STMN1	8	0.99	0.12375
CAH4	DDR2	6	0.974	0.162333333333333
CAH4	IL3	5	0.856	0.1712
CAH4	SMG1	4	0.712	0.178
CAH4	AP3B2	7	0.915	0.130714285714286
CAH4	TAF1A	10	0.987	0.0987
CAH4	VTCN1	8	1.34	0.1675
CAH4	SEMG2	8	0.948	0.1185
CAH4	NGF	4	0.282	0.0705
CAH4	BARD1	4	0.445	0.11125
CAH4	UCKL1	6	0.964	0.160666666666667
