source	dest	edges	cum_dist	avg_dist_per_edge
ACE	KLC2	5	0.94	0.188
ACE	URB2	3	0.524	0.174666666666667
ACE	KCNA5	5	0.425	0.085
ACE	COQ6	3	0.854	0.284666666666667
ACE	MED22	3	0.204	0.068
ACE	TASP1	4	0.538	0.1345
ACE	NARG2	4	0.766	0.1915
ACE	BFSP1	5	0.87	0.174
ACE	ABCG4	5	0.954	0.1908
ACE	WDR44	3	0.833	0.277666666666667
ACE	BLNK	4	0.089	0.02225
ACE	PRB3	4	0.609	0.15225
ACE	SH2B3	6	0.106	0.0176666666666667
ACE	FLRT1	4	0.333	0.08325
ACE	IRF2	4	0.664	0.166
ACE	KAT7	4	0.162	0.0405
ACE	IFIT3	3	0.202	0.0673333333333333
ACE	BRS3	4	0.204	0.051
ACE	PIGB	3	0.619	0.206333333333333
ACE	SNTG2	3	0.364	0.121333333333333
ACE	EYA4	4	0.684	0.171
KAPCA	KLC2	4	0.695	0.17375
KAPCA	URB2	4	0.515	0.12875
KAPCA	KCNA5	5	0.551	0.1102
KAPCA	COQ6	6	1.337	0.222833333333333
KAPCA	MED22	3	0.171	0.057
KAPCA	TASP1	5	0.536	0.1072
KAPCA	NARG2	4	0.784	0.196
KAPCA	BFSP1	4	0.738	0.1845
KAPCA	ABCG4	5	0.939	0.1878
KAPCA	WDR44	3	0.906	0.302
KAPCA	BLNK	7	0.103	0.0147142857142857
KAPCA	PRB3	4	0.594	0.1485
KAPCA	SH2B3	4	0.092	0.023
KAPCA	FLRT1	4	0.488	0.122
KAPCA	IRF2	1	0.379	0.379
KAPCA	KAT7	4	0.147	0.03675
KAPCA	IFIT3	4	0.193	0.04825
KAPCA	BRS3	4	0.225	0.05625
KAPCA	PIGB	4	0.763	0.19075
KAPCA	SNTG2	3	0.472	0.157333333333333
KAPCA	EYA4	3	0.576	0.192
NTKL	KLC2	7	0.863	0.123285714285714
NTKL	URB2	6	0.688	0.114666666666667
NTKL	KCNA5	6	0.472	0.0786666666666667
NTKL	COQ6	6	1.172	0.195333333333333
NTKL	MED22	5	0.326	0.0652
NTKL	TASP1	5	0.669	0.1338
NTKL	NARG2	7	0.691	0.0987142857142857
NTKL	BFSP1	7	0.981	0.140142857142857
NTKL	ABCG4	6	0.995	0.165833333333333
NTKL	WDR44	4	0.496	0.124
NTKL	BLNK	4	0.204	0.051
NTKL	PRB3	6	0.68	0.113333333333333
NTKL	SH2B3	4	0.231	0.05775
NTKL	FLRT1	6	0.417	0.0695
NTKL	IRF2	6	0.513	0.0855
NTKL	KAT7	5	0.259	0.0518
NTKL	IFIT3	4	0.299	0.07475
NTKL	BRS3	6	0.358	0.0596666666666667
NTKL	PIGB	5	0.752	0.1504
NTKL	SNTG2	7	0.532	0.076
NTKL	EYA4	6	0.783	0.1305
CALM	KLC2	2	0.467	0.2335
CALM	URB2	4	0.516	0.129
CALM	KCNA5	2	0.237	0.1185
CALM	COQ6	3	0.631	0.210333333333333
CALM	MED22	3	0.172	0.0573333333333333
CALM	TASP1	4	0.528	0.132
CALM	NARG2	3	0.458	0.152666666666667
CALM	BFSP1	4	0.812	0.203
CALM	ABCG4	5	0.931	0.1862
CALM	WDR44	4	0.813	0.20325
CALM	BLNK	4	0.068	0.017
CALM	PRB3	3	0.559	0.186333333333333
CALM	SH2B3	6	0.096	0.016
CALM	FLRT1	4	0.298	0.0745
CALM	IRF2	5	0.501	0.1002
CALM	KAT7	4	0.139	0.03475
CALM	IFIT3	3	0.179	0.0596666666666667
CALM	BRS3	4	0.226	0.0565
CALM	PIGB	4	0.632	0.158
CALM	SNTG2	3	0.354	0.118
CALM	EYA4	3	0.577	0.192333333333333
ACHA4	KLC2	6	0.84	0.14
ACHA4	URB2	4	0.598	0.1495
ACHA4	KCNA5	2	0.406	0.203
ACHA4	COQ6	6	1.28	0.213333333333333
ACHA4	MED22	6	0.303	0.0505
ACHA4	TASP1	5	0.629	0.1258
ACHA4	NARG2	4	0.75	0.1875
ACHA4	BFSP1	7	0.955	0.136428571428571
ACHA4	ABCG4	6	0.955	0.159166666666667
ACHA4	WDR44	6	0.657	0.1095
ACHA4	BLNK	5	0.18	0.036
ACHA4	PRB3	6	0.683	0.113833333333333
ACHA4	SH2B3	2	0.163	0.0815
ACHA4	FLRT1	4	0.39	0.0975
ACHA4	IRF2	6	0.611	0.101833333333333
ACHA4	KAT7	6	0.236	0.0393333333333333
ACHA4	IFIT3	4	0.276	0.069
ACHA4	BRS3	4	0.308	0.077
ACHA4	PIGB	5	0.73	0.146
ACHA4	SNTG2	5	0.505	0.101
ACHA4	EYA4	4	0.736	0.184
ANXA2	KLC2	5	0.78	0.156
ANXA2	URB2	4	0.632	0.158
ANXA2	KCNA5	4	0.56	0.14
ANXA2	COQ6	4	0.69	0.1725
ANXA2	MED22	4	0.262	0.0655
ANXA2	TASP1	4	0.565	0.14125
ANXA2	NARG2	5	0.779	0.1558
ANXA2	BFSP1	4	0.784	0.196
ANXA2	ABCG4	5	0.961	0.1922
ANXA2	WDR44	2	0.584	0.292
ANXA2	BLNK	4	0.08	0.02
ANXA2	PRB3	3	0.643	0.214333333333333
ANXA2	SH2B3	5	0.114	0.0228
ANXA2	FLRT1	4	0.505	0.12625
ANXA2	IRF2	3	0.298	0.0993333333333333
ANXA2	KAT7	3	0.145	0.0483333333333333
ANXA2	IFIT3	3	0.243	0.081
ANXA2	BRS3	6	0.328	0.0546666666666667
ANXA2	PIGB	3	0.688	0.229333333333333
ANXA2	SNTG2	4	0.497	0.12425
ANXA2	EYA4	3	0.782	0.260666666666667
AURKB	KLC2	4	0.644	0.161
AURKB	URB2	5	0.571	0.1142
AURKB	KCNA5	4	0.445	0.11125
AURKB	COQ6	8	1.296	0.162
AURKB	MED22	4	0.202	0.0505
AURKB	TASP1	6	0.567	0.0945
AURKB	NARG2	6	0.716	0.119333333333333
AURKB	BFSP1	5	0.789	0.1578
AURKB	ABCG4	5	0.927	0.1854
AURKB	WDR44	6	0.897	0.1495
AURKB	BLNK	4	0.053	0.01325
AURKB	PRB3	4	0.582	0.1455
AURKB	SH2B3	3	0.064	0.0213333333333333
AURKB	FLRT1	5	0.42	0.084
AURKB	IRF2	4	0.489	0.12225
AURKB	KAT7	4	0.135	0.03375
AURKB	IFIT3	5	0.215	0.043
AURKB	BRS3	5	0.281	0.0562
AURKB	PIGB	6	0.722	0.120333333333333
AURKB	SNTG2	6	0.527	0.0878333333333333
AURKB	EYA4	6	0.649	0.108166666666667
GNAT3	KLC2	8	0.934	0.11675
GNAT3	URB2	7	0.786	0.112285714285714
GNAT3	KCNA5	5	0.531	0.1062
GNAT3	COQ6	4	0.736	0.184
GNAT3	MED22	5	0.392	0.0784
GNAT3	TASP1	5	0.726	0.1452
GNAT3	NARG2	6	0.96	0.16
GNAT3	BFSP1	5	0.917	0.1834
GNAT3	ABCG4	4	0.674	0.1685
GNAT3	WDR44	6	0.771	0.1285
GNAT3	BLNK	3	0.161	0.0536666666666667
GNAT3	PRB3	6	0.797	0.132833333333333
GNAT3	SH2B3	5	0.202	0.0404
GNAT3	FLRT1	4	0.439	0.10975
GNAT3	IRF2	6	0.569	0.0948333333333333
GNAT3	KAT7	6	0.35	0.0583333333333333
GNAT3	IFIT3	3	0.32	0.106666666666667
GNAT3	BRS3	4	0.287	0.07175
GNAT3	PIGB	5	0.807	0.1614
GNAT3	SNTG2	4	0.516	0.129
GNAT3	EYA4	5	0.798	0.1596
CA2D1	KLC2	7	0.957	0.136714285714286
CA2D1	URB2	6	0.919	0.153166666666667
