source	dest	edges	cum_dist	avg_dist_per_edge
ACE	TEX11	5	1.186	0.2372
ACE	MT1G	6	0.682	0.113666666666667
ACE	DDIT3	4	0.084	0.021
ACE	RIC8B	4	0.388	0.097
ACE	ERCC5	4	0.681	0.17025
ACE	MUC13	5	0.443	0.0886
ACE	VDAC1	4	0.138	0.0345
ACE	EIF3F	4	0.18	0.045
ACE	UBE3C	5	0.17	0.034
ACE	LY86	6	0.359	0.0598333333333333
ACE	ICAM4	6	0.171	0.0285
ACE	FKBP2	4	0.751	0.18775
ACE	VIP	2	0.377	0.1885
ACE	NR1I3	2	0.167	0.0835
ACE	TPBG	4	0.457	0.11425
KAPCA	TEX11	3	0.83	0.276666666666667
KAPCA	MT1G	5	0.699	0.1398
KAPCA	DDIT3	5	0.082	0.0164
KAPCA	RIC8B	3	0.405	0.135
KAPCA	ERCC5	5	0.638	0.1276
KAPCA	MUC13	6	0.4	0.0666666666666667
KAPCA	VDAC1	4	0.123	0.03075
KAPCA	EIF3F	5	0.186	0.0372
KAPCA	UBE3C	3	0.156	0.052
KAPCA	LY86	6	0.353	0.0588333333333333
KAPCA	ICAM4	7	0.169	0.0241428571428571
KAPCA	FKBP2	5	0.708	0.1416
KAPCA	VIP	4	0.544	0.136
KAPCA	NR1I3	4	0.29	0.0725
KAPCA	TPBG	4	0.482	0.1205
NTKL	TEX11	6	1.037	0.172833333333333
NTKL	MT1G	8	0.924	0.1155
NTKL	DDIT3	5	0.215	0.043
NTKL	RIC8B	5	0.592	0.1184
NTKL	ERCC5	6	0.604	0.100666666666667
NTKL	MUC13	5	0.27	0.054
NTKL	VDAC1	5	0.235	0.047
NTKL	EIF3F	4	0.273	0.06825
NTKL	UBE3C	4	0.325	0.08125
NTKL	LY86	6	0.453	0.0755
NTKL	ICAM4	6	0.299	0.0498333333333333
NTKL	FKBP2	4	0.578	0.1445
NTKL	VIP	4	0.389	0.09725
NTKL	NR1I3	5	0.342	0.0684
NTKL	TPBG	8	0.648	0.081
CALM	TEX11	3	0.831	0.277
CALM	MT1G	2	0.574	0.287
CALM	DDIT3	4	0.074	0.0185
CALM	RIC8B	3	0.368	0.122666666666667
CALM	ERCC5	4	0.458	0.1145
CALM	MUC13	4	0.15	0.0375
CALM	VDAC1	4	0.115	0.02875
CALM	EIF3F	3	0.122	0.0406666666666667
CALM	UBE3C	5	0.16	0.032
CALM	LY86	5	0.326	0.0652
CALM	ICAM4	4	0.134	0.0335
CALM	FKBP2	2	0.383	0.1915
CALM	VIP	1	0.115	0.115
CALM	NR1I3	4	0.282	0.0705
CALM	TPBG	4	0.447	0.11175
ACHA4	TEX11	4	0.99	0.2475
ACHA4	MT1G	7	0.901	0.128714285714286
