source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MEGF6	6	0.435	0.0725
ACE	RGS17	3	0.225	0.075
ACE	SMG8	4	0.27	0.0675
ACE	PYY	3	0.523	0.174333333333333
ACE	RAB9A	2	0.492	0.246
ACE	HMGB3	4	0.646	0.1615
ACE	SCTR	4	0.114	0.0285
ACE	LUZP4	8	0.822	0.10275
ACE	SFRP5	3	0.331	0.110333333333333
ACE	FGF3	4	0.137	0.03425
ACE	FOXI1	7	0.821	0.117285714285714
ACE	STRAP	3	0.263	0.0876666666666667
ACE	VAMP8	4	0.254	0.0635
ACE	SCMH1	5	0.756	0.1512
ACE	SYT12	4	0.72	0.18
ACE	GDF11	4	0.263	0.06575
ACE	DDX42	4	0.267	0.06675
ACE	UFM1	4	0.486	0.1215
ACE	CBR1	5	0.925	0.185
ACE	CHIC2	4	0.52	0.13
ACE	CD1B	6	0.68	0.113333333333333
ACE	SRY	4	0.229	0.05725
ACE	TRIM9	5	0.935	0.187
ACE	IFT81	5	0.843	0.1686
ACE	PGAM2	6	0.234	0.039
KAPCA	MEGF6	6	0.42	0.07
KAPCA	RGS17	3	0.246	0.082
KAPCA	SMG8	5	0.276	0.0552
KAPCA	PYY	4	0.48	0.12
KAPCA	RAB9A	5	0.975	0.195
KAPCA	HMGB3	4	0.749	0.18725
KAPCA	SCTR	3	0.131	0.0436666666666667
KAPCA	LUZP4	5	0.702	0.1404
KAPCA	SFRP5	4	0.46	0.115
KAPCA	FGF3	5	0.241	0.0482
KAPCA	FOXI1	5	0.812	0.1624
KAPCA	STRAP	4	0.254	0.0635
KAPCA	VAMP8	5	0.26	0.052
KAPCA	SCMH1	5	0.781	0.1562
KAPCA	SYT12	5	0.718	0.1436
KAPCA	GDF11	4	0.248	0.062
KAPCA	DDX42	5	0.258	0.0516
KAPCA	UFM1	5	0.484	0.0968
KAPCA	CBR1	5	0.91	0.182
KAPCA	CHIC2	5	0.621	0.1242
KAPCA	CD1B	7	0.637	0.091
KAPCA	SRY	4	0.214	0.0535
KAPCA	TRIM9	4	0.69	0.1725
KAPCA	IFT81	3	0.484	0.161333333333333
KAPCA	PGAM2	4	0.22	0.055
