source	dest	edges	cum_dist	avg_dist_per_edge
ACE	TAOK3	3	0.466	0.155333333333333
ACE	PWP2	5	0.997	0.1994
ACE	EPHA7	4	0.172	0.043
ACE	RRAS2	3	0.201	0.067
ACE	AOC2	2	0.367	0.1835
ACE	HLTF	5	0.166	0.0332
ACE	CWC25	6	0.571	0.0951666666666667
ACE	TMA16	4	0.827	0.20675
ACE	EXOC2	3	0.227	0.0756666666666667
ACE	FGF3	4	0.137	0.03425
ACE	BCCIP	4	0.136	0.034
ACE	RPE65	5	0.462	0.0924
ACE	CTRC	4	0.886	0.2215
ACE	FEV	4	0.959	0.23975
ACE	REL	5	0.085	0.017
ACE	ITIH2	3	0.21	0.07
ACE	UNG	3	0.778	0.259333333333333
ACE	LPAR6	2	0.129	0.0645
ACE	APOC1	2	0.948	0.474
ACE	P4HTM	6	0.51	0.085
ACE	CD3D	5	0.13	0.026
KAPCA	TAOK3	4	0.61	0.1525
KAPCA	PWP2	4	0.711	0.17775
KAPCA	EPHA7	5	0.17	0.034
KAPCA	RRAS2	4	0.366	0.0915
KAPCA	AOC2	3	0.541	0.180333333333333
KAPCA	HLTF	3	0.152	0.0506666666666667
KAPCA	CWC25	5	0.588	0.1176
KAPCA	TMA16	4	0.812	0.203
KAPCA	EXOC2	5	0.312	0.0624
KAPCA	FGF3	5	0.241	0.0482
KAPCA	BCCIP	4	0.121	0.03025
KAPCA	RPE65	2	0.432	0.216
KAPCA	CTRC	5	0.843	0.1686
KAPCA	FEV	4	0.994	0.2485
KAPCA	REL	4	0.081	0.02025
KAPCA	ITIH2	5	0.476	0.0952
KAPCA	UNG	3	0.84	0.28
KAPCA	LPAR6	4	0.247	0.06175
KAPCA	APOC1	6	0.609	0.1015
KAPCA	P4HTM	6	0.495	0.0825
KAPCA	CD3D	5	0.124	0.0248
NTKL	TAOK3	5	0.599	0.1198
NTKL	PWP2	3	0.867	0.289
NTKL	EPHA7	4	0.3	0.075
NTKL	RRAS2	5	0.285	0.057
NTKL	AOC2	5	0.537	0.1074
NTKL	HLTF	4	0.321	0.08025
NTKL	CWC25	8	0.733	0.091625
NTKL	TMA16	3	0.963	0.321
NTKL	EXOC2	5	0.293	0.0586
NTKL	FGF3	5	0.214	0.0428
NTKL	BCCIP	5	0.233	0.0466
