source	dest	edges	cum_dist	avg_dist_per_edge
ACE	EPHA5	4	0.172	0.043
ACE	CETN3	2	0.774	0.387
ACE	DFFA	4	0.29	0.0725
ACE	GPR39	3	0.204	0.068
ACE	KCNE2	5	0.238	0.0476
ACE	KCTD5	5	0.567	0.1134
ACE	UXT	6	0.274	0.0456666666666667
ACE	MAST3	6	0.564	0.094
ACE	EDAR	6	0.774	0.129
ACE	TLR5	3	0.909	0.303
ACE	GCNT1	3	0.371	0.123666666666667
ACE	CIDEC	3	0.251	0.0836666666666667
ACE	PDE6B	3	0.166	0.0553333333333333
ACE	IMPA2	4	0.183	0.04575
ACE	INHBC	3	0.273	0.091
ACE	BIN2	4	0.762	0.1905
ACE	DHX8	3	0.545	0.181666666666667
KAPCA	EPHA5	5	0.17	0.034
KAPCA	CETN3	2	0.779	0.3895
KAPCA	DFFA	3	0.234	0.078
KAPCA	GPR39	4	0.195	0.04875
KAPCA	KCNE2	6	0.236	0.0393333333333333
KAPCA	KCTD5	6	0.565	0.0941666666666667
KAPCA	UXT	7	0.272	0.0388571428571429
KAPCA	MAST3	2	0.426	0.213
KAPCA	EDAR	4	0.675	0.16875
KAPCA	TLR5	5	0.913	0.1826
KAPCA	GCNT1	6	0.465	0.0775
KAPCA	CIDEC	4	0.257	0.06425
KAPCA	PDE6B	2	0.183	0.0915
KAPCA	IMPA2	7	0.213	0.0304285714285714
KAPCA	INHBC	4	0.417	0.10425
KAPCA	BIN2	5	0.927	0.1854
KAPCA	DHX8	5	0.835	0.167
NTKL	EPHA5	4	0.3	0.075
NTKL	CETN3	6	0.983	0.163833333333333
NTKL	DFFA	5	0.363	0.0726
NTKL	GPR39	6	0.368	0.0613333333333333
NTKL	KCNE2	5	0.366	0.0732
NTKL	KCTD5	5	0.695	0.139
NTKL	UXT	8	0.365	0.045625
NTKL	MAST3	6	0.65	0.108333333333333
NTKL	EDAR	6	0.804	0.134
NTKL	TLR5	4	0.732	0.183
NTKL	GCNT1	5	0.335	0.067
NTKL	CIDEC	5	0.362	0.0724
NTKL	PDE6B	5	0.408	0.0816
NTKL	IMPA2	4	0.304	0.076
NTKL	INHBC	5	0.406	0.0812
NTKL	BIN2	6	0.792	0.132
NTKL	DHX8	6	0.85	0.141666666666667
CALM	EPHA5	2	0.135	0.0675
CALM	CETN3	4	0.864	0.216
CALM	DFFA	4	0.243	0.06075
CALM	GPR39	4	0.196	0.049
CALM	KCNE2	3	0.195	0.065
CALM	KCTD5	3	0.524	0.174666666666667
CALM	UXT	2	0.243	0.1215
CALM	MAST3	5	0.53	0.106
CALM	EDAR	5	0.684	0.1368
CALM	TLR5	3	0.612	0.204
CALM	GCNT1	4	0.215	0.05375
CALM	CIDEC	2	0.193	0.0965
CALM	PDE6B	2	0.146	0.073
CALM	IMPA2	2	0.166	0.083
CALM	INHBC	4	0.286	0.0715
CALM	BIN2	4	0.727	0.18175
CALM	DHX8	5	0.73	0.146
ACHA4	EPHA5	5	0.263	0.0526
ACHA4	CETN3	4	0.956	0.239
ACHA4	DFFA	5	0.381	0.0762
ACHA4	GPR39	4	0.278	0.0695
ACHA4	KCNE2	6	0.329	0.0548333333333333
ACHA4	KCTD5	6	0.658	0.109666666666667
ACHA4	UXT	8	0.362	0.04525
ACHA4	MAST3	6	0.626	0.104333333333333
ACHA4	EDAR	6	0.831	0.1385
ACHA4	TLR5	5	0.856	0.1712
ACHA4	GCNT1	4	0.306	0.0765
ACHA4	CIDEC	5	0.336	0.0672
ACHA4	PDE6B	4	0.385	0.09625
ACHA4	IMPA2	6	0.286	0.0476666666666667
ACHA4	INHBC	5	0.384	0.0768
ACHA4	BIN2	4	0.819	0.20475
ACHA4	DHX8	3	0.607	0.202333333333333
ANXA2	EPHA5	2	0.147	0.0735
ANXA2	CETN3	4	0.861	0.21525
ANXA2	DFFA	4	0.317	0.07925
ANXA2	GPR39	4	0.312	0.078
ANXA2	KCNE2	3	0.213	0.071
ANXA2	KCTD5	3	0.542	0.180666666666667
ANXA2	UXT	6	0.27	0.045
ANXA2	MAST3	6	0.575	0.0958333333333333
ANXA2	EDAR	4	0.826	0.2065
ANXA2	TLR5	4	0.822	0.2055
ANXA2	GCNT1	3	0.388	0.129333333333333
ANXA2	CIDEC	3	0.252	0.084
ANXA2	PDE6B	4	0.503	0.12575
ANXA2	IMPA2	4	0.19	0.0475
ANXA2	INHBC	3	0.342	0.114
ANXA2	BIN2	4	0.88	0.22
ANXA2	DHX8	6	0.921	0.1535
AURKB	EPHA5	3	0.15	0.05
AURKB	CETN3	2	0.354	0.177
AURKB	DFFA	4	0.274	0.0685
AURKB	GPR39	5	0.251	0.0502
AURKB	KCNE2	7	0.267	0.0381428571428571
AURKB	KCTD5	7	0.596	0.0851428571428571
AURKB	UXT	4	0.205	0.05125
AURKB	MAST3	6	0.596	0.0993333333333333
AURKB	EDAR	7	0.76	0.108571428571429
AURKB	TLR5	7	0.872	0.124571428571429
AURKB	GCNT1	8	0.424	0.053
AURKB	CIDEC	3	0.253	0.0843333333333333
AURKB	PDE6B	6	0.401	0.0668333333333333
AURKB	IMPA2	5	0.159	0.0318
AURKB	INHBC	6	0.376	0.0626666666666667
AURKB	BIN2	4	0.765	0.19125
AURKB	DHX8	4	0.672	0.168
GNAT3	EPHA5	3	0.3	0.1
GNAT3	CETN3	6	0.93	0.155
GNAT3	DFFA	4	0.409	0.10225
GNAT3	GPR39	4	0.381	0.09525
GNAT3	KCNE2	5	0.392	0.0784
GNAT3	KCTD5	5	0.721	0.1442
GNAT3	UXT	6	0.393	0.0655
GNAT3	MAST3	4	0.626	0.1565
GNAT3	EDAR	6	0.859	0.143166666666667
GNAT3	TLR5	4	0.583	0.14575
GNAT3	GCNT1	7	0.915	0.130714285714286
