source	dest	edges	cum_dist	avg_dist_per_edge
ACE	WNT16	3	0.289	0.0963333333333333
ACE	BORA	5	0.68	0.136
ACE	FUT1	4	0.373	0.09325
ACE	PARP6	6	1.238	0.206333333333333
ACE	SMU1	5	0.922	0.1844
ACE	BAP1	7	0.175	0.025
ACE	IQCH	4	0.688	0.172
ACE	SCD5	3	0.308	0.102666666666667
ACE	MKRN3	4	0.593	0.14825
ACE	QSOX1	4	0.484	0.121
ACE	SMO	3	0.211	0.0703333333333333
ACE	ABCG5	6	0.378	0.063
ACE	FYCO1	6	0.847	0.141166666666667
ACE	RAPSN	3	0.2	0.0666666666666667
ACE	SDC3	3	0.475	0.158333333333333
ACE	CNOT6	4	0.258	0.0645
ACE	ENDOU	6	0.537	0.0895
ACE	TRHDE	5	0.933	0.1866
ACE	CHIC2	4	0.52	0.13
ACE	TECTA	4	0.835	0.20875
ACE	FGF6	4	0.137	0.03425
ACE	TPBG	4	0.457	0.11425
ACE	TREX2	4	0.473	0.11825
ACE	RHOC	3	0.439	0.146333333333333
KAPCA	WNT16	4	0.537	0.13425
KAPCA	BORA	4	0.435	0.10875
KAPCA	FUT1	5	0.364	0.0728
KAPCA	PARP6	3	1.075	0.358333333333333
KAPCA	SMU1	6	0.894	0.149
KAPCA	BAP1	5	0.161	0.0322
KAPCA	IQCH	3	0.366	0.122
KAPCA	SCD5	4	0.324	0.081
KAPCA	MKRN3	4	0.578	0.1445
KAPCA	QSOX1	7	0.519	0.0741428571428571
KAPCA	SMO	3	0.221	0.0736666666666667
KAPCA	ABCG5	6	0.375	0.0625
KAPCA	FYCO1	6	0.732	0.122
KAPCA	RAPSN	3	0.26	0.0866666666666667
KAPCA	SDC3	4	0.432	0.108
KAPCA	CNOT6	5	0.264	0.0528
KAPCA	ENDOU	7	0.535	0.0764285714285714
KAPCA	TRHDE	4	0.688	0.172
KAPCA	CHIC2	5	0.621	0.1242
KAPCA	TECTA	7	0.87	0.124285714285714
KAPCA	FGF6	5	0.241	0.0482
KAPCA	TPBG	4	0.482	0.1205
KAPCA	TREX2	4	0.458	0.1145
KAPCA	RHOC	5	0.5	0.1
NTKL	WNT16	6	0.666	0.111
NTKL	BORA	6	0.573	0.0955
NTKL	FUT1	8	0.493	0.061625
NTKL	PARP6	7	1.479	0.211285714285714
NTKL	SMU1	6	0.994	0.165666666666667
NTKL	BAP1	5	0.325	0.065
NTKL	IQCH	6	0.573	0.0955
NTKL	SCD5	4	0.418	0.1045
NTKL	MKRN3	5	0.69	0.138
NTKL	QSOX1	6	0.649	0.108166666666667
NTKL	SMO	5	0.344	0.0688
NTKL	ABCG5	7	0.509	0.0727142857142857
NTKL	FYCO1	8	0.741	0.092625
NTKL	RAPSN	5	0.333	0.0666
NTKL	SDC3	3	0.302	0.100666666666667
NTKL	CNOT6	6	0.369	0.0615
NTKL	ENDOU	7	0.668	0.0954285714285714
NTKL	TRHDE	7	0.856	0.122285714285714
NTKL	CHIC2	6	0.604	0.100666666666667
NTKL	TECTA	7	0.989	0.141285714285714
NTKL	FGF6	5	0.214	0.0428
NTKL	TPBG	8	0.648	0.081
NTKL	TREX2	5	0.57	0.114
NTKL	RHOC	4	0.584	0.146
CALM	WNT16	5	0.546	0.1092
CALM	BORA	3	0.327	0.109
CALM	FUT1	5	0.365	0.073
CALM	PARP6	3	1.333	0.444333333333333
CALM	SMU1	5	0.874	0.1748
CALM	BAP1	3	0.148	0.0493333333333333
CALM	IQCH	3	0.367	0.122333333333333
CALM	SCD5	3	0.298	0.0993333333333333
CALM	MKRN3	4	0.57	0.1425
CALM	QSOX1	4	0.484	0.121
CALM	SMO	5	0.177	0.0354
CALM	ABCG5	5	0.351	0.0702
CALM	FYCO1	5	0.624	0.1248
CALM	RAPSN	4	0.213	0.05325
CALM	SDC3	2	0.182	0.091
CALM	CNOT6	3	0.2	0.0666666666666667
CALM	ENDOU	6	0.527	0.0878333333333333
CALM	TRHDE	3	0.58	0.193333333333333
CALM	CHIC2	4	0.485	0.12125
CALM	TECTA	2	0.759	0.3795
CALM	FGF6	4	0.102	0.0255
CALM	TPBG	4	0.447	0.11175
CALM	TREX2	4	0.45	0.1125
CALM	RHOC	3	0.429	0.143
ACHA4	WNT16	6	0.7	0.116666666666667
ACHA4	BORA	6	0.58	0.0966666666666667
ACHA4	FUT1	5	0.447	0.0894
ACHA4	PARP6	7	1.457	0.208142857142857
ACHA4	SMU1	6	0.97	0.161666666666667
ACHA4	BAP1	7	0.285	0.0407142857142857
ACHA4	IQCH	4	0.526	0.1315
ACHA4	SCD5	4	0.407	0.10175
ACHA4	MKRN3	6	0.667	0.111166666666667
ACHA4	QSOX1	7	0.612	0.0874285714285714
ACHA4	SMO	5	0.322	0.0644
ACHA4	ABCG5	7	0.469	0.067
