source	destinations_disconnected_to
ACE	ULK4	RAI14
KAPCA	ULK4	RAI14
NTKL	ULK4	RAI14
CALM	ULK4	RAI14
ACHA4	ULK4	RAI14
ANXA2	ULK4	RAI14
AURKB	ULK4	RAI14
GNAT3	ULK4	RAI14
CA2D1	ULK4	RAI14
CAH4	ULK4	RAI14
AK1C1	ULK4	RAI14
ROCK1	ULK4	RAI14
CHLE	ULK4	RAI14
J3QK85	ULK4	RAI14
ZAP70	ULK4	RAI14
UD14	ULK4	RAI14
S12A2	ULK4	RAI14
EST1A	ULK4	RAI14
VKOR1	ULK4	RAI14
XDH	ULK4	RAI14
ACHB4	ULK4	RAI14
RLP24	ULK4	RAI14
EDN1	ULK4	RAI14
GBRB3	ULK4	RAI14
TKT	ULK4	RAI14
NEU2	ULK4	RAI14
3HAO	ULK4	RAI14
RL10L	ULK4	RAI14
ADA1D	ULK4	RAI14
CANB2	ULK4	RAI14
KAP3	ULK4	RAI14
PANX1	ULK4	RAI14
ST2A1	ULK4	RAI14
UPP2	ULK4	RAI14
AK1D1	ULK4	RAI14
CAC1A	ULK4	RAI14
CUBN	ULK4	RAI14
THA	ULK4	RAI14
TBB5	ULK4	RAI14
CATA	ULK4	RAI14
RL3	ULK4	RAI14
PA2GE	ULK4	RAI14
HRH2	ULK4	RAI14
ATTY	ULK4	RAI14
S29A2	ULK4	RAI14
GBRT	ULK4	RAI14
ACHA3	ULK4	RAI14
CDK6	ULK4	RAI14
5HT7R	ULK4	RAI14
ADRB1	ULK4	RAI14
CP11A	ULK4	RAI14
CSK	ULK4	RAI14
5HT3A	ULK4	RAI14
AT12A	ULK4	RAI14
IOD3	ULK4	RAI14
PGFRA	ULK4	RAI14
A1AG1	ULK4	RAI14
TNFA	ULK4	RAI14
NFAC2	ULK4	RAI14
NOS2	ULK4	RAI14
5HT2B	ULK4	RAI14
HS90A	ULK4	RAI14
LCK	ULK4	RAI14
ADCYA	ULK4	RAI14
HS90B	ULK4	RAI14
ADA2A	ULK4	RAI14
CACP	ULK4	RAI14
RARA	ULK4	RAI14
PYC	ULK4	RAI14
CATL1	ULK4	RAI14
ACHA9	ULK4	RAI14
NH2L1	ULK4	RAI14
AAKB2	ULK4	RAI14
DCXR	ULK4	RAI14
CXCL7	ULK4	RAI14
KCNE1	ULK4	RAI14
B3GT4	ULK4	RAI14
ACES	ULK4	RAI14
SCNNG	ULK4	RAI14
HASP	ULK4	RAI14
MMP3	ULK4	RAI14
MET	ULK4	RAI14
AA2BR	ULK4	RAI14
PDE8A	ULK4	RAI14
5HT2C	ULK4	RAI14
AK1C3	ULK4	RAI14
OSTCN	ULK4	RAI14
NMD3B	ULK4	RAI14
CDK5	ULK4	RAI14
PPARA	ULK4	RAI14
DRD2	ULK4	RAI14
VGFR2	ULK4	RAI14
CP1A2	ULK4	RAI14
NGF	ULK4	RAI14
GBRA6	ULK4	RAI14
ACHA7	ULK4	RAI14
CP2C9	ULK4	RAI14
TBA1A	ULK4	RAI14
IL2RA	ULK4	RAI14
PPB1	ULK4	RAI14
PD2R	ULK4	RAI14
Q71TU5	ULK4	RAI14
DCE1	ULK4	RAI14
GBRG1	ULK4	RAI14
FGFR2	ULK4	RAI14
IMPA1	ULK4	RAI14
ACM2	ULK4	RAI14
IL8	ULK4	RAI14
5HT6R	ULK4	RAI14
KPCT	ULK4	RAI14
AOC1	ULK4	RAI14
PCNA	ULK4	RAI14
KSYK	ULK4	RAI14
CAH9	ULK4	RAI14
RL11	ULK4	RAI14
CACB3	ULK4	RAI14
HMDH	ULK4	RAI14
GBRA4	ULK4	RAI14
KIT	ULK4	RAI14
AOFA	ULK4	RAI14
NEP	ULK4	RAI14
GLYC	ULK4	RAI14
NCOA2	ULK4	RAI14
5HT1E	ULK4	RAI14
TBA4A	ULK4	RAI14
METH	ULK4	RAI14
LDHA	ULK4	RAI14
MK08	ULK4	RAI14
IGHG4	ULK4	RAI14
CP2CJ	ULK4	RAI14
RXRA	ULK4	RAI14
PA2GA	ULK4	RAI14
CP131	ULK4	RAI14
ACACB	ULK4	RAI14
PTHY	ULK4	RAI14
IL10	ULK4	RAI14
CAH2	ULK4	RAI14
