source	dest	edges	cum_dist	avg_dist_per_edge
ACE	TAF9B	3	0.334	0.111333333333333
ACE	VSIG4	4	0.147	0.03675
ACE	CHMP3	5	0.132	0.0264
ACE	TFEC	4	0.288	0.072
ACE	MKRN3	4	0.593	0.14825
ACE	SCYL2	5	1.086	0.2172
ACE	TAF1A	3	0.094	0.0313333333333333
ACE	ABCC8	3	0.15	0.05
ACE	SIX1	5	0.836	0.1672
ACE	CCR10	6	0.154	0.0256666666666667
ACE	IL26	4	0.719	0.17975
ACE	RIPK4	2	0.178	0.089
ACE	HEXB	4	0.644	0.161
ACE	HOOK1	6	0.362	0.0603333333333333
ACE	TSC1	3	0.051	0.017
ACE	GIT1	6	0.106	0.0176666666666667
ACE	SENP7	4	0.483	0.12075
ACE	GDF15	3	0.142	0.0473333333333333
ACE	BIRC3	3	0.186	0.062
ACE	NAV3	4	0.516	0.129
ACE	NR1I3	2	0.167	0.0835
ACE	VRK2	3	0.491	0.163666666666667
ACE	LAMC3	6	0.228	0.038
ACE	TRIM9	5	0.935	0.187
ACE	MYOG	6	0.142	0.0236666666666667
KAPCA	TAF9B	3	0.319	0.106333333333333
KAPCA	VSIG4	5	0.151	0.0302
KAPCA	CHMP3	3	0.118	0.0393333333333333
KAPCA	TFEC	4	0.273	0.06825
KAPCA	MKRN3	4	0.578	0.1445
KAPCA	SCYL2	6	1.043	0.173833333333333
KAPCA	TAF1A	4	0.085	0.02125
KAPCA	ABCC8	4	0.156	0.039
KAPCA	SIX1	4	0.591	0.14775
KAPCA	CCR10	3	0.143	0.0476666666666667
KAPCA	IL26	5	0.681	0.1362
KAPCA	RIPK4	3	0.355	0.118333333333333
KAPCA	HEXB	6	0.628	0.104666666666667
KAPCA	HOOK1	5	0.302	0.0604
KAPCA	TSC1	6	0.079	0.0131666666666667
KAPCA	GIT1	7	0.104	0.0148571428571429
KAPCA	SENP7	4	0.468	0.117
KAPCA	GDF15	3	0.127	0.0423333333333333
KAPCA	BIRC3	3	0.218	0.0726666666666667
KAPCA	NAV3	7	0.551	0.0787142857142857
KAPCA	NR1I3	4	0.29	0.0725
KAPCA	VRK2	3	0.476	0.158666666666667
KAPCA	LAMC3	7	0.226	0.0322857142857143
KAPCA	TRIM9	4	0.69	0.1725
KAPCA	MYOG	3	0.146	0.0486666666666667
NTKL	TAF9B	4	0.431	0.10775
NTKL	VSIG4	5	0.284	0.0568
NTKL	CHMP3	4	0.283	0.07075
NTKL	TFEC	5	0.385	0.077
NTKL	MKRN3	5	0.69	0.138
NTKL	SCYL2	5	0.913	0.1826
NTKL	TAF1A	5	0.232	0.0464
NTKL	ABCC8	5	0.261	0.0522
NTKL	SIX1	7	0.759	0.108428571428571
NTKL	CCR10	9	0.301	0.0334444444444444
NTKL	IL26	6	0.681	0.1135
NTKL	RIPK4	4	0.344	0.086
NTKL	HEXB	6	0.493	0.0821666666666667
NTKL	HOOK1	8	0.446	0.05575
NTKL	TSC1	6	0.21	0.035
NTKL	GIT1	4	0.222	0.0555
NTKL	SENP7	5	0.58	0.116
NTKL	GDF15	4	0.239	0.05975
NTKL	BIRC3	6	0.285	0.0475
NTKL	NAV3	6	0.681	0.1135
NTKL	NR1I3	5	0.342	0.0684
NTKL	VRK2	4	0.588	0.147
NTKL	LAMC3	6	0.342	0.057
NTKL	TRIM9	7	0.858	0.122571428571429
NTKL	MYOG	5	0.277	0.0554
CALM	TAF9B	3	0.311	0.103666666666667
CALM	VSIG4	4	0.143	0.03575
CALM	CHMP3	5	0.122	0.0244
CALM	TFEC	4	0.265	0.06625
CALM	MKRN3	4	0.57	0.1425
CALM	SCYL2	4	0.793	0.19825
CALM	TAF1A	4	0.086	0.0215
CALM	ABCC8	2	0.092	0.046
CALM	SIX1	3	0.483	0.161
CALM	CCR10	6	0.144	0.024
CALM	IL26	5	0.669	0.1338
CALM	RIPK4	2	0.168	0.084
CALM	HEXB	4	0.447	0.11175
CALM	HOOK1	5	0.303	0.0606
CALM	TSC1	3	0.041	0.0136666666666667
CALM	GIT1	4	0.069	0.01725
CALM	SENP7	4	0.46	0.115
CALM	GDF15	3	0.119	0.0396666666666667
CALM	BIRC3	1	0.148	0.148
CALM	NAV3	2	0.44	0.22
CALM	NR1I3	4	0.282	0.0705
CALM	VRK2	3	0.468	0.156
CALM	LAMC3	4	0.191	0.04775
CALM	TRIM9	3	0.582	0.194
CALM	MYOG	2	0.108	0.054
ACHA4	TAF9B	5	0.408	0.0816
ACHA4	VSIG4	5	0.244	0.0488
ACHA4	CHMP3	5	0.242	0.0484
ACHA4	TFEC	6	0.362	0.0603333333333333
ACHA4	MKRN3	6	0.667	0.111166666666667
ACHA4	SCYL2	4	0.884	0.221
ACHA4	TAF1A	4	0.168	0.042
ACHA4	ABCC8	5	0.235	0.047
ACHA4	SIX1	6	0.736	0.122666666666667
ACHA4	CCR10	5	0.25	0.05
ACHA4	IL26	4	0.776	0.194
ACHA4	RIPK4	4	0.322	0.0805
ACHA4	HEXB	6	0.591	0.0985
ACHA4	HOOK1	6	0.419	0.0698333333333333
ACHA4	TSC1	6	0.172	0.0286666666666667
ACHA4	GIT1	7	0.197	0.0281428571428571
ACHA4	SENP7	6	0.557	0.0928333333333333
ACHA4	GDF15	5	0.216	0.0432
ACHA4	BIRC3	5	0.297	0.0594
ACHA4	NAV3	4	0.618	0.1545
ACHA4	NR1I3	6	0.379	0.0631666666666667
ACHA4	VRK2	5	0.565	0.113
ACHA4	LAMC3	6	0.317	0.0528333333333333
ACHA4	TRIM9	6	0.835	0.139166666666667
ACHA4	MYOG	5	0.238	0.0476
ANXA2	TAF9B	2	0.368	0.184
ANXA2	VSIG4	4	0.18	0.045
ANXA2	CHMP3	4	0.14	0.035
ANXA2	TFEC	3	0.322	0.107333333333333
ANXA2	MKRN3	3	0.627	0.209
ANXA2	SCYL2	4	1.002	0.2505
ANXA2	TAF1A	3	0.169	0.0563333333333333
ANXA2	ABCC8	3	0.151	0.0503333333333333
ANXA2	SIX1	5	0.948	0.1896
ANXA2	CCR10	6	0.162	0.027
ANXA2	IL26	3	0.662	0.220666666666667
ANXA2	RIPK4	2	0.28	0.14
ANXA2	HEXB	3	0.351	0.117
ANXA2	HOOK1	6	0.442	0.0736666666666667
ANXA2	TSC1	5	0.079	0.0158
ANXA2	GIT1	4	0.081	0.02025
ANXA2	SENP7	3	0.517	0.172333333333333
ANXA2	GDF15	2	0.176	0.088
ANXA2	BIRC3	3	0.143	0.0476666666666667
ANXA2	NAV3	4	0.528	0.132
ANXA2	NR1I3	3	0.339	0.113
ANXA2	VRK2	2	0.525	0.2625
ANXA2	LAMC3	4	0.203	0.05075
ANXA2	TRIM9	4	0.91	0.2275
ANXA2	MYOG	6	0.15	0.025
AURKB	TAF9B	3	0.307	0.102333333333333
AURKB	VSIG4	6	0.182	0.0303333333333333
AURKB	CHMP3	2	0.09	0.045
AURKB	TFEC	4	0.261	0.06525
AURKB	MKRN3	4	0.566	0.1415
AURKB	SCYL2	8	1.002	0.12525
AURKB	TAF1A	4	0.108	0.027
AURKB	ABCC8	3	0.152	0.0506666666666667
AURKB	SIX1	2	0.425	0.2125
AURKB	CCR10	5	0.161	0.0322
AURKB	IL26	4	0.717	0.17925
AURKB	RIPK4	5	0.314	0.0628
AURKB	HEXB	6	0.577	0.0961666666666667
AURKB	HOOK1	8	0.375	0.046875
AURKB	TSC1	5	0.065	0.013
AURKB	GIT1	5	0.097	0.0194
AURKB	SENP7	2	0.426	0.213
AURKB	GDF15	3	0.115	0.0383333333333333
AURKB	BIRC3	4	0.232	0.058
AURKB	NAV3	4	0.555	0.13875
AURKB	NR1I3	4	0.278	0.0695
AURKB	VRK2	3	0.464	0.154666666666667
AURKB	LAMC3	6	0.191	0.0318333333333333
AURKB	TRIM9	4	0.639	0.15975
AURKB	MYOG	4	0.136	0.034
GNAT3	TAF9B	5	0.522	0.1044
GNAT3	VSIG4	3	0.21	0.07
GNAT3	CHMP3	5	0.23	0.046
GNAT3	TFEC	6	0.476	0.0793333333333333
GNAT3	MKRN3	6	0.781	0.130166666666667
GNAT3	SCYL2	6	0.892	0.148666666666667
GNAT3	TAF1A	4	0.297	0.07425
GNAT3	ABCC8	3	0.197	0.0656666666666667
GNAT3	SIX1	6	0.687	0.1145
GNAT3	CCR10	3	0.205	0.0683333333333333
GNAT3	IL26	4	0.825	0.20625
GNAT3	RIPK4	4	0.399	0.09975
GNAT3	HEXB	6	0.999	0.1665
GNAT3	HOOK1	6	0.443	0.0738333333333333
GNAT3	TSC1	4	0.152	0.038
GNAT3	GIT1	5	0.192	0.0384
GNAT3	SENP7	6	0.671	0.111833333333333
GNAT3	GDF15	5	0.33	0.066
GNAT3	BIRC3	5	0.364	0.0728
GNAT3	NAV3	4	0.587	0.14675
GNAT3	NR1I3	4	0.475	0.11875
GNAT3	VRK2	5	0.679	0.1358
GNAT3	LAMC3	6	0.341	0.0568333333333333
GNAT3	TRIM9	4	0.944	0.236
GNAT3	MYOG	3	0.213	0.071
CA2D1	TAF9B	4	0.655	0.16375
CA2D1	VSIG4	6	0.374	0.0623333333333333
CA2D1	CHMP3	5	0.25	0.05
CA2D1	TFEC	5	0.609	0.1218
CA2D1	MKRN3	5	0.914	0.1828
CA2D1	SCYL2	7	0.914	0.130571428571429
CA2D1	TAF1A	5	0.456	0.0912
CA2D1	ABCC8	3	0.21	0.07
CA2D1	SIX1	6	0.84	0.14
CA2D1	CCR10	5	0.275	0.055
CA2D1	IL26	6	0.943	0.157166666666667
CA2D1	RIPK4	3	0.532	0.177333333333333
CA2D1	HEXB	4	0.664	0.166
CA2D1	HOOK1	6	0.706	0.117666666666667
CA2D1	TSC1	5	0.212	0.0424
CA2D1	GIT1	6	0.311	0.0518333333333333
CA2D1	SENP7	5	0.804	0.1608
CA2D1	GDF15	4	0.463	0.11575
CA2D1	BIRC3	4	0.507	0.12675
CA2D1	NAV3	4	0.563	0.14075
CA2D1	NR1I3	5	0.626	0.1252
CA2D1	VRK2	4	0.812	0.203
CA2D1	LAMC3	6	0.433	0.0721666666666667
CA2D1	TRIM9	5	0.983	0.1966
CA2D1	MYOG	6	0.293	0.0488333333333333
CAH4	TAF9B	6	0.773	0.128833333333333
CAH4	VSIG4	6	0.739	0.123166666666667
CAH4	CHMP3	4	0.411	0.10275
CAH4	TFEC	7	0.907	0.129571428571429
CAH4	MKRN3	4	0.794	0.1985
CAH4	SCYL2	6	1.075	0.179166666666667
CAH4	TAF1A	10	0.987	0.0987
CAH4	ABCC8	6	0.751	0.125166666666667
CAH4	SIX1	6	0.837	0.1395
CAH4	CCR10	5	0.433	0.0866
CAH4	IL26	5	1.045	0.209
CAH4	RIPK4	5	0.909	0.1818
CAH4	HEXB	5	0.915	0.183
CAH4	HOOK1	10	1.079	0.1079
CAH4	TSC1	4	0.337	0.08425
CAH4	GIT1	4	0.42	0.105
CAH4	SENP7	7	0.983	0.140428571428571
CAH4	GDF15	9	0.994	0.110444444444444
CAH4	BIRC3	5	0.707	0.1414
CAH4	NAV3	5	0.917	0.1834
CAH4	NR1I3	4	0.679	0.16975
CAH4	VRK2	6	0.551	0.0918333333333333
CAH4	LAMC3	4	0.629	0.15725
CAH4	TRIM9	6	1.232	0.205333333333333
CAH4	MYOG	5	0.421	0.0842
AK1C1	TAF9B	5	0.867	0.1734
AK1C1	VSIG4	7	0.43	0.0614285714285714
AK1C1	CHMP3	6	0.302	0.0503333333333333
AK1C1	TFEC	6	0.821	0.136833333333333
AK1C1	MKRN3	6	0.93	0.155
AK1C1	SCYL2	8	0.966	0.12075
AK1C1	TAF1A	6	0.523	0.0871666666666667
AK1C1	ABCC8	4	0.264	0.066
AK1C1	SIX1	7	0.855	0.122142857142857
AK1C1	CCR10	7	0.323	0.0461428571428571
AK1C1	IL26	5	1.025	0.205
AK1C1	RIPK4	3	0.683	0.227666666666667
AK1C1	HEXB	4	0.796	0.199
AK1C1	HOOK1	6	0.733	0.122166666666667
AK1C1	TSC1	5	0.219	0.0438
AK1C1	GIT1	5	0.352	0.0704
AK1C1	SENP7	7	0.961	0.137285714285714
AK1C1	GDF15	4	0.622	0.1555
AK1C1	BIRC3	4	0.588	0.147
AK1C1	NAV3	6	0.688	0.114666666666667
AK1C1	NR1I3	2	0.144	0.072
AK1C1	VRK2	6	0.728	0.121333333333333
AK1C1	LAMC3	8	0.584	0.073
AK1C1	TRIM9	6	1.217	0.202833333333333
AK1C1	MYOG	4	0.28	0.07
ROCK1	TAF9B	6	0.977	0.162833333333333
ROCK1	VSIG4	5	0.294	0.0588
ROCK1	CHMP3	5	0.198	0.0396
ROCK1	TFEC	7	0.931	0.133
ROCK1	MKRN3	5	0.815	0.163
ROCK1	SCYL2	7	0.862	0.123142857142857
ROCK1	TAF1A	5	0.408	0.0816
ROCK1	ABCC8	5	0.243	0.0486
ROCK1	SIX1	5	0.654	0.1308
ROCK1	CCR10	6	0.219	0.0365
ROCK1	IL26	4	0.686	0.1715
ROCK1	RIPK4	3	0.662	0.220666666666667
ROCK1	HEXB	6	0.979	0.163166666666667
ROCK1	HOOK1	6	0.628	0.104666666666667
ROCK1	TSC1	5	0.136	0.0272
ROCK1	GIT1	4	0.158	0.0395
ROCK1	SENP7	5	0.76	0.152
ROCK1	GDF15	5	0.728	0.1456
ROCK1	BIRC3	2	0.271	0.1355
ROCK1	NAV3	5	0.649	0.1298
ROCK1	NR1I3	3	0.758	0.252666666666667
ROCK1	VRK2	4	0.75	0.1875
ROCK1	LAMC3	6	0.278	0.0463333333333333
ROCK1	TRIM9	4	0.883	0.22075
ROCK1	MYOG	6	0.207	0.0345
CHLE	TAF9B	4	0.519	0.12975
CHLE	VSIG4	4	0.161	0.04025
CHLE	CHMP3	4	0.167	0.04175
CHLE	TFEC	6	0.666	0.111
CHLE	MKRN3	4	0.582	0.1455
CHLE	SCYL2	6	0.831	0.1385
CHLE	TAF1A	4	0.175	0.04375
CHLE	ABCC8	2	0.115	0.0575
CHLE	SIX1	5	0.507	0.1014
CHLE	CCR10	5	0.181	0.0362
CHLE	IL26	6	0.746	0.124333333333333
CHLE	RIPK4	4	0.938	0.2345
CHLE	HEXB	3	0.926	0.308666666666667
CHLE	HOOK1	6	0.423	0.0705
CHLE	TSC1	3	0.07	0.0233333333333333
CHLE	GIT1	6	0.114	0.019
CHLE	SENP7	5	0.613	0.1226
