source	dest	edges	cum_dist	avg_dist_per_edge
ACE	GNL1	4	0.241	0.06025
ACE	CNNM4	5	0.887	0.1774
ACE	APOD	4	0.417	0.10425
ACE	PZP	4	0.17	0.0425
ACE	TLR5	3	0.909	0.303
ACE	MYH3	4	0.788	0.197
ACE	VWF	2	0.128	0.064
ACE	MAT2B	5	0.265	0.053
ACE	SPAG5	4	0.228	0.057
ACE	SFTPD	3	0.373	0.124333333333333
ACE	GSTM5	2	0.21	0.105
ACE	FGF21	4	0.247	0.06175
ACE	FMO1	3	0.233	0.0776666666666667
ACE	FEZF2	3	0.678	0.226
ACE	REL	5	0.085	0.017
ACE	TTLL1	5	0.548	0.1096
ACE	MSL2	4	0.149	0.03725
ACE	TEX12	4	0.23	0.0575
ACE	ATG2B	4	0.637	0.15925
KAPCA	GNL1	6	0.326	0.0543333333333333
KAPCA	CNNM4	4	0.904	0.226
KAPCA	APOD	6	0.683	0.113833333333333
KAPCA	PZP	4	0.282	0.0705
KAPCA	TLR5	5	0.913	0.1826
KAPCA	MYH3	2	0.394	0.197
KAPCA	VWF	7	0.201	0.0287142857142857
KAPCA	MAT2B	4	0.23	0.0575
KAPCA	SPAG5	4	0.213	0.05325
KAPCA	SFTPD	3	0.229	0.0763333333333333
KAPCA	GSTM5	5	0.54	0.108
KAPCA	FGF21	4	0.402	0.1005
KAPCA	FMO1	7	0.231	0.033
KAPCA	FEZF2	3	0.742	0.247333333333333
KAPCA	REL	4	0.081	0.02025
KAPCA	TTLL1	5	0.443	0.0886
KAPCA	MSL2	4	0.134	0.0335
KAPCA	TEX12	4	0.215	0.05375
KAPCA	ATG2B	5	0.635	0.127
NTKL	GNL1	6	0.406	0.0676666666666667
NTKL	CNNM4	7	0.659	0.0941428571428572
NTKL	APOD	7	0.672	0.096
NTKL	PZP	7	0.395	0.0564285714285714
NTKL	TLR5	4	0.732	0.183
NTKL	MYH3	6	0.637	0.106166666666667
NTKL	VWF	4	0.261	0.06525
NTKL	MAT2B	6	0.396	0.066
NTKL	SPAG5	5	0.325	0.065
NTKL	SFTPD	6	0.436	0.0726666666666667
NTKL	GSTM5	5	0.385	0.077
NTKL	FGF21	6	0.331	0.0551666666666667
NTKL	FMO1	6	0.363	0.0605
NTKL	FEZF2	6	0.921	0.1535
NTKL	REL	5	0.213	0.0426
NTKL	TTLL1	6	0.621	0.1035
NTKL	MSL2	5	0.246	0.0492
NTKL	TEX12	5	0.327	0.0654
NTKL	ATG2B	5	0.768	0.1536
CALM	GNL1	4	0.262	0.0655
CALM	CNNM4	4	0.867	0.21675
CALM	APOD	6	0.552	0.092
CALM	PZP	4	0.226	0.0565
CALM	TLR5	3	0.612	0.204
CALM	MYH3	1	0.178	0.178
CALM	VWF	3	0.141	0.047
CALM	MAT2B	4	0.231	0.05775
CALM	SPAG5	4	0.197	0.04925
CALM	SFTPD	3	0.23	0.0766666666666667
CALM	GSTM5	3	0.311	0.103666666666667
CALM	FGF21	4	0.212	0.053
CALM	FMO1	6	0.223	0.0371666666666667
CALM	FEZF2	5	0.698	0.1396
CALM	REL	3	0.048	0.016
