source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ESRP1	4	0.567	0.14175
ACE	DHX58	5	0.54	0.108
ACE	P2RX5	6	0.541	0.0901666666666667
ACE	FOSB	3	0.152	0.0506666666666667
ACE	NOL8	6	0.522	0.087
ACE	RFX3	6	0.894	0.149
ACE	CCR10	6	0.154	0.0256666666666667
ACE	ARSE	7	0.636	0.0908571428571429
ACE	DAAM1	4	0.397	0.09925
ACE	EMR1	3	0.954	0.318
ACE	ZFP37	4	0.816	0.204
ACE	TRIM5	4	0.621	0.15525
ACE	CASD1	4	0.277	0.06925
ACE	BST2	5	0.527	0.1054
ACE	WNT3	6	0.596	0.0993333333333333
KAPCA	ESRP1	4	0.624	0.156
KAPCA	DHX58	4	0.536	0.134
KAPCA	P2RX5	6	0.535	0.0891666666666667
KAPCA	FOSB	4	0.143	0.03575
KAPCA	NOL8	5	0.539	0.1078
KAPCA	RFX3	3	0.665	0.221666666666667
KAPCA	CCR10	3	0.143	0.0476666666666667
KAPCA	ARSE	7	0.633	0.0904285714285714
KAPCA	DAAM1	6	0.401	0.0668333333333333
KAPCA	EMR1	3	0.455	0.151666666666667
KAPCA	ZFP37	4	0.801	0.20025
KAPCA	TRIM5	3	0.803	0.267666666666667
KAPCA	CASD1	7	0.376	0.0537142857142857
KAPCA	BST2	4	0.559	0.13975
KAPCA	WNT3	4	0.497	0.12425
NTKL	ESRP1	6	0.633	0.1055
NTKL	DHX58	7	0.624	0.0891428571428571
NTKL	P2RX5	6	0.635	0.105833333333333
NTKL	FOSB	7	0.272	0.0388571428571429
NTKL	NOL8	6	0.635	0.105833333333333
NTKL	RFX3	4	0.764	0.191
NTKL	CCR10	9	0.301	0.0334444444444444
NTKL	ARSE	7	0.754	0.107714285714286
NTKL	DAAM1	6	0.481	0.0801666666666667
NTKL	EMR1	6	0.618	0.103
NTKL	ZFP37	5	0.913	0.1826
NTKL	TRIM5	4	0.593	0.14825
NTKL	CASD1	6	0.36	0.06
NTKL	BST2	7	0.611	0.0872857142857143
NTKL	WNT3	6	0.626	0.104333333333333
CALM	ESRP1	4	0.532	0.133
CALM	DHX58	5	0.505	0.101
CALM	P2RX5	4	0.505	0.12625
CALM	FOSB	4	0.144	0.036
CALM	NOL8	4	0.498	0.1245
CALM	RFX3	3	0.666	0.222
CALM	CCR10	6	0.144	0.024
CALM	ARSE	4	0.585	0.14625
CALM	DAAM1	2	0.355	0.1775
CALM	EMR1	4	0.967	0.24175
CALM	ZFP37	4	0.793	0.19825
CALM	TRIM5	3	0.871	0.290333333333333
CALM	CASD1	3	0.241	0.0803333333333333
CALM	BST2	5	0.492	0.0984
CALM	WNT3	5	0.506	0.1012
ACHA4	ESRP1	4	0.624	0.156
ACHA4	DHX58	5	0.597	0.1194
ACHA4	P2RX5	6	0.611	0.101833333333333
