source	dest	edges	cum_dist	avg_dist_per_edge
ACE	OR3A1	4	0.242	0.0605
ACE	OVGP1	3	0.546	0.182
ACE	ZMYM6	5	0.295	0.059
ACE	CHST7	4	0.316	0.079
ACE	HAUS2	5	0.711	0.1422
ACE	DDR2	4	0.431	0.10775
ACE	BCL7C	4	0.523	0.13075
ACE	ARRB2	4	0.147	0.03675
ACE	ASH2L	4	0.646	0.1615
ACE	ILKAP	4	0.87	0.2175
ACE	SDC4	3	0.183	0.061
ACE	UFM1	4	0.486	0.1215
ACE	UCK2	4	0.267	0.06675
ACE	TRHDE	5	0.933	0.1866
ACE	WLS	6	0.39	0.065
ACE	UBA1	4	0.389	0.09725
ACE	STX5	4	0.426	0.1065
ACE	GSTP1	3	0.51	0.17
ACE	TLR3	3	0.201	0.067
ACE	WNT3	6	0.356	0.0593333333333333
KAPCA	OR3A1	3	0.259	0.0863333333333333
KAPCA	OVGP1	4	0.562	0.1405
KAPCA	ZMYM6	5	0.394	0.0788
KAPCA	CHST7	4	0.301	0.07525
KAPCA	HAUS2	4	0.466	0.1165
KAPCA	DDR2	4	0.416	0.104
KAPCA	BCL7C	4	0.508	0.127
KAPCA	ARRB2	3	0.164	0.0546666666666667
KAPCA	ASH2L	4	0.874	0.2185
KAPCA	ILKAP	5	0.827	0.1654
KAPCA	SDC4	3	0.216	0.072
KAPCA	UFM1	5	0.484	0.0968
KAPCA	UCK2	3	0.284	0.0946666666666667
KAPCA	TRHDE	4	0.688	0.172
KAPCA	WLS	5	0.407	0.0814
KAPCA	UBA1	4	0.382	0.0955
KAPCA	STX5	5	0.432	0.0864
KAPCA	GSTP1	4	0.467	0.11675
KAPCA	TLR3	3	0.342	0.114
KAPCA	WNT3	5	0.373	0.0746
NTKL	OR3A1	5	0.446	0.0892
NTKL	OVGP1	4	0.656	0.164
NTKL	ZMYM6	7	0.46	0.0657142857142857
NTKL	CHST7	5	0.413	0.0826
NTKL	HAUS2	7	0.634	0.0905714285714286
NTKL	DDR2	5	0.528	0.1056
NTKL	BCL7C	5	0.62	0.124
NTKL	ARRB2	4	0.279	0.06975
NTKL	ASH2L	5	0.743	0.1486
NTKL	ILKAP	4	0.697	0.17425
NTKL	SDC4	6	0.286	0.0476666666666667
NTKL	UFM1	5	0.617	0.1234
NTKL	UCK2	6	0.509	0.0848333333333333
NTKL	TRHDE	7	0.856	0.122285714285714
