source	destinations_disconnected_to
ACE	IFT46	REEP2
KAPCA	IFT46	REEP2
NTKL	IFT46	REEP2
CALM	IFT46	REEP2
ACHA4	IFT46	REEP2
ANXA2	IFT46	REEP2
AURKB	IFT46	REEP2
GNAT3	IFT46	REEP2
CA2D1	IFT46	REEP2
CAH4	IFT46	REEP2
AK1C1	IFT46	REEP2
ROCK1	IFT46	REEP2
CHLE	IFT46	REEP2
J3QK85	IFT46	REEP2
ZAP70	IFT46	REEP2
UD14	IFT46	REEP2
S12A2	IFT46	REEP2
EST1A	IFT46	REEP2
VKOR1	IFT46	REEP2
XDH	IFT46	REEP2
ACHB4	IFT46	REEP2
RLP24	IFT46	REEP2
EDN1	IFT46	REEP2
GBRB3	IFT46	REEP2
TKT	IFT46	REEP2
NEU2	IFT46	REEP2
3HAO	IFT46	REEP2
RL10L	IFT46	REEP2
ADA1D	IFT46	REEP2
CANB2	IFT46	REEP2
KAP3	IFT46	REEP2
PANX1	IFT46	REEP2
ST2A1	IFT46	REEP2
UPP2	IFT46	REEP2
AK1D1	IFT46	REEP2
CAC1A	IFT46	REEP2
CUBN	IFT46	REEP2
THA	IFT46	REEP2
TBB5	IFT46	REEP2
CATA	IFT46	REEP2
RL3	IFT46	REEP2
PA2GE	IFT46	REEP2
HRH2	IFT46	REEP2
ATTY	IFT46	REEP2
S29A2	IFT46	REEP2
GBRT	IFT46	REEP2
ACHA3	IFT46	REEP2
CDK6	IFT46	REEP2
5HT7R	IFT46	REEP2
ADRB1	IFT46	REEP2
CP11A	IFT46	REEP2
CSK	IFT46	REEP2
5HT3A	IFT46	REEP2
AT12A	IFT46	REEP2
IOD3	IFT46	REEP2
PGFRA	IFT46	REEP2
A1AG1	IFT46	REEP2
TNFA	IFT46	REEP2
NFAC2	IFT46	REEP2
NOS2	IFT46	REEP2
5HT2B	IFT46	REEP2
HS90A	IFT46	REEP2
LCK	IFT46	REEP2
ADCYA	IFT46	REEP2
HS90B	IFT46	REEP2
ADA2A	IFT46	REEP2
CACP	IFT46	REEP2
RARA	IFT46	REEP2
PYC	IFT46	REEP2
CATL1	IFT46	REEP2
ACHA9	IFT46	REEP2
NH2L1	IFT46	REEP2
AAKB2	IFT46	REEP2
DCXR	IFT46	REEP2
CXCL7	IFT46	REEP2
KCNE1	IFT46	REEP2
B3GT4	IFT46	REEP2
ACES	IFT46	REEP2
SCNNG	IFT46	REEP2
HASP	IFT46	REEP2
MMP3	IFT46	REEP2
MET	IFT46	REEP2
AA2BR	IFT46	REEP2
PDE8A	IFT46	REEP2
5HT2C	IFT46	REEP2
AK1C3	IFT46	REEP2
OSTCN	IFT46	REEP2
NMD3B	IFT46	REEP2
CDK5	IFT46	REEP2
PPARA	IFT46	REEP2
DRD2	IFT46	REEP2
VGFR2	IFT46	REEP2
CP1A2	IFT46	REEP2
NGF	IFT46	REEP2
GBRA6	IFT46	REEP2
ACHA7	IFT46	REEP2
CP2C9	IFT46	REEP2
TBA1A	IFT46	REEP2
IL2RA	IFT46	REEP2
PPB1	IFT46	REEP2
PD2R	IFT46	REEP2
Q71TU5	IFT46	REEP2
DCE1	IFT46	REEP2
GBRG1	IFT46	REEP2
FGFR2	IFT46	REEP2
IMPA1	IFT46	REEP2
ACM2	IFT46	REEP2
IL8	IFT46	REEP2
5HT6R	IFT46	REEP2
KPCT	IFT46	REEP2
AOC1	IFT46	REEP2
PCNA	IFT46	REEP2
KSYK	IFT46	REEP2
CAH9	IFT46	REEP2
RL11	IFT46	REEP2
CACB3	IFT46	REEP2
HMDH	IFT46	REEP2
GBRA4	IFT46	REEP2
KIT	IFT46	REEP2
AOFA	IFT46	REEP2
NEP	IFT46	REEP2
GLYC	IFT46	REEP2
NCOA2	IFT46	REEP2
5HT1E	IFT46	REEP2
TBA4A	IFT46	REEP2
METH	IFT46	REEP2
LDHA	IFT46	REEP2
MK08	IFT46	REEP2
IGHG4	IFT46	REEP2
CP2CJ	IFT46	REEP2
RXRA	IFT46	REEP2
PA2GA	IFT46	REEP2
CP131	IFT46	REEP2
ACACB	IFT46	REEP2
PTHY	IFT46	REEP2
IL10	IFT46	REEP2
CAH2	IFT46	REEP2
OPRD	IFT46	REEP2
AAPK1	IFT46	REEP2
PDPK1	IFT46	REEP2
ADRB3	IFT46	REEP2
C11B1	IFT46	REEP2
GBRP	IFT46	REEP2
ROCK2	IFT46	REEP2
RL8	IFT46	REEP2
ADCY2	IFT46	REEP2
PHOP2	IFT46	REEP2
CAH12	IFT46	REEP2
S10A4	IFT46	REEP2
GRIK1	IFT46	REEP2
CBG	IFT46	REEP2
PRGR	IFT46	REEP2
HCAR2	IFT46	REEP2
DNMT1	IFT46	REEP2
PGH2	IFT46	REEP2
CAC1F	IFT46	REEP2
ADA2C	IFT46	REEP2
S15A1	IFT46	REEP2
ADA1A	IFT46	REEP2
A1AG2	IFT46	REEP2
OX1R	IFT46	REEP2
KCMA1	IFT46	REEP2
NMDE3	IFT46	REEP2
HIBCH	IFT46	REEP2
IPKA	IFT46	REEP2
S22AI	IFT46	REEP2
S29A1	IFT46	REEP2
