source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MYEF2	3	0.27	0.09
ACE	CD63	2	0.144	0.072
ACE	SDF2	6	0.952	0.158666666666667
ACE	GIP	3	0.192	0.064
ACE	KCNA3	5	0.907	0.1814
ACE	ARPC5	4	0.479	0.11975
ACE	STRAP	3	0.263	0.0876666666666667
ACE	FIG4	4	0.224	0.056
ACE	BAG4	5	0.262	0.0524
ACE	CCNO	5	0.584	0.1168
ACE	ICK	3	0.559	0.186333333333333
ACE	RYR1	4	0.156	0.039
ACE	NRBF2	5	0.439	0.0878
ACE	HAND1	3	0.613	0.204333333333333
KAPCA	MYEF2	4	0.261	0.06525
KAPCA	CD63	6	0.3	0.05
KAPCA	SDF2	8	0.961	0.120125
KAPCA	GIP	6	0.22	0.0366666666666667
KAPCA	KCNA3	4	0.585	0.14625
KAPCA	ARPC5	5	0.436	0.0872
KAPCA	STRAP	4	0.254	0.0635
KAPCA	FIG4	5	0.389	0.0778
KAPCA	BAG4	4	0.287	0.07175
KAPCA	CCNO	5	0.58	0.116
KAPCA	ICK	4	0.584	0.146
KAPCA	RYR1	7	0.191	0.0272857142857143
KAPCA	NRBF2	6	0.437	0.0728333333333333
KAPCA	HAND1	1	0.381	0.381
NTKL	MYEF2	6	0.434	0.0723333333333333
NTKL	CD63	5	0.339	0.0678
NTKL	SDF2	7	0.894	0.127714285714286
NTKL	GIP	6	0.331	0.0551666666666667
NTKL	KCNA3	7	0.792	0.113142857142857
NTKL	ARPC5	4	0.306	0.0765
NTKL	STRAP	7	0.423	0.0604285714285714
NTKL	FIG4	6	0.308	0.0513333333333333
NTKL	BAG4	6	0.289	0.0481666666666667
NTKL	CCNO	6	0.701	0.116833333333333
NTKL	ICK	5	0.599	0.1198
NTKL	RYR1	6	0.321	0.0535
NTKL	NRBF2	5	0.567	0.1134
NTKL	HAND1	6	0.777	0.1295
CALM	MYEF2	4	0.262	0.0655
CALM	CD63	4	0.219	0.05475
CALM	SDF2	7	0.941	0.134428571428571
CALM	GIP	3	0.165	0.055
CALM	KCNA3	4	0.586	0.1465
CALM	ARPC5	3	0.186	0.062
CALM	STRAP	5	0.227	0.0454
CALM	FIG4	4	0.189	0.04725
CALM	BAG4	3	0.179	0.0596666666666667
CALM	CCNO	5	0.574	0.1148
CALM	ICK	2	0.429	0.2145
CALM	RYR1	2	0.08	0.04
CALM	NRBF2	3	0.402	0.134
CALM	HAND1	4	0.605	0.15125
ACHA4	MYEF2	4	0.344	0.086
ACHA4	CD63	5	0.317	0.0634
ACHA4	SDF2	7	0.868	0.124
ACHA4	GIP	4	0.304	0.076
ACHA4	KCNA3	5	0.745	0.149
ACHA4	ARPC5	4	0.34	0.085
ACHA4	STRAP	4	0.337	0.08425
ACHA4	FIG4	4	0.281	0.07025
ACHA4	BAG4	5	0.319	0.0638
ACHA4	CCNO	6	0.675	0.1125
