source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ERMAP	3	0.603	0.201
ACE	TREM2	5	0.179	0.0358
ACE	TAF11	3	0.09	0.03
ACE	CCNL1	8	0.799	0.099875
ACE	LYPD3	6	0.774	0.129
ACE	COG2	4	0.264	0.066
ACE	TRPV4	4	0.139	0.03475
ACE	LUZP4	4	0.937	0.23425
ACE	P2RY2	2	0.075	0.0375
ACE	ZW10	6	0.144	0.024
ACE	IMPA2	4	0.183	0.04575
ACE	FMO1	3	0.233	0.0776666666666667
ACE	ENDOU	6	0.537	0.0895
ACE	MYO1D	6	0.9	0.15
ACE	PARP1	3	0.109	0.0363333333333333
ACE	ACAD8	3	0.65	0.216666666666667
ACE	NR1I3	2	0.167	0.0835
ACE	BAALC	4	0.518	0.1295
ACE	CDC45	6	0.648	0.108
KAPCA	ERMAP	4	0.747	0.18675
KAPCA	TREM2	6	0.194	0.0323333333333333
KAPCA	TAF11	4	0.081	0.02025
KAPCA	CCNL1	5	0.656	0.1312
KAPCA	LYPD3	7	0.772	0.110285714285714
KAPCA	COG2	6	0.349	0.0581666666666667
KAPCA	TRPV4	5	0.137	0.0274
KAPCA	LUZP4	7	1.045	0.149285714285714
KAPCA	P2RY2	5	0.127	0.0254
KAPCA	ZW10	4	0.13	0.0325
KAPCA	IMPA2	7	0.213	0.0304285714285714
KAPCA	FMO1	7	0.231	0.033
KAPCA	ENDOU	7	0.535	0.0764285714285714
KAPCA	MYO1D	4	0.837	0.20925
KAPCA	PARP1	3	0.105	0.035
KAPCA	ACAD8	5	0.654	0.1308
KAPCA	NR1I3	4	0.29	0.0725
KAPCA	BAALC	4	0.503	0.12575
KAPCA	CDC45	3	0.505	0.168333333333333
NTKL	ERMAP	5	0.736	0.1472
NTKL	TREM2	5	0.292	0.0584
NTKL	TAF11	5	0.228	0.0456
NTKL	CCNL1	8	0.523	0.065375
NTKL	LYPD3	6	0.902	0.150333333333333
NTKL	COG2	7	0.454	0.0648571428571429
NTKL	TRPV4	4	0.267	0.06675
NTKL	LUZP4	10	0.912	0.0912
NTKL	P2RY2	4	0.257	0.06425
NTKL	ZW10	6	0.257	0.0428333333333333
NTKL	IMPA2	4	0.304	0.076
NTKL	FMO1	6	0.363	0.0605
