source	dest	edges	cum_dist	avg_dist_per_edge
ACE	PIN1	3	0.129	0.043
ACE	VASP	4	0.168	0.042
ACE	OR2B2	4	0.248	0.062
ACE	GNA12	3	0.131	0.0436666666666667
ACE	ABHD5	3	0.684	0.228
ACE	P2RX5	6	0.541	0.0901666666666667
ACE	RETN	2	0.219	0.1095
ACE	EFNA1	4	0.143	0.03575
ACE	MELK	4	0.176	0.044
ACE	GATA1	3	0.499	0.166333333333333
ACE	GBP1	3	0.17	0.0566666666666667
ACE	HESX1	5	0.237	0.0474
ACE	ORC1	5	0.988	0.1976
ACE	RRAGA	6	0.648	0.108
KAPCA	PIN1	3	0.114	0.038
KAPCA	VASP	3	0.149	0.0496666666666667
KAPCA	OR2B2	3	0.265	0.0883333333333333
KAPCA	GNA12	3	0.175	0.0583333333333333
KAPCA	ABHD5	5	0.688	0.1376
KAPCA	P2RX5	6	0.535	0.0891666666666667
KAPCA	RETN	3	0.21	0.07
KAPCA	EFNA1	4	0.128	0.032
KAPCA	MELK	4	0.161	0.04025
KAPCA	GATA1	2	0.254	0.127
KAPCA	GBP1	3	0.158	0.0526666666666667
KAPCA	HESX1	4	0.216	0.054
KAPCA	ORC1	4	0.743	0.18575
KAPCA	RRAGA	4	0.948	0.237
NTKL	PIN1	4	0.226	0.0565
NTKL	VASP	4	0.294	0.0735
NTKL	OR2B2	5	0.452	0.0904
NTKL	GNA12	5	0.284	0.0568
NTKL	ABHD5	5	0.533	0.1066
NTKL	P2RX5	6	0.635	0.105833333333333
NTKL	RETN	5	0.383	0.0766
NTKL	EFNA1	5	0.24	0.048
NTKL	MELK	5	0.273	0.0546
NTKL	GATA1	5	0.422	0.0844
NTKL	GBP1	4	0.267	0.06675
NTKL	HESX1	6	0.354	0.059
NTKL	ORC1	7	0.911	0.130142857142857
NTKL	RRAGA	7	0.779	0.111285714285714
CALM	PIN1	3	0.106	0.0353333333333333
CALM	VASP	3	0.148	0.0493333333333333
CALM	OR2B2	3	0.228	0.076
CALM	GNA12	4	0.164	0.041
CALM	ABHD5	4	0.891	0.22275
CALM	P2RX5	4	0.505	0.12625
CALM	RETN	3	0.211	0.0703333333333333
CALM	EFNA1	2	0.109	0.0545
CALM	MELK	4	0.153	0.03825
CALM	GATA1	3	0.659	0.219666666666667
CALM	GBP1	4	0.137	0.03425
CALM	HESX1	3	0.108	0.036
CALM	ORC1	2	0.555	0.2775
CALM	RRAGA	3	0.84	0.28
ACHA4	PIN1	5	0.203	0.0406
ACHA4	VASP	5	0.306	0.0612
ACHA4	OR2B2	4	0.429	0.10725
ACHA4	GNA12	4	0.255	0.06375
ACHA4	ABHD5	5	0.631	0.1262
ACHA4	P2RX5	6	0.611	0.101833333333333
ACHA4	RETN	3	0.293	0.0976666666666667
ACHA4	EFNA1	4	0.215	0.05375
ACHA4	MELK	6	0.25	0.0416666666666667
ACHA4	GATA1	4	0.399	0.09975
ACHA4	GBP1	4	0.244	0.061
ACHA4	HESX1	6	0.328	0.0546666666666667
ACHA4	ORC1	6	0.888	0.148
ACHA4	RRAGA	7	0.739	0.105571428571429
ANXA2	PIN1	2	0.163	0.0815
ANXA2	VASP	3	0.264	0.088
ANXA2	OR2B2	4	0.506	0.1265
ANXA2	GNA12	4	0.176	0.044
ANXA2	ABHD5	5	0.397	0.0794
ANXA2	P2RX5	4	0.517	0.12925
ANXA2	RETN	3	0.327	0.109
ANXA2	EFNA1	2	0.121	0.0605
ANXA2	MELK	3	0.21	0.07
ANXA2	GATA1	6	0.976	0.162666666666667
ANXA2	GBP1	4	0.149	0.03725
ANXA2	HESX1	5	0.264	0.0528
ANXA2	ORC1	4	0.441	0.11025
ANXA2	RRAGA	6	0.675	0.1125
AURKB	PIN1	3	0.102	0.034
AURKB	VASP	6	0.222	0.037
AURKB	OR2B2	6	0.445	0.0741666666666667
AURKB	GNA12	4	0.163	0.04075
AURKB	ABHD5	7	0.647	0.0924285714285714
AURKB	P2RX5	4	0.479	0.11975
AURKB	RETN	4	0.266	0.0665
