source	dest	edges	cum_dist	avg_dist_per_edge
ACE	KLC2	5	0.94	0.188
ACE	RAB25	6	0.351	0.0585
ACE	PLLP	3	0.943	0.314333333333333
ACE	OR2B2	4	0.248	0.062
ACE	RBL1	5	0.103	0.0206
ACE	RRAS2	3	0.201	0.067
ACE	MECR	4	0.303	0.07575
ACE	TBX21	3	0.119	0.0396666666666667
ACE	TENC1	4	0.479	0.11975
ACE	WDR70	4	0.671	0.16775
ACE	KLHL2	5	0.25	0.05
ACE	ISCU	4	0.484	0.121
ACE	CNTN1	3	0.176	0.0586666666666667
ACE	HOOK1	6	0.362	0.0603333333333333
ACE	ARSF	4	0.651	0.16275
ACE	MSL2	4	0.149	0.03725
KAPCA	KLC2	4	0.695	0.17375
KAPCA	RAB25	3	0.334	0.111333333333333
KAPCA	PLLP	6	0.842	0.140333333333333
KAPCA	OR2B2	3	0.265	0.0883333333333333
KAPCA	RBL1	6	0.101	0.0168333333333333
KAPCA	RRAS2	4	0.366	0.0915
KAPCA	MECR	5	0.301	0.0602
KAPCA	TBX21	4	0.11	0.0275
KAPCA	TENC1	4	0.61	0.1525
KAPCA	WDR70	5	0.669	0.1338
KAPCA	KLHL2	3	0.261	0.087
KAPCA	ISCU	4	0.469	0.11725
KAPCA	CNTN1	4	0.167	0.04175
KAPCA	HOOK1	5	0.302	0.0604
KAPCA	ARSF	5	0.649	0.1298
KAPCA	MSL2	4	0.134	0.0335
NTKL	KLC2	7	0.863	0.123285714285714
NTKL	RAB25	8	0.509	0.063625
NTKL	PLLP	5	0.792	0.1584
NTKL	OR2B2	5	0.452	0.0904
NTKL	RBL1	7	0.211	0.0301428571428571
NTKL	RRAS2	5	0.285	0.057
NTKL	MECR	5	0.434	0.0868
NTKL	TBX21	4	0.216	0.054
NTKL	TENC1	6	0.563	0.0938333333333333
NTKL	WDR70	5	0.802	0.1604
NTKL	KLHL2	8	0.397	0.049625
NTKL	ISCU	5	0.581	0.1162
NTKL	CNTN1	6	0.284	0.0473333333333333
NTKL	HOOK1	8	0.446	0.05575
NTKL	ARSF	5	0.782	0.1564
NTKL	MSL2	5	0.246	0.0492
CALM	KLC2	2	0.467	0.2335
CALM	RAB25	6	0.341	0.0568333333333333
CALM	PLLP	6	0.843	0.1405
CALM	OR2B2	3	0.228	0.076
CALM	RBL1	5	0.087	0.0174
CALM	RRAS2	3	0.166	0.0553333333333333
CALM	MECR	4	0.282	0.0705
CALM	TBX21	3	0.096	0.032
CALM	TENC1	4	0.444	0.111
CALM	WDR70	4	0.661	0.16525
CALM	KLHL2	5	0.24	0.048
CALM	ISCU	4	0.461	0.11525
CALM	CNTN1	5	0.157	0.0314
CALM	HOOK1	5	0.303	0.0606
CALM	ARSF	4	0.641	0.16025
CALM	MSL2	4	0.126	0.0315
ACHA4	KLC2	6	0.84	0.14
ACHA4	RAB25	8	0.471	0.058875
ACHA4	PLLP	5	0.89	0.178
ACHA4	OR2B2	4	0.429	0.10725
ACHA4	RBL1	6	0.194	0.0323333333333333
ACHA4	RRAS2	3	0.258	0.086
ACHA4	MECR	5	0.394	0.0788
ACHA4	TBX21	4	0.193	0.04825
ACHA4	TENC1	4	0.536	0.134
ACHA4	WDR70	5	0.762	0.1524
ACHA4	KLHL2	4	0.346	0.0865
ACHA4	ISCU	6	0.558	0.093
ACHA4	CNTN1	4	0.25	0.0625
ACHA4	HOOK1	6	0.419	0.0698333333333333
ACHA4	ARSF	5	0.742	0.1484
ACHA4	MSL2	6	0.223	0.0371666666666667
ANXA2	KLC2	5	0.78	0.156
ANXA2	RAB25	7	0.407	0.0581428571428571
ANXA2	PLLP	7	0.937	0.133857142857143
ANXA2	OR2B2	4	0.506	0.1265
ANXA2	RBL1	5	0.099	0.0198
ANXA2	RRAS2	3	0.373	0.124333333333333
ANXA2	MECR	4	0.33	0.0825
ANXA2	TBX21	4	0.227	0.05675
ANXA2	TENC1	4	0.627	0.15675
ANXA2	WDR70	4	0.698	0.1745
ANXA2	KLHL2	5	0.258	0.0516
ANXA2	ISCU	3	0.518	0.172666666666667
ANXA2	CNTN1	5	0.169	0.0338
ANXA2	HOOK1	6	0.442	0.0736666666666667
ANXA2	ARSF	2	0.665	0.3325
ANXA2	MSL2	3	0.183	0.061
AURKB	KLC2	4	0.644	0.161
AURKB	RAB25	7	0.364	0.052
AURKB	PLLP	5	0.842	0.1684
AURKB	OR2B2	6	0.445	0.0741666666666667
AURKB	RBL1	3	0.034	0.0113333333333333
AURKB	RRAS2	2	0.164	0.082
AURKB	MECR	6	0.332	0.0553333333333333
AURKB	TBX21	5	0.166	0.0332
AURKB	TENC1	5	0.566	0.1132
AURKB	WDR70	6	0.7	0.116666666666667
AURKB	KLHL2	2	0.19	0.095
AURKB	ISCU	4	0.457	0.11425
AURKB	CNTN1	4	0.128	0.032
AURKB	HOOK1	8	0.375	0.046875
AURKB	ARSF	6	0.68	0.113333333333333
AURKB	MSL2	4	0.122	0.0305
GNAT3	KLC2	8	0.934	0.11675
GNAT3	RAB25	5	0.53	0.106
GNAT3	PLLP	6	1.066	0.177666666666667
