source	dest	edges	cum_dist	avg_dist_per_edge
ACE	CDK12	4	0.872	0.218
ACE	OVGP1	3	0.546	0.182
ACE	PARP6	6	1.238	0.206333333333333
ACE	PTPRN	3	0.58	0.193333333333333
ACE	OR2H1	4	0.347	0.08675
ACE	RBM34	6	0.488	0.0813333333333333
ACE	GNA12	3	0.131	0.0436666666666667
ACE	PERP	3	0.138	0.046
ACE	PIGQ	4	0.189	0.04725
ACE	PNRC1	5	0.498	0.0996
ACE	TNMD	5	0.676	0.1352
ACE	SOX14	8	1.205	0.150625
ACE	ARSB	3	0.625	0.208333333333333
ACE	FEV	4	0.959	0.23975
ACE	KLF15	3	0.274	0.0913333333333333
ACE	ACADM	4	0.192	0.048
ACE	REL	5	0.085	0.017
ACE	BAAT	4	0.607	0.15175
ACE	CDC45	6	0.648	0.108
ACE	FZD6	6	0.566	0.0943333333333333
ACE	RHOC	3	0.439	0.146333333333333
ACE	LRIF1	5	0.827	0.1654
ACE	OR5I1	4	0.248	0.062
ACE	GDAP1	6	0.502	0.0836666666666667
KAPCA	CDK12	2	0.754	0.377
KAPCA	OVGP1	4	0.562	0.1405
KAPCA	PARP6	3	1.075	0.358333333333333
KAPCA	PTPRN	4	0.571	0.14275
KAPCA	OR2H1	3	0.364	0.121333333333333
KAPCA	RBM34	5	0.505	0.101
KAPCA	GNA12	3	0.175	0.0583333333333333
KAPCA	PERP	3	0.123	0.041
KAPCA	PIGQ	5	0.187	0.0374
KAPCA	PNRC1	6	0.496	0.0826666666666667
KAPCA	TNMD	5	0.643	0.1286
KAPCA	SOX14	9	1.162	0.129111111111111
KAPCA	ARSB	4	0.769	0.19225
KAPCA	FEV	4	0.994	0.2485
KAPCA	KLF15	6	0.356	0.0593333333333333
KAPCA	ACADM	3	0.172	0.0573333333333333
KAPCA	REL	4	0.081	0.02025
KAPCA	BAAT	2	0.477	0.2385
KAPCA	CDC45	3	0.505	0.168333333333333
KAPCA	FZD6	4	0.467	0.11675
KAPCA	RHOC	5	0.5	0.1
KAPCA	LRIF1	3	0.468	0.156
KAPCA	OR5I1	3	0.265	0.0883333333333333
KAPCA	GDAP1	7	0.5	0.0714285714285714
NTKL	CDK12	4	0.699	0.17475
NTKL	OVGP1	4	0.656	0.164
NTKL	PARP6	7	1.479	0.211285714285714
NTKL	PTPRN	6	0.744	0.124
NTKL	OR2H1	5	0.551	0.1102
NTKL	RBM34	8	0.73	0.09125
NTKL	GNA12	5	0.284	0.0568
NTKL	PERP	4	0.235	0.05875
NTKL	PIGQ	5	0.32	0.064
NTKL	PNRC1	4	0.582	0.1455
NTKL	TNMD	7	0.798	0.114
NTKL	SOX14	8	1.032	0.129
NTKL	ARSB	4	0.74	0.185
NTKL	FEV	6	0.676	0.112666666666667
NTKL	KLF15	5	0.407	0.0814
NTKL	ACADM	5	0.323	0.0646
NTKL	REL	5	0.213	0.0426
NTKL	BAAT	5	0.511	0.1022
NTKL	CDC45	6	0.372	0.062
NTKL	FZD6	6	0.596	0.0993333333333333
NTKL	RHOC	4	0.584	0.146
NTKL	LRIF1	6	0.675	0.1125
NTKL	OR5I1	5	0.452	0.0904
NTKL	GDAP1	6	0.616	0.102666666666667
CALM	CDK12	3	0.579	0.193
CALM	OVGP1	3	0.536	0.178666666666667
CALM	PARP6	3	1.333	0.444333333333333
CALM	PTPRN	2	0.438	0.219
CALM	OR2H1	3	0.327	0.109
CALM	RBM34	4	0.464	0.116
CALM	GNA12	4	0.164	0.041
CALM	PERP	3	0.115	0.0383333333333333
CALM	PIGQ	4	0.179	0.04475
CALM	PNRC1	3	0.461	0.153666666666667
CALM	TNMD	5	0.644	0.1288
CALM	SOX14	7	0.912	0.130285714285714
CALM	ARSB	3	0.62	0.206666666666667
CALM	FEV	4	0.957	0.23925
CALM	KLF15	4	0.287	0.07175
CALM	ACADM	4	0.169	0.04225
CALM	REL	3	0.048	0.016
CALM	BAAT	4	0.391	0.09775
CALM	CDC45	2	0.356	0.178
CALM	FZD6	5	0.476	0.0952
CALM	RHOC	3	0.429	0.143
CALM	LRIF1	3	0.469	0.156333333333333
CALM	OR5I1	3	0.228	0.076
CALM	GDAP1	4	0.465	0.11625
ACHA4	CDK12	4	0.733	0.18325
ACHA4	OVGP1	4	0.645	0.16125
ACHA4	PARP6	7	1.457	0.208142857142857
ACHA4	PTPRN	4	0.654	0.1635
ACHA4	OR2H1	4	0.528	0.132
ACHA4	RBM34	7	0.707	0.101
ACHA4	GNA12	4	0.255	0.06375
ACHA4	PERP	5	0.212	0.0424
ACHA4	PIGQ	5	0.28	0.056
ACHA4	PNRC1	6	0.589	0.0981666666666667
ACHA4	TNMD	8	0.775	0.096875
ACHA4	SOX14	8	1.066	0.13325
ACHA4	ARSB	5	0.736	0.1472
ACHA4	FEV	6	0.654	0.109
ACHA4	KLF15	5	0.385	0.077
ACHA4	ACADM	5	0.283	0.0566
ACHA4	REL	6	0.176	0.0293333333333333
ACHA4	BAAT	5	0.545	0.109
ACHA4	CDC45	6	0.509	0.0848333333333333
ACHA4	FZD6	6	0.623	0.103833333333333
ACHA4	RHOC	5	0.593	0.1186
ACHA4	LRIF1	4	0.628	0.157
ACHA4	OR5I1	4	0.429	0.10725
ACHA4	GDAP1	6	0.591	0.0985
ANXA2	CDK12	4	0.789	0.19725
ANXA2	OVGP1	2	0.533	0.2665
ANXA2	PARP6	5	1.415	0.283
ANXA2	PTPRN	4	0.688	0.172
ANXA2	OR2H1	4	0.506	0.1265
ANXA2	RBM34	4	0.762	0.1905
ANXA2	GNA12	4	0.176	0.044
ANXA2	PERP	2	0.172	0.086
ANXA2	PIGQ	4	0.216	0.054
ANXA2	PNRC1	3	0.473	0.157666666666667
ANXA2	TNMD	5	0.735	0.147
ANXA2	SOX14	8	1.122	0.14025
ANXA2	ARSB	3	0.694	0.231333333333333
ANXA2	FEV	5	0.579	0.1158
ANXA2	KLF15	3	0.343	0.114333333333333
ANXA2	ACADM	4	0.181	0.04525
ANXA2	REL	3	0.06	0.02
ANXA2	BAAT	3	0.37	0.123333333333333
ANXA2	CDC45	4	0.46	0.115
ANXA2	FZD6	4	0.618	0.1545
ANXA2	RHOC	4	0.529	0.13225
ANXA2	LRIF1	4	0.763	0.19075
ANXA2	OR5I1	4	0.506	0.1265
ANXA2	GDAP1	4	0.477	0.11925
AURKB	CDK12	7	0.788	0.112571428571429
AURKB	OVGP1	5	0.618	0.1236
AURKB	PARP6	8	1.449	0.181125
AURKB	PTPRN	5	0.627	0.1254
AURKB	OR2H1	6	0.544	0.0906666666666667
AURKB	RBM34	4	0.702	0.1755
AURKB	GNA12	4	0.163	0.04075
AURKB	PERP	3	0.111	0.037
AURKB	PIGQ	4	0.203	0.05075
AURKB	PNRC1	7	0.527	0.0752857142857143
AURKB	TNMD	6	0.674	0.112333333333333
AURKB	SOX14	8	0.813	0.101625
AURKB	ARSB	6	0.728	0.121333333333333
AURKB	FEV	5	0.58	0.116
AURKB	KLF15	6	0.377	0.0628333333333333
AURKB	ACADM	4	0.203	0.05075
AURKB	REL	3	0.053	0.0176666666666667
AURKB	BAAT	6	0.596	0.0993333333333333
AURKB	CDC45	1	0.122	0.122
AURKB	FZD6	7	0.552	0.0788571428571429
AURKB	RHOC	4	0.531	0.13275
AURKB	LRIF1	5	0.535	0.107
AURKB	OR5I1	6	0.445	0.0741666666666667
AURKB	GDAP1	6	0.465	0.0775
GNAT3	CDK12	6	0.597	0.0995
GNAT3	OVGP1	4	0.715	0.17875
GNAT3	PARP6	6	1.299	0.2165
GNAT3	PTPRN	7	0.842	0.120285714285714
GNAT3	OR2H1	4	0.408	0.102
GNAT3	RBM34	6	0.549	0.0915
GNAT3	GNA12	2	0.195	0.0975
GNAT3	PERP	5	0.326	0.0652
GNAT3	PIGQ	5	0.377	0.0754
GNAT3	PNRC1	4	0.607	0.15175
GNAT3	TNMD	7	0.864	0.123428571428571
GNAT3	SOX14	6	0.846	0.141
GNAT3	ARSB	5	0.813	0.1626
GNAT3	FEV	3	0.55	0.183333333333333
GNAT3	KLF15	5	0.462	0.0924
GNAT3	ACADM	6	0.36	0.06
GNAT3	REL	4	0.161	0.04025
GNAT3	BAAT	5	0.676	0.1352
GNAT3	CDC45	6	0.968	0.161333333333333
