source	dest	edges	cum_dist	avg_dist_per_edge
ACE	STX1A	3	0.253	0.0843333333333333
ACE	MED17	3	0.412	0.137333333333333
ACE	ELTD1	3	0.36	0.12
ACE	CLIP3	5	0.452	0.0904
ACE	HDAC4	3	0.088	0.0293333333333333
ACE	OR7C1	5	0.924	0.1848
ACE	APH1A	4	0.295	0.07375
ACE	GPR25	4	0.496	0.124
ACE	PNPO	6	0.452	0.0753333333333333
ACE	CXCL9	3	0.115	0.0383333333333333
ACE	VMP1	5	0.812	0.1624
ACE	EMR1	3	0.954	0.318
ACE	RBM42	4	0.65	0.1625
ACE	UFM1	4	0.486	0.1215
ACE	PHEX	5	0.15	0.03
ACE	NAV3	4	0.516	0.129
KAPCA	STX1A	4	0.244	0.061
KAPCA	MED17	4	0.279	0.06975
KAPCA	ELTD1	3	0.373	0.124333333333333
KAPCA	CLIP3	4	0.477	0.11925
KAPCA	HDAC4	4	0.086	0.0215
KAPCA	OR7C1	4	0.596	0.149
KAPCA	APH1A	4	0.28	0.07
KAPCA	GPR25	5	0.488	0.0976
KAPCA	PNPO	5	0.417	0.0834
KAPCA	CXCL9	4	0.106	0.0265
KAPCA	VMP1	5	0.827	0.1654
KAPCA	EMR1	3	0.455	0.151666666666667
KAPCA	RBM42	4	0.635	0.15875
KAPCA	UFM1	5	0.484	0.0968
KAPCA	PHEX	4	0.167	0.04175
KAPCA	NAV3	7	0.551	0.0787142857142857
NTKL	STX1A	6	0.344	0.0573333333333333
NTKL	MED17	7	0.447	0.0638571428571429
NTKL	ELTD1	4	0.371	0.09275
NTKL	CLIP3	6	0.479	0.0798333333333333
NTKL	HDAC4	4	0.219	0.05475
NTKL	OR7C1	7	0.847	0.121
NTKL	APH1A	4	0.388	0.097
NTKL	GPR25	8	0.617	0.077125
NTKL	PNPO	7	0.583	0.0832857142857143
NTKL	CXCL9	4	0.212	0.053
NTKL	VMP1	4	0.697	0.17425
NTKL	EMR1	6	0.618	0.103
NTKL	RBM42	5	0.747	0.1494
NTKL	UFM1	5	0.617	0.1234
NTKL	PHEX	6	0.276	0.046
NTKL	NAV3	6	0.681	0.1135
CALM	STX1A	2	0.218	0.109
CALM	MED17	3	0.171	0.057
CALM	ELTD1	5	0.329	0.0658
CALM	CLIP3	3	0.369	0.123
CALM	HDAC4	3	0.078	0.026
CALM	OR7C1	4	0.733	0.18325
CALM	APH1A	3	0.268	0.0893333333333333
CALM	GPR25	4	0.486	0.1215
CALM	PNPO	5	0.418	0.0836
CALM	CXCL9	3	0.092	0.0306666666666667
CALM	VMP1	3	0.577	0.192333333333333
CALM	EMR1	4	0.967	0.24175
CALM	RBM42	5	0.622	0.1244
CALM	UFM1	4	0.476	0.119
CALM	PHEX	4	0.13	0.0325
CALM	NAV3	2	0.44	0.22
ACHA4	STX1A	2	0.255	0.1275
ACHA4	MED17	6	0.424	0.0706666666666667
ACHA4	ELTD1	3	0.348	0.116
ACHA4	CLIP3	5	0.509	0.1018
ACHA4	HDAC4	4	0.179	0.04475
ACHA4	OR7C1	6	0.824	0.137333333333333
ACHA4	APH1A	6	0.369	0.0615
ACHA4	GPR25	5	0.571	0.1142
ACHA4	PNPO	7	0.543	0.0775714285714286
ACHA4	CXCL9	4	0.189	0.04725
ACHA4	VMP1	4	0.731	0.18275
ACHA4	EMR1	5	0.595	0.119
ACHA4	RBM42	6	0.724	0.120666666666667
ACHA4	UFM1	5	0.577	0.1154
ACHA4	PHEX	5	0.256	0.0512
ACHA4	NAV3	4	0.618	0.1545
ANXA2	STX1A	2	0.184	0.092
ANXA2	MED17	2	0.446	0.223
ANXA2	ELTD1	3	0.429	0.143
ANXA2	CLIP3	3	0.337	0.112333333333333
ANXA2	HDAC4	3	0.115	0.0383333333333333
ANXA2	OR7C1	5	0.91	0.182
ANXA2	APH1A	3	0.329	0.109666666666667
ANXA2	GPR25	5	0.507	0.1014
ANXA2	PNPO	6	0.479	0.0798333333333333
ANXA2	CXCL9	6	0.189	0.0315
ANXA2	VMP1	4	0.787	0.19675
ANXA2	EMR1	4	0.495	0.12375
ANXA2	RBM42	3	0.684	0.228
ANXA2	UFM1	4	0.513	0.12825
ANXA2	PHEX	4	0.18	0.045
ANXA2	NAV3	4	0.528	0.132
AURKB	STX1A	4	0.208	0.052
AURKB	MED17	4	0.228	0.057
AURKB	ELTD1	5	0.364	0.0728
AURKB	CLIP3	4	0.426	0.1065
AURKB	HDAC4	5	0.117	0.0234
AURKB	OR7C1	8	0.84	0.105
AURKB	APH1A	4	0.268	0.067
AURKB	GPR25	6	0.509	0.0848333333333333
AURKB	PNPO	8	0.481	0.060125
AURKB	CXCL9	5	0.162	0.0324
AURKB	VMP1	7	0.786	0.112285714285714
AURKB	EMR1	6	0.568	0.0946666666666667
AURKB	RBM42	4	0.623	0.15575
AURKB	UFM1	6	0.515	0.0858333333333333
AURKB	PHEX	6	0.253	0.0421666666666667
AURKB	NAV3	4	0.555	0.13875
GNAT3	STX1A	3	0.298	0.0993333333333333
GNAT3	MED17	5	0.6	0.12
GNAT3	ELTD1	4	0.479	0.11975
GNAT3	CLIP3	5	0.558	0.1116
GNAT3	HDAC4	4	0.276	0.069
GNAT3	OR7C1	4	0.813	0.20325
GNAT3	APH1A	6	0.483	0.0805
GNAT3	GPR25	5	0.596	0.1192
GNAT3	PNPO	7	0.64	0.0914285714285714
GNAT3	CXCL9	4	0.181	0.04525
GNAT3	VMP1	5	0.869	0.1738
GNAT3	EMR1	4	0.499	0.12475
GNAT3	RBM42	6	0.838	0.139666666666667
GNAT3	UFM1	5	0.674	0.1348
GNAT3	PHEX	5	0.211	0.0422
GNAT3	NAV3	4	0.587	0.14675
CA2D1	STX1A	4	0.351	0.08775
CA2D1	MED17	5	0.513	0.1026
CA2D1	ELTD1	7	0.659	0.0941428571428572
CA2D1	CLIP3	6	0.934	0.155666666666667
CA2D1	HDAC4	2	0.409	0.2045
CA2D1	OR7C1	5	0.7	0.14
CA2D1	APH1A	5	0.616	0.1232
CA2D1	GPR25	8	0.728	0.091
CA2D1	PNPO	10	0.758	0.0758
CA2D1	CXCL9	4	0.272	0.068
CA2D1	VMP1	8	0.848	0.106
CA2D1	EMR1	6	0.829	0.138166666666667
CA2D1	RBM42	5	0.971	0.1942
CA2D1	UFM1	6	0.838	0.139666666666667
CA2D1	PHEX	6	0.491	0.0818333333333333
CA2D1	NAV3	4	0.563	0.14075
CAH4	STX1A	5	0.709	0.1418
CAH4	MED17	6	0.917	0.152833333333333
CAH4	ELTD1	4	0.657	0.16425
CAH4	CLIP3	5	0.901	0.1802
CAH4	HDAC4	9	0.985	0.109444444444444
CAH4	OR7C1	6	0.635	0.105833333333333
CAH4	APH1A	6	0.914	0.152333333333333
CAH4	GPR25	6	0.903	0.1505
CAH4	PNPO	4	0.764	0.191
CAH4	CXCL9	4	0.392	0.098
CAH4	VMP1	6	0.977	0.162833333333333
CAH4	EMR1	4	0.832	0.208
CAH4	RBM42	6	0.921	0.1535
CAH4	UFM1	6	1.111	0.185166666666667
CAH4	PHEX	4	0.896	0.224
CAH4	NAV3	5	0.917	0.1834
AK1C1	STX1A	5	0.405	0.081
AK1C1	MED17	5	0.871	0.1742
AK1C1	ELTD1	4	0.661	0.16525
AK1C1	CLIP3	4	0.782	0.1955
AK1C1	HDAC4	5	0.444	0.0888
AK1C1	OR7C1	6	0.961	0.160166666666667
AK1C1	APH1A	6	0.828	0.138
AK1C1	GPR25	6	0.668	0.111333333333333
AK1C1	PNPO	4	0.664	0.166
AK1C1	CXCL9	5	0.335	0.067
AK1C1	VMP1	10	0.999	0.0999
AK1C1	EMR1	6	0.994	0.165666666666667
AK1C1	RBM42	6	0.733	0.122166666666667
AK1C1	UFM1	6	0.842	0.140333333333333
AK1C1	PHEX	5	0.594	0.1188
AK1C1	NAV3	6	0.688	0.114666666666667
ROCK1	STX1A	4	0.295	0.07375
ROCK1	MED17	8	0.96	0.12
ROCK1	ELTD1	7	0.573	0.0818571428571429
ROCK1	CLIP3	3	0.54	0.18
ROCK1	HDAC4	3	0.307	0.102333333333333
ROCK1	OR7C1	6	0.797	0.132833333333333
ROCK1	APH1A	3	0.529	0.176333333333333
ROCK1	GPR25	4	0.545	0.13625
ROCK1	PNPO	9	0.647	0.0718888888888889
ROCK1	CXCL9	4	0.211	0.05275
ROCK1	VMP1	5	0.664	0.1328
ROCK1	EMR1	6	0.987	0.1645
ROCK1	RBM42	5	0.618	0.1236
ROCK1	UFM1	5	0.727	0.1454
ROCK1	PHEX	5	0.48	0.096
ROCK1	NAV3	5	0.649	0.1298
CHLE	STX1A	3	0.256	0.0853333333333333
CHLE	MED17	7	0.975	0.139285714285714
CHLE	ELTD1	4	0.435	0.10875
CHLE	CLIP3	5	0.954	0.1908
CHLE	HDAC4	3	0.096	0.032
CHLE	OR7C1	4	0.788	0.197
CHLE	APH1A	5	0.943	0.1886
CHLE	GPR25	6	0.533	0.0888333333333333
CHLE	PNPO	6	0.46	0.0766666666666667
CHLE	CXCL9	3	0.186	0.062
CHLE	VMP1	7	0.945	0.135
CHLE	EMR1	4	0.476	0.119
CHLE	RBM42	4	0.385	0.09625
CHLE	UFM1	4	0.494	0.1235
CHLE	PHEX	4	0.161	0.04025
CHLE	NAV3	4	0.539	0.13475
J3QK85	STX1A	5	0.216	0.0432
J3QK85	MED17	6	0.36	0.06
J3QK85	ELTD1	3	0.284	0.0946666666666667
J3QK85	CLIP3	4	0.362	0.0905
J3QK85	HDAC4	3	0.148	0.0493333333333333
J3QK85	OR7C1	6	0.76	0.126666666666667
J3QK85	APH1A	4	0.324	0.081
J3QK85	GPR25	5	0.474	0.0948
J3QK85	PNPO	6	0.512	0.0853333333333333
J3QK85	CXCL9	6	0.156	0.026
J3QK85	VMP1	4	0.656	0.164
J3QK85	EMR1	4	0.546	0.1365
J3QK85	RBM42	4	0.679	0.16975
J3QK85	UFM1	4	0.546	0.1365
J3QK85	PHEX	4	0.177	0.04425
J3QK85	NAV3	4	0.495	0.12375
ZAP70	STX1A	3	0.158	0.0526666666666667
ZAP70	MED17	4	0.579	0.14475
ZAP70	ELTD1	4	0.284	0.071
ZAP70	CLIP3	5	0.363	0.0726
ZAP70	HDAC4	4	0.081	0.02025
ZAP70	OR7C1	5	0.695	0.139
ZAP70	APH1A	6	0.486	0.081
ZAP70	GPR25	6	0.444	0.074
ZAP70	PNPO	7	0.445	0.0635714285714286
ZAP70	CXCL9	4	0.135	0.03375
ZAP70	VMP1	4	0.849	0.21225
ZAP70	EMR1	7	0.507	0.0724285714285714
ZAP70	RBM42	4	0.843	0.21075
ZAP70	UFM1	5	0.479	0.0958
ZAP70	PHEX	5	0.11	0.022
ZAP70	NAV3	6	0.512	0.0853333333333333
UD14	STX1A	4	0.295	0.07375
UD14	MED17	8	0.559	0.069875
UD14	ELTD1	5	0.483	0.0966
UD14	CLIP3	7	0.591	0.0844285714285714
