source	dest	edges	cum_dist	avg_dist_per_edge
ACE	CDK12	4	0.872	0.218
ACE	ACOT8	5	0.616	0.1232
ACE	SCML2	4	0.23	0.0575
ACE	PZP	4	0.17	0.0425
ACE	GNA12	3	0.131	0.0436666666666667
ACE	RETN	2	0.219	0.1095
ACE	MMP20	4	0.089	0.02225
ACE	AKAP5	4	0.263	0.06575
ACE	CD9	6	0.165	0.0275
ACE	ISLR	5	0.558	0.1116
ACE	FOXB1	4	0.52	0.13
ACE	BCR	4	0.11	0.0275
ACE	STK38	4	0.189	0.04725
ACE	FMO1	3	0.233	0.0776666666666667
ACE	FKBP2	4	0.751	0.18775
ACE	TRHDE	5	0.933	0.1866
ACE	LPAR6	2	0.129	0.0645
ACE	AZI2	4	0.297	0.07425
ACE	MAP9	3	0.486	0.162
KAPCA	CDK12	2	0.754	0.377
KAPCA	ACOT8	6	0.7	0.116666666666667
KAPCA	SCML2	4	0.215	0.05375
KAPCA	PZP	4	0.282	0.0705
KAPCA	GNA12	3	0.175	0.0583333333333333
KAPCA	RETN	3	0.21	0.07
KAPCA	MMP20	5	0.108	0.0216
KAPCA	AKAP5	2	0.154	0.077
KAPCA	CD9	6	0.162	0.027
KAPCA	ISLR	7	0.576	0.0822857142857143
KAPCA	FOXB1	5	0.511	0.1022
KAPCA	BCR	6	0.128	0.0213333333333333
KAPCA	STK38	4	0.174	0.0435
KAPCA	FMO1	7	0.231	0.033
KAPCA	FKBP2	5	0.708	0.1416
KAPCA	TRHDE	4	0.688	0.172
KAPCA	LPAR6	4	0.247	0.06175
KAPCA	AZI2	7	0.296	0.0422857142857143
KAPCA	MAP9	3	0.471	0.157
NTKL	CDK12	4	0.699	0.17475
NTKL	ACOT8	8	0.813	0.101625
NTKL	SCML2	5	0.327	0.0654
NTKL	PZP	7	0.395	0.0564285714285714
NTKL	GNA12	5	0.284	0.0568
NTKL	RETN	5	0.383	0.0766
NTKL	MMP20	10	0.244	0.0244
NTKL	AKAP5	4	0.381	0.09525
NTKL	CD9	4	0.243	0.06075
NTKL	ISLR	5	0.671	0.1342
NTKL	FOXB1	5	0.641	0.1282
NTKL	BCR	4	0.204	0.051
NTKL	STK38	5	0.286	0.0572
NTKL	FMO1	6	0.363	0.0605
NTKL	FKBP2	4	0.578	0.1445
NTKL	TRHDE	7	0.856	0.122285714285714
NTKL	LPAR6	5	0.305	0.061
NTKL	AZI2	7	0.396	0.0565714285714286
NTKL	MAP9	2	0.444	0.222
CALM	CDK12	3	0.579	0.193
CALM	ACOT8	5	0.606	0.1212
CALM	SCML2	3	0.199	0.0663333333333333
CALM	PZP	4	0.226	0.0565
CALM	GNA12	4	0.164	0.041
CALM	RETN	3	0.211	0.0703333333333333
CALM	MMP20	7	0.087	0.0124285714285714
CALM	AKAP5	3	0.243	0.081
CALM	CD9	3	0.123	0.041
CALM	ISLR	6	0.549	0.0915
CALM	FOXB1	5	0.512	0.1024
CALM	BCR	3	0.099	0.033
CALM	STK38	4	0.166	0.0415
CALM	FMO1	6	0.223	0.0371666666666667
CALM	FKBP2	2	0.383	0.1915
CALM	TRHDE	3	0.58	0.193333333333333
CALM	LPAR6	2	0.168	0.084
CALM	AZI2	6	0.269	0.0448333333333333
CALM	MAP9	3	0.463	0.154333333333333
ACHA4	CDK12	4	0.733	0.18325
ACHA4	ACOT8	6	0.783	0.1305
ACHA4	SCML2	6	0.304	0.0506666666666667
ACHA4	PZP	7	0.369	0.0527142857142857
ACHA4	GNA12	4	0.255	0.06375
ACHA4	RETN	3	0.293	0.0976666666666667
ACHA4	MMP20	6	0.193	0.0321666666666667
ACHA4	AKAP5	4	0.379	0.09475
ACHA4	CD9	4	0.221	0.05525
ACHA4	ISLR	5	0.646	0.1292
ACHA4	FOXB1	5	0.594	0.1188
ACHA4	BCR	4	0.192	0.048
ACHA4	STK38	6	0.263	0.0438333333333333
ACHA4	FMO1	7	0.324	0.0462857142857143
ACHA4	FKBP2	4	0.612	0.153
ACHA4	TRHDE	6	0.833	0.138833333333333
ACHA4	LPAR6	3	0.278	0.0926666666666667
ACHA4	AZI2	7	0.372	0.0531428571428571
ACHA4	MAP9	5	0.56	0.112
ANXA2	CDK12	4	0.789	0.19725
ANXA2	ACOT8	5	0.721	0.1442
ANXA2	SCML2	3	0.264	0.088
ANXA2	PZP	3	0.263	0.0876666666666667
ANXA2	GNA12	4	0.176	0.044
ANXA2	RETN	3	0.327	0.109
ANXA2	MMP20	7	0.105	0.015
ANXA2	AKAP5	4	0.342	0.0855
ANXA2	CD9	5	0.15	0.03
ANXA2	ISLR	6	0.561	0.0935
ANXA2	FOXB1	4	0.618	0.1545
ANXA2	BCR	5	0.113	0.0226
ANXA2	STK38	3	0.223	0.0743333333333333
ANXA2	FMO1	4	0.253	0.06325
ANXA2	FKBP2	4	0.668	0.167
ANXA2	TRHDE	5	0.795	0.159
ANXA2	LPAR6	4	0.27	0.0675
ANXA2	AZI2	6	0.281	0.0468333333333333
ANXA2	MAP9	2	0.52	0.26
AURKB	CDK12	7	0.788	0.112571428571429
AURKB	ACOT8	6	0.728	0.121333333333333
AURKB	SCML2	4	0.203	0.05075
AURKB	PZP	5	0.286	0.0572
AURKB	GNA12	4	0.163	0.04075
AURKB	RETN	4	0.266	0.0665
AURKB	MMP20	4	0.1	0.025
AURKB	AKAP5	8	0.396	0.0495
AURKB	CD9	6	0.186	0.031
AURKB	ISLR	5	0.52	0.104
AURKB	FOXB1	5	0.557	0.1114
AURKB	BCR	4	0.072	0.018
AURKB	STK38	2	0.125	0.0625
AURKB	FMO1	8	0.262	0.03275
AURKB	FKBP2	7	0.667	0.0952857142857143
AURKB	TRHDE	4	0.637	0.15925
AURKB	LPAR6	4	0.253	0.06325
AURKB	AZI2	5	0.24	0.048
AURKB	MAP9	3	0.459	0.153
GNAT3	CDK12	6	0.597	0.0995
GNAT3	ACOT8	8	0.868	0.1085
GNAT3	SCML2	6	0.418	0.0696666666666667
GNAT3	PZP	4	0.308	0.077
GNAT3	GNA12	2	0.195	0.0975
GNAT3	RETN	6	0.481	0.0801666666666667
GNAT3	MMP20	6	0.182	0.0303333333333333
GNAT3	AKAP5	4	0.324	0.081
GNAT3	CD9	4	0.232	0.058
GNAT3	ISLR	5	0.67	0.134
GNAT3	FOXB1	5	0.665	0.133
GNAT3	BCR	4	0.222	0.0555
GNAT3	STK38	4	0.347	0.08675
GNAT3	FMO1	7	0.421	0.0601428571428571
GNAT3	FKBP2	5	0.748	0.1496
GNAT3	TRHDE	4	0.528	0.132
GNAT3	LPAR6	2	0.181	0.0905
GNAT3	AZI2	5	0.39	0.078
GNAT3	MAP9	5	0.674	0.1348
CA2D1	CDK12	5	0.73	0.146
CA2D1	ACOT8	7	1.001	0.143
CA2D1	SCML2	6	0.51	0.085
CA2D1	PZP	6	0.503	0.0838333333333333
CA2D1	GNA12	5	0.307	0.0614
CA2D1	RETN	5	0.614	0.1228
CA2D1	MMP20	7	0.248	0.0354285714285714
CA2D1	AKAP5	2	0.131	0.0655
CA2D1	CD9	7	0.33	0.0471428571428571
CA2D1	ISLR	8	0.791	0.098875
CA2D1	FOXB1	3	0.643	0.214333333333333
CA2D1	BCR	2	0.301	0.1505
CA2D1	STK38	5	0.51	0.102
CA2D1	FMO1	8	0.464	0.058
CA2D1	FKBP2	4	0.881	0.22025
CA2D1	TRHDE	5	0.588	0.1176
CA2D1	LPAR6	5	0.489	0.0978
CA2D1	AZI2	5	0.483	0.0966
