source	dest	edges	cum_dist	avg_dist_per_edge
ACE	PRR5	6	0.815	0.135833333333333
ACE	CLIP3	5	0.452	0.0904
ACE	PLLP	3	0.943	0.314333333333333
ACE	TXNL1	6	0.248	0.0413333333333333
ACE	IGLL1	6	0.988	0.164666666666667
ACE	APOC3	4	0.054	0.0135
ACE	EXOC2	3	0.227	0.0756666666666667
ACE	HEY1	5	0.511	0.1022
ACE	RAD51	3	0.129	0.043
ACE	ZNF24	2	0.262	0.131
ACE	DRG2	5	0.734	0.1468
ACE	TRA2A	6	0.692	0.115333333333333
ACE	PDE8B	4	0.137	0.03425
ACE	MDM1	4	0.724	0.181
ACE	MYT1	3	0.287	0.0956666666666667
ACE	RBPMS	4	0.916	0.229
ACE	GLI1	3	0.2	0.0666666666666667
ACE	PHEX	5	0.15	0.03
ACE	UCK2	4	0.267	0.06675
ACE	PIAS3	3	0.134	0.0446666666666667
ACE	EHMT2	4	0.771	0.19275
KAPCA	PRR5	4	0.752	0.188
KAPCA	CLIP3	4	0.477	0.11925
KAPCA	PLLP	6	0.842	0.140333333333333
KAPCA	TXNL1	7	0.246	0.0351428571428571
KAPCA	IGLL1	7	0.622	0.0888571428571429
KAPCA	APOC3	6	0.139	0.0231666666666667
KAPCA	EXOC2	5	0.312	0.0624
KAPCA	HEY1	4	0.266	0.0665
KAPCA	RAD51	3	0.114	0.038
KAPCA	ZNF24	3	0.406	0.135333333333333
KAPCA	DRG2	4	0.751	0.18775
KAPCA	TRA2A	5	0.709	0.1418
KAPCA	PDE8B	2	0.122	0.061
KAPCA	MDM1	7	0.759	0.108428571428571
KAPCA	MYT1	4	0.278	0.0695
KAPCA	RBPMS	5	0.873	0.1746
KAPCA	GLI1	3	0.167	0.0556666666666667
KAPCA	PHEX	4	0.167	0.04175
KAPCA	UCK2	3	0.284	0.0946666666666667
KAPCA	PIAS3	3	0.105	0.035
KAPCA	EHMT2	2	0.494	0.247
NTKL	PRR5	6	0.539	0.0898333333333333
NTKL	CLIP3	6	0.479	0.0798333333333333
NTKL	PLLP	5	0.792	0.1584
NTKL	TXNL1	8	0.356	0.0445
NTKL	IGLL1	6	0.982	0.163666666666667
NTKL	APOC3	7	0.244	0.0348571428571429
NTKL	EXOC2	5	0.293	0.0586
NTKL	HEY1	7	0.434	0.062
NTKL	RAD51	5	0.215	0.043
NTKL	ZNF24	4	0.395	0.09875
NTKL	DRG2	7	0.976	0.139428571428571
NTKL	TRA2A	8	0.934	0.11675
NTKL	PDE8B	5	0.354	0.0708
NTKL	MDM1	6	0.889	0.148166666666667
NTKL	MYT1	7	0.407	0.0581428571428571
NTKL	RBPMS	4	0.743	0.18575
NTKL	GLI1	5	0.322	0.0644
NTKL	PHEX	6	0.276	0.046
NTKL	UCK2	6	0.509	0.0848333333333333
NTKL	PIAS3	4	0.206	0.0515
NTKL	EHMT2	5	0.673	0.1346
CALM	PRR5	5	0.522	0.1044
CALM	CLIP3	3	0.369	0.123
CALM	PLLP	6	0.843	0.1405
CALM	TXNL1	6	0.232	0.0386666666666667
CALM	IGLL1	5	0.965	0.193
CALM	APOC3	4	0.075	0.01875
CALM	EXOC2	4	0.173	0.04325
CALM	HEY1	3	0.158	0.0526666666666667
CALM	RAD51	3	0.106	0.0353333333333333
CALM	ZNF24	3	0.275	0.0916666666666667
CALM	DRG2	3	0.71	0.236666666666667
CALM	TRA2A	4	0.668	0.167
CALM	PDE8B	2	0.113	0.0565
CALM	MDM1	2	0.648	0.324
CALM	MYT1	4	0.279	0.06975
CALM	RBPMS	2	0.548	0.274
CALM	GLI1	4	0.147	0.03675
CALM	PHEX	4	0.13	0.0325
CALM	UCK2	3	0.247	0.0823333333333333
CALM	PIAS3	3	0.086	0.0286666666666667
CALM	EHMT2	4	0.45	0.1125
ACHA4	PRR5	6	0.676	0.112666666666667
ACHA4	CLIP3	5	0.509	0.1018
ACHA4	PLLP	5	0.89	0.178
ACHA4	TXNL1	7	0.339	0.0484285714285714
ACHA4	IGLL1	6	0.695	0.115833333333333
ACHA4	APOC3	2	0.153	0.0765
ACHA4	EXOC2	4	0.264	0.066
ACHA4	HEY1	6	0.411	0.0685
ACHA4	RAD51	5	0.203	0.0406
ACHA4	ZNF24	4	0.373	0.09325
ACHA4	DRG2	6	0.953	0.158833333333333
ACHA4	TRA2A	7	0.911	0.130142857142857
ACHA4	PDE8B	5	0.314	0.0628
ACHA4	MDM1	4	0.826	0.2065
ACHA4	MYT1	4	0.361	0.09025
ACHA4	RBPMS	4	0.777	0.19425
ACHA4	GLI1	6	0.299	0.0498333333333333
ACHA4	PHEX	5	0.256	0.0512
