source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ELMO2	5	0.492	0.0984
ACE	HRG	4	0.2	0.05
ACE	MMP15	5	0.857	0.1714
ACE	KCNA5	5	0.425	0.085
ACE	GAS2	5	0.905	0.181
ACE	MKNK1	4	0.114	0.0285
ACE	HNMT	2	0.753	0.3765
ACE	FSTL3	4	0.228	0.057
ACE	RAB6B	6	0.61	0.101666666666667
ACE	HSPB1	5	0.378	0.0756
ACE	MMRN2	3	0.699	0.233
ACE	FYCO1	6	0.847	0.141166666666667
ACE	UBC	3	0.047	0.0156666666666667
ACE	SOX9	3	0.198	0.066
ACE	HBS1L	4	0.53	0.1325
ACE	PDIA3	3	0.201	0.067
ACE	ADPGK	5	0.31	0.062
ACE	ETV5	4	0.62	0.155
ACE	CDK8	3	0.522	0.174
ACE	MYO1E	4	0.763	0.19075
ACE	BMP7	2	0.191	0.0955
ACE	MIA	3	0.308	0.102666666666667
ACE	S1PR5	2	0.129	0.0645
KAPCA	ELMO2	6	0.449	0.0748333333333333
KAPCA	HRG	6	0.285	0.0475
KAPCA	MMP15	4	0.813	0.20325
KAPCA	KCNA5	5	0.551	0.1102
KAPCA	GAS2	2	0.828	0.414
KAPCA	MKNK1	3	0.097	0.0323333333333333
KAPCA	HNMT	4	0.301	0.07525
KAPCA	FSTL3	5	0.234	0.0468
KAPCA	RAB6B	5	0.539	0.1078
KAPCA	HSPB1	3	0.279	0.093
KAPCA	MMRN2	4	0.843	0.21075
KAPCA	FYCO1	6	0.732	0.122
KAPCA	UBC	2	0.034	0.017
KAPCA	SOX9	4	0.195	0.04875
KAPCA	HBS1L	4	0.515	0.12875
KAPCA	PDIA3	4	0.173	0.04325
KAPCA	ADPGK	4	0.297	0.07425
KAPCA	ETV5	4	0.605	0.15125
KAPCA	CDK8	2	0.277	0.1385
KAPCA	MYO1E	4	0.622	0.1555
KAPCA	BMP7	4	0.23	0.0575
KAPCA	MIA	4	0.324	0.081
KAPCA	S1PR5	2	0.171	0.0855
NTKL	ELMO2	4	0.574	0.1435
NTKL	HRG	7	0.39	0.0557142857142857
NTKL	MMP15	7	0.78	0.111428571428571
NTKL	KCNA5	6	0.472	0.0786666666666667
NTKL	GAS2	7	0.727	0.103857142857143
NTKL	MKNK1	5	0.242	0.0484
NTKL	HNMT	6	0.935	0.155833333333333
NTKL	FSTL3	6	0.339	0.0565
NTKL	RAB6B	9	0.727	0.0807777777777778
NTKL	HSPB1	4	0.315	0.07875
NTKL	MMRN2	5	0.832	0.1664
NTKL	FYCO1	8	0.741	0.092625
NTKL	UBC	3	0.203	0.0676666666666667
NTKL	SOX9	5	0.307	0.0614
NTKL	HBS1L	5	0.627	0.1254
NTKL	PDIA3	4	0.273	0.06825
NTKL	ADPGK	5	0.445	0.089
NTKL	ETV5	5	0.717	0.1434
NTKL	CDK8	5	0.445	0.089
NTKL	MYO1E	7	0.79	0.112857142857143
NTKL	BMP7	4	0.324	0.081
NTKL	MIA	4	0.418	0.1045
NTKL	S1PR5	5	0.37	0.074
CALM	ELMO2	4	0.891	0.22275
CALM	HRG	4	0.221	0.05525
CALM	MMP15	4	0.57	0.1425
CALM	KCNA5	2	0.237	0.1185
CALM	GAS2	2	0.415	0.2075
CALM	MKNK1	3	0.098	0.0326666666666667
CALM	HNMT	5	0.859	0.1718
CALM	FSTL3	3	0.17	0.0566666666666667
CALM	RAB6B	5	0.54	0.108
CALM	HSPB1	3	0.195	0.065
CALM	MMRN2	4	0.712	0.178
CALM	FYCO1	5	0.624	0.1248
CALM	UBC	3	0.037	0.0123333333333333
CALM	SOX9	2	0.14	0.07
CALM	HBS1L	4	0.507	0.12675
CALM	PDIA3	3	0.153	0.051
CALM	ADPGK	5	0.3	0.06
CALM	ETV5	4	0.597	0.14925
CALM	CDK8	3	0.682	0.227333333333333
CALM	MYO1E	1	0.11	0.11
CALM	BMP7	3	0.204	0.068
CALM	MIA	3	0.298	0.0993333333333333
CALM	S1PR5	2	0.134	0.067
ACHA4	ELMO2	4	0.29	0.0725
ACHA4	HRG	7	0.364	0.052
ACHA4	MMP15	6	0.757	0.126166666666667
ACHA4	KCNA5	2	0.406	0.203
ACHA4	GAS2	4	0.786	0.1965
ACHA4	MKNK1	5	0.205	0.041
ACHA4	HNMT	6	0.39	0.065
