source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ASPH	3	0.213	0.071
ACE	TNNC2	5	0.857	0.1714
ACE	KHK	6	0.898	0.149666666666667
ACE	RIT1	4	0.812	0.203
ACE	CASP9	4	0.219	0.05475
ACE	IL25	3	0.623	0.207666666666667
ACE	LHX3	4	0.214	0.0535
ACE	PSG9	4	0.779	0.19475
ACE	NLGN1	3	0.284	0.0946666666666667
ACE	RBPMS	4	0.916	0.229
ACE	PITX2	6	0.071	0.0118333333333333
ACE	MOCOS	4	0.841	0.21025
ACE	PSMD3	4	0.276	0.069
ACE	RAB8A	4	0.151	0.03775
ACE	SUGP1	4	0.233	0.05825
KAPCA	ASPH	4	0.219	0.05475
KAPCA	TNNC2	3	0.463	0.154333333333333
KAPCA	KHK	4	0.799	0.19975
KAPCA	RIT1	2	0.535	0.2675
KAPCA	CASP9	3	0.22	0.0733333333333333
KAPCA	IL25	4	0.767	0.19175
KAPCA	LHX3	5	0.212	0.0424
KAPCA	PSG9	5	0.785	0.157
KAPCA	NLGN1	4	0.413	0.10325
KAPCA	RBPMS	5	0.873	0.1746
KAPCA	PITX2	3	0.079	0.0263333333333333
KAPCA	MOCOS	3	0.971	0.323666666666667
KAPCA	PSMD3	4	0.332	0.083
KAPCA	RAB8A	7	0.186	0.0265714285714286
KAPCA	SUGP1	4	0.218	0.0545
NTKL	ASPH	5	0.324	0.0648
NTKL	TNNC2	7	0.706	0.100857142857143
NTKL	KHK	6	0.928	0.154666666666667
NTKL	RIT1	5	0.714	0.1428
NTKL	CASP9	4	0.266	0.0665
NTKL	IL25	5	0.756	0.1512
NTKL	LHX3	5	0.345	0.069
NTKL	PSG9	6	0.913	0.152166666666667
NTKL	NLGN1	5	0.417	0.0834
NTKL	RBPMS	4	0.743	0.18575
NTKL	PITX2	4	0.21	0.0525
NTKL	MOCOS	5	0.991	0.1982
NTKL	PSMD3	4	0.307	0.07675
NTKL	RAB8A	5	0.293	0.0586
NTKL	SUGP1	5	0.33	0.066
CALM	ASPH	2	0.155	0.0775
CALM	TNNC2	2	0.247	0.1235
CALM	KHK	5	0.808	0.1616
CALM	RIT1	2	0.307	0.1535
CALM	CASP9	3	0.146	0.0486666666666667
CALM	IL25	4	0.636	0.159
CALM	LHX3	4	0.204	0.051
CALM	PSG9	4	0.867	0.21675
CALM	NLGN1	4	0.297	0.07425
CALM	RBPMS	2	0.548	0.274
CALM	PITX2	4	0.068	0.017
CALM	MOCOS	3	0.649	0.216333333333333
CALM	PSMD3	2	0.186	0.093
CALM	RAB8A	2	0.075	0.0375
CALM	SUGP1	4	0.21	0.0525
ACHA4	ASPH	5	0.298	0.0596
ACHA4	TNNC2	7	0.804	0.114857142857143
ACHA4	KHK	6	0.955	0.159166666666667
ACHA4	RIT1	4	0.705	0.17625
ACHA4	CASP9	4	0.276	0.069
ACHA4	IL25	5	0.734	0.1468
ACHA4	LHX3	5	0.305	0.061
ACHA4	PSG9	6	0.864	0.144
ACHA4	NLGN1	5	0.395	0.079
ACHA4	RBPMS	4	0.777	0.19425
ACHA4	PITX2	4	0.183	0.04575
ACHA4	MOCOS	6	0.991	0.165166666666667
ACHA4	PSMD3	4	0.29	0.0725
ACHA4	RAB8A	4	0.253	0.06325
ACHA4	SUGP1	6	0.307	0.0511666666666667
ANXA2	ASPH	3	0.214	0.0713333333333333
ANXA2	TNNC2	4	0.564	0.141
ANXA2	KHK	4	0.95	0.2375
ANXA2	RIT1	4	0.676	0.169
ANXA2	CASP9	4	0.299	0.07475
ANXA2	IL25	3	0.692	0.230666666666667
ANXA2	LHX3	4	0.241	0.06025
ANXA2	PSG9	3	0.771	0.257
ANXA2	NLGN1	3	0.353	0.117666666666667
ANXA2	RBPMS	4	0.833	0.20825
ANXA2	PITX2	4	0.08	0.02
ANXA2	MOCOS	6	0.706	0.117666666666667
ANXA2	PSMD3	4	0.345	0.08625
ANXA2	RAB8A	4	0.163	0.04075
ANXA2	SUGP1	4	0.224	0.056
AURKB	ASPH	3	0.215	0.0716666666666667
AURKB	TNNC2	7	0.79	0.112857142857143
AURKB	KHK	7	0.884	0.126285714285714
