source	dest	edges	cum_dist	avg_dist_per_edge
ACE	SFPQ	4	0.486	0.1215
ACE	JPH3	4	0.672	0.168
ACE	CDHR1	4	0.354	0.0885
ACE	APOL2	4	0.502	0.1255
ACE	KLK5	3	0.562	0.187333333333333
ACE	CYR61	2	0.181	0.0905
ACE	ALX1	3	0.483	0.161
ACE	SNX27	4	0.792	0.198
ACE	PTPRG	3	0.484	0.161333333333333
ACE	LAGE3	5	0.815	0.163
ACE	RBM22	6	0.853	0.142166666666667
ACE	ASXL1	4	0.213	0.05325
ACE	VGLL3	5	0.414	0.0828
ACE	SSX1	3	0.748	0.249333333333333
ACE	ACLY	4	0.287	0.07175
ACE	BTK	3	0.495	0.165
KAPCA	SFPQ	2	0.209	0.1045
KAPCA	JPH3	4	0.639	0.15975
KAPCA	CDHR1	5	0.498	0.0996
KAPCA	APOL2	4	0.487	0.12175
KAPCA	KLK5	4	0.553	0.13825
KAPCA	CYR61	3	0.325	0.108333333333333
KAPCA	ALX1	3	0.45	0.15
KAPCA	SNX27	5	0.749	0.1498
KAPCA	PTPRG	3	0.596	0.198666666666667
KAPCA	LAGE3	6	0.772	0.128666666666667
KAPCA	RBM22	4	0.576	0.144
KAPCA	ASXL1	3	0.183	0.061
KAPCA	VGLL3	5	0.41	0.082
KAPCA	SSX1	3	0.834	0.278
KAPCA	ACLY	3	0.229	0.0763333333333333
KAPCA	BTK	4	0.452	0.113
NTKL	SFPQ	5	0.388	0.0776
NTKL	JPH3	6	0.704	0.117333333333333
NTKL	CDHR1	6	0.487	0.0811666666666667
NTKL	APOL2	5	0.599	0.1198
NTKL	KLK5	6	0.726	0.121
NTKL	CYR61	4	0.314	0.0785
NTKL	ALX1	5	0.605	0.121
NTKL	SNX27	4	0.619	0.15475
NTKL	PTPRG	6	0.721	0.120166666666667
NTKL	LAGE3	6	0.765	0.1275
NTKL	RBM22	7	0.755	0.107857142857143
NTKL	ASXL1	5	0.31	0.062
NTKL	VGLL3	6	0.531	0.0885
NTKL	SSX1	7	1.005	0.143571428571429
NTKL	ACLY	5	0.405	0.081
NTKL	BTK	4	0.445	0.11125
CALM	SFPQ	4	0.165	0.04125
CALM	JPH3	5	0.627	0.1254
CALM	CDHR1	5	0.367	0.0734
CALM	APOL2	4	0.479	0.11975
CALM	KLK5	4	0.554	0.1385
CALM	CYR61	3	0.194	0.0646666666666667
CALM	ALX1	3	0.451	0.150333333333333
CALM	SNX27	3	0.499	0.166333333333333
CALM	PTPRG	3	0.559	0.186333333333333
CALM	LAGE3	4	0.934	0.2335
CALM	RBM22	6	0.532	0.0886666666666667
CALM	ASXL1	5	0.139	0.0278
CALM	VGLL3	5	0.404	0.0808
CALM	SSX1	6	0.885	0.1475
CALM	ACLY	3	0.23	0.0766666666666667
CALM	BTK	4	0.762	0.1905
ACHA4	SFPQ	4	0.379	0.09475
ACHA4	JPH3	5	0.799	0.1598
ACHA4	CDHR1	6	0.465	0.0775
ACHA4	APOL2	6	0.576	0.096
ACHA4	KLK5	4	0.636	0.159
ACHA4	CYR61	4	0.292	0.073
ACHA4	ALX1	6	0.582	0.097
ACHA4	SNX27	4	0.653	0.16325
ACHA4	PTPRG	4	0.694	0.1735
ACHA4	LAGE3	4	0.557	0.13925
ACHA4	RBM22	6	0.746	0.124333333333333
ACHA4	ASXL1	6	0.287	0.0478333333333333
ACHA4	VGLL3	6	0.505	0.0841666666666667
ACHA4	SSX1	6	0.976	0.162666666666667
ACHA4	ACLY	6	0.382	0.0636666666666667
ACHA4	BTK	2	0.237	0.1185
ANXA2	SFPQ	4	0.35	0.0875
ANXA2	JPH3	3	0.562	0.187333333333333
ANXA2	CDHR1	4	0.423	0.10575
ANXA2	APOL2	3	0.536	0.178666666666667
ANXA2	KLK5	4	0.67	0.1675
ANXA2	CYR61	2	0.25	0.125
ANXA2	ALX1	3	0.542	0.180666666666667
ANXA2	SNX27	4	0.709	0.17725
ANXA2	PTPRG	3	0.653	0.217666666666667
ANXA2	LAGE3	4	0.853	0.21325
ANXA2	RBM22	6	0.717	0.1195
ANXA2	ASXL1	3	0.247	0.0823333333333333
ANXA2	VGLL3	5	0.441	0.0882
ANXA2	SSX1	5	1.008	0.2016
ANXA2	ACLY	3	0.342	0.114
ANXA2	BTK	2	0.533	0.2665
AURKB	SFPQ	5	0.2	0.04
AURKB	JPH3	6	0.662	0.110333333333333
AURKB	CDHR1	7	0.457	0.0652857142857143
AURKB	APOL2	4	0.475	0.11875
AURKB	KLK5	5	0.609	0.1218
AURKB	CYR61	5	0.284	0.0568
AURKB	ALX1	4	0.481	0.12025
AURKB	SNX27	7	0.708	0.101142857142857
AURKB	PTPRG	5	0.616	0.1232
AURKB	LAGE3	4	0.98	0.245
AURKB	RBM22	7	0.567	0.081
AURKB	ASXL1	6	0.174	0.029
AURKB	VGLL3	4	0.374	0.0935
AURKB	SSX1	4	0.96	0.24
AURKB	ACLY	4	0.281	0.07025
