source	dest	edges	cum_dist	avg_dist_per_edge
ACE	KAT6B	4	0.279	0.06975
ACE	SUMO4	6	0.709	0.118166666666667
ACE	BMP4	6	0.132	0.022
ACE	ALG5	4	0.471	0.11775
ACE	JPH3	4	0.672	0.168
ACE	MMP15	5	0.857	0.1714
ACE	EPHA7	4	0.172	0.043
ACE	RPE	5	0.665	0.133
ACE	MTMR8	6	0.442	0.0736666666666667
ACE	PEBP1	3	0.283	0.0943333333333333
ACE	HMGA2	4	0.154	0.0385
ACE	LIFR	4	0.12	0.03
ACE	POP5	6	0.708	0.118
ACE	SKP1	4	0.206	0.0515
ACE	MREG	5	0.999	0.1998
ACE	TTC26	6	0.996	0.166
ACE	CHD4	4	0.086	0.0215
ACE	RIF1	6	0.508	0.0846666666666667
ACE	SOS1	4	0.083	0.02075
ACE	ASUN	4	0.562	0.1405
ACE	EDEM1	4	0.842	0.2105
ACE	FAT1	4	0.398	0.0995
ACE	PSG4	4	0.874	0.2185
KAPCA	KAT6B	5	0.277	0.0554
KAPCA	SUMO4	3	0.782	0.260666666666667
KAPCA	BMP4	4	0.143	0.03575
KAPCA	ALG5	5	0.477	0.0954
KAPCA	JPH3	4	0.639	0.15975
KAPCA	MMP15	4	0.813	0.20325
KAPCA	EPHA7	5	0.17	0.034
KAPCA	RPE	6	0.622	0.103666666666667
KAPCA	MTMR8	7	0.44	0.0628571428571429
KAPCA	PEBP1	7	0.353	0.0504285714285714
KAPCA	HMGA2	5	0.173	0.0346
KAPCA	LIFR	5	0.111	0.0222
KAPCA	POP5	3	0.545	0.181666666666667
KAPCA	SKP1	4	0.191	0.04775
KAPCA	MREG	7	0.454	0.0648571428571429
KAPCA	TTC26	6	0.891	0.1485
KAPCA	CHD4	5	0.084	0.0168
KAPCA	RIF1	4	0.495	0.12375
KAPCA	SOS1	7	0.085	0.0121428571428571
KAPCA	ASUN	4	0.547	0.13675
KAPCA	EDEM1	5	0.952	0.1904
