source	dest	edges	cum_dist	avg_dist_per_edge
ACE	GDF9	4	0.218	0.0545
ACE	FGF13	4	0.272	0.068
ACE	CIDEB	2	0.129	0.0645
ACE	PGK2	4	0.192	0.048
ACE	RAG2	4	0.21	0.0525
ACE	RHOQ	4	0.132	0.033
ACE	MCM3	4	0.2	0.05
ACE	SNRK	4	0.271	0.06775
ACE	SSRP1	5	0.166	0.0332
ACE	ANK2	6	0.213	0.0355
ACE	FYCO1	6	0.847	0.141166666666667
ACE	SCNM1	6	0.51	0.085
ACE	MEOX2	4	0.27	0.0675
ACE	COIL	4	0.536	0.134
ACE	CEP97	5	0.349	0.0698
ACE	DBF4B	6	0.115	0.0191666666666667
ACE	MEOX1	4	0.326	0.0815
ACE	MSL2	4	0.149	0.03725
ACE	MKLN1	4	0.782	0.1955
ACE	CLCA4	5	0.865	0.173
ACE	MORC3	4	0.54	0.135
ACE	MYOG	6	0.142	0.0236666666666667
ACE	BIN2	4	0.762	0.1905
ACE	BTK	3	0.495	0.165
KAPCA	GDF9	3	0.235	0.0783333333333333
KAPCA	FGF13	6	0.288	0.048
KAPCA	CIDEB	3	0.385	0.128333333333333
KAPCA	PGK2	4	0.177	0.04425
KAPCA	RAG2	4	0.208	0.052
KAPCA	RHOQ	6	0.15	0.025
KAPCA	MCM3	4	0.185	0.04625
KAPCA	SNRK	5	0.269	0.0538
KAPCA	SSRP1	5	0.191	0.0382
KAPCA	ANK2	7	0.211	0.0301428571428571
KAPCA	FYCO1	6	0.732	0.122
KAPCA	SCNM1	6	0.495	0.0825
KAPCA	MEOX2	4	0.255	0.06375
KAPCA	COIL	4	0.521	0.13025
KAPCA	CEP97	3	0.323	0.107666666666667
KAPCA	DBF4B	7	0.113	0.0161428571428571
KAPCA	MEOX1	4	0.311	0.07775
KAPCA	MSL2	4	0.134	0.0335
KAPCA	MKLN1	4	0.538	0.1345
KAPCA	CLCA4	3	0.961	0.320333333333333
KAPCA	MORC3	4	0.525	0.13125
KAPCA	MYOG	3	0.146	0.0486666666666667
KAPCA	BIN2	5	0.927	0.1854
KAPCA	BTK	4	0.452	0.113
NTKL	GDF9	4	0.334	0.0835
NTKL	FGF13	3	0.245	0.0816666666666667
NTKL	CIDEB	4	0.351	0.08775
NTKL	PGK2	5	0.289	0.0578
NTKL	RAG2	8	0.317	0.039625
NTKL	RHOQ	4	0.245	0.06125
NTKL	MCM3	6	0.286	0.0476666666666667
NTKL	SNRK	5	0.402	0.0804
NTKL	SSRP1	8	0.295	0.036875
NTKL	ANK2	6	0.341	0.0568333333333333
NTKL	FYCO1	8	0.741	0.092625
NTKL	SCNM1	7	0.607	0.0867142857142857
NTKL	MEOX2	5	0.367	0.0734
NTKL	COIL	1	0.462	0.462
NTKL	CEP97	8	0.528	0.066
NTKL	DBF4B	8	0.223	0.027875
NTKL	MEOX1	5	0.423	0.0846
NTKL	MSL2	5	0.246	0.0492
NTKL	MKLN1	7	0.706	0.100857142857143
NTKL	CLCA4	5	0.896	0.1792
NTKL	MORC3	5	0.637	0.1274
NTKL	MYOG	5	0.277	0.0554
NTKL	BIN2	6	0.792	0.132
NTKL	BTK	4	0.445	0.11125
CALM	GDF9	3	0.198	0.066
CALM	FGF13	1	0.1	0.1
CALM	CIDEB	2	0.234	0.117
CALM	PGK2	4	0.169	0.04225
CALM	RAG2	4	0.2	0.05
CALM	RHOQ	5	0.123	0.0246
CALM	MCM3	3	0.165	0.055
CALM	SNRK	4	0.261	0.06525
CALM	SSRP1	5	0.156	0.0312
CALM	ANK2	4	0.176	0.044
CALM	FYCO1	5	0.624	0.1248
CALM	SCNM1	6	0.487	0.0811666666666667
CALM	MEOX2	4	0.247	0.06175
CALM	COIL	4	0.504	0.126
CALM	CEP97	1	0.379	0.379
CALM	DBF4B	6	0.099	0.0165
CALM	MEOX1	4	0.303	0.07575
CALM	MSL2	4	0.126	0.0315
CALM	MKLN1	2	0.355	0.1775
CALM	CLCA4	2	0.371	0.1855
CALM	MORC3	4	0.517	0.12925
CALM	MYOG	2	0.108	0.054
CALM	BIN2	4	0.727	0.18175
CALM	BTK	4	0.762	0.1905
ACHA4	GDF9	4	0.432	0.108
ACHA4	FGF13	3	0.279	0.093
ACHA4	CIDEB	3	0.328	0.109333333333333
ACHA4	PGK2	6	0.266	0.0443333333333333
ACHA4	RAG2	6	0.297	0.0495
ACHA4	RHOQ	4	0.22	0.055
ACHA4	MCM3	6	0.274	0.0456666666666667
ACHA4	SNRK	5	0.362	0.0724
ACHA4	SSRP1	7	0.282	0.0402857142857143
ACHA4	ANK2	7	0.304	0.0434285714285714
ACHA4	FYCO1	8	0.877	0.109625
ACHA4	SCNM1	8	0.584	0.073
ACHA4	MEOX2	6	0.344	0.0573333333333333
ACHA4	COIL	6	0.61	0.101666666666667
ACHA4	CEP97	8	0.49	0.06125
ACHA4	DBF4B	7	0.206	0.0294285714285714
ACHA4	MEOX1	6	0.4	0.0666666666666667
ACHA4	MSL2	6	0.223	0.0371666666666667
ACHA4	MKLN1	6	0.683	0.113833333333333
ACHA4	CLCA4	5	0.922	0.1844
ACHA4	MORC3	6	0.614	0.102333333333333
ACHA4	MYOG	5	0.238	0.0476
ACHA4	BIN2	4	0.802	0.2005
ACHA4	BTK	2	0.237	0.1185
ANXA2	GDF9	4	0.407	0.10175
ANXA2	FGF13	3	0.265	0.0883333333333333
ANXA2	CIDEB	4	0.725	0.18125
ANXA2	PGK2	3	0.226	0.0753333333333333
ANXA2	RAG2	7	0.218	0.0311428571428571
ANXA2	RHOQ	5	0.135	0.027
ANXA2	MCM3	3	0.234	0.078
ANXA2	SNRK	4	0.298	0.0745
ANXA2	SSRP1	3	0.153	0.051
ANXA2	ANK2	4	0.188	0.047
ANXA2	FYCO1	6	0.817	0.136166666666667
ANXA2	SCNM1	5	0.544	0.1088
ANXA2	MEOX2	3	0.304	0.101333333333333
ANXA2	COIL	3	0.57	0.19
ANXA2	CEP97	6	0.448	0.0746666666666667
ANXA2	DBF4B	6	0.111	0.0185
