source	dest	edges	cum_dist	avg_dist_per_edge
ACE	FBXL2	6	0.29	0.0483333333333333
ACE	GPNMB	3	0.375	0.125
ACE	MCM9	5	0.415	0.083
ACE	SIM2	5	0.949	0.1898
ACE	PLCH2	5	0.231	0.0462
ACE	TAF2	3	0.09	0.03
ACE	NLE1	6	0.764	0.127333333333333
ACE	SOX17	4	0.332	0.083
ACE	FCN3	3	0.253	0.0843333333333333
ACE	SPIB	3	0.168	0.056
ACE	BAX	3	0.1	0.0333333333333333
ACE	AKT3	2	0.148	0.074
ACE	CNIH3	7	0.962	0.137428571428571
ACE	ABCD4	6	0.93	0.155
ACE	ARL1	4	0.454	0.1135
ACE	MAX	3	0.435	0.145
ACE	CDK6	4	0.13	0.0325
ACE	FZD5	6	0.127	0.0211666666666667
ACE	MUC7	5	0.44	0.088
ACE	CHAD	4	0.668	0.167
ACE	SRSF1	4	0.141	0.03525
ACE	UMPS	6	0.235	0.0391666666666667
ACE	SUGP1	4	0.233	0.05825
ACE	ELMO1	4	0.149	0.03725
KAPCA	FBXL2	5	0.219	0.0438
KAPCA	GPNMB	4	0.519	0.12975
KAPCA	MCM9	5	0.411	0.0822
KAPCA	SIM2	3	0.672	0.224
KAPCA	PLCH2	8	0.259	0.032375
KAPCA	TAF2	4	0.081	0.02025
KAPCA	NLE1	4	0.662	0.1655
KAPCA	SOX17	5	0.33	0.066
KAPCA	FCN3	3	0.365	0.121666666666667
KAPCA	SPIB	4	0.159	0.03975
KAPCA	BAX	3	0.086	0.0286666666666667
KAPCA	AKT3	4	0.209	0.05225
KAPCA	CNIH3	3	0.462	0.154
KAPCA	ABCD4	5	0.873	0.1746
KAPCA	ARL1	4	0.45	0.1125
KAPCA	MAX	2	0.19	0.095
KAPCA	CDK6	4	0.115	0.02875
KAPCA	FZD5	3	0.135	0.045
KAPCA	MUC7	5	0.335	0.067
KAPCA	CHAD	4	0.49	0.1225
KAPCA	SRSF1	4	0.126	0.0315
KAPCA	UMPS	3	0.271	0.0903333333333333
KAPCA	SUGP1	4	0.218	0.0545
KAPCA	ELMO1	5	0.155	0.031
NTKL	FBXL2	9	0.407	0.0452222222222222
NTKL	GPNMB	5	0.508	0.1016
NTKL	MCM9	6	0.532	0.0886666666666667
NTKL	SIM2	6	0.851	0.141833333333333
NTKL	PLCH2	6	0.382	0.0636666666666667
NTKL	TAF2	5	0.228	0.0456
NTKL	NLE1	6	0.617	0.102833333333333
NTKL	SOX17	5	0.463	0.0926
NTKL	FCN3	6	0.49	0.0816666666666667
NTKL	SPIB	5	0.282	0.0564
NTKL	BAX	5	0.227	0.0454
NTKL	AKT3	6	0.271	0.0451666666666667
NTKL	CNIH3	6	0.634	0.105666666666667
NTKL	ABCD4	6	0.672	0.112
NTKL	ARL1	5	0.571	0.1142
NTKL	MAX	5	0.358	0.0716
NTKL	CDK6	6	0.207	0.0345
NTKL	FZD5	4	0.266	0.0665
NTKL	MUC7	5	0.267	0.0534
NTKL	CHAD	4	0.481	0.12025
NTKL	SRSF1	5	0.238	0.0476
NTKL	UMPS	7	0.452	0.0645714285714286
NTKL	SUGP1	5	0.33	0.066
NTKL	ELMO1	5	0.226	0.0452
CALM	FBXL2	5	0.22	0.044
CALM	GPNMB	4	0.388	0.097
CALM	MCM9	5	0.405	0.081
CALM	SIM2	5	0.628	0.1256
CALM	PLCH2	2	0.162	0.081
CALM	TAF2	4	0.082	0.0205
CALM	NLE1	4	0.48	0.12
CALM	SOX17	5	0.307	0.0614
CALM	FCN3	3	0.328	0.109333333333333
CALM	SPIB	3	0.139	0.0463333333333333
CALM	BAX	3	0.087	0.029
CALM	AKT3	4	0.152	0.038
CALM	CNIH3	2	0.401	0.2005
CALM	ABCD4	3	0.623	0.207666666666667
CALM	ARL1	4	0.444	0.111
CALM	MAX	3	0.595	0.198333333333333
CALM	CDK6	3	0.086	0.0286666666666667
CALM	FZD5	4	0.124	0.031
CALM	MUC7	4	0.147	0.03675
CALM	CHAD	3	0.375	0.125
CALM	SRSF1	4	0.118	0.0295
CALM	UMPS	3	0.234	0.078
CALM	SUGP1	4	0.21	0.0525
CALM	ELMO1	4	0.106	0.0265
ACHA4	FBXL2	4	0.361	0.09025
ACHA4	GPNMB	5	0.486	0.0972
ACHA4	MCM9	6	0.506	0.0843333333333333
ACHA4	SIM2	5	0.842	0.1684
ACHA4	PLCH2	8	0.352	0.044
ACHA4	TAF2	4	0.164	0.041
ACHA4	NLE1	6	0.65	0.108333333333333
ACHA4	SOX17	5	0.423	0.0846
ACHA4	FCN3	4	0.463	0.11575
ACHA4	SPIB	4	0.242	0.0605
ACHA4	BAX	6	0.204	0.034
ACHA4	AKT3	4	0.244	0.061
ACHA4	CNIH3	3	0.693	0.231
ACHA4	ABCD4	4	0.777	0.19425
ACHA4	ARL1	5	0.545	0.109
ACHA4	MAX	4	0.335	0.08375
ACHA4	CDK6	6	0.204	0.034
ACHA4	FZD5	4	0.239	0.05975
ACHA4	MUC7	4	0.238	0.0595
ACHA4	CHAD	4	0.529	0.13225
ACHA4	SRSF1	6	0.215	0.0358333333333333
ACHA4	UMPS	7	0.43	0.0614285714285714
ACHA4	SUGP1	6	0.307	0.0511666666666667
ACHA4	ELMO1	4	0.197	0.04925
ANXA2	FBXL2	4	0.265	0.06625
ANXA2	GPNMB	3	0.444	0.148
ANXA2	MCM9	6	0.441	0.0735
ANXA2	SIM2	5	0.813	0.1626
ANXA2	PLCH2	4	0.239	0.05975
ANXA2	TAF2	3	0.165	0.055
ANXA2	NLE1	6	0.707	0.117833333333333
ANXA2	SOX17	4	0.352	0.088
ANXA2	FCN3	3	0.422	0.140666666666667
ANXA2	SPIB	3	0.219	0.073
ANXA2	BAX	5	0.122	0.0244
ANXA2	AKT3	2	0.217	0.1085
ANXA2	CNIH3	4	0.722	0.1805
ANXA2	ABCD4	4	0.76	0.19
ANXA2	ARL1	4	0.481	0.12025
ANXA2	MAX	6	0.912	0.152
ANXA2	CDK6	3	0.164	0.0546666666666667
ANXA2	FZD5	4	0.136	0.034
ANXA2	MUC7	4	0.356	0.089
ANXA2	CHAD	4	0.571	0.14275
ANXA2	SRSF1	3	0.175	0.0583333333333333
ANXA2	UMPS	6	0.384	0.064
ANXA2	SUGP1	4	0.224	0.056
ANXA2	ELMO1	2	0.132	0.066
AURKB	FBXL2	4	0.255	0.06375
AURKB	GPNMB	4	0.482	0.1205
AURKB	MCM9	2	0.215	0.1075
AURKB	SIM2	6	0.685	0.114166666666667
AURKB	PLCH2	5	0.239	0.0478
AURKB	TAF2	4	0.104	0.026
AURKB	NLE1	2	0.365	0.1825
AURKB	SOX17	4	0.339	0.08475
AURKB	FCN3	5	0.385	0.077
AURKB	SPIB	4	0.158	0.0395
AURKB	BAX	4	0.077	0.01925
AURKB	AKT3	4	0.203	0.05075
AURKB	CNIH3	5	0.659	0.1318
AURKB	ABCD4	5	0.93	0.186
AURKB	ARL1	3	0.414	0.138
AURKB	MAX	2	0.192	0.096
AURKB	CDK6	2	0.079	0.0395
AURKB	FZD5	4	0.123	0.03075
AURKB	MUC7	5	0.337	0.0674
AURKB	CHAD	4	0.492	0.123
AURKB	SRSF1	4	0.114	0.0285
AURKB	UMPS	3	0.227	0.0756666666666667
AURKB	SUGP1	4	0.206	0.0515
AURKB	ELMO1	6	0.186	0.031
GNAT3	FBXL2	6	0.404	0.0673333333333333
GNAT3	GPNMB	5	0.563	0.1126
GNAT3	MCM9	6	0.564	0.094
GNAT3	SIM2	6	0.917	0.152833333333333
GNAT3	PLCH2	6	0.332	0.0553333333333333
GNAT3	TAF2	6	0.319	0.0531666666666667
GNAT3	NLE1	7	0.81	0.115714285714286
GNAT3	SOX17	6	0.481	0.0801666666666667
GNAT3	FCN3	3	0.391	0.130333333333333
GNAT3	SPIB	4	0.308	0.077
GNAT3	BAX	4	0.199	0.04975
GNAT3	AKT3	2	0.2	0.1
GNAT3	CNIH3	6	0.805	0.134166666666667
GNAT3	ABCD4	4	0.866	0.2165
GNAT3	ARL1	5	0.642	0.1284
GNAT3	MAX	6	0.891	0.1485
GNAT3	CDK6	6	0.318	0.053
GNAT3	FZD5	6	0.265	0.0441666666666667
GNAT3	MUC7	7	0.847	0.121
GNAT3	CHAD	6	0.963	0.1605
GNAT3	SRSF1	4	0.278	0.0695
GNAT3	UMPS	6	0.292	0.0486666666666667
GNAT3	SUGP1	4	0.325	0.08125
GNAT3	ELMO1	2	0.201	0.1005
CA2D1	FBXL2	6	0.495	0.0825
CA2D1	GPNMB	4	0.696	0.174
CA2D1	MCM9	6	0.595	0.0991666666666667
CA2D1	SIM2	6	0.814	0.135666666666667
CA2D1	PLCH2	7	0.392	0.056
CA2D1	TAF2	7	0.31	0.0442857142857143
CA2D1	NLE1	6	0.943	0.157166666666667
CA2D1	SOX17	5	0.483	0.0966
CA2D1	FCN3	5	0.586	0.1172
CA2D1	SPIB	5	0.456	0.0912
CA2D1	BAX	5	0.261	0.0522
CA2D1	AKT3	4	0.39	0.0975
CA2D1	CNIH3	2	0.31	0.155
CA2D1	ABCD4	6	0.994	0.165666666666667
CA2D1	ARL1	5	0.795	0.159
CA2D1	MAX	5	0.954	0.1908
