source	dest	edges	cum_dist	avg_dist_per_edge
ACE	INSM1	4	0.598	0.1495
ACE	FKRP	3	0.445	0.148333333333333
ACE	NAB1	4	0.192	0.048
ACE	CELF1	5	0.209	0.0418
ACE	KANK1	6	0.423	0.0705
ACE	PCCA	4	0.503	0.12575
ACE	RFC5	6	0.151	0.0251666666666667
ACE	AES	3	0.193	0.0643333333333333
ACE	KCNQ1	4	0.16	0.04
ACE	PBLD	6	0.383	0.0638333333333333
ACE	RNF14	3	0.45	0.15
ACE	AP5Z1	4	0.577	0.14425
ACE	CD81	4	0.136	0.034
ACE	FGL2	3	0.304	0.101333333333333
ACE	CASP6	3	0.177	0.059
ACE	CSF1R	4	0.095	0.02375
ACE	KEAP1	5	0.569	0.1138
ACE	RAB1B	4	0.521	0.13025
ACE	CHST1	4	0.336	0.084
ACE	RERE	4	0.678	0.1695
ACE	YIF1A	5	0.782	0.1564
ACE	KIF23	4	0.172	0.043
ACE	SRSF9	4	0.156	0.039
ACE	EFHD1	4	0.832	0.208
ACE	ATHL1	6	0.831	0.1385
KAPCA	INSM1	3	0.353	0.117666666666667
KAPCA	FKRP	3	0.553	0.184333333333333
KAPCA	NAB1	4	0.177	0.04425
KAPCA	CELF1	3	0.22	0.0733333333333333
KAPCA	KANK1	3	0.431	0.143666666666667
KAPCA	PCCA	3	0.514	0.171333333333333
KAPCA	RFC5	7	0.149	0.0212857142857143
KAPCA	AES	3	0.16	0.0533333333333333
KAPCA	KCNQ1	1	0.082	0.082
KAPCA	PBLD	5	0.323	0.0646
KAPCA	RNF14	3	0.39	0.13
KAPCA	AP5Z1	5	0.534	0.1068
KAPCA	CD81	3	0.1	0.0333333333333333
KAPCA	FGL2	4	0.295	0.07375
KAPCA	CASP6	4	0.168	0.042
KAPCA	CSF1R	6	0.113	0.0188333333333333
KAPCA	KEAP1	6	0.526	0.0876666666666667
KAPCA	RAB1B	5	0.519	0.1038
KAPCA	CHST1	5	0.355	0.071
KAPCA	RERE	2	0.401	0.2005
KAPCA	YIF1A	5	0.767	0.1534
KAPCA	KIF23	4	0.157	0.03925
KAPCA	SRSF9	4	0.141	0.03525
KAPCA	EFHD1	6	0.909	0.1515
KAPCA	ATHL1	6	0.816	0.136
NTKL	INSM1	6	0.521	0.0868333333333333
NTKL	FKRP	7	0.613	0.0875714285714286
NTKL	NAB1	5	0.289	0.0578
NTKL	CELF1	8	0.356	0.0445
NTKL	KANK1	4	0.562	0.1405
NTKL	PCCA	5	0.495	0.099
NTKL	RFC5	8	0.259	0.032375
NTKL	AES	5	0.315	0.063
NTKL	KCNQ1	5	0.291	0.0582
NTKL	PBLD	8	0.467	0.058375
NTKL	RNF14	4	0.581	0.14525
NTKL	AP5Z1	2	0.194	0.097
NTKL	CD81	6	0.22	0.0366666666666667
NTKL	FGL2	6	0.456	0.076
NTKL	CASP6	4	0.286	0.0715
NTKL	CSF1R	4	0.208	0.052
NTKL	KEAP1	5	0.396	0.0792
NTKL	RAB1B	4	0.58	0.145
NTKL	CHST1	10	0.491	0.0491
NTKL	RERE	5	0.58	0.116
NTKL	YIF1A	6	0.879	0.1465
NTKL	KIF23	5	0.253	0.0506
NTKL	SRSF9	5	0.253	0.0506
NTKL	EFHD1	6	0.502	0.0836666666666667
NTKL	ATHL1	10	0.914	0.0914
CALM	INSM1	2	0.245	0.1225
CALM	FKRP	3	0.435	0.145
CALM	NAB1	4	0.169	0.04225
CALM	CELF1	5	0.199	0.0398
CALM	KANK1	4	0.42	0.105
CALM	PCCA	5	0.47	0.094
CALM	RFC5	6	0.135	0.0225
CALM	AES	3	0.161	0.0536666666666667
CALM	KCNQ1	1	0.126	0.126
CALM	PBLD	5	0.324	0.0648
CALM	RNF14	3	0.391	0.130333333333333
CALM	AP5Z1	3	0.284	0.0946666666666667
CALM	CD81	4	0.101	0.02525
CALM	FGL2	4	0.296	0.074
CALM	CASP6	3	0.166	0.0553333333333333
CALM	CSF1R	5	0.086	0.0172
CALM	KEAP1	4	0.276	0.069
CALM	RAB1B	1	0.456	0.456
CALM	CHST1	7	0.334	0.0477142857142857
CALM	RERE	4	0.357	0.08925
CALM	YIF1A	5	0.759	0.1518
CALM	KIF23	3	0.116	0.0386666666666667
CALM	SRSF9	4	0.133	0.03325
CALM	EFHD1	5	0.888	0.1776
CALM	ATHL1	7	0.793	0.113285714285714
ACHA4	INSM1	5	0.498	0.0996
ACHA4	FKRP	5	0.586	0.1172
ACHA4	NAB1	6	0.266	0.0443333333333333
ACHA4	CELF1	4	0.305	0.07625
ACHA4	KANK1	4	0.535	0.13375
ACHA4	PCCA	5	0.593	0.1186
ACHA4	RFC5	7	0.242	0.0345714285714286
ACHA4	AES	6	0.292	0.0486666666666667
ACHA4	KCNQ1	5	0.251	0.0502
ACHA4	PBLD	6	0.44	0.0733333333333333
ACHA4	RNF14	4	0.541	0.13525
ACHA4	AP5Z1	4	0.438	0.1095
ACHA4	CD81	4	0.193	0.04825
ACHA4	FGL2	4	0.378	0.0945
ACHA4	CASP6	4	0.251	0.06275
ACHA4	CSF1R	4	0.183	0.04575
ACHA4	KEAP1	4	0.367	0.09175
ACHA4	RAB1B	4	0.571	0.14275
ACHA4	CHST1	6	0.44	0.0733333333333333
ACHA4	RERE	4	0.571	0.14275
ACHA4	YIF1A	7	0.856	0.122285714285714
ACHA4	KIF23	6	0.246	0.041
ACHA4	SRSF9	6	0.23	0.0383333333333333
ACHA4	EFHD1	6	0.997	0.166166666666667
ACHA4	ATHL1	8	0.905	0.113125
ANXA2	INSM1	4	0.497	0.12425
ANXA2	FKRP	4	0.578	0.1445
ANXA2	NAB1	3	0.226	0.0753333333333333
ANXA2	CELF1	5	0.217	0.0434
ANXA2	KANK1	4	0.432	0.108
ANXA2	PCCA	6	0.556	0.0926666666666667
ANXA2	RFC5	6	0.147	0.0245
ANXA2	AES	3	0.252	0.084
ANXA2	KCNQ1	4	0.187	0.04675
ANXA2	PBLD	6	0.463	0.0771666666666667
ANXA2	RNF14	5	0.441	0.0882
ANXA2	AP5Z1	4	0.494	0.1235
ANXA2	CD81	5	0.127	0.0254
ANXA2	FGL2	6	0.382	0.0636666666666667
ANXA2	CASP6	2	0.223	0.1115
ANXA2	CSF1R	5	0.098	0.0196
ANXA2	KEAP1	4	0.485	0.12125
ANXA2	RAB1B	2	0.508	0.254
ANXA2	CHST1	7	0.352	0.0502857142857143
ANXA2	RERE	4	0.542	0.1355
ANXA2	YIF1A	4	0.816	0.204
ANXA2	KIF23	3	0.206	0.0686666666666667
ANXA2	SRSF9	3	0.19	0.0633333333333333
ANXA2	EFHD1	4	0.885	0.22125
