source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RND1	3	0.247	0.0823333333333333
ACE	CFTR	4	0.05	0.0125
ACE	GPM6B	4	0.598	0.1495
ACE	TAF2	3	0.09	0.03
ACE	NEDD4	5	0.458	0.0916
ACE	ARAP2	4	0.245	0.06125
ACE	STAM2	4	0.163	0.04075
ACE	WDR5B	3	0.487	0.162333333333333
ACE	TBX21	3	0.119	0.0396666666666667
ACE	SKP1	4	0.206	0.0515
ACE	NID2	2	0.815	0.4075
ACE	MYL4	8	0.389	0.048625
ACE	CTRC	4	0.886	0.2215
ACE	ASGR2	2	0.815	0.4075
ACE	N4BP3	6	0.82	0.136666666666667
ACE	RGS12	4	0.907	0.22675
ACE	CEBPD	3	0.139	0.0463333333333333
ACE	HDAC5	6	0.124	0.0206666666666667
ACE	ALDH2	3	0.582	0.194
ACE	P2RX2	4	0.396	0.099
KAPCA	ACE	3	0.155	0.0516666666666667
KAPCA	RND1	3	0.336	0.112
KAPCA	CFTR	1	0.033	0.033
KAPCA	GPM6B	7	0.626	0.0894285714285714
KAPCA	TAF2	4	0.081	0.02025
KAPCA	NEDD4	4	0.357	0.08925
KAPCA	ARAP2	5	0.243	0.0486
KAPCA	STAM2	6	0.181	0.0301666666666667
KAPCA	WDR5B	4	0.485	0.12125
KAPCA	TBX21	4	0.11	0.0275
KAPCA	SKP1	4	0.191	0.04775
KAPCA	NID2	6	0.898	0.149666666666667
KAPCA	MYL4	8	0.374	0.04675
KAPCA	CTRC	5	0.843	0.1686
KAPCA	ASGR2	5	0.816	0.1632
KAPCA	N4BP3	5	0.719	0.1438
KAPCA	RGS12	6	0.95	0.158333333333333
KAPCA	CEBPD	3	0.106	0.0353333333333333
KAPCA	HDAC5	5	0.127	0.0254
KAPCA	ALDH2	6	0.568	0.0946666666666667
KAPCA	P2RX2	4	0.478	0.1195
NTKL	ACE	5	0.283	0.0566
NTKL	RND1	5	0.234	0.0468
NTKL	CFTR	6	0.208	0.0346666666666667
NTKL	GPM6B	3	0.667	0.222333333333333
NTKL	TAF2	5	0.228	0.0456
NTKL	NEDD4	5	0.285	0.057
NTKL	ARAP2	4	0.305	0.07625
NTKL	STAM2	2	0.198	0.099
NTKL	WDR5B	4	0.618	0.1545
NTKL	TBX21	4	0.216	0.054
NTKL	SKP1	5	0.303	0.0606
