source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MYH1	4	0.337	0.08425
ACE	RIT2	6	0.862	0.143666666666667
ACE	SNN	4	0.228	0.057
ACE	GBP2	4	0.253	0.06325
ACE	BBS7	3	0.27	0.09
ACE	MET	4	0.756	0.189
ACE	RPE65	8	0.37	0.04625
ACE	MUC1	5	0.061	0.0122
ACE	GBP1	3	0.17	0.0566666666666667
ACE	G3BP2	4	0.468	0.117
ACE	RIC8A	4	0.255	0.06375
ACE	TRAF1	5	0.095	0.019
ACE	RLBP1	7	0.347	0.0495714285714286
ACE	VNN1	3	0.458	0.152666666666667
ACE	PRC1	5	0.559	0.1118
ACE	SRPK2	6	0.191	0.0318333333333333
KAPCA	MYH1	6	0.288	0.048
KAPCA	RIT2	5	0.778	0.1556
KAPCA	SNN	7	0.232	0.0331428571428571
KAPCA	GBP2	6	0.204	0.034
KAPCA	BBS7	6	0.337	0.0561666666666667
KAPCA	MET	5	0.713	0.1426
KAPCA	RPE65	4	0.27	0.0675
KAPCA	MUC1	5	0.047	0.0094
KAPCA	GBP1	5	0.144	0.0288
KAPCA	G3BP2	3	0.425	0.141666666666667
KAPCA	RIC8A	3	0.272	0.0906666666666667
KAPCA	TRAF1	7	0.087	0.0124285714285714
KAPCA	RLBP1	3	0.247	0.0823333333333333
KAPCA	VNN1	4	0.57	0.1425
KAPCA	PRC1	4	0.362	0.0905
KAPCA	SRPK2	8	0.142	0.01775
NTKL	MYH1	6	0.4	0.0666666666666667
NTKL	RIT2	4	0.634	0.1585
NTKL	SNN	7	0.357	0.051
NTKL	GBP2	7	0.335	0.0478571428571429
NTKL	BBS7	7	0.401	0.0572857142857143
NTKL	MET	3	0.299	0.0996666666666667
NTKL	RPE65	9	0.445	0.0494444444444444
NTKL	MUC1	3	0.205	0.0683333333333333
NTKL	GBP1	4	0.267	0.06675
NTKL	G3BP2	6	0.489	0.0815
NTKL	RIC8A	9	0.481	0.0534444444444444
NTKL	TRAF1	9	0.221	0.0245555555555556
NTKL	RLBP1	8	0.422	0.05275
NTKL	VNN1	6	0.455	0.0758333333333333
NTKL	PRC1	7	0.53	0.0757142857142857
NTKL	SRPK2	9	0.273	0.0303333333333333
CALM	MYH1	3	0.231	0.077
CALM	RIT2	1	0.173	0.173
CALM	SNN	7	0.21	0.03
CALM	GBP2	3	0.161	0.0536666666666667
CALM	BBS7	5	0.229	0.0458
CALM	MET	3	0.646	0.215333333333333
CALM	RPE65	10	0.299	0.0299
CALM	MUC1	2	0.049	0.0245
CALM	GBP1	4	0.14	0.035
CALM	G3BP2	3	0.32	0.106666666666667
CALM	RIC8A	3	0.235	0.0783333333333333
CALM	TRAF1	8	0.068	0.0085
CALM	RLBP1	9	0.276	0.0306666666666667
CALM	VNN1	3	0.286	0.0953333333333333
CALM	PRC1	2	0.174	0.087
CALM	SRPK2	8	0.12	0.015
ACHA4	MYH1	5	0.415	0.083
ACHA4	RIT2	5	0.856	0.1712
ACHA4	SNN	6	0.328	0.0546666666666667
ACHA4	GBP2	5	0.331	0.0662
ACHA4	BBS7	4	0.437	0.10925
ACHA4	MET	3	0.651	0.217
ACHA4	RPE65	8	0.416	0.052
ACHA4	MUC1	7	0.171	0.0244285714285714
ACHA4	GBP1	4	0.224	0.056
ACHA4	G3BP2	5	0.549	0.1098
ACHA4	RIC8A	6	0.468	0.078
ACHA4	TRAF1	4	0.188	0.047
ACHA4	RLBP1	7	0.393	0.0561428571428571
ACHA4	VNN1	4	0.645	0.16125
ACHA4	PRC1	7	0.62	0.0885714285714286
ACHA4	SRPK2	7	0.269	0.0384285714285714
ANXA2	MYH1	4	0.28	0.07
ANXA2	RIT2	4	0.746	0.1865
ANXA2	SNN	5	0.224	0.0448
ANXA2	GBP2	4	0.196	0.049
ANXA2	BBS7	6	0.455	0.0758333333333333
ANXA2	MET	2	0.292	0.146
ANXA2	RPE65	8	0.313	0.039125
ANXA2	MUC1	2	0.061	0.0305
ANXA2	GBP1	6	0.175	0.0291666666666667
ANXA2	G3BP2	4	0.452	0.113
ANXA2	RIC8A	5	0.349	0.0698
ANXA2	TRAF1	6	0.082	0.0136666666666667
ANXA2	RLBP1	7	0.29	0.0414285714285714
ANXA2	VNN1	4	0.543	0.13575
ANXA2	PRC1	6	0.644	0.107333333333333
ANXA2	SRPK2	6	0.134	0.0223333333333333
AURKB	MYH1	5	0.24	0.048
AURKB	RIT2	6	0.469	0.0781666666666667
AURKB	SNN	6	0.184	0.0306666666666667
AURKB	GBP2	5	0.156	0.0312
AURKB	BBS7	6	0.286	0.0476666666666667
AURKB	MET	3	0.894	0.298
AURKB	RPE65	9	0.273	0.0303333333333333
AURKB	MUC1	4	0.019	0.00475
AURKB	GBP1	4	0.129	0.03225
AURKB	G3BP2	2	0.397	0.1985
AURKB	RIC8A	5	0.442	0.0884
AURKB	TRAF1	7	0.042	0.006
AURKB	RLBP1	8	0.25	0.03125
AURKB	VNN1	4	0.659	0.16475
AURKB	PRC1	2	0.004	0.002
AURKB	SRPK2	7	0.094	0.0134285714285714
GNAT3	MYH1	6	0.462	0.077
GNAT3	RIT2	5	0.753	0.1506
GNAT3	SNN	6	0.407	0.0678333333333333
GNAT3	GBP2	6	0.441	0.0735
GNAT3	BBS7	7	0.487	0.0695714285714286
GNAT3	MET	4	0.903	0.22575
GNAT3	RPE65	2	0.375	0.1875
GNAT3	MUC1	4	0.201	0.05025
GNAT3	GBP1	5	0.29	0.058
GNAT3	G3BP2	6	0.595	0.0991666666666667
GNAT3	RIC8A	1	0.137	0.137
GNAT3	TRAF1	5	0.214	0.0428
GNAT3	RLBP1	5	0.443	0.0886
GNAT3	VNN1	9	0.785	0.0872222222222222
GNAT3	PRC1	7	0.757	0.108142857142857
GNAT3	SRPK2	5	0.357	0.0714
CA2D1	MYH1	7	0.465	0.0664285714285714
CA2D1	RIT2	6	0.978	0.163
CA2D1	SNN	5	0.357	0.0714
CA2D1	GBP2	7	0.404	0.0577142857142857
CA2D1	BBS7	7	0.537	0.0767142857142857
CA2D1	MET	6	0.913	0.152166666666667
CA2D1	RPE65	5	0.47	0.094
CA2D1	MUC1	4	0.172	0.043
CA2D1	GBP1	9	0.291	0.0323333333333333
CA2D1	G3BP2	7	0.598	0.0854285714285714
CA2D1	RIC8A	3	0.45	0.15
CA2D1	TRAF1	9	0.249	0.0276666666666667
CA2D1	RLBP1	4	0.447	0.11175
CA2D1	VNN1	5	0.77	0.154
CA2D1	PRC1	5	0.562	0.1124
CA2D1	SRPK2	9	0.342	0.038
CAH4	MYH1	5	0.478	0.0956
CAH4	RIT2	6	0.888	0.148
CAH4	SNN	5	0.369	0.0738
CAH4	GBP2	5	0.394	0.0788
CAH4	BBS7	4	0.45	0.1125
CAH4	MET	5	0.743	0.1486
CAH4	RPE65	9	0.511	0.0567777777777778
CAH4	MUC1	7	0.231	0.033
CAH4	GBP1	7	0.321	0.0458571428571429
CAH4	G3BP2	5	0.609	0.1218
CAH4	RIC8A	5	0.561	0.1122
CAH4	TRAF1	9	0.271	0.0301111111111111
CAH4	RLBP1	8	0.488	0.061
CAH4	VNN1	5	0.646	0.1292
CAH4	PRC1	6	0.594	0.099
CAH4	SRPK2	7	0.332	0.0474285714285714
AK1C1	MYH1	5	0.43	0.086
AK1C1	RIT2	6	0.916	0.152666666666667
AK1C1	SNN	5	0.382	0.0764
AK1C1	GBP2	6	0.532	0.0886666666666667
AK1C1	BBS7	5	0.768	0.1536
AK1C1	MET	5	0.932	0.1864
AK1C1	RPE65	10	0.649	0.0649
AK1C1	MUC1	4	0.172	0.043
AK1C1	GBP1	5	0.272	0.0544
AK1C1	G3BP2	5	0.563	0.1126
AK1C1	RIC8A	7	0.981	0.140142857142857
AK1C1	TRAF1	9	0.225	0.025
AK1C1	RLBP1	9	0.626	0.0695555555555556
AK1C1	VNN1	8	0.753	0.094125
AK1C1	PRC1	8	0.876	0.1095
AK1C1	SRPK2	4	0.433	0.10825
ROCK1	MYH1	4	0.472	0.118
ROCK1	RIT2	6	0.927	0.1545
ROCK1	SNN	4	0.379	0.09475
ROCK1	GBP2	5	0.404	0.0808
ROCK1	BBS7	4	0.392	0.098
ROCK1	MET	7	0.962	0.137428571428571
ROCK1	RPE65	9	0.521	0.0578888888888889
ROCK1	MUC1	6	0.163	0.0271666666666667
ROCK1	GBP1	6	0.273	0.0455
ROCK1	G3BP2	4	0.541	0.13525
ROCK1	RIC8A	7	0.553	0.079
ROCK1	TRAF1	4	0.148	0.037
ROCK1	RLBP1	8	0.498	0.06225
ROCK1	VNN1	4	0.527	0.13175
ROCK1	PRC1	6	0.628	0.104666666666667
ROCK1	SRPK2	3	0.321	0.107
CHLE	MYH1	3	0.254	0.0846666666666667
CHLE	RIT2	4	0.658	0.1645
CHLE	SNN	7	0.233	0.0332857142857143
CHLE	GBP2	6	0.205	0.0341666666666667
CHLE	BBS7	4	0.259	0.06475
CHLE	MET	3	0.598	0.199333333333333
CHLE	RPE65	10	0.322	0.0322
CHLE	MUC1	5	0.08	0.016
CHLE	GBP1	4	0.163	0.04075
CHLE	G3BP2	3	0.343	0.114333333333333
CHLE	RIC8A	6	0.335	0.0558333333333333
CHLE	TRAF1	8	0.091	0.011375
CHLE	RLBP1	9	0.299	0.0332222222222222
CHLE	VNN1	3	0.309	0.103
CHLE	PRC1	5	0.41	0.082
CHLE	SRPK2	8	0.143	0.017875
J3QK85	MYH1	4	0.302	0.0755
J3QK85	RIT2	4	0.645	0.16125
J3QK85	SNN	5	0.246	0.0492
J3QK85	GBP2	4	0.218	0.0545
J3QK85	BBS7	4	0.286	0.0715
J3QK85	MET	3	0.5	0.166666666666667
J3QK85	RPE65	8	0.335	0.041875
J3QK85	MUC1	2	0.028	0.014
J3QK85	GBP1	5	0.192	0.0384
J3QK85	G3BP2	3	0.425	0.141666666666667
J3QK85	RIC8A	6	0.408	0.068
J3QK85	TRAF1	6	0.104	0.0173333333333333
J3QK85	RLBP1	7	0.312	0.0445714285714286
J3QK85	VNN1	3	0.391	0.130333333333333
J3QK85	PRC1	6	0.443	0.0738333333333333
J3QK85	SRPK2	6	0.156	0.026
ZAP70	MYH1	8	0.32	0.04
ZAP70	RIT2	4	0.629	0.15725
ZAP70	SNN	8	0.225	0.028125
ZAP70	GBP2	2	0.184	0.092
ZAP70	BBS7	6	0.338	0.0563333333333333
ZAP70	MET	3	0.598	0.199333333333333
ZAP70	RPE65	9	0.427	0.0474444444444444
ZAP70	MUC1	4	0.034	0.0085
ZAP70	GBP1	4	0.118	0.0295
ZAP70	G3BP2	4	0.43	0.1075
ZAP70	RIC8A	5	0.448	0.0896
ZAP70	TRAF1	6	0.094	0.0156666666666667
ZAP70	RLBP1	8	0.404	0.0505
ZAP70	VNN1	6	0.473	0.0788333333333333
ZAP70	PRC1	6	0.481	0.0801666666666667
ZAP70	SRPK2	7	0.225	0.0321428571428571
UD14	MYH1	5	0.393	0.0786
UD14	RIT2	5	0.5	0.1
UD14	SNN	5	0.345	0.069
UD14	GBP2	6	0.329	0.0548333333333333
UD14	BBS7	5	0.317	0.0634
UD14	MET	5	0.996	0.1992
UD14	RPE65	10	0.446	0.0446
UD14	MUC1	4	0.135	0.03375
UD14	GBP1	5	0.235	0.047
UD14	G3BP2	5	0.526	0.1052
UD14	RIC8A	7	0.571	0.0815714285714286
UD14	TRAF1	9	0.188	0.0208888888888889
UD14	RLBP1	9	0.423	0.047
UD14	VNN1	6	0.578	0.0963333333333333
UD14	PRC1	5	0.587	0.1174
UD14	SRPK2	8	0.267	0.033375
S12A2	MYH1	4	0.41	0.1025
S12A2	RIT2	4	0.939	0.23475
S12A2	SNN	5	0.354	0.0708
S12A2	GBP2	4	0.326	0.0815
S12A2	BBS7	3	0.314	0.104666666666667
S12A2	MET	3	0.794	0.264666666666667
S12A2	RPE65	8	0.443	0.055375
S12A2	MUC1	6	0.215	0.0358333333333333
S12A2	GBP1	4	0.276	0.069
S12A2	G3BP2	4	0.582	0.1455
S12A2	RIC8A	4	0.472	0.118
S12A2	TRAF1	6	0.212	0.0353333333333333
S12A2	RLBP1	7	0.42	0.06
S12A2	VNN1	5	0.77	0.154
S12A2	PRC1	5	0.562	0.1124
S12A2	SRPK2	6	0.264	0.044
EST1A	MYH1	5	0.312	0.0624
EST1A	RIT2	6	0.797	0.132833333333333
EST1A	SNN	6	0.256	0.0426666666666667
EST1A	GBP2	5	0.228	0.0456
EST1A	BBS7	5	0.245	0.049
EST1A	MET	3	0.684	0.228
EST1A	RPE65	9	0.345	0.0383333333333333
EST1A	MUC1	5	0.113	0.0226
EST1A	GBP1	7	0.181	0.0258571428571429
EST1A	G3BP2	2	0.404	0.202
EST1A	RIC8A	7	0.475	0.0678571428571429
EST1A	TRAF1	7	0.114	0.0162857142857143
EST1A	RLBP1	8	0.322	0.04025
EST1A	VNN1	4	0.449	0.11225
EST1A	PRC1	6	0.55	0.0916666666666667
EST1A	SRPK2	2	0.09	0.045
VKOR1	MYH1	5	0.58	0.116
VKOR1	RIT2	7	0.93	0.132857142857143
VKOR1	SNN	5	0.471	0.0942
VKOR1	GBP2	5	0.496	0.0992
VKOR1	BBS7	7	0.747	0.106714285714286
VKOR1	MET	5	0.633	0.1266
VKOR1	RPE65	9	0.613	0.0681111111111111
VKOR1	MUC1	4	0.311	0.07775
VKOR1	GBP1	7	0.423	0.0604285714285714
VKOR1	G3BP2	5	0.711	0.1422
VKOR1	RIC8A	6	0.811	0.135166666666667
VKOR1	TRAF1	9	0.373	0.0414444444444444
VKOR1	RLBP1	8	0.59	0.07375
VKOR1	VNN1	3	0.77	0.256666666666667
VKOR1	PRC1	7	0.874	0.124857142857143
VKOR1	SRPK2	7	0.434	0.062
XDH	MYH1	6	0.321	0.0535
XDH	RIT2	5	0.895	0.179
XDH	SNN	7	0.265	0.0378571428571429
XDH	GBP2	6	0.237	0.0395
XDH	BBS7	5	0.712	0.1424
XDH	MET	8	0.964	0.1205
XDH	RPE65	10	0.354	0.0354
XDH	MUC1	8	0.126	0.01575
XDH	GBP1	8	0.216	0.027
XDH	G3BP2	5	0.493	0.0986
XDH	RIC8A	5	0.42	0.084
XDH	TRAF1	8	0.123	0.015375
XDH	RLBP1	9	0.331	0.0367777777777778
XDH	VNN1	7	0.69	0.0985714285714286
XDH	PRC1	9	0.931	0.103444444444444
XDH	SRPK2	8	0.175	0.021875
ACHB4	MYH1	4	0.432	0.108
ACHB4	RIT2	4	0.788	0.197
ACHB4	SNN	6	0.38	0.0633333333333333
ACHB4	GBP2	7	0.383	0.0547142857142857
ACHB4	BBS7	5	0.437	0.0874
ACHB4	MET	5	0.708	0.1416
ACHB4	RPE65	8	0.468	0.0585
ACHB4	MUC1	7	0.223	0.0318571428571429
ACHB4	GBP1	4	0.276	0.069
ACHB4	G3BP2	4	0.521	0.13025
ACHB4	RIC8A	7	0.513	0.0732857142857143
ACHB4	TRAF1	4	0.24	0.06
ACHB4	RLBP1	7	0.445	0.0635714285714286
ACHB4	VNN1	4	0.487	0.12175
ACHB4	PRC1	6	0.559	0.0931666666666667
ACHB4	SRPK2	9	0.321	0.0356666666666667
RLP24	MYH1	5	0.291	0.0582
RLP24	RIT2	5	0.407	0.0814
RLP24	SNN	6	0.235	0.0391666666666667
RLP24	GBP2	5	0.207	0.0414
RLP24	BBS7	5	0.224	0.0448
RLP24	MET	3	0.98	0.326666666666667
RLP24	RPE65	9	0.324	0.036
RLP24	MUC1	5	0.092	0.0184
RLP24	GBP1	7	0.16	0.0228571428571429
RLP24	G3BP2	2	0.429	0.2145
RLP24	RIC8A	7	0.478	0.0682857142857143
RLP24	TRAF1	7	0.093	0.0132857142857143
RLP24	RLBP1	8	0.301	0.037625
RLP24	VNN1	6	0.66	0.11
RLP24	PRC1	6	0.543	0.0905
RLP24	SRPK2	7	0.145	0.0207142857142857
EDN1	MYH1	4	0.231	0.05775
EDN1	RIT2	4	0.574	0.1435
EDN1	SNN	3	0.166	0.0553333333333333
EDN1	GBP2	4	0.147	0.03675
EDN1	BBS7	4	0.215	0.05375
EDN1	MET	3	0.429	0.143
EDN1	RPE65	8	0.264	0.033
EDN1	MUC1	6	0.024	0.004
EDN1	GBP1	3	0.097	0.0323333333333333
EDN1	G3BP2	3	0.366	0.122
EDN1	RIC8A	3	0.247	0.0823333333333333
EDN1	TRAF1	6	0.033	0.0055
EDN1	RLBP1	7	0.241	0.0344285714285714
EDN1	VNN1	3	0.332	0.110666666666667
EDN1	PRC1	4	0.28	0.07
EDN1	SRPK2	6	0.085	0.0141666666666667
GBRB3	MYH1	6	0.644	0.107333333333333
GBRB3	RIT2	3	0.861	0.287
GBRB3	SNN	4	0.534	0.1335
GBRB3	GBP2	7	0.585	0.0835714285714286
GBRB3	BBS7	7	0.718	0.102571428571429
GBRB3	MET	5	0.708	0.1416
GBRB3	RPE65	5	0.651	0.1302
