source	destinations_disconnected_to
ACE	CRLF3	TDRKH
KAPCA	CRLF3	TDRKH
NTKL	CRLF3	TDRKH
CALM	CRLF3	TDRKH
ACHA4	CRLF3	TDRKH
ANXA2	CRLF3	TDRKH
AURKB	CRLF3	TDRKH
GNAT3	CRLF3	TDRKH
CA2D1	CRLF3	TDRKH
CAH4	CRLF3	TDRKH
AK1C1	CRLF3	TDRKH
ROCK1	CRLF3	TDRKH
CHLE	CRLF3	TDRKH
J3QK85	CRLF3	TDRKH
ZAP70	CRLF3	TDRKH
UD14	CRLF3	TDRKH
S12A2	CRLF3	TDRKH
EST1A	CRLF3	TDRKH
VKOR1	CRLF3	TDRKH
XDH	CRLF3	TDRKH
ACHB4	CRLF3	TDRKH
RLP24	CRLF3	TDRKH
EDN1	CRLF3	TDRKH
GBRB3	CRLF3	TDRKH
TKT	CRLF3	TDRKH
NEU2	CRLF3	TDRKH
3HAO	CRLF3	TDRKH
RL10L	CRLF3	TDRKH
ADA1D	CRLF3	TDRKH
CANB2	CRLF3	TDRKH
KAP3	CRLF3	TDRKH
PANX1	CRLF3	TDRKH
ST2A1	CRLF3	TDRKH
UPP2	CRLF3	TDRKH
AK1D1	CRLF3	TDRKH
CAC1A	CRLF3	TDRKH
CUBN	CRLF3	TDRKH
THA	CRLF3	TDRKH
TBB5	CRLF3	TDRKH
CATA	CRLF3	TDRKH
RL3	CRLF3	TDRKH
PA2GE	CRLF3	TDRKH
HRH2	CRLF3	TDRKH
ATTY	CRLF3	TDRKH
S29A2	CRLF3	TDRKH
GBRT	CRLF3	TDRKH
ACHA3	CRLF3	TDRKH
CDK6	CRLF3	TDRKH
5HT7R	CRLF3	TDRKH
ADRB1	CRLF3	TDRKH
CP11A	CRLF3	TDRKH
CSK	CRLF3	TDRKH
5HT3A	CRLF3	TDRKH
AT12A	CRLF3	TDRKH
IOD3	CRLF3	TDRKH
PGFRA	CRLF3	TDRKH
A1AG1	CRLF3	TDRKH
TNFA	CRLF3	TDRKH
NFAC2	CRLF3	TDRKH
NOS2	CRLF3	TDRKH
5HT2B	CRLF3	TDRKH
HS90A	CRLF3	TDRKH
LCK	CRLF3	TDRKH
ADCYA	CRLF3	TDRKH
HS90B	CRLF3	TDRKH
ADA2A	CRLF3	TDRKH
CACP	CRLF3	TDRKH
RARA	CRLF3	TDRKH
PYC	CRLF3	TDRKH
CATL1	CRLF3	TDRKH
ACHA9	CRLF3	TDRKH
NH2L1	CRLF3	TDRKH
AAKB2	CRLF3	TDRKH
DCXR	CRLF3	TDRKH
CXCL7	CRLF3	TDRKH
KCNE1	CRLF3	TDRKH
B3GT4	CRLF3	TDRKH
ACES	CRLF3	TDRKH
SCNNG	CRLF3	TDRKH
HASP	CRLF3	TDRKH
MMP3	CRLF3	TDRKH
MET	CRLF3	TDRKH
AA2BR	CRLF3	TDRKH
PDE8A	CRLF3	TDRKH
5HT2C	CRLF3	TDRKH
AK1C3	CRLF3	TDRKH
OSTCN	CRLF3	TDRKH
NMD3B	CRLF3	TDRKH
CDK5	CRLF3	TDRKH
PPARA	CRLF3	TDRKH
DRD2	CRLF3	TDRKH
VGFR2	CRLF3	TDRKH
CP1A2	CRLF3	TDRKH
NGF	CRLF3	TDRKH
GBRA6	CRLF3	TDRKH
ACHA7	CRLF3	TDRKH
CP2C9	CRLF3	TDRKH
TBA1A	CRLF3	TDRKH
IL2RA	CRLF3	TDRKH
PPB1	CRLF3	TDRKH
PD2R	CRLF3	TDRKH
Q71TU5	CRLF3	TDRKH
DCE1	CRLF3	TDRKH
GBRG1	CRLF3	TDRKH
FGFR2	CRLF3	TDRKH
IMPA1	CRLF3	TDRKH
ACM2	CRLF3	TDRKH
IL8	CRLF3	TDRKH
5HT6R	CRLF3	TDRKH
KPCT	CRLF3	TDRKH
AOC1	CRLF3	TDRKH
PCNA	CRLF3	TDRKH
KSYK	CRLF3	TDRKH
CAH9	CRLF3	TDRKH
RL11	CRLF3	TDRKH
CACB3	CRLF3	TDRKH
HMDH	CRLF3	TDRKH
GBRA4	CRLF3	TDRKH
KIT	CRLF3	TDRKH
AOFA	CRLF3	TDRKH
NEP	CRLF3	TDRKH
GLYC	CRLF3	TDRKH
NCOA2	CRLF3	TDRKH
5HT1E	CRLF3	TDRKH
TBA4A	CRLF3	TDRKH
METH	CRLF3	TDRKH
LDHA	CRLF3	TDRKH
MK08	CRLF3	TDRKH
IGHG4	CRLF3	TDRKH
