source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ATF1	2	0.172	0.086
ACE	NFIB	4	0.291	0.07275
ACE	ASIC4	5	0.95	0.19
ACE	AKT1	2	0.046	0.023
ACE	FCN3	3	0.253	0.0843333333333333
ACE	GSTA3	2	0.137	0.0685
ACE	RAB5A	3	0.45	0.15
ACE	WBP5	6	0.579	0.0965
ACE	CD81	4	0.136	0.034
ACE	IL18	3	0.145	0.0483333333333333
ACE	ATAD5	4	0.292	0.073
ACE	ARF6	5	0.11	0.022
ACE	CUL7	3	0.179	0.0596666666666667
ACE	DOT1L	5	0.235	0.047
ACE	TNNT3	5	0.86	0.172
ACE	PRKRA	4	0.22	0.055
ACE	SMG7	4	0.37	0.0925
ACE	LYVE1	4	0.337	0.08425
ACE	RHD	4	0.693	0.17325
KAPCA	ATF1	3	0.163	0.0543333333333333
KAPCA	NFIB	5	0.304	0.0608
KAPCA	ASIC4	3	0.883	0.294333333333333
KAPCA	AKT1	5	0.074	0.0148
KAPCA	FCN3	3	0.365	0.121666666666667
KAPCA	GSTA3	6	0.36	0.06
KAPCA	RAB5A	4	0.407	0.10175
KAPCA	WBP5	4	0.48	0.12
KAPCA	CD81	3	0.1	0.0333333333333333
KAPCA	IL18	4	0.136	0.034
KAPCA	ATAD5	4	0.277	0.06925
KAPCA	ARF6	4	0.127	0.03175
KAPCA	CUL7	3	0.164	0.0546666666666667
KAPCA	DOT1L	5	0.231	0.0462
KAPCA	TNNT3	3	0.466	0.155333333333333
KAPCA	PRKRA	4	0.205	0.05125
KAPCA	SMG7	4	0.355	0.08875
KAPCA	LYVE1	5	0.481	0.0962
KAPCA	RHD	4	0.678	0.1695
NTKL	ATF1	5	0.336	0.0672
NTKL	NFIB	6	0.409	0.0681666666666667
NTKL	ASIC4	7	1.04	0.148571428571429
NTKL	AKT1	5	0.205	0.041
NTKL	FCN3	6	0.49	0.0816666666666667
NTKL	GSTA3	5	0.312	0.0624
NTKL	RAB5A	3	0.277	0.0923333333333333
NTKL	WBP5	6	0.609	0.1015
NTKL	CD81	6	0.22	0.0366666666666667
NTKL	IL18	4	0.246	0.0615
NTKL	ATAD5	5	0.389	0.0778
NTKL	ARF6	5	0.222	0.0444
NTKL	CUL7	4	0.276	0.069
