source	dest	edges	cum_dist	avg_dist_per_edge
ACE	GDF2	4	0.261	0.06525
ACE	THOP1	3	0.436	0.145333333333333
ACE	ZEB1	3	0.759	0.253
ACE	SMG8	4	0.27	0.0675
ACE	AP3B2	6	0.407	0.0678333333333333
ACE	PDCD1	4	0.115	0.02875
ACE	ABCB7	3	0.549	0.183
ACE	WDR33	6	0.594	0.099
ACE	ETV4	4	0.095	0.02375
ACE	STAR	3	0.206	0.0686666666666667
ACE	HDAC6	6	0.232	0.0386666666666667
ACE	TDRD7	3	0.262	0.0873333333333333
ACE	MYL6B	4	0.572	0.143
ACE	UBAP2	6	0.811	0.135166666666667
ACE	NEBL	4	0.671	0.16775
ACE	NEDD8	5	0.054	0.0108
ACE	PTX3	2	0.579	0.2895
ACE	MTF1	4	0.346	0.0865
ACE	C1RL	4	0.593	0.14825
ACE	HLF	4	0.247	0.06175
ACE	KDM4C	4	0.486	0.1215
ACE	SIAH1	4	0.251	0.06275
ACE	FZD6	6	0.566	0.0943333333333333
KAPCA	GDF2	5	0.259	0.0518
KAPCA	THOP1	1	0.379	0.379
KAPCA	ZEB1	2	0.514	0.257
KAPCA	SMG8	5	0.276	0.0552
KAPCA	AP3B2	3	0.395	0.131666666666667
KAPCA	PDCD1	5	0.259	0.0518
KAPCA	ABCB7	2	0.445	0.2225
KAPCA	WDR33	5	0.559	0.1118
KAPCA	ETV4	6	0.122	0.0203333333333333
KAPCA	STAR	3	0.207	0.069
KAPCA	HDAC6	3	0.112	0.0373333333333333
KAPCA	TDRD7	4	0.276	0.069
KAPCA	MYL6B	5	0.529	0.1058
KAPCA	UBAP2	7	0.809	0.115571428571429
KAPCA	NEBL	5	0.845	0.169
KAPCA	NEDD8	3	0.04	0.0133333333333333
KAPCA	PTX3	5	0.682	0.1364
KAPCA	MTF1	4	0.331	0.08275
KAPCA	C1RL	6	0.678	0.113
KAPCA	HLF	4	0.272	0.068
KAPCA	KDM4C	5	0.484	0.0968
KAPCA	SIAH1	4	0.236	0.059
KAPCA	FZD6	4	0.467	0.11675
NTKL	GDF2	5	0.392	0.0784
NTKL	THOP1	6	0.633	0.1055
NTKL	ZEB1	5	0.682	0.1364
NTKL	SMG8	4	0.341	0.08525
NTKL	AP3B2	6	0.505	0.0841666666666667
NTKL	PDCD1	4	0.235	0.05875
NTKL	ABCB7	6	0.76	0.126666666666667
NTKL	WDR33	7	0.725	0.103571428571429
NTKL	ETV4	6	0.253	0.0421666666666667
NTKL	STAR	4	0.316	0.079
NTKL	HDAC6	4	0.29	0.0725
NTKL	TDRD7	6	0.25	0.0416666666666667
NTKL	MYL6B	4	0.399	0.09975
NTKL	UBAP2	6	0.939	0.1565
NTKL	NEBL	7	0.941	0.134428571428571
NTKL	NEDD8	4	0.209	0.05225
NTKL	PTX3	5	0.527	0.1054
NTKL	MTF1	5	0.443	0.0886
NTKL	C1RL	6	0.698	0.116333333333333
NTKL	HLF	6	0.405	0.0675
NTKL	KDM4C	5	0.617	0.1234
NTKL	SIAH1	5	0.348	0.0696
NTKL	FZD6	6	0.596	0.0993333333333333
CALM	GDF2	4	0.251	0.06275
CALM	THOP1	1	0.373	0.373
CALM	ZEB1	3	0.919	0.306333333333333
