source	dest	edges	cum_dist	avg_dist_per_edge
ACE	NCOA2	4	0.073	0.01825
ACE	LAMA3	6	0.296	0.0493333333333333
ACE	CTNS	4	0.289	0.07225
ACE	PDE5A	3	0.123	0.041
ACE	ITSN2	4	0.199	0.04975
ACE	SF3A3	4	0.253	0.06325
ACE	EPCAM	3	0.273	0.091
ACE	SLIRP	6	0.844	0.140666666666667
ACE	UPK3A	5	0.351	0.0702
ACE	FOXN2	3	0.424	0.141333333333333
ACE	LDHB	4	0.175	0.04375
ACE	IRF3	3	0.105	0.035
ACE	DRD2	2	0.102	0.051
ACE	SRPX	4	0.95	0.2375
ACE	FOXG1	5	0.206	0.0412
ACE	HSPB8	6	0.433	0.0721666666666667
ACE	LRCH4	4	0.834	0.2085
ACE	TBCC	4	0.592	0.148
ACE	MNS1	6	0.747	0.1245
ACE	LYL1	2	0.602	0.301
ACE	DPPA4	3	0.749	0.249666666666667
KAPCA	NCOA2	4	0.073	0.01825
KAPCA	LAMA3	7	0.294	0.042
KAPCA	CTNS	6	0.374	0.0623333333333333
KAPCA	PDE5A	3	0.135	0.045
KAPCA	ITSN2	6	0.203	0.0338333333333333
KAPCA	SF3A3	3	0.27	0.09
KAPCA	EPCAM	4	0.274	0.0685
KAPCA	SLIRP	4	0.745	0.18625
KAPCA	UPK3A	6	0.349	0.0581666666666667
KAPCA	FOXN2	4	0.415	0.10375
KAPCA	LDHB	3	0.192	0.064
KAPCA	IRF3	3	0.072	0.024
KAPCA	DRD2	2	0.119	0.0595
KAPCA	SRPX	6	0.934	0.155666666666667
KAPCA	FOXG1	3	0.196	0.0653333333333333
KAPCA	HSPB8	4	0.334	0.0835
KAPCA	LRCH4	5	0.832	0.1664
KAPCA	TBCC	6	0.576	0.096
KAPCA	MNS1	6	1.048	0.174666666666667
KAPCA	LYL1	2	0.27	0.135
KAPCA	DPPA4	3	0.56	0.186666666666667
NTKL	NCOA2	4	0.206	0.0515
NTKL	LAMA3	4	0.346	0.0865
NTKL	CTNS	5	0.463	0.0926
NTKL	PDE5A	6	0.342	0.057
NTKL	ITSN2	6	0.283	0.0471666666666667
NTKL	SF3A3	6	0.436	0.0726666666666667
NTKL	EPCAM	5	0.341	0.0682
NTKL	SLIRP	6	0.874	0.145666666666667
NTKL	UPK3A	6	0.482	0.0803333333333333
NTKL	FOXN2	6	0.588	0.098
NTKL	LDHB	6	0.317	0.0528333333333333
NTKL	IRF3	5	0.227	0.0454
NTKL	DRD2	6	0.287	0.0478333333333333
NTKL	SRPX	6	0.799	0.133166666666667
NTKL	FOXG1	5	0.309	0.0618
NTKL	HSPB8	6	0.463	0.0771666666666667
NTKL	LRCH4	5	0.965	0.193
NTKL	TBCC	6	0.441	0.0735
NTKL	MNS1	8	1.057	0.132125
NTKL	LYL1	5	0.477	0.0954
NTKL	DPPA4	5	0.672	0.1344
CALM	NCOA2	4	0.05	0.0125
CALM	LAMA3	3	0.226	0.0753333333333333
CALM	CTNS	4	0.31	0.0775
CALM	PDE5A	2	0.103	0.0515
CALM	ITSN2	2	0.157	0.0785
CALM	SF3A3	3	0.233	0.0776666666666667
CALM	EPCAM	4	0.221	0.05525
CALM	SLIRP	5	0.754	0.1508
CALM	UPK3A	5	0.33	0.066
CALM	FOXN2	4	0.416	0.104
CALM	LDHB	3	0.148	0.0493333333333333
CALM	IRF3	3	0.073	0.0243333333333333
CALM	DRD2	2	0.082	0.041
CALM	SRPX	4	0.753	0.18825
CALM	FOXG1	5	0.152	0.0304
CALM	HSPB8	5	0.343	0.0686
CALM	LRCH4	4	0.824	0.206
CALM	TBCC	4	0.395	0.09875
CALM	MNS1	5	0.94	0.188
CALM	LYL1	2	0.271	0.1355
CALM	DPPA4	3	0.561	0.187
ACHA4	NCOA2	4	0.166	0.0415
ACHA4	LAMA3	4	0.38	0.095
ACHA4	CTNS	5	0.441	0.0882
ACHA4	PDE5A	4	0.295	0.07375
ACHA4	ITSN2	4	0.256	0.064
ACHA4	SF3A3	6	0.419	0.0698333333333333
ACHA4	EPCAM	4	0.312	0.078
ACHA4	SLIRP	6	0.901	0.150166666666667
ACHA4	UPK3A	6	0.442	0.0736666666666667
ACHA4	FOXN2	4	0.498	0.1245
ACHA4	LDHB	6	0.291	0.0485
ACHA4	IRF3	6	0.204	0.034
ACHA4	DRD2	4	0.242	0.0605
ACHA4	SRPX	6	0.897	0.1495
ACHA4	FOXG1	6	0.286	0.0476666666666667
ACHA4	HSPB8	6	0.49	0.0816666666666667
ACHA4	LRCH4	5	0.925	0.185
ACHA4	TBCC	6	0.539	0.0898333333333333
ACHA4	MNS1	6	0.804	0.134
ACHA4	LYL1	3	0.43	0.143333333333333
ACHA4	DPPA4	4	0.649	0.16225
ANXA2	NCOA2	4	0.062	0.0155
ANXA2	LAMA3	4	0.271	0.06775
ANXA2	CTNS	3	0.347	0.115666666666667
ANXA2	PDE5A	3	0.245	0.0816666666666667
ANXA2	ITSN2	2	0.123	0.0615
ANXA2	SF3A3	4	0.366	0.0915
ANXA2	EPCAM	3	0.323	0.107666666666667
ANXA2	SLIRP	4	0.896	0.224
ANXA2	UPK3A	5	0.378	0.0756
ANXA2	FOXN2	4	0.532	0.133
ANXA2	LDHB	4	0.207	0.05175
ANXA2	IRF3	3	0.164	0.0546666666666667
ANXA2	DRD2	4	0.177	0.04425
ANXA2	SRPX	3	0.657	0.219
