source	dest	edges	cum_dist	avg_dist_per_edge
ACE	NUP98	3	0.176	0.0586666666666667
ACE	COG2	4	0.264	0.066
ACE	ZNF14	5	0.733	0.1466
ACE	KCNJ3	4	0.249	0.06225
ACE	CBX4	5	0.839	0.1678
ACE	C1QA	4	0.758	0.1895
ACE	EXOC1	4	0.225	0.05625
ACE	MEST	3	0.785	0.261666666666667
ACE	ARMC6	5	0.347	0.0694
ACE	GPX2	4	0.269	0.06725
ACE	DAAM2	4	0.618	0.1545
ACE	KCTD3	5	0.415	0.083
ACE	SF3B2	4	0.232	0.058
ACE	CORIN	5	0.819	0.1638
ACE	GNAI2	2	0.129	0.0645
ACE	CNNM2	5	0.961	0.1922
ACE	PANK4	8	0.644	0.0805
KAPCA	NUP98	3	0.143	0.0476666666666667
KAPCA	COG2	6	0.349	0.0581666666666667
KAPCA	ZNF14	3	0.456	0.152
KAPCA	KCNJ3	3	0.266	0.0886666666666667
KAPCA	CBX4	4	0.594	0.1485
KAPCA	C1QA	5	0.902	0.1804
KAPCA	EXOC1	5	0.231	0.0462
KAPCA	MEST	6	0.812	0.135333333333333
KAPCA	ARMC6	3	0.333	0.111
KAPCA	GPX2	6	0.332	0.0553333333333333
KAPCA	DAAM2	4	0.603	0.15075
KAPCA	KCTD3	2	0.423	0.2115
KAPCA	SF3B2	4	0.217	0.05425
KAPCA	CORIN	4	0.775	0.19375
KAPCA	GNAI2	2	0.162	0.081
KAPCA	CNNM2	4	0.978	0.2445
KAPCA	PANK4	7	0.661	0.0944285714285714
NTKL	NUP98	5	0.298	0.0596
NTKL	COG2	7	0.454	0.0648571428571429
NTKL	ZNF14	6	0.635	0.105833333333333
NTKL	KCNJ3	6	0.42	0.07
NTKL	CBX4	7	0.762	0.108857142857143
NTKL	C1QA	6	0.953	0.158833333333333
NTKL	EXOC1	6	0.336	0.056
NTKL	MEST	4	0.697	0.17425
NTKL	ARMC6	4	0.502	0.1255
NTKL	GPX2	5	0.372	0.0744
NTKL	DAAM2	5	0.715	0.143
NTKL	KCTD3	6	0.575	0.0958333333333333
NTKL	SF3B2	5	0.329	0.0658
NTKL	CORIN	7	0.742	0.106
NTKL	GNAI2	4	0.295	0.07375
NTKL	CNNM2	6	0.934	0.155666666666667
NTKL	PANK4	10	0.886	0.0886
CALM	NUP98	3	0.144	0.048
CALM	COG2	4	0.285	0.07125
CALM	ZNF14	5	0.412	0.0824
CALM	KCNJ3	3	0.229	0.0763333333333333
CALM	CBX4	3	0.486	0.162
CALM	C1QA	4	0.798	0.1995
CALM	EXOC1	3	0.167	0.0556666666666667
CALM	MEST	3	0.577	0.192333333333333
CALM	ARMC6	5	0.337	0.0674
CALM	GPX2	3	0.293	0.0976666666666667
CALM	DAAM2	4	0.595	0.14875
CALM	KCTD3	5	0.434	0.0868
CALM	SF3B2	4	0.209	0.05225
CALM	CORIN	4	0.532	0.133
CALM	GNAI2	2	0.125	0.0625
CALM	CNNM2	5	0.931	0.1862
CALM	PANK4	6	0.62	0.103333333333333
ACHA4	NUP98	6	0.275	0.0458333333333333
ACHA4	COG2	2	0.397	0.1985
ACHA4	ZNF14	5	0.626	0.1252
ACHA4	KCNJ3	4	0.393	0.09825
ACHA4	CBX4	6	0.739	0.123166666666667
ACHA4	C1QA	6	0.869	0.144833333333333
ACHA4	EXOC1	6	0.31	0.0516666666666667
ACHA4	MEST	4	0.731	0.18275
ACHA4	ARMC6	5	0.457	0.0914
ACHA4	GPX2	6	0.419	0.0698333333333333
ACHA4	DAAM2	6	0.692	0.115333333333333
ACHA4	KCTD3	6	0.535	0.0891666666666667
ACHA4	SF3B2	6	0.306	0.051
ACHA4	CORIN	6	0.719	0.119833333333333
ACHA4	GNAI2	4	0.248	0.062
ACHA4	CNNM2	6	0.896	0.149333333333333
ACHA4	PANK4	9	0.863	0.0958888888888889
ANXA2	NUP98	3	0.235	0.0783333333333333
ANXA2	COG2	3	0.322	0.107333333333333
ANXA2	ZNF14	5	0.597	0.1194
ANXA2	KCNJ3	4	0.433	0.10825
ANXA2	CBX4	2	0.735	0.3675
ANXA2	C1QA	3	0.811	0.270333333333333
ANXA2	EXOC1	4	0.226	0.0565
ANXA2	MEST	4	0.787	0.19675
ANXA2	ARMC6	4	0.355	0.08875
ANXA2	GPX2	5	0.361	0.0722
ANXA2	DAAM2	3	0.652	0.217333333333333
ANXA2	KCTD3	5	0.471	0.0942
ANXA2	SF3B2	3	0.266	0.0886666666666667
ANXA2	CORIN	6	0.614	0.102333333333333
ANXA2	GNAI2	2	0.142	0.071
ANXA2	CNNM2	4	0.849	0.21225
ANXA2	PANK4	6	0.804	0.134
AURKB	NUP98	2	0.078	0.039
AURKB	COG2	5	0.345	0.069
AURKB	ZNF14	6	0.447	0.0745
AURKB	KCNJ3	5	0.423	0.0846
AURKB	CBX4	2	0.477	0.2385
AURKB	C1QA	7	0.861	0.123
AURKB	EXOC1	4	0.227	0.05675
AURKB	MEST	7	0.786	0.112285714285714
AURKB	ARMC6	2	0.305	0.1525
AURKB	GPX2	7	0.363	0.0518571428571429
AURKB	DAAM2	4	0.591	0.14775
AURKB	KCTD3	3	0.411	0.137
AURKB	SF3B2	4	0.205	0.05125
AURKB	CORIN	8	0.735	0.091875
AURKB	GNAI2	6	0.196	0.0326666666666667
AURKB	CNNM2	6	0.988	0.164666666666667
AURKB	PANK4	6	0.858	0.143
GNAT3	NUP98	5	0.364	0.0728
GNAT3	COG2	5	0.39	0.078
GNAT3	ZNF14	5	0.465	0.093
GNAT3	KCNJ3	2	0.226	0.113
GNAT3	CBX4	6	0.95	0.158333333333333
GNAT3	C1QA	6	0.946	0.157666666666667
GNAT3	EXOC1	4	0.272	0.068
