source	dest	edges	cum_dist	avg_dist_per_edge
ACE	EPHB1	6	0.122	0.0203333333333333
ACE	G6PD	3	0.558	0.186
ACE	DGKG	5	0.176	0.0352
ACE	RPP25	6	0.511	0.0851666666666667
ACE	NPHP4	6	0.504	0.084
ACE	PEX13	5	0.292	0.0584
ACE	LPP	6	0.9	0.15
ACE	KLF11	3	0.331	0.110333333333333
ACE	SYT17	5	0.68	0.136
ACE	VAMP8	4	0.254	0.0635
ACE	IL1R1	3	0.477	0.159
ACE	HRH2	2	0.21	0.105
ACE	TSKS	6	0.497	0.0828333333333333
ACE	PTPRU	6	0.114	0.019
ACE	MORN1	8	0.914	0.11425
ACE	TSN	3	0.658	0.219333333333333
ACE	NPM3	4	0.479	0.11975
ACE	EHMT2	4	0.771	0.19275
ACE	SATB1	5	0.149	0.0298
KAPCA	EPHB1	7	0.12	0.0171428571428571
KAPCA	G6PD	4	0.515	0.12875
KAPCA	DGKG	3	0.208	0.0693333333333333
KAPCA	RPP25	3	0.348	0.116
KAPCA	NPHP4	4	0.405	0.10125
KAPCA	PEX13	6	0.376	0.0626666666666667
KAPCA	LPP	4	0.801	0.20025
KAPCA	KLF11	4	0.303	0.07575
KAPCA	SYT17	5	0.676	0.1352
KAPCA	VAMP8	5	0.26	0.052
KAPCA	IL1R1	4	0.434	0.1085
KAPCA	HRH2	3	0.201	0.067
KAPCA	TSKS	7	0.495	0.0707142857142857
KAPCA	PTPRU	4	0.1	0.025
KAPCA	MORN1	5	0.909	0.1818
KAPCA	TSN	4	0.808	0.202
KAPCA	NPM3	4	0.464	0.116
KAPCA	EHMT2	2	0.494	0.247
KAPCA	SATB1	4	0.159	0.03975
NTKL	EPHB1	5	0.211	0.0422
NTKL	G6PD	3	0.385	0.128333333333333
NTKL	DGKG	4	0.299	0.07475
NTKL	RPP25	7	0.752	0.107428571428571
NTKL	NPHP4	6	0.534	0.089
NTKL	PEX13	8	0.489	0.061125
NTKL	LPP	6	0.93	0.155
NTKL	KLF11	4	0.403	0.10075
NTKL	SYT17	6	0.797	0.132833333333333
NTKL	VAMP8	6	0.365	0.0608333333333333
NTKL	IL1R1	4	0.361	0.09025
NTKL	HRH2	5	0.374	0.0748
NTKL	TSKS	2	0.425	0.2125
NTKL	PTPRU	5	0.245	0.049
NTKL	MORN1	8	1.011	0.126375
NTKL	TSN	5	0.797	0.1594
NTKL	NPM3	5	0.576	0.1152
NTKL	EHMT2	5	0.673	0.1346
NTKL	SATB1	5	0.271	0.0542
CALM	EPHB1	4	0.085	0.02125
CALM	G6PD	2	0.265	0.1325
CALM	DGKG	2	0.164	0.082
CALM	RPP25	3	0.606	0.202
CALM	NPHP4	2	0.378	0.189
CALM	PEX13	5	0.282	0.0564
CALM	LPP	5	0.81	0.162
CALM	KLF11	3	0.283	0.0943333333333333
CALM	SYT17	5	0.67	0.134
CALM	VAMP8	3	0.196	0.0653333333333333
CALM	IL1R1	2	0.444	0.222
CALM	HRH2	3	0.202	0.0673333333333333
CALM	TSKS	4	0.46	0.115
CALM	PTPRU	6	0.104	0.0173333333333333
CALM	MORN1	8	0.898	0.11225
CALM	TSN	3	0.648	0.216
CALM	NPM3	4	0.456	0.114
CALM	EHMT2	4	0.45	0.1125
CALM	SATB1	5	0.145	0.029
ACHA4	EPHB1	4	0.182	0.0455
ACHA4	G6PD	3	0.419	0.139666666666667
ACHA4	DGKG	3	0.253	0.0843333333333333
ACHA4	RPP25	7	0.73	0.104285714285714
ACHA4	NPHP4	6	0.561	0.0935
ACHA4	PEX13	6	0.459	0.0765
ACHA4	LPP	6	0.957	0.1595
ACHA4	KLF11	4	0.379	0.09475
ACHA4	SYT17	6	0.771	0.1285
ACHA4	VAMP8	2	0.207	0.1035
ACHA4	IL1R1	2	0.219	0.1095
ACHA4	HRH2	3	0.284	0.0946666666666667
ACHA4	TSKS	6	0.586	0.0976666666666667
ACHA4	PTPRU	3	0.199	0.0663333333333333
ACHA4	MORN1	7	0.998	0.142571428571429
ACHA4	TSN	5	0.775	0.155
ACHA4	NPM3	6	0.553	0.0921666666666667
ACHA4	EHMT2	4	0.664	0.166
ACHA4	SATB1	6	0.248	0.0413333333333333
ANXA2	EPHB1	4	0.097	0.02425
ANXA2	G6PD	3	0.475	0.158333333333333
ANXA2	DGKG	2	0.14	0.07
ANXA2	RPP25	5	0.688	0.1376
ANXA2	NPHP4	4	0.556	0.139
ANXA2	PEX13	5	0.397	0.0794
ANXA2	LPP	4	0.952	0.238
ANXA2	KLF11	3	0.4	0.133333333333333
ANXA2	SYT17	5	0.707	0.1414
ANXA2	VAMP8	2	0.241	0.1205
ANXA2	IL1R1	2	0.477	0.2385
ANXA2	HRH2	3	0.318	0.106
ANXA2	TSKS	4	0.472	0.118
ANXA2	PTPRU	5	0.122	0.0244
ANXA2	MORN1	8	0.91	0.11375
ANXA2	TSN	3	0.733	0.244333333333333
ANXA2	NPM3	3	0.513	0.171
ANXA2	EHMT2	4	0.635	0.15875
ANXA2	SATB1	5	0.157	0.0314
AURKB	EPHB1	4	0.073	0.01825
AURKB	G6PD	6	0.474	0.079
AURKB	DGKG	5	0.154	0.0308
AURKB	RPP25	8	0.722	0.09025
AURKB	NPHP4	2	0.442	0.221
AURKB	PEX13	6	0.404	0.0673333333333333
AURKB	LPP	2	0.871	0.4355
AURKB	KLF11	4	0.349	0.08725
AURKB	SYT17	4	0.64	0.16
AURKB	VAMP8	4	0.256	0.064
AURKB	IL1R1	6	0.393	0.0655
AURKB	HRH2	4	0.257	0.06425
AURKB	TSKS	6	0.46	0.0766666666666667
