source	dest	edges	cum_dist	avg_dist_per_edge
ACE	AP1S1	4	0.517	0.12925
ACE	FBLN2	3	0.417	0.139
ACE	PAK3	6	0.167	0.0278333333333333
ACE	GPC3	3	0.194	0.0646666666666667
ACE	EXOC3	5	0.607	0.1214
ACE	CYR61	2	0.181	0.0905
ACE	TRPS1	5	0.671	0.1342
ACE	WDR62	5	0.68	0.136
ACE	WDHD1	4	0.329	0.08225
ACE	BID	4	0.13	0.0325
ACE	RAPSN	3	0.2	0.0666666666666667
ACE	P2RY4	2	0.114	0.057
ACE	LYPD1	5	0.98	0.196
ACE	FGF18	4	0.165	0.04125
ACE	SCO2	3	0.274	0.0913333333333333
ACE	LCAT	3	0.095	0.0316666666666667
ACE	PDXK	4	0.723	0.18075
ACE	TIMP1	3	0.07	0.0233333333333333
ACE	SRPK2	6	0.399	0.0665
KAPCA	AP1S1	5	0.474	0.0948
KAPCA	FBLN2	4	0.497	0.12425
KAPCA	PAK3	7	0.165	0.0235714285714286
KAPCA	GPC3	4	0.201	0.05025
KAPCA	EXOC3	6	0.635	0.105833333333333
KAPCA	CYR61	3	0.325	0.108333333333333
KAPCA	TRPS1	4	0.426	0.1065
KAPCA	WDR62	3	0.654	0.218
KAPCA	WDHD1	4	0.314	0.0785
KAPCA	BID	3	0.086	0.0286666666666667
KAPCA	RAPSN	3	0.26	0.0866666666666667
KAPCA	P2RY4	2	0.151	0.0755
KAPCA	LYPD1	5	0.641	0.1282
KAPCA	FGF18	6	0.192	0.032
KAPCA	SCO2	3	0.259	0.0863333333333333
KAPCA	LCAT	5	0.18	0.036
KAPCA	PDXK	4	0.925	0.23125
KAPCA	TIMP1	4	0.089	0.02225
KAPCA	SRPK2	6	0.384	0.064
NTKL	AP1S1	1	0.101	0.101
NTKL	FBLN2	5	0.55	0.11
NTKL	PAK3	4	0.283	0.07075
NTKL	GPC3	4	0.303	0.07575
NTKL	EXOC3	6	0.5	0.0833333333333333
NTKL	CYR61	4	0.314	0.0785
NTKL	TRPS1	7	0.594	0.0848571428571429
NTKL	WDR62	8	0.859	0.107375
NTKL	WDHD1	6	0.371	0.0618333333333333
NTKL	BID	5	0.227	0.0454
NTKL	RAPSN	5	0.333	0.0666
NTKL	P2RY4	6	0.351	0.0585
NTKL	LYPD1	5	0.77	0.154
NTKL	FGF18	5	0.267	0.0534
NTKL	SCO2	4	0.371	0.09275
NTKL	LCAT	6	0.285	0.0475
NTKL	PDXK	5	0.914	0.1828
NTKL	TIMP1	4	0.215	0.05375
NTKL	SRPK2	6	0.37	0.0616666666666667
CALM	AP1S1	3	0.224	0.0746666666666667
CALM	FBLN2	4	0.43	0.1075
CALM	PAK3	4	0.13	0.0325
CALM	GPC3	3	0.183	0.061
CALM	EXOC3	4	0.454	0.1135
CALM	CYR61	3	0.194	0.0646666666666667
CALM	TRPS1	3	0.318	0.106
CALM	WDR62	4	0.66	0.165
CALM	WDHD1	4	0.234	0.0585
CALM	BID	3	0.087	0.029
CALM	RAPSN	4	0.213	0.05325
CALM	P2RY4	2	0.114	0.057
CALM	LYPD1	5	0.896	0.1792
CALM	FGF18	4	0.155	0.03875
CALM	SCO2	3	0.251	0.0836666666666667
CALM	LCAT	3	0.116	0.0386666666666667
CALM	PDXK	4	0.713	0.17825
CALM	TIMP1	6	0.068	0.0113333333333333
CALM	SRPK2	5	0.25	0.05
ACHA4	AP1S1	4	0.378	0.0945
ACHA4	FBLN2	5	0.528	0.1056
ACHA4	PAK3	7	0.258	0.0368571428571429
ACHA4	GPC3	4	0.284	0.071
ACHA4	EXOC3	6	0.598	0.0996666666666667
ACHA4	CYR61	4	0.292	0.073
ACHA4	TRPS1	6	0.571	0.0951666666666667
ACHA4	WDR62	8	0.837	0.104625
ACHA4	WDHD1	6	0.403	0.0671666666666667
ACHA4	BID	6	0.204	0.034
ACHA4	RAPSN	5	0.311	0.0622
ACHA4	P2RY4	4	0.292	0.073
ACHA4	LYPD1	3	0.718	0.239333333333333
ACHA4	FGF18	4	0.247	0.06175
ACHA4	SCO2	5	0.348	0.0696
ACHA4	LCAT	6	0.259	0.0431666666666667
ACHA4	PDXK	6	0.873	0.1455
ACHA4	TIMP1	4	0.173	0.04325
ACHA4	SRPK2	6	0.353	0.0588333333333333
ANXA2	AP1S1	4	0.434	0.1085
ANXA2	FBLN2	3	0.486	0.162
ANXA2	PAK3	4	0.142	0.0355
ANXA2	GPC3	3	0.263	0.0876666666666667
ANXA2	EXOC3	3	0.358	0.119333333333333
ANXA2	CYR61	2	0.25	0.125
ANXA2	TRPS1	3	0.379	0.126333333333333
ANXA2	WDR62	6	0.795	0.1325
ANXA2	WDHD1	3	0.363	0.121
ANXA2	BID	3	0.164	0.0546666666666667
ANXA2	RAPSN	3	0.269	0.0896666666666667
ANXA2	P2RY4	4	0.241	0.06025
ANXA2	LYPD1	3	0.662	0.220666666666667
ANXA2	FGF18	5	0.221	0.0442
ANXA2	SCO2	2	0.308	0.154
ANXA2	LCAT	2	0.153	0.0765
ANXA2	PDXK	3	0.84	0.28
ANXA2	TIMP1	6	0.086	0.0143333333333333
ANXA2	SRPK2	5	0.433	0.0866
AURKB	AP1S1	7	0.433	0.0618571428571429
AURKB	FBLN2	4	0.485	0.12125
AURKB	PAK3	5	0.165	0.033
AURKB	GPC3	4	0.204	0.051
AURKB	EXOC3	6	0.584	0.0973333333333333
AURKB	CYR61	5	0.284	0.0568
AURKB	TRPS1	4	0.375	0.09375
AURKB	WDR62	4	0.69	0.1725
AURKB	WDHD1	2	0.119	0.0595
AURKB	BID	4	0.103	0.02575
AURKB	RAPSN	6	0.303	0.0505
AURKB	P2RY4	4	0.242	0.0605
AURKB	LYPD1	6	0.697	0.116166666666667
AURKB	FGF18	5	0.178	0.0356
AURKB	SCO2	3	0.247	0.0823333333333333
AURKB	LCAT	4	0.176	0.044
AURKB	PDXK	5	0.845	0.169
AURKB	TIMP1	3	0.081	0.027
AURKB	SRPK2	4	0.192	0.048
GNAT3	AP1S1	6	0.924	0.154
GNAT3	FBLN2	5	0.605	0.121
GNAT3	PAK3	4	0.273	0.06825
GNAT3	GPC3	4	0.381	0.09525
GNAT3	EXOC3	5	0.713	0.1426
GNAT3	CYR61	4	0.369	0.09225
GNAT3	TRPS1	5	0.692	0.1384
GNAT3	WDR62	5	0.741	0.1482
GNAT3	WDHD1	6	0.517	0.0861666666666667
GNAT3	BID	4	0.279	0.06975
GNAT3	RAPSN	5	0.388	0.0776
GNAT3	P2RY4	3	0.195	0.065
GNAT3	LYPD1	4	0.695	0.17375
GNAT3	FGF18	5	0.29	0.058
GNAT3	SCO2	5	0.462	0.0924
GNAT3	LCAT	4	0.221	0.05525
GNAT3	PDXK	8	0.738	0.09225
GNAT3	TIMP1	5	0.163	0.0326
GNAT3	SRPK2	7	0.472	0.0674285714285714
CA2D1	AP1S1	5	0.698	0.1396
CA2D1	FBLN2	4	0.738	0.1845
CA2D1	PAK3	6	0.372	0.062
CA2D1	GPC3	7	0.507	0.0724285714285714
CA2D1	EXOC3	6	0.596	0.0993333333333333
CA2D1	CYR61	3	0.502	0.167333333333333
CA2D1	TRPS1	6	0.856	0.142666666666667
CA2D1	WDR62	5	0.786	0.1572
CA2D1	WDHD1	5	0.65	0.13
CA2D1	BID	7	0.404	0.0577142857142857
CA2D1	RAPSN	4	0.521	0.13025
CA2D1	P2RY4	4	0.318	0.0795
CA2D1	LYPD1	6	0.94	0.156666666666667
CA2D1	FGF18	6	0.376	0.0626666666666667
CA2D1	SCO2	4	0.595	0.14875
CA2D1	LCAT	6	0.405	0.0675
CA2D1	PDXK	10	0.769	0.0769
CA2D1	TIMP1	6	0.229	0.0381666666666667
CA2D1	SRPK2	7	0.72	0.102857142857143
CAH4	AP1S1	10	0.967	0.0967
CAH4	FBLN2	7	0.863	0.123285714285714
CAH4	PAK3	4	0.488	0.122
CAH4	GPC3	5	0.828	0.1656
CAH4	EXOC3	5	0.922	0.1844
CAH4	CYR61	8	0.899	0.112375
CAH4	TRPS1	5	0.943	0.1886
CAH4	WDR62	5	1.229	0.2458
CAH4	WDHD1	4	0.767	0.19175
CAH4	BID	5	0.741	0.1482
CAH4	RAPSN	7	0.823	0.117571428571429
CAH4	P2RY4	4	0.761	0.19025
CAH4	LYPD1	5	1.226	0.2452
CAH4	FGF18	6	0.493	0.0821666666666667
CAH4	SCO2	5	0.676	0.1352
CAH4	LCAT	7	0.775	0.110714285714286
CAH4	PDXK	7	0.99	0.141428571428571
CAH4	TIMP1	3	0.227	0.0756666666666667
CAH4	SRPK2	8	0.917	0.114625
AK1C1	AP1S1	7	0.997	0.142428571428571
AK1C1	FBLN2	8	0.899	0.112375
AK1C1	PAK3	5	0.483	0.0966
AK1C1	GPC3	9	0.658	0.0731111111111111
AK1C1	EXOC3	4	0.803	0.20075
AK1C1	CYR61	4	0.714	0.1785
AK1C1	TRPS1	4	0.824	0.206
AK1C1	WDR62	7	1.127	0.161
AK1C1	WDHD1	7	0.618	0.0882857142857143
AK1C1	BID	5	0.346	0.0692
AK1C1	RAPSN	5	0.733	0.1466
AK1C1	P2RY4	5	0.354	0.0708
AK1C1	LYPD1	6	0.978	0.163
AK1C1	FGF18	6	0.419	0.0698333333333333
AK1C1	SCO2	6	0.708	0.118
AK1C1	LCAT	5	0.288	0.0576
AK1C1	PDXK	4	0.675	0.16875
AK1C1	TIMP1	7	0.247	0.0352857142857143
AK1C1	SRPK2	8	0.932	0.1165
ROCK1	AP1S1	6	0.904	0.150666666666667
ROCK1	FBLN2	5	0.682	0.1364
ROCK1	PAK3	2	0.179	0.0895
ROCK1	GPC3	4	0.323	0.08075
ROCK1	EXOC3	4	0.852	0.213
ROCK1	CYR61	5	0.824	0.1648
ROCK1	TRPS1	5	0.745	0.149
ROCK1	WDR62	7	0.912	0.130285714285714
ROCK1	WDHD1	5	0.417	0.0834
ROCK1	BID	4	0.22	0.055
ROCK1	RAPSN	6	0.843	0.1405
ROCK1	P2RY4	4	0.303	0.07575
ROCK1	LYPD1	4	0.725	0.18125
ROCK1	FGF18	4	0.321	0.08025
ROCK1	SCO2	6	0.727	0.121166666666667
ROCK1	LCAT	4	0.267	0.06675
ROCK1	PDXK	9	0.658	0.0731111111111111
ROCK1	TIMP1	4	0.141	0.03525
ROCK1	SRPK2	5	0.716	0.1432
CHLE	AP1S1	4	0.214	0.0535
CHLE	FBLN2	6	0.643	0.107166666666667
CHLE	PAK3	6	0.175	0.0291666666666667
CHLE	GPC3	4	0.268	0.067
CHLE	EXOC3	6	0.399	0.0665
CHLE	CYR61	4	0.612	0.153
CHLE	TRPS1	3	0.763	0.254333333333333
CHLE	WDR62	6	0.824	0.137333333333333
CHLE	WDHD1	5	0.27	0.054
CHLE	BID	3	0.197	0.0656666666666667
CHLE	RAPSN	1	0.395	0.395
CHLE	P2RY4	3	0.205	0.0683333333333333
CHLE	LYPD1	6	0.743	0.123833333333333
CHLE	FGF18	5	0.202	0.0404
CHLE	SCO2	6	0.671	0.111833333333333
CHLE	LCAT	3	0.139	0.0463333333333333
CHLE	PDXK	6	0.876	0.146
CHLE	TIMP1	3	0.103	0.0343333333333333
CHLE	SRPK2	6	0.908	0.151333333333333
J3QK85	AP1S1	4	0.303	0.07575
J3QK85	FBLN2	4	0.498	0.1245
J3QK85	PAK3	4	0.109	0.02725
J3QK85	GPC3	5	0.244	0.0488
J3QK85	EXOC3	4	0.383	0.09575
J3QK85	CYR61	3	0.262	0.0873333333333333
J3QK85	TRPS1	6	0.507	0.0845
J3QK85	WDR62	7	0.77	0.11
J3QK85	WDHD1	6	0.33	0.055
J3QK85	BID	5	0.141	0.0282
J3QK85	RAPSN	4	0.281	0.07025
J3QK85	P2RY4	4	0.208	0.052
J3QK85	LYPD1	4	0.677	0.16925
J3QK85	FGF18	3	0.168	0.056
J3QK85	SCO2	3	0.303	0.101
J3QK85	LCAT	4	0.142	0.0355
J3QK85	PDXK	4	0.862	0.2155
J3QK85	TIMP1	6	0.053	0.00883333333333333
J3QK85	SRPK2	6	0.329	0.0548333333333333
ZAP70	AP1S1	4	0.496	0.124
ZAP70	FBLN2	7	0.628	0.0897142857142857
ZAP70	PAK3	4	0.115	0.02875
ZAP70	GPC3	3	0.186	0.062
ZAP70	EXOC3	5	0.518	0.1036
ZAP70	CYR61	4	0.466	0.1165
ZAP70	TRPS1	4	0.617	0.15425
ZAP70	WDR62	6	0.775	0.129166666666667
ZAP70	WDHD1	4	0.518	0.1295
ZAP70	BID	3	0.083	0.0276666666666667
ZAP70	RAPSN	5	0.485	0.097
ZAP70	P2RY4	6	0.179	0.0298333333333333
ZAP70	LYPD1	5	0.67	0.134
ZAP70	FGF18	4	0.101	0.02525
ZAP70	SCO2	3	0.467	0.155666666666667
ZAP70	LCAT	6	0.113	0.0188333333333333
