source	destinations_disconnected_to
ACE	TOR3A	AFF3
KAPCA	TOR3A	AFF3
NTKL	TOR3A	AFF3
CALM	TOR3A	AFF3
ACHA4	TOR3A	AFF3
ANXA2	TOR3A	AFF3
AURKB	TOR3A	AFF3
GNAT3	TOR3A	AFF3
CA2D1	TOR3A	AFF3
CAH4	TOR3A	AFF3
AK1C1	TOR3A	AFF3
ROCK1	TOR3A	AFF3
CHLE	TOR3A	AFF3
J3QK85	TOR3A	AFF3
ZAP70	TOR3A	AFF3
UD14	TOR3A	AFF3
S12A2	TOR3A	AFF3
EST1A	TOR3A	AFF3
VKOR1	TOR3A	AFF3
XDH	TOR3A	AFF3
ACHB4	TOR3A	AFF3
RLP24	TOR3A	AFF3
EDN1	TOR3A	AFF3
GBRB3	TOR3A	AFF3
TKT	TOR3A	AFF3
NEU2	TOR3A	AFF3
3HAO	TOR3A	AFF3
RL10L	TOR3A	AFF3
ADA1D	TOR3A	AFF3
CANB2	TOR3A	AFF3
KAP3	TOR3A	AFF3
PANX1	TOR3A	AFF3
ST2A1	TOR3A	AFF3
UPP2	TOR3A	AFF3
AK1D1	TOR3A	AFF3
CAC1A	TOR3A	AFF3
CUBN	TOR3A	AFF3
THA	TOR3A	AFF3
TBB5	TOR3A	AFF3
CATA	TOR3A	AFF3
RL3	TOR3A	AFF3
PA2GE	TOR3A	AFF3
HRH2	TOR3A	AFF3
ATTY	TOR3A	AFF3
S29A2	TOR3A	AFF3
GBRT	TOR3A	AFF3
ACHA3	TOR3A	AFF3
CDK6	TOR3A	AFF3
5HT7R	TOR3A	AFF3
ADRB1	TOR3A	AFF3
CP11A	TOR3A	AFF3
CSK	TOR3A	AFF3
5HT3A	TOR3A	AFF3
AT12A	TOR3A	AFF3
IOD3	TOR3A	AFF3
PGFRA	TOR3A	AFF3
A1AG1	TOR3A	AFF3
TNFA	TOR3A	AFF3
NFAC2	TOR3A	AFF3
NOS2	TOR3A	AFF3
5HT2B	TOR3A	AFF3
HS90A	TOR3A	AFF3
LCK	TOR3A	AFF3
ADCYA	TOR3A	AFF3
HS90B	TOR3A	AFF3
ADA2A	TOR3A	AFF3
CACP	TOR3A	AFF3
RARA	TOR3A	AFF3
PYC	TOR3A	AFF3
CATL1	TOR3A	AFF3
ACHA9	TOR3A	AFF3
NH2L1	TOR3A	AFF3
AAKB2	TOR3A	AFF3
DCXR	TOR3A	AFF3
CXCL7	TOR3A	AFF3
KCNE1	TOR3A	AFF3
B3GT4	TOR3A	AFF3
ACES	TOR3A	AFF3
SCNNG	TOR3A	AFF3
HASP	TOR3A	AFF3
MMP3	TOR3A	AFF3
MET	TOR3A	AFF3
AA2BR	TOR3A	AFF3
PDE8A	TOR3A	AFF3
5HT2C	TOR3A	AFF3
AK1C3	TOR3A	AFF3
