source	dest	edges	cum_dist	avg_dist_per_edge
ACE	CLCN4	6	0.522	0.087
ACE	AOC2	2	0.367	0.1835
ACE	TAF6	3	0.09	0.03
ACE	ASB6	4	0.628	0.157
ACE	NPTX1	6	0.227	0.0378333333333333
ACE	CEP72	8	0.44	0.055
ACE	SKP1	4	0.206	0.0515
ACE	ASPM	6	0.303	0.0505
ACE	MEIS2	4	0.508	0.127
ACE	EIF3F	4	0.18	0.045
ACE	EMR1	3	0.954	0.318
ACE	CUL9	3	0.132	0.044
ACE	SENP2	6	0.148	0.0246666666666667
ACE	LAMA2	4	0.549	0.13725
ACE	MSL2	4	0.149	0.03725
ACE	KCTD3	5	0.415	0.083
ACE	PTPRB	3	0.166	0.0553333333333333
KAPCA	CLCN4	7	0.988	0.141142857142857
KAPCA	AOC2	3	0.541	0.180333333333333
KAPCA	TAF6	4	0.081	0.02025
KAPCA	ASB6	4	0.653	0.16325
KAPCA	NPTX1	4	0.238	0.0595
KAPCA	CEP72	4	0.376	0.094
KAPCA	SKP1	4	0.191	0.04775
KAPCA	ASPM	6	0.288	0.048
KAPCA	MEIS2	4	0.493	0.12325
KAPCA	EIF3F	5	0.186	0.0372
KAPCA	EMR1	3	0.455	0.151666666666667
KAPCA	CUL9	3	0.117	0.039
KAPCA	SENP2	7	0.146	0.0208571428571429
KAPCA	LAMA2	5	0.506	0.1012
KAPCA	MSL2	4	0.134	0.0335
KAPCA	KCTD3	2	0.423	0.2115
KAPCA	PTPRB	4	0.31	0.0775
NTKL	CLCN4	7	0.653	0.0932857142857143
NTKL	AOC2	5	0.537	0.1074
NTKL	TAF6	5	0.228	0.0456
NTKL	ASB6	8	0.819	0.102375
NTKL	NPTX1	9	0.374	0.0415555555555556
NTKL	CEP72	4	0.404	0.101
NTKL	SKP1	5	0.303	0.0606
NTKL	ASPM	6	0.288	0.048
NTKL	MEIS2	5	0.605	0.121
NTKL	EIF3F	4	0.273	0.06825
NTKL	EMR1	6	0.618	0.103
NTKL	CUL9	4	0.229	0.05725
NTKL	SENP2	6	0.276	0.046
NTKL	LAMA2	4	0.376	0.094
NTKL	MSL2	5	0.246	0.0492
NTKL	KCTD3	6	0.575	0.0958333333333333
NTKL	PTPRB	5	0.299	0.0598
CALM	CLCN4	7	0.989	0.141285714285714
CALM	AOC2	4	0.417	0.10425
CALM	TAF6	4	0.082	0.0205
CALM	ASB6	4	0.618	0.1545
CALM	NPTX1	6	0.217	0.0361666666666667
CALM	CEP72	3	0.172	0.0573333333333333
CALM	SKP1	3	0.182	0.0606666666666667
CALM	ASPM	4	0.151	0.03775
CALM	MEIS2	4	0.485	0.12125
CALM	EIF3F	3	0.122	0.0406666666666667
CALM	EMR1	4	0.967	0.24175
CALM	CUL9	3	0.109	0.0363333333333333
CALM	SENP2	4	0.111	0.02775
CALM	LAMA2	3	0.256	0.0853333333333333
CALM	MSL2	4	0.126	0.0315
CALM	KCTD3	5	0.434	0.0868
CALM	PTPRB	4	0.179	0.04475
ACHA4	CLCN4	7	0.613	0.0875714285714286
ACHA4	AOC2	5	0.571	0.1142
ACHA4	TAF6	4	0.164	0.041
ACHA4	ASB6	5	0.757	0.1514
ACHA4	NPTX1	5	0.323	0.0646
ACHA4	CEP72	6	0.434	0.0723333333333333
ACHA4	SKP1	2	0.24	0.12
ACHA4	ASPM	6	0.321	0.0535
ACHA4	MEIS2	6	0.582	0.097
ACHA4	EIF3F	4	0.256	0.064
ACHA4	EMR1	5	0.595	0.119
ACHA4	CUL9	5	0.206	0.0412
ACHA4	SENP2	7	0.239	0.0341428571428571
ACHA4	LAMA2	4	0.41	0.1025
ACHA4	MSL2	6	0.223	0.0371666666666667
ACHA4	KCTD3	6	0.535	0.0891666666666667
ACHA4	PTPRB	5	0.277	0.0554
