source	dest	edges	cum_dist	avg_dist_per_edge
ACE	LRBA	5	0.643	0.1286
ACE	SYT2	3	0.205	0.0683333333333333
ACE	FOXI1	7	0.821	0.117285714285714
ACE	PRL	2	0.176	0.088
ACE	PRB3	4	0.609	0.15225
ACE	FARP2	3	0.232	0.0773333333333333
ACE	CCR6	2	0.129	0.0645
ACE	TAF1	3	0.177	0.059
ACE	EZH1	4	0.229	0.05725
ACE	JUN	4	0.061	0.01525
ACE	GNPAT	4	0.441	0.11025
ACE	BUD31	6	0.647	0.107833333333333
ACE	FGF21	4	0.247	0.06175
ACE	MTMR7	4	0.299	0.07475
ACE	ARNT2	4	0.536	0.134
ACE	TPX2	4	0.154	0.0385
ACE	NPY1R	4	0.116	0.029
ACE	MTUS1	3	0.516	0.172
KAPCA	LRBA	5	0.639	0.1278
KAPCA	SYT2	6	0.24	0.04
KAPCA	FOXI1	5	0.812	0.1624
KAPCA	PRL	3	0.31	0.103333333333333
KAPCA	PRB3	4	0.594	0.1485
KAPCA	FARP2	4	0.376	0.094
KAPCA	CCR6	2	0.184	0.092
KAPCA	TAF1	3	0.162	0.054
KAPCA	EZH1	3	0.188	0.0626666666666667
KAPCA	JUN	2	0.072	0.036
KAPCA	GNPAT	5	0.525	0.105
KAPCA	BUD31	7	0.645	0.0921428571428572
KAPCA	FGF21	4	0.402	0.1005
KAPCA	MTMR7	5	0.464	0.0928
KAPCA	ARNT2	5	0.68	0.136
KAPCA	TPX2	4	0.139	0.03475
KAPCA	NPY1R	4	0.114	0.0285
KAPCA	MTUS1	4	0.639	0.15975
NTKL	LRBA	6	0.76	0.126666666666667
NTKL	SYT2	6	0.36	0.06
NTKL	FOXI1	7	0.949	0.135571428571429
NTKL	PRL	4	0.291	0.07275
NTKL	PRB3	6	0.68	0.113333333333333
NTKL	FARP2	5	0.365	0.073
NTKL	CCR6	5	0.37	0.074
NTKL	TAF1	4	0.274	0.0685
NTKL	EZH1	5	0.326	0.0652
NTKL	JUN	7	0.208	0.0297142857142857
NTKL	GNPAT	7	0.638	0.0911428571428572
NTKL	BUD31	6	0.775	0.129166666666667
NTKL	FGF21	6	0.331	0.0551666666666667
NTKL	MTMR7	6	0.383	0.0638333333333333
NTKL	ARNT2	6	0.669	0.1115
NTKL	TPX2	5	0.251	0.0502
NTKL	NPY1R	6	0.256	0.0426666666666667
NTKL	MTUS1	6	0.713	0.118833333333333
CALM	LRBA	5	0.633	0.1266
CALM	SYT2	1	0.129	0.129
CALM	FOXI1	5	0.784	0.1568
CALM	PRL	3	0.171	0.057
CALM	PRB3	3	0.559	0.186333333333333
CALM	FARP2	4	0.245	0.06125
CALM	CCR6	2	0.147	0.0735
CALM	TAF1	3	0.154	0.0513333333333333
CALM	EZH1	5	0.144	0.0288
CALM	JUN	4	0.051	0.01275
CALM	GNPAT	3	0.373	0.124333333333333
CALM	BUD31	4	0.61	0.1525
CALM	FGF21	4	0.212	0.053
CALM	MTMR7	4	0.264	0.066
CALM	ARNT2	5	0.549	0.1098
CALM	TPX2	4	0.131	0.03275
CALM	NPY1R	3	0.087	0.029
CALM	MTUS1	3	0.506	0.168666666666667
ACHA4	LRBA	6	0.728	0.121333333333333
ACHA4	SYT2	3	0.307	0.102333333333333
ACHA4	FOXI1	8	0.906	0.11325
ACHA4	PRL	2	0.154	0.077
ACHA4	PRB3	6	0.683	0.113833333333333
ACHA4	FARP2	5	0.343	0.0686
ACHA4	CCR6	4	0.294	0.0735
ACHA4	TAF1	5	0.251	0.0502
ACHA4	EZH1	6	0.303	0.0505
ACHA4	JUN	3	0.157	0.0523333333333333
ACHA4	GNPAT	5	0.608	0.1216
ACHA4	BUD31	7	0.732	0.104571428571429
ACHA4	FGF21	4	0.304	0.076
ACHA4	MTMR7	4	0.356	0.089
ACHA4	ARNT2	6	0.647	0.107833333333333
ACHA4	TPX2	6	0.228	0.038
ACHA4	NPY1R	4	0.197	0.04925
ACHA4	MTUS1	6	0.691	0.115166666666667
ANXA2	LRBA	5	0.67	0.134
ANXA2	SYT2	3	0.217	0.0723333333333333
ANXA2	FOXI1	5	0.796	0.1592
ANXA2	PRL	2	0.245	0.1225
ANXA2	PRB3	3	0.643	0.214333333333333
ANXA2	FARP2	3	0.301	0.100333333333333
ANXA2	CCR6	4	0.328	0.082
ANXA2	TAF1	2	0.211	0.1055
ANXA2	EZH1	3	0.263	0.0876666666666667
ANXA2	JUN	4	0.069	0.01725
ANXA2	GNPAT	4	0.546	0.1365
ANXA2	BUD31	4	0.622	0.1555
ANXA2	FGF21	3	0.405	0.135
ANXA2	MTMR7	4	0.471	0.11775
ANXA2	ARNT2	4	0.605	0.15125
ANXA2	TPX2	6	0.186	0.031
ANXA2	NPY1R	4	0.146	0.0365
ANXA2	MTUS1	4	0.649	0.16225
AURKB	LRBA	4	0.603	0.15075
AURKB	SYT2	3	0.244	0.0813333333333333
AURKB	FOXI1	6	0.805	0.134166666666667
AURKB	PRL	5	0.279	0.0558
AURKB	PRB3	4	0.582	0.1455
AURKB	FARP2	6	0.335	0.0558333333333333
AURKB	CCR6	5	0.267	0.0534
AURKB	TAF1	3	0.15	0.05
AURKB	EZH1	6	0.179	0.0298333333333333
AURKB	JUN	3	0.068	0.0226666666666667
AURKB	GNPAT	5	0.553	0.1106
AURKB	BUD31	8	0.676	0.0845
AURKB	FGF21	5	0.334	0.0668
AURKB	MTMR7	5	0.386	0.0772
AURKB	ARNT2	7	0.639	0.0912857142857143
AURKB	TPX2	3	0.017	0.00566666666666667
AURKB	NPY1R	4	0.147	0.03675
AURKB	MTUS1	7	0.683	0.0975714285714286
GNAT3	LRBA	6	0.831	0.1385
GNAT3	SYT2	3	0.276	0.092
GNAT3	FOXI1	5	0.885	0.177
GNAT3	PRL	4	0.364	0.091
GNAT3	PRB3	6	0.797	0.132833333333333
GNAT3	FARP2	5	0.42	0.084
GNAT3	CCR6	2	0.202	0.101
GNAT3	TAF1	5	0.365	0.073
GNAT3	EZH1	6	0.417	0.0695
GNAT3	JUN	3	0.146	0.0486666666666667
GNAT3	GNPAT	5	0.594	0.1188
GNAT3	BUD31	6	0.801	0.1335
GNAT3	FGF21	4	0.353	0.08825
GNAT3	MTMR7	4	0.405	0.10125
GNAT3	ARNT2	6	0.724	0.120666666666667
GNAT3	TPX2	6	0.309	0.0515
GNAT3	NPY1R	3	0.167	0.0556666666666667
GNAT3	MTUS1	4	0.677	0.16925
CA2D1	LRBA	6	0.984	0.164
CA2D1	SYT2	3	0.252	0.084
CA2D1	FOXI1	8	1.017	0.127125
CA2D1	PRL	3	0.497	0.165666666666667
CA2D1	PRB3	5	0.93	0.186
CA2D1	FARP2	4	0.553	0.13825
CA2D1	CCR6	4	0.595	0.14875
CA2D1	TAF1	4	0.498	0.1245
CA2D1	EZH1	6	0.511	0.0851666666666667
CA2D1	JUN	4	0.212	0.053
CA2D1	GNPAT	3	0.523	0.174333333333333
CA2D1	BUD31	6	0.852	0.142
CA2D1	FGF21	6	0.659	0.109833333333333
CA2D1	MTMR7	5	0.805	0.161
CA2D1	ARNT2	5	0.857	0.1714
CA2D1	TPX2	6	0.362	0.0603333333333333
CA2D1	NPY1R	4	0.302	0.0755
CA2D1	MTUS1	5	0.901	0.1802
CAH4	LRBA	4	0.777	0.19425
CAH4	SYT2	4	0.606	0.1515
CAH4	FOXI1	6	1.146	0.191
CAH4	PRL	4	0.994	0.2485
CAH4	PRB3	7	0.841	0.120142857142857
CAH4	FARP2	5	0.989	0.1978
CAH4	CCR6	5	0.876	0.1752
CAH4	TAF1	6	0.97	0.161666666666667
CAH4	EZH1	6	0.838	0.139666666666667
CAH4	JUN	3	0.34	0.113333333333333
CAH4	GNPAT	6	0.958	0.159666666666667
CAH4	BUD31	6	0.784	0.130666666666667
CAH4	FGF21	6	0.89	0.148333333333333
CAH4	MTMR7	6	0.689	0.114833333333333
CAH4	ARNT2	3	0.331	0.110333333333333
CAH4	TPX2	8	0.796	0.0995
CAH4	NPY1R	7	0.639	0.0912857142857143
CAH4	MTUS1	4	0.609	0.15225
AK1C1	LRBA	7	0.999	0.142714285714286
AK1C1	SYT2	5	0.363	0.0726
AK1C1	FOXI1	6	0.957	0.1595
AK1C1	PRL	2	0.584	0.292
AK1C1	PRB3	5	0.533	0.1066
AK1C1	FARP2	5	0.765	0.153
AK1C1	CCR6	5	0.693	0.1386
AK1C1	TAF1	5	0.71	0.142
AK1C1	EZH1	4	0.548	0.137
AK1C1	JUN	5	0.23	0.046
AK1C1	GNPAT	3	0.684	0.228
AK1C1	BUD31	7	0.837	0.119571428571429
AK1C1	FGF21	6	0.867	0.1445
AK1C1	MTMR7	4	0.916	0.229
AK1C1	ARNT2	5	0.633	0.1266
AK1C1	TPX2	7	0.376	0.0537142857142857
AK1C1	NPY1R	5	0.259	0.0518
AK1C1	MTUS1	6	0.887	0.147833333333333
ROCK1	LRBA	5	0.798	0.1596
ROCK1	SYT2	4	0.338	0.0845
ROCK1	FOXI1	5	0.853	0.1706
ROCK1	PRL	4	0.646	0.1615
ROCK1	PRB3	3	0.845	0.281666666666667
ROCK1	FARP2	6	0.875	0.145833333333333
ROCK1	CCR6	3	0.667	0.222333333333333
ROCK1	TAF1	4	0.739	0.18475
ROCK1	EZH1	4	0.433	0.10825
ROCK1	JUN	4	0.126	0.0315
ROCK1	GNPAT	6	0.713	0.118833333333333
ROCK1	BUD31	4	0.793	0.19825
ROCK1	FGF21	6	0.796	0.132666666666667
ROCK1	MTMR7	6	0.848	0.141333333333333
ROCK1	ARNT2	6	0.743	0.123833333333333
ROCK1	TPX2	3	0.157	0.0523333333333333
ROCK1	NPY1R	6	0.238	0.0396666666666667
ROCK1	MTUS1	5	0.725	0.145
CHLE	LRBA	5	0.651	0.1302
CHLE	SYT2	3	0.214	0.0713333333333333
CHLE	FOXI1	7	0.829	0.118428571428571
CHLE	PRL	6	0.977	0.162833333333333
CHLE	PRB3	4	0.654	0.1635
CHLE	FARP2	4	0.12	0.03
CHLE	CCR6	4	0.429	0.10725
CHLE	TAF1	6	0.96	0.16
CHLE	EZH1	6	0.314	0.0523333333333333
CHLE	JUN	3	0.088	0.0293333333333333
CHLE	GNPAT	6	0.629	0.104833333333333
CHLE	BUD31	6	0.655	0.109166666666667
CHLE	FGF21	3	0.386	0.128666666666667
CHLE	MTMR7	3	0.98	0.326666666666667
CHLE	ARNT2	7	0.81	0.115714285714286
CHLE	TPX2	8	0.189	0.023625
CHLE	NPY1R	3	0.11	0.0366666666666667
CHLE	MTUS1	6	0.689	0.114833333333333
J3QK85	LRBA	5	0.692	0.1384
J3QK85	SYT2	3	0.184	0.0613333333333333
J3QK85	FOXI1	5	0.763	0.1526
J3QK85	PRL	4	0.248	0.062
J3QK85	PRB3	4	0.638	0.1595
J3QK85	FARP2	4	0.313	0.07825
J3QK85	CCR6	4	0.267	0.06675
J3QK85	TAF1	3	0.206	0.0686666666666667
J3QK85	EZH1	4	0.248	0.062
J3QK85	JUN	4	0.036	0.009
J3QK85	GNPAT	5	0.571	0.1142
J3QK85	BUD31	4	0.589	0.14725
J3QK85	FGF21	3	0.225	0.075
J3QK85	MTMR7	3	0.277	0.0923333333333333
J3QK85	ARNT2	5	0.617	0.1234
J3QK85	TPX2	6	0.153	0.0255
J3QK85	NPY1R	4	0.113	0.02825
J3QK85	MTUS1	3	0.629	0.209666666666667
ZAP70	LRBA	6	0.636	0.106
ZAP70	SYT2	6	0.188	0.0313333333333333
ZAP70	FOXI1	5	0.755	0.151
ZAP70	PRL	2	0.191	0.0955
ZAP70	PRB3	5	0.639	0.1278
ZAP70	FARP2	5	0.517	0.1034
ZAP70	CCR6	4	0.24	0.06
ZAP70	TAF1	3	0.37	0.123333333333333
ZAP70	EZH1	6	0.265	0.0441666666666667
ZAP70	JUN	4	0.028	0.007
ZAP70	GNPAT	7	0.538	0.0768571428571429
ZAP70	BUD31	6	0.606	0.101
ZAP70	FGF21	4	0.158	0.0395
ZAP70	MTMR7	4	0.21	0.0525
ZAP70	ARNT2	5	0.671	0.1342
ZAP70	TPX2	5	0.166	0.0332
ZAP70	NPY1R	6	0.084	0.014
ZAP70	MTUS1	4	0.562	0.1405
UD14	LRBA	7	0.819	0.117
UD14	SYT2	4	0.253	0.06325
UD14	FOXI1	6	0.89	0.148333333333333
UD14	PRL	5	0.403	0.0806
UD14	PRB3	7	0.792	0.113142857142857
UD14	FARP2	6	0.477	0.0795
UD14	CCR6	5	0.379	0.0758
UD14	TAF1	5	0.386	0.0772
UD14	EZH1	4	0.437	0.10925
UD14	JUN	3	0.136	0.0453333333333333
UD14	GNPAT	4	0.602	0.1505
UD14	BUD31	4	0.958	0.2395
UD14	FGF21	2	0.424	0.212
UD14	MTMR7	7	0.495	0.0707142857142857
UD14	ARNT2	7	0.781	0.111571428571429
UD14	TPX2	6	0.266	0.0443333333333333
UD14	NPY1R	4	0.149	0.03725
UD14	MTUS1	5	0.77	0.154
S12A2	LRBA	6	0.78	0.13
S12A2	SYT2	6	0.379	0.0631666666666667
S12A2	FOXI1	8	0.958	0.11975
S12A2	PRL	2	0.206	0.103
S12A2	PRB3	6	0.735	0.1225
S12A2	FARP2	5	0.395	0.079
S12A2	CCR6	2	0.301	0.1505
S12A2	TAF1	5	0.303	0.0606
S12A2	EZH1	6	0.355	0.0591666666666667
S12A2	JUN	2	0.201	0.1005
S12A2	GNPAT	5	0.66	0.132
S12A2	BUD31	7	0.784	0.112
S12A2	FGF21	4	0.356	0.089
S12A2	MTMR7	4	0.408	0.102
