source	destinations_disconnected_to
ACE	VAMP5	MBNL2
KAPCA	VAMP5	MBNL2
NTKL	VAMP5	MBNL2
CALM	VAMP5	MBNL2
ACHA4	VAMP5	MBNL2
ANXA2	VAMP5	MBNL2
AURKB	VAMP5	MBNL2
GNAT3	VAMP5	MBNL2
CA2D1	VAMP5	MBNL2
CAH4	VAMP5	MBNL2
AK1C1	VAMP5	MBNL2
ROCK1	VAMP5	MBNL2
CHLE	VAMP5	MBNL2
J3QK85	VAMP5	MBNL2
ZAP70	VAMP5	MBNL2
UD14	VAMP5	MBNL2
S12A2	VAMP5	MBNL2
EST1A	VAMP5	MBNL2
VKOR1	VAMP5	MBNL2
XDH	VAMP5	MBNL2
ACHB4	VAMP5	MBNL2
RLP24	VAMP5	MBNL2
EDN1	VAMP5	MBNL2
GBRB3	VAMP5	MBNL2
TKT	VAMP5	MBNL2
NEU2	VAMP5	MBNL2
3HAO	VAMP5	MBNL2
RL10L	VAMP5	MBNL2
ADA1D	VAMP5	MBNL2
CANB2	VAMP5	MBNL2
KAP3	VAMP5	MBNL2
PANX1	VAMP5	MBNL2
ST2A1	VAMP5	MBNL2
UPP2	VAMP5	MBNL2
AK1D1	VAMP5	MBNL2
CAC1A	VAMP5	MBNL2
CUBN	VAMP5	MBNL2
THA	VAMP5	MBNL2
TBB5	VAMP5	MBNL2
CATA	VAMP5	MBNL2
RL3	VAMP5	MBNL2
PA2GE	VAMP5	MBNL2
HRH2	VAMP5	MBNL2
ATTY	VAMP5	MBNL2
S29A2	VAMP5	MBNL2
GBRT	VAMP5	MBNL2
ACHA3	VAMP5	MBNL2
CDK6	VAMP5	MBNL2
5HT7R	VAMP5	MBNL2
ADRB1	VAMP5	MBNL2
CP11A	VAMP5	MBNL2
CSK	VAMP5	MBNL2
5HT3A	VAMP5	MBNL2
AT12A	VAMP5	MBNL2
IOD3	VAMP5	MBNL2
PGFRA	VAMP5	MBNL2
A1AG1	VAMP5	MBNL2
TNFA	VAMP5	MBNL2
NFAC2	VAMP5	MBNL2
NOS2	VAMP5	MBNL2
5HT2B	VAMP5	MBNL2
HS90A	VAMP5	MBNL2
LCK	VAMP5	MBNL2
ADCYA	VAMP5	MBNL2
HS90B	VAMP5	MBNL2
