source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RFC3	4	0.259	0.06475
ACE	TPK1	4	0.268	0.067
ACE	ABCA8	5	0.631	0.1262
ACE	CREB3	5	0.266	0.0532
ACE	PEX14	4	0.744	0.186
ACE	OASL	4	0.262	0.0655
ACE	SYNJ1	4	0.183	0.04575
ACE	GSTA1	2	0.137	0.0685
ACE	TCF20	3	0.43	0.143333333333333
ACE	CLCN5	4	0.399	0.09975
ACE	AVL9	6	0.767	0.127833333333333
ACE	VLDLR	4	0.09	0.0225
ACE	OTC	3	0.624	0.208
ACE	AP4M1	4	0.292	0.073
ACE	GPR15	6	0.579	0.0965
ACE	HMMR	6	0.138	0.023
ACE	PDXK	5	0.703	0.1406
ACE	RNF10	6	1.312	0.218666666666667
ACE	CD320	4	0.507	0.12675
ACE	AVEN	5	0.757	0.1514
ACE	HUWE1	3	0.396	0.132
ACE	RCAN1	3	0.999	0.333
ACE	ELK3	3	0.973	0.324333333333333
KAPCA	RFC3	4	0.257	0.06425
KAPCA	TPK1	3	0.285	0.095
KAPCA	ABCA8	3	0.593	0.197666666666667
KAPCA	CREB3	1	0.2	0.2
KAPCA	PEX14	2	0.467	0.2335
KAPCA	OASL	4	0.247	0.06175
KAPCA	SYNJ1	7	0.213	0.0304285714285714
KAPCA	GSTA1	5	0.467	0.0934
KAPCA	TCF20	4	0.428	0.107
KAPCA	CLCN5	4	0.441	0.11025
KAPCA	AVL9	7	0.765	0.109285714285714
KAPCA	VLDLR	4	0.135	0.03375
KAPCA	OTC	2	0.468	0.234
KAPCA	AP4M1	5	0.29	0.058
KAPCA	GPR15	4	0.578	0.1445
KAPCA	HMMR	5	0.145	0.029
KAPCA	PDXK	4	0.925	0.23125
KAPCA	RNF10	7	1.269	0.181285714285714
KAPCA	CD320	7	0.666	0.0951428571428572
KAPCA	AVEN	6	0.729	0.1215
KAPCA	HUWE1	4	0.381	0.09525
KAPCA	RCAN1	3	0.373	0.124333333333333
KAPCA	ELK3	3	0.93	0.31
NTKL	RFC3	6	0.343	0.0571666666666667
NTKL	TPK1	5	0.478	0.0956
NTKL	ABCA8	6	0.8	0.133333333333333
NTKL	CREB3	5	0.423	0.0846
NTKL	PEX14	5	0.646	0.1292
NTKL	OASL	5	0.359	0.0718
NTKL	SYNJ1	4	0.236	0.059
NTKL	GSTA1	5	0.312	0.0624
NTKL	TCF20	4	0.561	0.14025
NTKL	CLCN5	6	0.483	0.0805
NTKL	AVL9	4	0.668	0.167
NTKL	VLDLR	4	0.247	0.06175
NTKL	OTC	4	0.488	0.122
NTKL	AP4M1	2	0.193	0.0965
NTKL	GPR15	6	0.678	0.113
NTKL	HMMR	5	0.233	0.0466
NTKL	PDXK	5	0.914	0.1828
NTKL	RNF10	6	0.977	0.162833333333333
NTKL	CD320	7	0.682	0.0974285714285714
NTKL	AVEN	6	0.829	0.138166666666667
NTKL	HUWE1	4	0.493	0.12325
NTKL	RCAN1	5	0.848	0.1696
NTKL	ELK3	5	0.606	0.1212
CALM	RFC3	4	0.224	0.056
CALM	TPK1	3	0.248	0.0826666666666667
CALM	ABCA8	3	0.594	0.198
CALM	CREB3	3	0.269	0.0896666666666667
CALM	PEX14	4	0.423	0.10575
CALM	OASL	4	0.239	0.05975
CALM	SYNJ1	3	0.116	0.0386666666666667
CALM	GSTA1	4	0.29	0.0725
CALM	TCF20	5	0.982	0.1964
CALM	CLCN5	4	0.364	0.091
CALM	AVL9	5	0.725	0.145
CALM	VLDLR	3	0.127	0.0423333333333333
CALM	OTC	2	0.146	0.073
CALM	AP4M1	3	0.25	0.0833333333333333
CALM	GPR15	5	0.551	0.1102
CALM	HMMR	4	0.113	0.02825
CALM	PDXK	4	0.713	0.17825
CALM	RNF10	2	0.697	0.3485
CALM	CD320	5	0.554	0.1108
CALM	AVEN	5	0.709	0.1418
CALM	HUWE1	3	0.273	0.091
CALM	RCAN1	2	0.877	0.4385
CALM	ELK3	3	0.931	0.310333333333333
ACHA4	RFC3	4	0.316	0.079
ACHA4	TPK1	6	0.433	0.0721666666666667
ACHA4	ABCA8	4	0.753	0.18825
ACHA4	CREB3	6	0.386	0.0643333333333333
ACHA4	PEX14	4	0.637	0.15925
ACHA4	OASL	6	0.336	0.056
ACHA4	SYNJ1	4	0.27	0.0675
ACHA4	GSTA1	5	0.41	0.082
ACHA4	TCF20	4	0.521	0.13025
ACHA4	CLCN5	4	0.456	0.114
ACHA4	AVL9	7	0.858	0.122571428571429
ACHA4	VLDLR	2	0.161	0.0805
ACHA4	OTC	4	0.522	0.1305
ACHA4	AP4M1	5	0.383	0.0766
ACHA4	GPR15	6	0.654	0.109
ACHA4	HMMR	4	0.204	0.051
ACHA4	PDXK	6	0.873	0.1455
ACHA4	RNF10	6	1.173	0.1955
ACHA4	CD320	7	0.705	0.100714285714286
ACHA4	AVEN	6	0.805	0.134166666666667
ACHA4	HUWE1	5	0.47	0.094
ACHA4	RCAN1	5	0.946	0.1892
ACHA4	ELK3	4	0.562	0.1405
ANXA2	RFC3	3	0.306	0.102
ANXA2	TPK1	5	0.331	0.0662
ANXA2	ABCA8	4	0.689	0.17225
ANXA2	CREB3	5	0.322	0.0644
ANXA2	PEX14	4	0.608	0.152
ANXA2	OASL	3	0.296	0.0986666666666667
ANXA2	SYNJ1	4	0.19	0.0475
ANXA2	GSTA1	5	0.5	0.1
ANXA2	TCF20	3	0.457	0.152333333333333
ANXA2	CLCN5	4	0.481	0.12025
ANXA2	AVL9	6	0.794	0.132333333333333
ANXA2	VLDLR	3	0.212	0.0706666666666667
ANXA2	OTC	4	0.578	0.1445
ANXA2	AP4M1	4	0.319	0.07975
ANXA2	GPR15	5	0.563	0.1126
ANXA2	HMMR	4	0.13	0.0325
ANXA2	PDXK	3	0.84	0.28
ANXA2	RNF10	4	1.065	0.26625
ANXA2	CD320	6	0.651	0.1085
ANXA2	AVEN	5	0.826	0.1652
ANXA2	HUWE1	2	0.43	0.215
ANXA2	RCAN1	3	0.822	0.274
ANXA2	ELK3	3	0.543	0.181
AURKB	RFC3	2	0.228	0.114
AURKB	TPK1	3	0.281	0.0936666666666667
AURKB	ABCA8	6	0.666	0.111
AURKB	CREB3	3	0.262	0.0873333333333333
AURKB	PEX14	5	0.458	0.0916
AURKB	OASL	4	0.235	0.05875
AURKB	SYNJ1	5	0.159	0.0318
AURKB	GSTA1	7	0.426	0.0608571428571429
AURKB	TCF20	5	0.459	0.0918
AURKB	CLCN5	5	0.486	0.0972
AURKB	AVL9	8	0.796	0.0995
AURKB	VLDLR	2	0.168	0.084
AURKB	OTC	7	0.577	0.0824285714285714
AURKB	AP4M1	6	0.321	0.0535
AURKB	GPR15	4	0.522	0.1305
AURKB	HMMR	4	0.03	0.0075
AURKB	PDXK	5	0.845	0.169
AURKB	RNF10	9	1.228	0.136444444444444
AURKB	CD320	5	0.61	0.122
AURKB	AVEN	6	0.775	0.129166666666667
AURKB	HUWE1	4	0.33	0.0825
AURKB	RCAN1	7	0.962	0.137428571428571
AURKB	ELK3	4	0.482	0.1205
GNAT3	RFC3	4	0.365	0.09125
GNAT3	TPK1	4	0.329	0.08225
GNAT3	ABCA8	6	0.757	0.126166666666667
GNAT3	CREB3	3	0.4	0.133333333333333
GNAT3	PEX14	6	0.769	0.128166666666667
GNAT3	OASL	6	0.45	0.075
GNAT3	SYNJ1	2	0.179	0.0895
GNAT3	GSTA1	4	0.691	0.17275
GNAT3	TCF20	4	0.618	0.1545
GNAT3	CLCN5	4	0.49	0.1225
GNAT3	AVL9	7	0.955	0.136428571428571
GNAT3	VLDLR	4	0.228	0.057
GNAT3	OTC	5	0.841	0.1682
GNAT3	AP4M1	5	0.48	0.096
GNAT3	GPR15	3	0.632	0.210666666666667
GNAT3	HMMR	7	0.257	0.0367142857142857
GNAT3	PDXK	8	0.738	0.09225
GNAT3	RNF10	4	0.603	0.15075
GNAT3	CD320	6	0.716	0.119333333333333
GNAT3	AVEN	6	0.912	0.152
GNAT3	HUWE1	5	0.584	0.1168
GNAT3	RCAN1	4	0.417	0.10425
GNAT3	ELK3	6	0.698	0.116333333333333
CA2D1	RFC3	5	0.593	0.1186
CA2D1	TPK1	6	0.441	0.0735
CA2D1	ABCA8	8	0.941	0.117625
CA2D1	CREB3	3	0.332	0.110666666666667
CA2D1	PEX14	5	0.902	0.1804
CA2D1	OASL	5	0.583	0.1166
CA2D1	SYNJ1	6	0.42	0.07
CA2D1	GSTA1	4	0.887	0.22175
CA2D1	TCF20	5	0.782	0.1564
CA2D1	CLCN5	5	0.733	0.1466
CA2D1	AVL9	4	0.884	0.221
CA2D1	VLDLR	6	0.423	0.0705
CA2D1	OTC	4	0.974	0.2435
CA2D1	AP4M1	2	0.409	0.2045
CA2D1	GPR15	7	0.793	0.113285714285714
CA2D1	HMMR	7	0.277	0.0395714285714286
CA2D1	PDXK	10	0.769	0.0769
CA2D1	RNF10	5	1.213	0.2426
CA2D1	CD320	6	0.854	0.142333333333333
CA2D1	AVEN	5	0.811	0.1622
CA2D1	HUWE1	4	0.717	0.17925
CA2D1	RCAN1	3	0.55	0.183333333333333
CA2D1	ELK3	5	0.831	0.1662
CAH4	RFC3	5	0.958	0.1916
CAH4	TPK1	5	0.602	0.1204
CAH4	ABCA8	9	1.311	0.145666666666667
CAH4	CREB3	5	0.674	0.1348
CAH4	PEX14	6	0.858	0.143
CAH4	OASL	7	0.932	0.133142857142857
CAH4	SYNJ1	4	0.482	0.1205
CAH4	GSTA1	5	0.649	0.1298
CAH4	TCF20	8	0.904	0.113
CAH4	CLCN5	6	0.599	0.0998333333333333
CAH4	AVL9	6	0.774	0.129
CAH4	VLDLR	4	0.561	0.14025
CAH4	OTC	5	0.865	0.173
CAH4	AP4M1	5	0.896	0.1792
CAH4	GPR15	4	0.863	0.21575
CAH4	HMMR	6	0.438	0.073
CAH4	PDXK	7	0.99	0.141428571428571
CAH4	RNF10	5	1.169	0.2338
CAH4	CD320	4	0.769	0.19225
CAH4	AVEN	9	0.966	0.107333333333333
CAH4	HUWE1	6	0.998	0.166333333333333
CAH4	RCAN1	6	0.861	0.1435
CAH4	ELK3	4	0.439	0.10975
AK1C1	RFC3	6	0.805	0.134166666666667
AK1C1	TPK1	7	0.493	0.0704285714285714
AK1C1	ABCA8	7	0.824	0.117714285714286
AK1C1	CREB3	6	0.481	0.0801666666666667
AK1C1	PEX14	5	0.516	0.1032
AK1C1	OASL	6	0.795	0.1325
AK1C1	SYNJ1	6	0.435	0.0725
AK1C1	GSTA1	2	0.114	0.057
AK1C1	TCF20	5	0.786	0.1572
AK1C1	CLCN5	6	0.945	0.1575
AK1C1	AVL9	7	0.656	0.0937142857142857
AK1C1	VLDLR	4	0.368	0.092
AK1C1	OTC	5	0.936	0.1872
AK1C1	AP4M1	6	0.648	0.108
AK1C1	GPR15	6	0.816	0.136
AK1C1	HMMR	8	0.329	0.041125
AK1C1	PDXK	4	0.937	0.23425
AK1C1	RNF10	8	0.924	0.1155
AK1C1	CD320	4	0.484	0.121
AK1C1	AVEN	7	0.961	0.137285714285714
AK1C1	HUWE1	3	0.741	0.247
AK1C1	RCAN1	4	0.762	0.1905
AK1C1	ELK3	6	0.893	0.148833333333333
ROCK1	RFC3	4	0.806	0.2015
ROCK1	TPK1	6	0.389	0.0648333333333333
ROCK1	ABCA8	6	0.803	0.133833333333333
ROCK1	CREB3	5	0.398	0.0796
ROCK1	PEX14	6	0.669	0.1115
ROCK1	OASL	7	0.905	0.129285714285714
ROCK1	SYNJ1	4	0.237	0.05925
ROCK1	GSTA1	7	0.946	0.135142857142857
ROCK1	TCF20	4	0.671	0.16775
ROCK1	CLCN5	2	0.757	0.3785
ROCK1	AVL9	4	0.532	0.133
ROCK1	VLDLR	4	0.208	0.052
ROCK1	OTC	5	0.714	0.1428
ROCK1	AP4M1	5	0.533	0.1066
ROCK1	GPR15	4	0.609	0.15225
ROCK1	HMMR	4	0.17	0.0425
ROCK1	PDXK	9	0.658	0.0731111111111111
ROCK1	RNF10	5	0.612	0.1224
ROCK1	CD320	5	0.697	0.1394
ROCK1	AVEN	3	0.763	0.254333333333333
ROCK1	HUWE1	7	0.975	0.139285714285714
ROCK1	RCAN1	5	0.872	0.1744
ROCK1	ELK3	4	0.601	0.15025
CHLE	RFC3	4	0.592	0.148
CHLE	TPK1	5	0.358	0.0716
CHLE	ABCA8	5	0.675	0.135
CHLE	CREB3	5	0.303	0.0606
CHLE	PEX14	5	0.952	0.1904
CHLE	OASL	5	0.781	0.1562
CHLE	SYNJ1	6	0.223	0.0371666666666667
CHLE	GSTA1	7	0.998	0.142571428571429
CHLE	TCF20	3	0.438	0.146
CHLE	CLCN5	4	0.803	0.20075
CHLE	AVL9	6	0.775	0.129166666666667
CHLE	VLDLR	5	0.199	0.0398
CHLE	OTC	4	0.894	0.2235
CHLE	AP4M1	4	0.3	0.075
CHLE	GPR15	7	0.596	0.0851428571428571
CHLE	HMMR	6	0.163	0.0271666666666667
CHLE	PDXK	6	0.876	0.146
