source	destinations_disconnected_to
ACE	GBX1
KAPCA	GBX1
NTKL	GBX1
CALM	GBX1
ACHA4	GBX1
ANXA2	GBX1
AURKB	GBX1
GNAT3	GBX1
CA2D1	GBX1
CAH4	GBX1
AK1C1	GBX1
ROCK1	GBX1
CHLE	GBX1
J3QK85	GBX1
ZAP70	GBX1
UD14	GBX1
S12A2	GBX1
EST1A	GBX1
VKOR1	GBX1
XDH	GBX1
ACHB4	GBX1
RLP24	GBX1
EDN1	GBX1
GBRB3	GBX1
TKT	GBX1
NEU2	GBX1
3HAO	GBX1
RL10L	GBX1
ADA1D	GBX1
CANB2	GBX1
KAP3	GBX1
PANX1	GBX1
ST2A1	GBX1
UPP2	GBX1
AK1D1	GBX1
CAC1A	GBX1
CUBN	GBX1
THA	GBX1
TBB5	GBX1
CATA	GBX1
RL3	GBX1
PA2GE	GBX1
HRH2	GBX1
ATTY	GBX1
S29A2	GBX1
GBRT	GBX1
ACHA3	GBX1
CDK6	GBX1
5HT7R	GBX1
ADRB1	GBX1
CP11A	GBX1
CSK	GBX1
5HT3A	GBX1
AT12A	GBX1
IOD3	GBX1
PGFRA	GBX1
A1AG1	GBX1
TNFA	GBX1
NFAC2	GBX1
NOS2	GBX1
5HT2B	GBX1
HS90A	GBX1
LCK	GBX1
ADCYA	GBX1
HS90B	GBX1
ADA2A	GBX1
CACP	GBX1
RARA	GBX1
PYC	GBX1
CATL1	GBX1
ACHA9	GBX1
NH2L1	GBX1
AAKB2	GBX1
DCXR	GBX1
CXCL7	GBX1
KCNE1	GBX1
B3GT4	GBX1
ACES	GBX1
SCNNG	GBX1
HASP	GBX1
MMP3	GBX1
MET	GBX1
AA2BR	GBX1
PDE8A	GBX1
5HT2C	GBX1
AK1C3	GBX1
OSTCN	GBX1
NMD3B	GBX1
CDK5	GBX1
PPARA	GBX1
DRD2	GBX1
VGFR2	GBX1
CP1A2	GBX1
NGF	GBX1
GBRA6	GBX1
ACHA7	GBX1
CP2C9	GBX1
TBA1A	GBX1
IL2RA	GBX1
PPB1	GBX1
PD2R	GBX1
Q71TU5	GBX1
DCE1	GBX1
GBRG1	GBX1
FGFR2	GBX1
IMPA1	GBX1
ACM2	GBX1
IL8	GBX1
5HT6R	GBX1
KPCT	GBX1
AOC1	GBX1
PCNA	GBX1
KSYK	GBX1
CAH9	GBX1
RL11	GBX1
CACB3	GBX1
HMDH	GBX1
GBRA4	GBX1
KIT	GBX1
AOFA	GBX1
NEP	GBX1
GLYC	GBX1
NCOA2	GBX1
5HT1E	GBX1
TBA4A	GBX1
METH	GBX1
LDHA	GBX1
MK08	GBX1
IGHG4	GBX1
CP2CJ	GBX1
RXRA	GBX1
PA2GA	GBX1
CP131	GBX1
ACACB	GBX1
PTHY	GBX1
IL10	GBX1
CAH2	GBX1
OPRD	GBX1
AAPK1	GBX1
PDPK1	GBX1
ADRB3	GBX1
C11B1	GBX1
GBRP	GBX1
ROCK2	GBX1
RL8	GBX1
ADCY2	GBX1
PHOP2	GBX1
CAH12	GBX1
S10A4	GBX1
GRIK1	GBX1
CBG	GBX1
PRGR	GBX1
HCAR2	GBX1
DNMT1	GBX1
PGH2	GBX1
CAC1F	GBX1
ADA2C	GBX1
S15A1	GBX1
ADA1A	GBX1
A1AG2	GBX1
OX1R	GBX1
KCMA1	GBX1
NMDE3	GBX1
HIBCH	GBX1
IPKA	GBX1
S22AI	GBX1
S29A1	GBX1
HDAC1	GBX1
PNPH	GBX1
ADA2B	GBX1
TRFL	GBX1
ALBU	GBX1
FMO3	GBX1
PLK1	GBX1
SGMR1	GBX1
GUAA	GBX1
QOR	GBX1
GCR	GBX1
CATD	GBX1
MIF	GBX1
HPGDS	GBX1
MKNK1	GBX1
P2RY2	GBX1
S12A4	GBX1
EGFR	GBX1
NFKB1	GBX1
PGFRB	GBX1
ANT3	GBX1
GTR1	GBX1
MK10	GBX1
CAMLG	GBX1
HEMH	GBX1
MTRR	GBX1
NQO1	GBX1
ACH10	GBX1
FMO4	GBX1
DRD5	GBX1
TRY1	GBX1
SCNAA	GBX1
GBRG3	GBX1
PDE8B	GBX1
KCNA2	GBX1
IFNA2	GBX1
AA1R	GBX1
MAPK2	GBX1
PK3CD	GBX1
HRH4	GBX1
GBRB1	GBX1
HCN2	GBX1
RL26L	GBX1
DMTA2	GBX1
6PGD	GBX1
GRP78	GBX1
PSIP1	GBX1
AT1A4	GBX1
GLR	GBX1
OPRK	GBX1
ATPB	GBX1
STMN4	GBX1
CACB2	GBX1
NMDZ1	GBX1
SC6A3	GBX1
ST2B1	GBX1
TBG1	GBX1
ESR1	GBX1
CREB1	GBX1
5HT1B	GBX1
ERBB2	GBX1
HDAC7	GBX1
KCC1B	GBX1
TBD	GBX1
TOP2B	GBX1
3BHS1	GBX1
ATP4A	GBX1
LOX5	GBX1
UD3A1	GBX1
BDNF	GBX1
GBRA1	GBX1
FOS	GBX1
SHBG	GBX1
ODP2	GBX1
ABCA1	GBX1
DYR	GBX1
P85A	GBX1
SIR1	GBX1
MTHR	GBX1
ADCL2	GBX1
IBP3	GBX1
DDR1	GBX1
CP46A	GBX1
SCN2A	GBX1
IL4	GBX1
NPS	GBX1
NMDE1	GBX1
AOFB	GBX1
RL13A	GBX1
S22A2	GBX1
CALY	GBX1
S12A5	GBX1
PK3CA	GBX1
PDE4D	GBX1
KIF11	GBX1
NR1I2	GBX1
NISCH	GBX1
NFKB2	GBX1
ITK	GBX1
PPIA	GBX1
MMAA	GBX1
PA24A	GBX1
HYES	GBX1
CP2C8	GBX1
CAC1D	GBX1
SCNNA	GBX1
DRD3	GBX1
IOD1	GBX1
AAKB1	GBX1
ARY2	GBX1
DOPO	GBX1
PDE3A	GBX1
TR10B	GBX1
ADA1B	GBX1
C9JK77	GBX1
MYLK3	GBX1
PDE1B	GBX1
MYH9	GBX1
TRI15	GBX1
HPRT	GBX1
ADRB2	GBX1
LIPL	GBX1
MDR1	GBX1
5HT1A	GBX1
CP19A	GBX1
ARY1	GBX1
5HT2A	GBX1
G6PD	GBX1
PYRD	GBX1
GBRB2	GBX1
IKBA	GBX1
THRB	GBX1
GPX1	GBX1
TNNC2	GBX1
S22AB	GBX1
PDE5A	GBX1
TGFB1	GBX1
TOP2A	GBX1
RL23	GBX1
PDK3	GBX1
EDNRA	GBX1
TF65	GBX1
KAP0	GBX1
PPIF	GBX1
RL15	GBX1
KCNH2	GBX1
PDE4C	GBX1
ABCC8	GBX1
J3KPA4	GBX1
HDAC8	GBX1
GBRD	GBX1
CCKN	GBX1
ADCY5	GBX1
ATPA	GBX1
ATPG	GBX1
CAC1G	GBX1
LDHB	GBX1
JUN	GBX1
CSF1R	GBX1
UD19	GBX1
ATF6A	GBX1
RL19	GBX1
ST17B	GBX1
ABL1	GBX1
PHOP1	GBX1
SC6A4	GBX1
S22A6	GBX1
GRIK2	GBX1
ACM3	GBX1
RYR1	GBX1
S23IP	GBX1
CRBN	GBX1
MUTA	GBX1
ARGI1	GBX1
AA3R	GBX1
GBRA5	GBX1
CAH6	GBX1
FAK1	GBX1
SCNND	GBX1
CASP8	GBX1
SYRC	GBX1
CP3A4	GBX1
A4	GBX1
MRP1	GBX1
KCNN4	GBX1
PDE7A	GBX1
SCN4A	GBX1
CACB1	GBX1
DHI1	GBX1
PDIA1	GBX1
LRP2	GBX1
ESR2	GBX1
SCNNB	GBX1
NMDE4	GBX1
TY3H	GBX1
SOAT1	GBX1
NMD3A	GBX1
ASM	GBX1
S12A1	GBX1
CP1A1	GBX1
INSR2	GBX1
NCOA1	GBX1
TBE	GBX1
ITAL	GBX1
PPARG	GBX1
GSK3B	GBX1
CAC1I	GBX1
THB	GBX1
KLK3	GBX1
GBRA2	GBX1
TBB4B	GBX1
DRD4	GBX1
CLIC1	GBX1
GBRE	GBX1
RHOA	GBX1
TERT	GBX1
RL23A	GBX1
KITH	GBX1
HIF1A	GBX1
TEBP	GBX1
PERM	GBX1
TYSY	GBX1
PAR10	GBX1
NNMT	GBX1
RARB	GBX1
PK3CG	GBX1
CAC1C	GBX1
PLPL9	GBX1
OPRM	GBX1
PLMN	GBX1
ADA	GBX1
TNNC1	GBX1
J3KN87	GBX1
GBRG2	GBX1
FAD1	GBX1
PDE1A	GBX1
GLUC	GBX1
EST1	GBX1
P2RX2	GBX1
NOS3	GBX1
GSTP1	GBX1
CAH7	GBX1
IL6	GBX1
UD13	GBX1
PDE4A	GBX1
CBPB2	GBX1
KCJ11	GBX1
SCN5A	GBX1
CP21A	GBX1
CFTR	GBX1
ACM1	GBX1
GRIA2	GBX1
CPT2	GBX1
COMT	GBX1
P53	GBX1
CNGA1	GBX1
HDAC9	GBX1
KCNQ1	GBX1
PGH1	GBX1
CP2R1	GBX1
CAC1H	GBX1
CAB45	GBX1
CDK2	GBX1
SC6A2	GBX1
AK1C2	GBX1
CA2D2	GBX1
S22A8	GBX1
EBP	GBX1
NADC	GBX1
5HT5A	GBX1
AHR	GBX1
HDAC6	GBX1
MRP2	GBX1
PDE4B	GBX1
AA2AR	GBX1
PDE7B	GBX1
FAK2	GBX1
CASP3	GBX1
CATB	GBX1
CAC1S	GBX1
TA2R	GBX1
TPMT	GBX1
5HT1D	GBX1
PIM1	GBX1
AT1A1	GBX1
MMP9	GBX1
RL37	GBX1
PARP1	GBX1
RENR	GBX1
ENPL	GBX1
NR1I3	GBX1
CAH1	GBX1
SL9A7	GBX1
ACM4	GBX1
TOP1	GBX1
DHB8	GBX1
FABP6	GBX1
GABR1	GBX1
LY66C	GBX1
GLNA	GBX1
SCN1A	GBX1
HDAC3	GBX1
RENI	GBX1
