source	dest	edges	cum_dist	avg_dist_per_edge
ACE	FKRP	3	0.445	0.148333333333333
ACE	CETN3	2	0.774	0.387
ACE	TCP11	5	0.896	0.1792
ACE	PDK1	3	0.219	0.073
ACE	EDA	4	0.33	0.0825
ACE	PPID	3	0.464	0.154666666666667
ACE	MTMR8	6	0.442	0.0736666666666667
ACE	ANK2	6	0.213	0.0355
ACE	GPR12	4	0.656	0.164
ACE	EPHA2	4	0.113	0.02825
ACE	KIFC1	7	0.857	0.122428571428571
ACE	DAAM2	4	0.618	0.1545
ACE	HIF1A	3	0.047	0.0156666666666667
ACE	LHX6	4	0.246	0.0615
ACE	MOCOS	4	0.841	0.21025
ACE	FOSL2	3	0.809	0.269666666666667
ACE	OAS3	6	0.163	0.0271666666666667
ACE	KLRG1	4	0.17	0.0425
ACE	GRAP	6	0.114	0.019
ACE	RFX1	5	0.35	0.07
ACE	NEK7	6	0.701	0.116833333333333
ACE	PPAT	5	0.637	0.1274
KAPCA	FKRP	3	0.553	0.184333333333333
KAPCA	CETN3	2	0.779	0.3895
KAPCA	TCP11	3	0.619	0.206333333333333
KAPCA	PDK1	4	0.23	0.0575
KAPCA	EDA	4	0.315	0.07875
KAPCA	PPID	3	0.449	0.149666666666667
KAPCA	MTMR8	7	0.44	0.0628571428571429
KAPCA	ANK2	7	0.211	0.0301428571428571
KAPCA	GPR12	4	0.751	0.18775
KAPCA	EPHA2	3	0.127	0.0423333333333333
KAPCA	KIFC1	6	0.612	0.102
KAPCA	DAAM2	4	0.603	0.15075
KAPCA	HIF1A	3	0.072	0.024
KAPCA	LHX6	3	0.263	0.0876666666666667
KAPCA	MOCOS	3	0.971	0.323666666666667
KAPCA	FOSL2	2	0.501	0.2505
KAPCA	OAS3	7	0.161	0.023
KAPCA	KLRG1	5	0.314	0.0628
KAPCA	GRAP	4	0.1	0.025
KAPCA	RFX1	3	0.141	0.047
KAPCA	NEK7	3	0.709	0.236333333333333
KAPCA	PPAT	4	0.651	0.16275
NTKL	FKRP	7	0.613	0.0875714285714286
NTKL	CETN3	6	0.983	0.163833333333333
NTKL	TCP11	6	0.798	0.133
NTKL	PDK1	5	0.303	0.0606
NTKL	EDA	5	0.427	0.0854
NTKL	PPID	4	0.561	0.14025
NTKL	MTMR8	4	0.559	0.13975
NTKL	ANK2	6	0.341	0.0568333333333333
NTKL	GPR12	6	0.805	0.134166666666667
NTKL	EPHA2	4	0.224	0.056
NTKL	KIFC1	8	0.621	0.077625
NTKL	DAAM2	5	0.715	0.143
NTKL	HIF1A	5	0.205	0.041
NTKL	LHX6	6	0.488	0.0813333333333333
NTKL	MOCOS	5	0.991	0.1982
NTKL	FOSL2	5	0.708	0.1416
NTKL	OAS3	6	0.291	0.0485
NTKL	KLRG1	4	0.29	0.0725
NTKL	GRAP	5	0.245	0.049
NTKL	RFX1	6	0.348	0.058
NTKL	NEK7	7	0.861	0.123
NTKL	PPAT	7	0.763	0.109
CALM	FKRP	3	0.435	0.145
CALM	CETN3	4	0.864	0.216
CALM	TCP11	5	0.575	0.115
CALM	PDK1	3	0.184	0.0613333333333333
CALM	EDA	4	0.294	0.0735
CALM	PPID	3	0.441	0.147
CALM	MTMR8	4	0.405	0.10125
CALM	ANK2	4	0.176	0.044
CALM	GPR12	4	0.686	0.1715
CALM	EPHA2	3	0.113	0.0376666666666667
CALM	KIFC1	2	0.492	0.246
CALM	DAAM2	4	0.595	0.14875
CALM	HIF1A	3	0.037	0.0123333333333333
CALM	LHX6	2	0.222	0.111
CALM	MOCOS	3	0.649	0.216333333333333
CALM	FOSL2	2	0.502	0.251
CALM	OAS3	4	0.126	0.0315
CALM	KLRG1	3	0.17	0.0566666666666667
CALM	GRAP	6	0.104	0.0173333333333333
CALM	RFX1	3	0.142	0.0473333333333333
CALM	NEK7	6	0.72	0.12
CALM	PPAT	2	0.58	0.29
ACHA4	FKRP	5	0.586	0.1172
ACHA4	CETN3	4	0.956	0.239
ACHA4	TCP11	5	0.789	0.1578
ACHA4	PDK1	3	0.276	0.092
ACHA4	EDA	6	0.404	0.0673333333333333
ACHA4	PPID	5	0.538	0.1076
ACHA4	MTMR8	7	0.533	0.0761428571428572
ACHA4	ANK2	7	0.304	0.0434285714285714
ACHA4	GPR12	4	0.778	0.1945
ACHA4	EPHA2	4	0.209	0.05225
ACHA4	KIFC1	8	0.757	0.094625
ACHA4	DAAM2	6	0.692	0.115333333333333
ACHA4	HIF1A	5	0.167	0.0334
ACHA4	LHX6	5	0.465	0.093
ACHA4	MOCOS	6	0.991	0.165166666666667
ACHA4	FOSL2	3	0.661	0.220333333333333
ACHA4	OAS3	7	0.254	0.0362857142857143
ACHA4	KLRG1	4	0.266	0.0665
ACHA4	GRAP	3	0.199	0.0663333333333333
ACHA4	RFX1	4	0.301	0.07525
ACHA4	NEK7	7	0.821	0.117285714285714
ACHA4	PPAT	4	0.734	0.1835
ANXA2	FKRP	4	0.578	0.1445
ANXA2	CETN3	4	0.861	0.21525
ANXA2	TCP11	5	0.76	0.152
ANXA2	PDK1	4	0.306	0.0765
ANXA2	EDA	4	0.306	0.0765
ANXA2	PPID	2	0.498	0.249
ANXA2	MTMR8	4	0.417	0.10425
ANXA2	ANK2	4	0.188	0.047
ANXA2	GPR12	4	0.825	0.20625
ANXA2	EPHA2	2	0.133	0.0665
ANXA2	KIFC1	6	0.697	0.116166666666667
ANXA2	DAAM2	3	0.652	0.217333333333333
ANXA2	HIF1A	4	0.1	0.025
ANXA2	LHX6	4	0.503	0.12575
ANXA2	MOCOS	6	0.706	0.117666666666667
ANXA2	FOSL2	3	0.796	0.265333333333333
ANXA2	OAS3	4	0.138	0.0345
ANXA2	KLRG1	4	0.239	0.05975
ANXA2	GRAP	5	0.122	0.0244
ANXA2	RFX1	3	0.293	0.0976666666666667
ANXA2	NEK7	6	0.757	0.126166666666667
ANXA2	PPAT	4	0.668	0.167
AURKB	FKRP	6	0.608	0.101333333333333
AURKB	CETN3	2	0.354	0.177
AURKB	TCP11	6	0.61	0.101666666666667
AURKB	PDK1	7	0.303	0.0432857142857143
AURKB	EDA	4	0.303	0.07575
AURKB	PPID	3	0.437	0.145666666666667
AURKB	MTMR8	4	0.413	0.10325
AURKB	ANK2	8	0.242	0.03025
AURKB	GPR12	6	0.788	0.131333333333333
AURKB	EPHA2	2	0.098	0.049
AURKB	KIFC1	2	0.108	0.054
AURKB	DAAM2	4	0.591	0.14775
AURKB	HIF1A	4	0.06	0.015
AURKB	LHX6	7	0.481	0.0687142857142857
AURKB	MOCOS	4	0.846	0.2115
AURKB	FOSL2	4	0.523	0.13075
AURKB	OAS3	4	0.179	0.04475
AURKB	KLRG1	7	0.273	0.039
AURKB	GRAP	3	0.072	0.024
AURKB	RFX1	6	0.214	0.0356666666666667
AURKB	NEK7	4	0.697	0.17425
AURKB	PPAT	5	0.624	0.1248
GNAT3	FKRP	4	0.597	0.14925
GNAT3	CETN3	6	0.93	0.155
GNAT3	TCP11	6	1.305	0.2175
GNAT3	PDK1	3	0.325	0.108333333333333
GNAT3	EDA	4	0.395	0.09875
GNAT3	PPID	5	0.652	0.1304
GNAT3	MTMR8	4	0.563	0.14075
GNAT3	ANK2	2	0.22	0.11
GNAT3	GPR12	4	0.749	0.18725
GNAT3	EPHA2	3	0.263	0.0876666666666667
GNAT3	KIFC1	6	0.834	0.139
GNAT3	DAAM2	6	0.806	0.134333333333333
GNAT3	HIF1A	5	0.186	0.0372
GNAT3	LHX6	4	0.307	0.07675
GNAT3	MOCOS	7	0.674	0.0962857142857143
GNAT3	FOSL2	7	0.361	0.0515714285714286
GNAT3	OAS3	6	0.317	0.0528333333333333
GNAT3	KLRG1	4	0.329	0.08225
GNAT3	GRAP	5	0.21	0.042
GNAT3	RFX1	6	0.538	0.0896666666666667
GNAT3	NEK7	6	0.839	0.139833333333333
GNAT3	PPAT	8	0.705	0.088125
CA2D1	FKRP	4	0.735	0.18375
CA2D1	CETN3	5	0.895	0.179
CA2D1	TCP11	7	1.415	0.202142857142857
CA2D1	PDK1	4	0.57	0.1425
CA2D1	EDA	7	0.527	0.0752857142857143
CA2D1	PPID	4	0.785	0.19625
CA2D1	MTMR8	6	0.647	0.107833333333333
CA2D1	ANK2	6	0.418	0.0696666666666667
CA2D1	GPR12	6	0.989	0.164833333333333
CA2D1	EPHA2	4	0.363	0.09075
CA2D1	KIFC1	4	0.91	0.2275
CA2D1	DAAM2	5	0.939	0.1878
CA2D1	HIF1A	5	0.279	0.0558
CA2D1	LHX6	5	0.698	0.1396
CA2D1	MOCOS	10	0.887	0.0887
CA2D1	FOSL2	6	0.494	0.0823333333333333
CA2D1	OAS3	6	0.368	0.0613333333333333
CA2D1	KLRG1	5	0.491	0.0982
CA2D1	GRAP	6	0.232	0.0386666666666667
CA2D1	RFX1	4	0.565	0.14125
CA2D1	NEK7	5	0.841	0.1682
CA2D1	PPAT	4	0.703	0.17575
CAH4	FKRP	6	1.152	0.192
CAH4	CETN3	4	0.736	0.184
CAH4	TCP11	10	1.447	0.1447
CAH4	PDK1	6	0.959	0.159833333333333
CAH4	EDA	5	0.656	0.1312
CAH4	PPID	6	0.916	0.152666666666667
CAH4	MTMR8	6	0.915	0.1525
CAH4	ANK2	4	0.65	0.1625
CAH4	GPR12	8	1.496	0.187
CAH4	EPHA2	5	0.979	0.1958
CAH4	KIFC1	4	0.948	0.237
CAH4	DAAM2	5	0.789	0.1578
CAH4	HIF1A	2	0.326	0.163
CAH4	LHX6	8	0.998	0.12475
CAH4	MOCOS	6	0.926	0.154333333333333
CAH4	FOSL2	7	0.992	0.141714285714286
CAH4	OAS3	6	0.545	0.0908333333333333
CAH4	KLRG1	6	0.963	0.1605
CAH4	GRAP	5	0.393	0.0786
CAH4	RFX1	4	0.921	0.23025
CAH4	NEK7	9	1.04	0.115555555555556
CAH4	PPAT	7	0.973	0.139
AK1C1	FKRP	4	0.95	0.2375
AK1C1	CETN3	7	0.838	0.119714285714286
AK1C1	TCP11	6	1.205	0.200833333333333
AK1C1	PDK1	4	0.597	0.14925
AK1C1	EDA	5	0.467	0.0934
AK1C1	PPID	5	0.997	0.1994
AK1C1	MTMR8	8	0.798	0.09975
AK1C1	ANK2	8	0.569	0.071125
AK1C1	GPR12	8	1.115	0.139375
AK1C1	EPHA2	6	0.514	0.0856666666666667
AK1C1	KIFC1	5	0.954	0.1908
AK1C1	DAAM2	8	0.886	0.11075
AK1C1	HIF1A	4	0.269	0.06725
AK1C1	LHX6	5	0.754	0.1508
AK1C1	MOCOS	4	0.793	0.19825
AK1C1	FOSL2	5	0.572	0.1144
AK1C1	OAS3	10	0.487	0.0487
AK1C1	KLRG1	6	0.703	0.117166666666667
AK1C1	GRAP	7	0.284	0.0405714285714286
AK1C1	RFX1	7	0.706	0.100857142857143
AK1C1	NEK7	7	0.916	0.130857142857143
AK1C1	PPAT	5	0.614	0.1228
ROCK1	FKRP	5	0.772	0.1544
ROCK1	CETN3	4	0.87	0.2175
ROCK1	TCP11	8	1.332	0.1665
ROCK1	PDK1	5	0.52	0.104
ROCK1	EDA	4	0.363	0.09075
ROCK1	PPID	7	0.92	0.131428571428571
ROCK1	MTMR8	4	0.5	0.125
ROCK1	ANK2	4	0.265	0.06625
ROCK1	GPR12	5	0.803	0.1606
ROCK1	EPHA2	2	0.143	0.0715
ROCK1	KIFC1	5	0.859	0.1718
ROCK1	DAAM2	2	0.605	0.3025
ROCK1	HIF1A	4	0.196	0.049
ROCK1	LHX6	6	0.674	0.112333333333333
ROCK1	MOCOS	9	0.776	0.0862222222222222
ROCK1	FOSL2	6	0.583	0.0971666666666667
ROCK1	OAS3	4	0.27	0.0675
ROCK1	KLRG1	6	0.772	0.128666666666667
ROCK1	GRAP	6	0.18	0.03
ROCK1	RFX1	6	0.552	0.092
ROCK1	NEK7	6	0.833	0.138833333333333
ROCK1	PPAT	5	0.789	0.1578
CHLE	FKRP	4	0.582	0.1455
CHLE	CETN3	5	0.696	0.1392
CHLE	TCP11	10	1.432	0.1432
CHLE	PDK1	4	0.287	0.07175
CHLE	EDA	4	0.333	0.08325
CHLE	PPID	3	0.386	0.128666666666667
CHLE	MTMR8	6	0.45	0.075
CHLE	ANK2	6	0.221	0.0368333333333333
CHLE	GPR12	6	0.767	0.127833333333333
CHLE	EPHA2	4	0.166	0.0415
CHLE	KIFC1	3	0.892	0.297333333333333
CHLE	DAAM2	6	0.538	0.0896666666666667
CHLE	HIF1A	4	0.084	0.021
CHLE	LHX6	4	0.484	0.121
CHLE	MOCOS	6	0.994	0.165666666666667
CHLE	FOSL2	5	0.59	0.118
CHLE	OAS3	6	0.171	0.0285
CHLE	KLRG1	6	0.976	0.162666666666667
CHLE	GRAP	5	0.149	0.0298
CHLE	RFX1	5	0.358	0.0716
CHLE	NEK7	6	0.738	0.123
CHLE	PPAT	4	0.679	0.16975
J3QK85	FKRP	4	0.507	0.12675
J3QK85	CETN3	3	0.928	0.309333333333333
J3QK85	TCP11	6	0.732	0.122
J3QK85	PDK1	2	0.197	0.0985
J3QK85	EDA	4	0.273	0.06825
J3QK85	PPID	3	0.493	0.164333333333333
J3QK85	MTMR8	4	0.384	0.096
J3QK85	ANK2	4	0.155	0.03875
J3QK85	GPR12	3	0.699	0.233
J3QK85	EPHA2	2	0.1	0.05
J3QK85	KIFC1	8	0.683	0.085375
J3QK85	DAAM2	4	0.647	0.16175
J3QK85	HIF1A	4	0.067	0.01675
J3QK85	LHX6	5	0.401	0.0802
J3QK85	MOCOS	5	0.95	0.19
J3QK85	FOSL2	4	0.645	0.16125
J3QK85	OAS3	4	0.105	0.02625
J3QK85	KLRG1	3	0.201	0.067
J3QK85	GRAP	5	0.089	0.0178
J3QK85	RFX1	4	0.292	0.073
J3QK85	NEK7	7	0.764	0.109142857142857
J3QK85	PPAT	4	0.635	0.15875
ZAP70	FKRP	5	0.44	0.088
ZAP70	CETN3	4	0.923	0.23075
ZAP70	TCP11	6	0.95	0.158333333333333
ZAP70	PDK1	3	0.13	0.0433333333333333
ZAP70	EDA	4	0.265	0.06625
ZAP70	PPID	3	0.657	0.219
ZAP70	MTMR8	3	0.363	0.121
ZAP70	ANK2	6	0.171	0.0285
ZAP70	GPR12	4	0.632	0.158
ZAP70	EPHA2	3	0.068	0.0226666666666667
ZAP70	KIFC1	2	0.694	0.347
ZAP70	DAAM2	4	0.811	0.20275
ZAP70	HIF1A	5	0.069	0.0138
ZAP70	LHX6	5	0.469	0.0938
ZAP70	MOCOS	3	0.847	0.282333333333333
ZAP70	FOSL2	3	0.858	0.286
ZAP70	OAS3	6	0.122	0.0203333333333333
ZAP70	KLRG1	4	0.134	0.0335
ZAP70	GRAP	2	0.039	0.0195
ZAP70	RFX1	6	0.343	0.0571666666666667
ZAP70	NEK7	5	0.706	0.1412
ZAP70	PPAT	6	0.652	0.108666666666667
UD14	FKRP	8	0.725	0.090625
UD14	CETN3	6	0.951	0.1585
UD14	TCP11	7	0.91	0.13
UD14	PDK1	6	0.415	0.0691666666666667
UD14	EDA	5	0.4	0.08
UD14	PPID	5	0.673	0.1346
UD14	MTMR8	8	0.618	0.07725
UD14	ANK2	8	0.389	0.048625
UD14	GPR12	5	0.847	0.1694
UD14	EPHA2	6	0.334	0.0556666666666667
UD14	KIFC1	9	0.733	0.0814444444444444
UD14	DAAM2	6	0.827	0.137833333333333
UD14	HIF1A	4	0.182	0.0455
UD14	LHX6	7	0.6	0.0857142857142857
UD14	MOCOS	3	0.683	0.227666666666667
UD14	FOSL2	6	0.82	0.136666666666667
UD14	OAS3	4	0.294	0.0735
UD14	KLRG1	5	0.402	0.0804
