source	dest	edges	cum_dist	avg_dist_per_edge
ACE	SMG5	6	0.61	0.101666666666667
ACE	BACE1	3	0.077	0.0256666666666667
ACE	TAF1D	4	0.512	0.128
ACE	LSM1	5	0.557	0.1114
ACE	SMC2	4	0.398	0.0995
ACE	STX3	3	0.739	0.246333333333333
ACE	HNMT	2	0.753	0.3765
ACE	CWC25	6	0.571	0.0951666666666667
ACE	NOP14	6	0.43	0.0716666666666667
ACE	UGDH	4	0.337	0.08425
ACE	LCP2	4	0.174	0.0435
ACE	FARP2	3	0.232	0.0773333333333333
ACE	LAIR1	4	0.165	0.04125
ACE	FXYD3	5	0.926	0.1852
ACE	PDE6B	3	0.166	0.0553333333333333
ACE	CHD4	4	0.086	0.0215
ACE	GRIK1	4	0.121	0.03025
ACE	RGS5	4	0.286	0.0715
ACE	BIN3	4	0.458	0.1145
ACE	FBXL4	6	0.455	0.0758333333333333
ACE	FXYD7	3	0.983	0.327666666666667
ACE	RPIA	3	0.328	0.109333333333333
ACE	ABCA4	4	0.649	0.16225
ACE	BTBD7	7	0.427	0.061
ACE	SAMD9	3	0.51	0.17
KAPCA	SMG5	5	0.627	0.1254
KAPCA	BACE1	2	0.168	0.084
KAPCA	TAF1D	5	0.929	0.1858
KAPCA	LSM1	4	0.506	0.1265
KAPCA	SMC2	4	0.383	0.09575
KAPCA	STX3	4	0.696	0.174
KAPCA	HNMT	4	0.301	0.07525
KAPCA	CWC25	5	0.588	0.1176
KAPCA	NOP14	3	0.301	0.100333333333333
KAPCA	UGDH	7	0.518	0.074
KAPCA	LCP2	4	0.222	0.0555
KAPCA	FARP2	4	0.376	0.094
KAPCA	LAIR1	5	0.309	0.0618
KAPCA	FXYD3	7	0.979	0.139857142857143
KAPCA	PDE6B	2	0.183	0.0915
KAPCA	CHD4	5	0.084	0.0168
KAPCA	GRIK1	5	0.119	0.0238
KAPCA	RGS5	3	0.303	0.101
KAPCA	BIN3	4	0.443	0.11075
KAPCA	FBXL4	5	0.384	0.0768
KAPCA	FXYD7	2	0.81	0.405
KAPCA	RPIA	3	0.372	0.124
KAPCA	ABCA4	2	0.654	0.327
KAPCA	BTBD7	5	0.413	0.0826
KAPCA	SAMD9	4	0.501	0.12525
NTKL	SMG5	4	0.754	0.1885
NTKL	BACE1	6	0.314	0.0523333333333333
NTKL	TAF1D	5	0.609	0.1218
NTKL	LSM1	6	0.688	0.114666666666667
NTKL	SMC2	6	0.399	0.0665
NTKL	STX3	5	0.662	0.1324
NTKL	HNMT	6	0.935	0.155833333333333
NTKL	CWC25	8	0.733	0.091625
NTKL	NOP14	6	0.426	0.071
NTKL	UGDH	6	0.444	0.074
NTKL	LCP2	4	0.204	0.051
NTKL	FARP2	5	0.365	0.073
NTKL	LAIR1	4	0.285	0.07125
NTKL	FXYD3	6	0.849	0.1415
NTKL	PDE6B	5	0.408	0.0816
NTKL	CHD4	5	0.217	0.0434
NTKL	GRIK1	5	0.252	0.0504
NTKL	RGS5	5	0.44	0.088
NTKL	BIN3	5	0.555	0.111
NTKL	FBXL4	9	0.572	0.0635555555555555
NTKL	FXYD7	5	0.906	0.1812
NTKL	RPIA	5	0.502	0.1004
NTKL	ABCA4	6	0.782	0.130333333333333
NTKL	BTBD7	6	0.558	0.093
NTKL	SAMD9	4	0.607	0.15175
CALM	SMG5	4	0.586	0.1465
CALM	BACE1	3	0.152	0.0506666666666667
CALM	TAF1D	3	0.466	0.155333333333333
CALM	LSM1	4	0.507	0.12675
CALM	SMC2	2	0.261	0.1305
CALM	STX3	4	0.617	0.15425
CALM	HNMT	5	0.859	0.1718
CALM	CWC25	5	0.551	0.1102
CALM	NOP14	5	0.257	0.0514
CALM	UGDH	5	0.424	0.0848
CALM	LCP2	3	0.116	0.0386666666666667
CALM	FARP2	4	0.245	0.06125
CALM	LAIR1	3	0.165	0.055
CALM	FXYD3	5	0.729	0.1458
CALM	PDE6B	2	0.146	0.073
CALM	CHD4	4	0.076	0.019
CALM	GRIK1	4	0.111	0.02775
CALM	RGS5	3	0.266	0.0886666666666667
CALM	BIN3	4	0.435	0.10875
CALM	FBXL4	5	0.385	0.077
CALM	FXYD7	3	0.761	0.253666666666667
CALM	RPIA	3	0.335	0.111666666666667
CALM	ABCA4	2	0.529	0.2645
CALM	BTBD7	7	0.417	0.0595714285714286
CALM	SAMD9	3	0.487	0.162333333333333
ACHA4	SMG5	7	0.829	0.118428571428571
