source	destinations_disconnected_to
ACE	PALMD
KAPCA	PALMD
NTKL	PALMD
CALM	PALMD
ACHA4	PALMD
ANXA2	PALMD
AURKB	PALMD
GNAT3	PALMD
CA2D1	PALMD
CAH4	PALMD
AK1C1	PALMD
ROCK1	PALMD
CHLE	PALMD
J3QK85	PALMD
ZAP70	PALMD
UD14	PALMD
S12A2	PALMD
EST1A	PALMD
VKOR1	PALMD
XDH	PALMD
ACHB4	PALMD
RLP24	PALMD
EDN1	PALMD
GBRB3	PALMD
TKT	PALMD
NEU2	PALMD
3HAO	PALMD
RL10L	PALMD
ADA1D	PALMD
CANB2	PALMD
KAP3	PALMD
PANX1	PALMD
ST2A1	PALMD
UPP2	PALMD
AK1D1	PALMD
CAC1A	PALMD
CUBN	PALMD
THA	PALMD
TBB5	PALMD
CATA	PALMD
RL3	PALMD
PA2GE	PALMD
HRH2	PALMD
ATTY	PALMD
S29A2	PALMD
GBRT	PALMD
ACHA3	PALMD
CDK6	PALMD
5HT7R	PALMD
ADRB1	PALMD
CP11A	PALMD
CSK	PALMD
5HT3A	PALMD
AT12A	PALMD
IOD3	PALMD
PGFRA	PALMD
A1AG1	PALMD
TNFA	PALMD
NFAC2	PALMD
NOS2	PALMD
5HT2B	PALMD
HS90A	PALMD
LCK	PALMD
ADCYA	PALMD
HS90B	PALMD
ADA2A	PALMD
CACP	PALMD
RARA	PALMD
PYC	PALMD
CATL1	PALMD
ACHA9	PALMD
NH2L1	PALMD
AAKB2	PALMD
DCXR	PALMD
CXCL7	PALMD
KCNE1	PALMD
B3GT4	PALMD
ACES	PALMD
SCNNG	PALMD
HASP	PALMD
MMP3	PALMD
MET	PALMD
AA2BR	PALMD
PDE8A	PALMD
5HT2C	PALMD
AK1C3	PALMD
OSTCN	PALMD
NMD3B	PALMD
CDK5	PALMD
PPARA	PALMD
DRD2	PALMD
VGFR2	PALMD
CP1A2	PALMD
NGF	PALMD
GBRA6	PALMD
ACHA7	PALMD
CP2C9	PALMD
TBA1A	PALMD
IL2RA	PALMD
PPB1	PALMD
PD2R	PALMD
Q71TU5	PALMD
DCE1	PALMD
GBRG1	PALMD
FGFR2	PALMD
IMPA1	PALMD
ACM2	PALMD
IL8	PALMD
5HT6R	PALMD
KPCT	PALMD
AOC1	PALMD
PCNA	PALMD
KSYK	PALMD
CAH9	PALMD
RL11	PALMD
CACB3	PALMD
HMDH	PALMD
GBRA4	PALMD
KIT	PALMD
AOFA	PALMD
NEP	PALMD
GLYC	PALMD
NCOA2	PALMD
5HT1E	PALMD
TBA4A	PALMD
METH	PALMD
LDHA	PALMD
MK08	PALMD
IGHG4	PALMD
CP2CJ	PALMD
RXRA	PALMD
PA2GA	PALMD
CP131	PALMD
ACACB	PALMD
PTHY	PALMD
IL10	PALMD
CAH2	PALMD
OPRD	PALMD
AAPK1	PALMD
PDPK1	PALMD
ADRB3	PALMD
C11B1	PALMD
GBRP	PALMD
ROCK2	PALMD
RL8	PALMD
ADCY2	PALMD
PHOP2	PALMD
CAH12	PALMD
S10A4	PALMD
GRIK1	PALMD
CBG	PALMD
PRGR	PALMD
HCAR2	PALMD
DNMT1	PALMD
PGH2	PALMD
CAC1F	PALMD
ADA2C	PALMD
S15A1	PALMD
ADA1A	PALMD
A1AG2	PALMD
OX1R	PALMD
KCMA1	PALMD
NMDE3	PALMD
HIBCH	PALMD
IPKA	PALMD
S22AI	PALMD
S29A1	PALMD
HDAC1	PALMD
PNPH	PALMD
ADA2B	PALMD
TRFL	PALMD
ALBU	PALMD
FMO3	PALMD
PLK1	PALMD
SGMR1	PALMD
GUAA	PALMD
QOR	PALMD
GCR	PALMD
CATD	PALMD
MIF	PALMD
HPGDS	PALMD
MKNK1	PALMD
P2RY2	PALMD
S12A4	PALMD
EGFR	PALMD
NFKB1	PALMD
PGFRB	PALMD
ANT3	PALMD
GTR1	PALMD
MK10	PALMD
CAMLG	PALMD
HEMH	PALMD
MTRR	PALMD
NQO1	PALMD
ACH10	PALMD
FMO4	PALMD
DRD5	PALMD
TRY1	PALMD
SCNAA	PALMD
GBRG3	PALMD
PDE8B	PALMD
KCNA2	PALMD
IFNA2	PALMD
AA1R	PALMD
MAPK2	PALMD
PK3CD	PALMD
HRH4	PALMD
GBRB1	PALMD
HCN2	PALMD
RL26L	PALMD
DMTA2	PALMD
6PGD	PALMD
GRP78	PALMD
PSIP1	PALMD
AT1A4	PALMD
GLR	PALMD
OPRK	PALMD
ATPB	PALMD
STMN4	PALMD
CACB2	PALMD
NMDZ1	PALMD
SC6A3	PALMD
ST2B1	PALMD
TBG1	PALMD
ESR1	PALMD
CREB1	PALMD
5HT1B	PALMD
ERBB2	PALMD
HDAC7	PALMD
KCC1B	PALMD
TBD	PALMD
TOP2B	PALMD
3BHS1	PALMD
ATP4A	PALMD
LOX5	PALMD
UD3A1	PALMD
BDNF	PALMD
GBRA1	PALMD
FOS	PALMD
SHBG	PALMD
ODP2	PALMD
ABCA1	PALMD
DYR	PALMD
P85A	PALMD
SIR1	PALMD
MTHR	PALMD
ADCL2	PALMD
IBP3	PALMD
DDR1	PALMD
CP46A	PALMD
SCN2A	PALMD
IL4	PALMD
NPS	PALMD
NMDE1	PALMD
AOFB	PALMD
RL13A	PALMD
S22A2	PALMD
CALY	PALMD
S12A5	PALMD
PK3CA	PALMD
PDE4D	PALMD
KIF11	PALMD
NR1I2	PALMD
NISCH	PALMD
NFKB2	PALMD
ITK	PALMD
PPIA	PALMD
MMAA	PALMD
PA24A	PALMD
HYES	PALMD
CP2C8	PALMD
CAC1D	PALMD
SCNNA	PALMD
DRD3	PALMD
IOD1	PALMD
AAKB1	PALMD
ARY2	PALMD
DOPO	PALMD
PDE3A	PALMD
TR10B	PALMD
ADA1B	PALMD
C9JK77	PALMD
MYLK3	PALMD
PDE1B	PALMD
MYH9	PALMD
TRI15	PALMD
HPRT	PALMD
ADRB2	PALMD
LIPL	PALMD
MDR1	PALMD
5HT1A	PALMD
CP19A	PALMD
ARY1	PALMD
5HT2A	PALMD
G6PD	PALMD
PYRD	PALMD
GBRB2	PALMD
IKBA	PALMD
THRB	PALMD
GPX1	PALMD
TNNC2	PALMD
S22AB	PALMD
PDE5A	PALMD
TGFB1	PALMD
TOP2A	PALMD
RL23	PALMD
PDK3	PALMD
EDNRA	PALMD
TF65	PALMD
KAP0	PALMD
PPIF	PALMD
RL15	PALMD
KCNH2	PALMD
PDE4C	PALMD
ABCC8	PALMD
J3KPA4	PALMD
HDAC8	PALMD
GBRD	PALMD
CCKN	PALMD
ADCY5	PALMD
ATPA	PALMD
ATPG	PALMD
CAC1G	PALMD
LDHB	PALMD
JUN	PALMD
CSF1R	PALMD
UD19	PALMD
ATF6A	PALMD
RL19	PALMD
ST17B	PALMD
ABL1	PALMD
PHOP1	PALMD
SC6A4	PALMD
S22A6	PALMD
GRIK2	PALMD
ACM3	PALMD
RYR1	PALMD
S23IP	PALMD
CRBN	PALMD
MUTA	PALMD
ARGI1	PALMD
AA3R	PALMD
GBRA5	PALMD
CAH6	PALMD
FAK1	PALMD
SCNND	PALMD
CASP8	PALMD
SYRC	PALMD
CP3A4	PALMD
A4	PALMD
MRP1	PALMD
KCNN4	PALMD
PDE7A	PALMD
SCN4A	PALMD
CACB1	PALMD
DHI1	PALMD
PDIA1	PALMD
LRP2	PALMD
ESR2	PALMD
SCNNB	PALMD
NMDE4	PALMD
TY3H	PALMD
SOAT1	PALMD
NMD3A	PALMD
ASM	PALMD
S12A1	PALMD
CP1A1	PALMD
INSR2	PALMD
NCOA1	PALMD
TBE	PALMD
ITAL	PALMD
PPARG	PALMD
GSK3B	PALMD
CAC1I	PALMD
THB	PALMD
KLK3	PALMD
GBRA2	PALMD
TBB4B	PALMD
DRD4	PALMD
CLIC1	PALMD
GBRE	PALMD
RHOA	PALMD
TERT	PALMD
RL23A	PALMD
KITH	PALMD
HIF1A	PALMD
TEBP	PALMD
PERM	PALMD
TYSY	PALMD
PAR10	PALMD
NNMT	PALMD
RARB	PALMD
PK3CG	PALMD
CAC1C	PALMD
PLPL9	PALMD
OPRM	PALMD
PLMN	PALMD
ADA	PALMD
TNNC1	PALMD
J3KN87	PALMD
GBRG2	PALMD
FAD1	PALMD
PDE1A	PALMD
GLUC	PALMD
EST1	PALMD
P2RX2	PALMD
NOS3	PALMD
GSTP1	PALMD
CAH7	PALMD
IL6	PALMD
UD13	PALMD
PDE4A	PALMD
CBPB2	PALMD
KCJ11	PALMD
SCN5A	PALMD
CP21A	PALMD
CFTR	PALMD
ACM1	PALMD
GRIA2	PALMD
CPT2	PALMD
COMT	PALMD
P53	PALMD
CNGA1	PALMD
HDAC9	PALMD
KCNQ1	PALMD
PGH1	PALMD
CP2R1	PALMD
CAC1H	PALMD
CAB45	PALMD
CDK2	PALMD
SC6A2	PALMD
AK1C2	PALMD
CA2D2	PALMD
S22A8	PALMD
EBP	PALMD
NADC	PALMD
5HT5A	PALMD
AHR	PALMD
HDAC6	PALMD
MRP2	PALMD
PDE4B	PALMD
AA2AR	PALMD
PDE7B	PALMD
FAK2	PALMD
CASP3	PALMD
CATB	PALMD
CAC1S	PALMD
TA2R	PALMD
TPMT	PALMD
5HT1D	PALMD
PIM1	PALMD
AT1A1	PALMD
MMP9	PALMD
RL37	PALMD
PARP1	PALMD
RENR	PALMD
ENPL	PALMD
NR1I3	PALMD
CAH1	PALMD
SL9A7	PALMD
ACM4	PALMD
TOP1	PALMD
DHB8	PALMD
FABP6	PALMD
GABR1	PALMD
LY66C	PALMD
GLNA	PALMD
SCN1A	PALMD
HDAC3	PALMD
RENI	PALMD
