source	dest	edges	cum_dist	avg_dist_per_edge
ACE	OSTM1	4	0.547	0.13675
ACE	CENPO	6	0.402	0.067
ACE	PARP6	6	1.238	0.206333333333333
ACE	ERCC5	4	0.681	0.17025
ACE	SPO11	4	0.602	0.1505
ACE	CIB1	4	0.633	0.15825
ACE	JUNB	6	0.068	0.0113333333333333
ACE	TMEM2	4	0.678	0.1695
ACE	MCMBP	6	0.178	0.0296666666666667
ACE	THAP7	5	0.653	0.1306
ACE	CD244	4	0.228	0.057
ACE	PMVK	4	0.23	0.0575
ACE	PLCG2	3	0.153	0.051
ACE	E2F5	5	0.14	0.028
ACE	CIR1	4	0.155	0.03875
ACE	LEP	3	0.114	0.038
ACE	BEND5	4	0.591	0.14775
ACE	ATF3	5	0.062	0.0124
ACE	TRIM9	5	0.935	0.187
ACE	JAM3	6	0.156	0.026
ACE	APOH	3	0.18	0.06
KAPCA	OSTM1	5	0.545	0.109
KAPCA	CENPO	3	0.313	0.104333333333333
KAPCA	PARP6	3	1.075	0.358333333333333
KAPCA	ERCC5	5	0.638	0.1276
KAPCA	SPO11	4	0.587	0.14675
KAPCA	CIB1	4	0.618	0.1545
KAPCA	JUNB	3	0.074	0.0246666666666667
KAPCA	TMEM2	6	0.755	0.125833333333333
KAPCA	MCMBP	7	0.176	0.0251428571428571
KAPCA	THAP7	4	0.445	0.11125
KAPCA	CD244	4	0.213	0.05325
KAPCA	PMVK	4	0.215	0.05375
KAPCA	PLCG2	3	0.264	0.088
KAPCA	E2F5	3	0.108	0.036
KAPCA	CIR1	5	0.153	0.0306
KAPCA	LEP	4	0.105	0.02625
KAPCA	BEND5	4	0.576	0.144
KAPCA	ATF3	3	0.073	0.0243333333333333
KAPCA	TRIM9	4	0.69	0.1725
KAPCA	JAM3	7	0.154	0.022
KAPCA	APOH	5	0.446	0.0892
NTKL	OSTM1	5	0.678	0.1356
NTKL	CENPO	6	0.31	0.0516666666666667
NTKL	PARP6	7	1.479	0.211285714285714
NTKL	ERCC5	6	0.604	0.100666666666667
NTKL	SPO11	4	0.657	0.16425
NTKL	CIB1	5	0.73	0.146
NTKL	JUNB	7	0.209	0.0298571428571429
NTKL	TMEM2	6	0.854	0.142333333333333
NTKL	MCMBP	8	0.286	0.03575
NTKL	THAP7	7	0.613	0.0875714285714286
NTKL	CD244	5	0.325	0.065
NTKL	PMVK	5	0.327	0.0654
NTKL	PLCG2	6	0.251	0.0418333333333333
NTKL	E2F5	7	0.248	0.0354285714285714
NTKL	CIR1	5	0.272	0.0544
NTKL	LEP	4	0.205	0.05125
NTKL	BEND5	5	0.688	0.1376
NTKL	ATF3	8	0.209	0.026125
NTKL	TRIM9	7	0.858	0.122571428571429
NTKL	JAM3	6	0.284	0.0473333333333333
NTKL	APOH	6	0.435	0.0725
CALM	OSTM1	4	0.537	0.13425
CALM	CENPO	4	0.173	0.04325
CALM	PARP6	3	1.333	0.444333333333333
CALM	ERCC5	4	0.458	0.1145
CALM	SPO11	3	0.537	0.179
CALM	CIB1	2	0.48	0.24
CALM	JUNB	6	0.058	0.00966666666666667
CALM	TMEM2	5	0.734	0.1468
CALM	MCMBP	6	0.162	0.027
CALM	THAP7	3	0.337	0.112333333333333
CALM	CD244	4	0.205	0.05125
CALM	PMVK	4	0.207	0.05175
CALM	PLCG2	2	0.152	0.076
CALM	E2F5	3	0.109	0.0363333333333333
CALM	CIR1	4	0.13	0.0325
CALM	LEP	3	0.085	0.0283333333333333
CALM	BEND5	4	0.568	0.142
CALM	ATF3	5	0.052	0.0104
CALM	TRIM9	3	0.582	0.194
CALM	JAM3	4	0.119	0.02975
CALM	APOH	1	0.2	0.2
ACHA4	OSTM1	5	0.638	0.1276
ACHA4	CENPO	6	0.343	0.0571666666666667
ACHA4	PARP6	7	1.457	0.208142857142857
ACHA4	ERCC5	5	0.581	0.1162
ACHA4	SPO11	6	0.676	0.112666666666667
ACHA4	CIB1	6	0.707	0.117833333333333
ACHA4	JUNB	3	0.157	0.0523333333333333
ACHA4	TMEM2	6	0.843	0.1405
ACHA4	MCMBP	7	0.269	0.0384285714285714
ACHA4	THAP7	6	0.59	0.0983333333333333
