source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RBL1	5	0.103	0.0206
ACE	WNT8B	6	0.537	0.0895
ACE	GRIK3	4	0.249	0.06225
ACE	NAT9	3	0.63	0.21
ACE	POP5	6	0.708	0.118
ACE	MYCT1	4	0.188	0.047
ACE	PNPO	6	0.452	0.0753333333333333
ACE	IHH	3	0.225	0.075
ACE	PPT2	3	0.447	0.149
ACE	ACACA	4	0.819	0.20475
ACE	EFNA2	4	0.15	0.0375
ACE	TBX19	4	0.557	0.13925
ACE	TSSC4	4	0.902	0.2255
ACE	TRAF1	3	0.184	0.0613333333333333
ACE	UFM1	4	0.486	0.1215
ACE	EIF3D	5	0.308	0.0616
ACE	STMN4	4	0.561	0.14025
KAPCA	RBL1	6	0.101	0.0168333333333333
KAPCA	WNT8B	4	0.438	0.1095
KAPCA	GRIK3	3	0.267	0.089
KAPCA	NAT9	3	0.601	0.200333333333333
KAPCA	POP5	3	0.545	0.181666666666667
KAPCA	MYCT1	5	0.186	0.0372
KAPCA	PNPO	5	0.417	0.0834
KAPCA	IHH	4	0.233	0.05825
KAPCA	PPT2	4	0.566	0.1415
KAPCA	ACACA	5	0.776	0.1552
KAPCA	EFNA2	4	0.135	0.03375
KAPCA	TBX19	4	0.553	0.13825
KAPCA	TSSC4	4	0.887	0.22175
KAPCA	TRAF1	4	0.155	0.03875
KAPCA	UFM1	5	0.484	0.0968
KAPCA	EIF3D	5	0.293	0.0586
KAPCA	STMN4	3	0.563	0.187666666666667
NTKL	RBL1	7	0.211	0.0301428571428571
NTKL	WNT8B	6	0.567	0.0945
NTKL	GRIK3	6	0.404	0.0673333333333333
NTKL	NAT9	4	0.603	0.15075
NTKL	POP5	7	0.949	0.135571428571429
NTKL	MYCT1	5	0.319	0.0638
NTKL	PNPO	7	0.583	0.0832857142857143
NTKL	IHH	5	0.358	0.0716
NTKL	PPT2	5	0.58	0.116
NTKL	ACACA	4	0.646	0.1615
NTKL	EFNA2	5	0.247	0.0494
NTKL	TBX19	5	0.725	0.145
NTKL	TSSC4	5	0.999	0.1998
NTKL	TRAF1	6	0.283	0.0471666666666667
NTKL	UFM1	5	0.617	0.1234
NTKL	EIF3D	5	0.28	0.056
NTKL	STMN4	6	0.726	0.121
CALM	RBL1	5	0.087	0.0174
CALM	WNT8B	5	0.447	0.0894
CALM	GRIK3	2	0.167	0.0835
CALM	NAT9	3	0.483	0.161
CALM	POP5	5	0.72	0.144
CALM	MYCT1	4	0.178	0.0445
CALM	PNPO	5	0.418	0.0836
CALM	IHH	4	0.228	0.057
CALM	PPT2	4	0.46	0.115
CALM	ACACA	3	0.526	0.175333333333333
CALM	EFNA2	4	0.127	0.03175
CALM	TBX19	3	0.537	0.179
CALM	TSSC4	5	0.843	0.1686
CALM	TRAF1	2	0.149	0.0745
CALM	UFM1	4	0.476	0.119
CALM	EIF3D	4	0.16	0.04
CALM	STMN4	2	0.485	0.2425
ACHA4	RBL1	6	0.194	0.0323333333333333
ACHA4	WNT8B	6	0.594	0.099
ACHA4	GRIK3	5	0.367	0.0734
ACHA4	NAT9	4	0.637	0.15925
ACHA4	POP5	6	0.854	0.142333333333333
ACHA4	MYCT1	5	0.279	0.0558
ACHA4	PNPO	7	0.543	0.0775714285714286
ACHA4	IHH	4	0.316	0.079
ACHA4	PPT2	5	0.558	0.1116
ACHA4	ACACA	4	0.68	0.17
ACHA4	EFNA2	4	0.222	0.0555
ACHA4	TBX19	4	0.636	0.159
ACHA4	TSSC4	6	0.976	0.162666666666667
ACHA4	TRAF1	5	0.29	0.058
ACHA4	UFM1	5	0.577	0.1154
ACHA4	EIF3D	5	0.263	0.0526
ACHA4	STMN4	4	0.663	0.16575
ANXA2	RBL1	5	0.099	0.0198
ANXA2	WNT8B	4	0.589	0.14725
ANXA2	GRIK3	5	0.294	0.0588
ANXA2	NAT9	5	0.665	0.133
ANXA2	POP5	6	0.882	0.147
ANXA2	MYCT1	4	0.215	0.05375
ANXA2	PNPO	6	0.479	0.0798333333333333
ANXA2	IHH	4	0.278	0.0695
ANXA2	PPT2	3	0.516	0.172
ANXA2	ACACA	4	0.736	0.184
ANXA2	EFNA2	3	0.184	0.0613333333333333
ANXA2	TBX19	4	0.632	0.158
ANXA2	TSSC4	3	0.936	0.312
ANXA2	TRAF1	3	0.141	0.047
ANXA2	UFM1	4	0.513	0.12825
ANXA2	EIF3D	4	0.342	0.0855
ANXA2	STMN4	4	0.573	0.14325
AURKB	RBL1	3	0.034	0.0113333333333333
AURKB	WNT8B	7	0.523	0.0747142857142857
AURKB	GRIK3	4	0.253	0.06325
AURKB	NAT9	4	0.58	0.145
AURKB	POP5	6	0.776	0.129333333333333
AURKB	MYCT1	4	0.172	0.043
AURKB	PNPO	8	0.481	0.060125
AURKB	IHH	5	0.289	0.0578
AURKB	PPT2	6	0.55	0.0916666666666667
AURKB	ACACA	2	0.436	0.218
AURKB	EFNA2	4	0.123	0.03075
AURKB	TBX19	4	0.601	0.15025
AURKB	TSSC4	4	0.875	0.21875
AURKB	TRAF1	3	0.191	0.0636666666666667
AURKB	UFM1	6	0.515	0.0858333333333333
AURKB	EIF3D	3	0.102	0.034
AURKB	STMN4	4	0.6	0.15
GNAT3	RBL1	5	0.222	0.0444
GNAT3	WNT8B	6	0.622	0.103666666666667
GNAT3	GRIK3	2	0.18	0.09
GNAT3	NAT9	5	0.792	0.1584
GNAT3	POP5	6	0.769	0.128166666666667
