source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MSRB1	5	0.883	0.1766
ACE	LIN7B	4	0.593	0.14825
ACE	VASP	4	0.168	0.042
ACE	CDX4	4	0.511	0.12775
ACE	MTOR	3	0.047	0.0156666666666667
ACE	TFEC	4	0.288	0.072
ACE	MAST3	6	0.564	0.094
ACE	MCMBP	6	0.178	0.0296666666666667
ACE	CNPY2	3	0.442	0.147333333333333
ACE	NLRX1	7	0.274	0.0391428571428571
ACE	WDR4	6	0.964	0.160666666666667
ACE	GPR6	4	0.377	0.09425
ACE	IRF2	4	0.664	0.166
ACE	NCAM2	5	0.979	0.1958
ACE	AMHR2	3	0.327	0.109
ACE	CUZD1	4	0.459	0.11475
ACE	SYNC	5	0.673	0.1346
ACE	REG3A	3	0.237	0.079
ACE	AP4M1	4	0.292	0.073
ACE	AUTS2	5	0.993	0.1986
ACE	NFE2	3	0.42	0.14
ACE	CCL4	3	0.152	0.0506666666666667
ACE	CCR3	2	0.118	0.059
ACE	BST2	5	0.527	0.1054
ACE	DCAF6	4	0.44	0.11
KAPCA	MSRB1	6	0.84	0.14
KAPCA	LIN7B	2	0.503	0.2515
KAPCA	VASP	3	0.149	0.0496666666666667
KAPCA	CDX4	3	0.24	0.08
KAPCA	MTOR	6	0.075	0.0125
KAPCA	TFEC	4	0.273	0.06825
KAPCA	MAST3	2	0.426	0.213
KAPCA	MCMBP	7	0.176	0.0251428571428571
KAPCA	CNPY2	5	0.431	0.0862
KAPCA	NLRX1	5	0.265	0.053
KAPCA	WDR4	5	0.981	0.1962
KAPCA	GPR6	5	0.375	0.075
KAPCA	IRF2	1	0.379	0.379
KAPCA	NCAM2	2	0.758	0.379
KAPCA	AMHR2	4	0.335	0.08375
KAPCA	CUZD1	7	0.488	0.0697142857142857
KAPCA	SYNC	3	0.688	0.229333333333333
KAPCA	REG3A	4	0.228	0.057
KAPCA	AP4M1	5	0.29	0.058
KAPCA	AUTS2	3	0.634	0.211333333333333
KAPCA	NFE2	3	0.387	0.129
KAPCA	CCL4	3	0.171	0.057
KAPCA	CCR3	2	0.175	0.0875
KAPCA	BST2	4	0.559	0.13975
KAPCA	DCAF6	3	0.318	0.106
NTKL	MSRB1	5	0.71	0.142
NTKL	LIN7B	6	0.785	0.130833333333333
NTKL	VASP	4	0.294	0.0735
NTKL	CDX4	6	0.419	0.0698333333333333
NTKL	MTOR	4	0.205	0.05125
NTKL	TFEC	5	0.385	0.077
NTKL	MAST3	6	0.65	0.108333333333333
NTKL	MCMBP	8	0.286	0.03575
NTKL	CNPY2	10	0.531	0.0531
NTKL	NLRX1	7	0.402	0.0574285714285714
NTKL	WDR4	4	0.985	0.24625
NTKL	GPR6	5	0.508	0.1016
NTKL	IRF2	6	0.513	0.0855
NTKL	NCAM2	6	0.827	0.137833333333333
NTKL	AMHR2	5	0.46	0.092
NTKL	CUZD1	4	0.584	0.146
NTKL	SYNC	6	0.752	0.125333333333333
NTKL	REG3A	5	0.352	0.0704
NTKL	AP4M1	2	0.193	0.0965
NTKL	AUTS2	5	0.911	0.1822
NTKL	NFE2	5	0.542	0.1084
NTKL	CCL4	5	0.318	0.0636
NTKL	CCR3	5	0.37	0.074
NTKL	BST2	7	0.611	0.0872857142857143
NTKL	DCAF6	6	0.525	0.0875
CALM	MSRB1	4	0.59	0.1475
CALM	LIN7B	2	0.213	0.1065
CALM	VASP	3	0.148	0.0493333333333333
CALM	CDX4	5	0.196	0.0392
CALM	MTOR	3	0.037	0.0123333333333333
CALM	TFEC	4	0.265	0.06625
CALM	MAST3	5	0.53	0.106
CALM	MCMBP	6	0.162	0.027
CALM	CNPY2	7	0.41	0.0585714285714286
CALM	NLRX1	5	0.237	0.0474
CALM	WDR4	4	0.94	0.235
CALM	GPR6	5	0.351	0.0702
CALM	IRF2	5	0.501	0.1002
CALM	NCAM2	3	0.621	0.207
CALM	AMHR2	4	0.33	0.0825
CALM	CUZD1	4	0.453	0.11325
CALM	SYNC	4	0.615	0.15375
CALM	REG3A	3	0.216	0.072
CALM	AP4M1	3	0.25	0.0833333333333333
CALM	AUTS2	4	0.791	0.19775
CALM	NFE2	3	0.388	0.129333333333333
CALM	CCL4	3	0.134	0.0446666666666667
CALM	CCR3	2	0.138	0.069
CALM	BST2	5	0.492	0.0984
CALM	DCAF6	3	0.319	0.106333333333333
ACHA4	MSRB1	5	0.744	0.1488
ACHA4	LIN7B	5	0.76	0.152
ACHA4	VASP	5	0.306	0.0612
ACHA4	CDX4	5	0.41	0.082
ACHA4	MTOR	6	0.168	0.028
ACHA4	TFEC	6	0.362	0.0603333333333333
ACHA4	MAST3	6	0.626	0.104333333333333
ACHA4	MCMBP	7	0.269	0.0384285714285714
ACHA4	CNPY2	8	0.522	0.06525
ACHA4	NLRX1	8	0.365	0.045625
ACHA4	WDR4	5	0.667	0.1334
ACHA4	GPR6	5	0.468	0.0936
ACHA4	IRF2	6	0.611	0.101833333333333
ACHA4	NCAM2	4	0.78	0.195
ACHA4	AMHR2	4	0.418	0.1045
ACHA4	CUZD1	6	0.561	0.0935
ACHA4	SYNC	6	0.785	0.130833333333333
ACHA4	REG3A	3	0.3	0.1
ACHA4	AP4M1	5	0.383	0.0766
ACHA4	AUTS2	4	0.882	0.2205
ACHA4	NFE2	6	0.519	0.0865
ACHA4	CCL4	5	0.272	0.0544
ACHA4	CCR3	4	0.294	0.0735
ACHA4	BST2	5	0.584	0.1168
ACHA4	DCAF6	4	0.478	0.1195
ANXA2	MSRB1	5	0.8	0.16
ANXA2	LIN7B	6	0.652	0.108666666666667
ANXA2	VASP	3	0.264	0.088
ANXA2	CDX4	5	0.381	0.0762
ANXA2	MTOR	4	0.073	0.01825
ANXA2	TFEC	3	0.322	0.107333333333333
ANXA2	MAST3	6	0.575	0.0958333333333333
ANXA2	MCMBP	6	0.174	0.029
ANXA2	CNPY2	4	0.355	0.08875
ANXA2	NLRX1	5	0.249	0.0498
ANXA2	WDR4	4	0.603	0.15075
ANXA2	GPR6	4	0.363	0.09075
ANXA2	IRF2	3	0.298	0.0993333333333333
ANXA2	NCAM2	4	0.915	0.22875
ANXA2	AMHR2	4	0.38	0.095
ANXA2	CUZD1	4	0.465	0.11625
ANXA2	SYNC	5	0.764	0.1528
ANXA2	REG3A	5	0.231	0.0462
ANXA2	AP4M1	4	0.319	0.07975
ANXA2	AUTS2	4	0.929	0.23225
ANXA2	NFE2	4	0.33	0.0825
ANXA2	CCL4	4	0.226	0.0565
ANXA2	CCR3	5	0.294	0.0588
ANXA2	BST2	5	0.529	0.1058
ANXA2	DCAF6	4	0.467	0.11675
AURKB	MSRB1	4	0.554	0.1385
AURKB	LIN7B	6	0.674	0.112333333333333
AURKB	VASP	6	0.222	0.037
AURKB	CDX4	6	0.231	0.0385
AURKB	MTOR	4	0.06	0.015
AURKB	TFEC	4	0.261	0.06525
AURKB	MAST3	6	0.596	0.0993333333333333
AURKB	MCMBP	4	0.109	0.02725
AURKB	CNPY2	4	0.403	0.10075
AURKB	NLRX1	6	0.258	0.043
AURKB	WDR4	6	0.605	0.100833333333333
AURKB	GPR6	6	0.406	0.0676666666666667
AURKB	IRF2	4	0.489	0.12225
AURKB	NCAM2	6	0.693	0.1155
AURKB	AMHR2	5	0.391	0.0782
AURKB	CUZD1	4	0.432	0.108
AURKB	SYNC	2	0.5	0.25
AURKB	REG3A	6	0.24	0.04
AURKB	AP4M1	6	0.321	0.0535
AURKB	AUTS2	6	0.707	0.117833333333333
AURKB	NFE2	4	0.418	0.1045
AURKB	CCL4	4	0.226	0.0565
AURKB	CCR3	4	0.253	0.06325
AURKB	BST2	6	0.614	0.102333333333333
AURKB	DCAF6	5	0.385	0.077
GNAT3	MSRB1	4	0.599	0.14975
GNAT3	LIN7B	2	0.4	0.2
GNAT3	VASP	4	0.229	0.05725
GNAT3	CDX4	6	0.699	0.1165
GNAT3	MTOR	4	0.148	0.037
GNAT3	TFEC	6	0.476	0.0793333333333333
GNAT3	MAST3	4	0.626	0.1565
GNAT3	MCMBP	6	0.297	0.0495
GNAT3	CNPY2	7	0.543	0.0775714285714286
GNAT3	NLRX1	5	0.338	0.0676
GNAT3	WDR4	6	0.994	0.165666666666667
GNAT3	GPR6	6	0.542	0.0903333333333333
GNAT3	IRF2	6	0.569	0.0948333333333333
GNAT3	NCAM2	4	0.855	0.21375
GNAT3	AMHR2	5	0.411	0.0822
GNAT3	CUZD1	4	0.542	0.1355
GNAT3	SYNC	5	0.734	0.1468
GNAT3	REG3A	5	0.32	0.064
GNAT3	AP4M1	5	0.48	0.096
GNAT3	AUTS2	7	0.801	0.114428571428571
GNAT3	NFE2	7	0.484	0.0691428571428571
GNAT3	CCL4	4	0.215	0.05375
GNAT3	CCR3	2	0.201	0.1005
GNAT3	BST2	4	0.608	0.152
GNAT3	DCAF6	5	0.628	0.1256
CA2D1	MSRB1	6	0.783	0.1305
CA2D1	LIN7B	4	0.635	0.15875
CA2D1	VASP	4	0.516	0.129
CA2D1	CDX4	5	0.832	0.1664
CA2D1	MTOR	4	0.202	0.0505
CA2D1	TFEC	5	0.609	0.1218
CA2D1	MAST3	4	0.558	0.1395
CA2D1	MCMBP	6	0.35	0.0583333333333333
CA2D1	CNPY2	7	0.563	0.0804285714285714
CA2D1	NLRX1	8	0.47	0.05875
CA2D1	WDR4	6	0.928	0.154666666666667
CA2D1	GPR6	7	0.543	0.0775714285714286
CA2D1	IRF2	5	0.702	0.1404
CA2D1	NCAM2	7	0.797	0.113857142857143
CA2D1	AMHR2	4	0.648	0.162
CA2D1	CUZD1	6	0.695	0.115833333333333
CA2D1	SYNC	6	0.961	0.160166666666667
CA2D1	REG3A	8	0.452	0.0565
CA2D1	AP4M1	2	0.409	0.2045
CA2D1	AUTS2	7	0.937	0.133857142857143
CA2D1	NFE2	6	0.617	0.102833333333333
CA2D1	CCL4	5	0.37	0.074
CA2D1	CCR3	5	0.48	0.096
CA2D1	BST2	4	0.828	0.207
CA2D1	DCAF6	6	0.792	0.132
CAH4	MSRB1	7	0.87	0.124285714285714
CAH4	LIN7B	5	0.69	0.138
CAH4	VASP	8	0.967	0.120875
CAH4	CDX4	5	0.745	0.149
CAH4	MTOR	4	0.333	0.08325
CAH4	TFEC	7	0.931	0.133
CAH4	MAST3	4	0.538	0.1345
CAH4	MCMBP	4	0.589	0.14725
CAH4	CNPY2	6	0.724	0.120666666666667
CAH4	NLRX1	6	0.645	0.1075
CAH4	WDR4	6	0.904	0.150666666666667
CAH4	GPR6	7	0.986	0.140857142857143
CAH4	IRF2	5	0.862	0.1724
CAH4	NCAM2	6	0.922	0.153666666666667
CAH4	AMHR2	6	0.96	0.16
CAH4	CUZD1	4	0.757	0.18925
CAH4	SYNC	5	0.81	0.162
CAH4	REG3A	6	0.627	0.1045
CAH4	AP4M1	5	0.896	0.1792
CAH4	AUTS2	7	0.975	0.139285714285714
CAH4	NFE2	6	0.972	0.162
CAH4	CCL4	4	0.498	0.1245
CAH4	CCR3	5	0.91	0.182
CAH4	BST2	4	0.983	0.24575
CAH4	DCAF6	8	0.983	0.122875
AK1C1	MSRB1	5	0.666	0.1332
AK1C1	LIN7B	8	0.66	0.0825
AK1C1	VASP	5	0.728	0.1456
AK1C1	CDX4	6	0.826	0.137666666666667
AK1C1	MTOR	5	0.215	0.043
AK1C1	TFEC	6	0.821	0.136833333333333
AK1C1	MAST3	6	0.899	0.149833333333333
AK1C1	MCMBP	7	0.364	0.052
AK1C1	CNPY2	8	0.615	0.076875
AK1C1	NLRX1	6	0.41	0.0683333333333333
AK1C1	WDR4	6	0.932	0.155333333333333
AK1C1	GPR6	5	0.483	0.0966
AK1C1	IRF2	4	0.743	0.18575
AK1C1	NCAM2	7	0.804	0.114857142857143
AK1C1	AMHR2	5	0.672	0.1344
AK1C1	CUZD1	4	0.822	0.2055
AK1C1	SYNC	10	0.993	0.0993
AK1C1	REG3A	4	0.386	0.0965
AK1C1	AP4M1	6	0.648	0.108
AK1C1	AUTS2	7	0.905	0.129285714285714
AK1C1	NFE2	5	0.695	0.139
AK1C1	CCL4	5	0.379	0.0758
AK1C1	CCR3	4	0.484	0.121
AK1C1	BST2	6	0.974	0.162333333333333
AK1C1	DCAF6	6	0.796	0.132666666666667
ROCK1	MSRB1	6	0.645	0.1075
ROCK1	LIN7B	4	0.538	0.1345
ROCK1	VASP	2	0.047	0.0235
ROCK1	CDX4	5	0.899	0.1798
ROCK1	MTOR	4	0.109	0.02725
ROCK1	TFEC	7	0.931	0.133
ROCK1	MAST3	6	0.684	0.114
ROCK1	MCMBP	6	0.281	0.0468333333333333
