source	destinations_disconnected_to
ACE	CEMP1	PALMD
KAPCA	CEMP1	PALMD
NTKL	CEMP1	PALMD
CALM	CEMP1	PALMD
ACHA4	CEMP1	PALMD
ANXA2	CEMP1	PALMD
AURKB	CEMP1	PALMD
GNAT3	CEMP1	PALMD
CA2D1	CEMP1	PALMD
CAH4	CEMP1	PALMD
AK1C1	CEMP1	PALMD
ROCK1	CEMP1	PALMD
CHLE	CEMP1	PALMD
J3QK85	CEMP1	PALMD
ZAP70	CEMP1	PALMD
UD14	CEMP1	PALMD
S12A2	CEMP1	PALMD
EST1A	CEMP1	PALMD
VKOR1	CEMP1	PALMD
XDH	CEMP1	PALMD
ACHB4	CEMP1	PALMD
RLP24	CEMP1	PALMD
EDN1	CEMP1	PALMD
GBRB3	CEMP1	PALMD
TKT	CEMP1	PALMD
NEU2	CEMP1	PALMD
3HAO	CEMP1	PALMD
RL10L	CEMP1	PALMD
ADA1D	CEMP1	PALMD
CANB2	CEMP1	PALMD
KAP3	CEMP1	PALMD
PANX1	CEMP1	PALMD
ST2A1	CEMP1	PALMD
UPP2	CEMP1	PALMD
AK1D1	CEMP1	PALMD
CAC1A	CEMP1	PALMD
CUBN	CEMP1	PALMD
THA	CEMP1	PALMD
TBB5	CEMP1	PALMD
CATA	CEMP1	PALMD
RL3	CEMP1	PALMD
PA2GE	CEMP1	PALMD
HRH2	CEMP1	PALMD
ATTY	CEMP1	PALMD
S29A2	CEMP1	PALMD
GBRT	CEMP1	PALMD
ACHA3	CEMP1	PALMD
CDK6	CEMP1	PALMD
5HT7R	CEMP1	PALMD
ADRB1	CEMP1	PALMD
CP11A	CEMP1	PALMD
CSK	CEMP1	PALMD
5HT3A	CEMP1	PALMD
AT12A	CEMP1	PALMD
IOD3	CEMP1	PALMD
PGFRA	CEMP1	PALMD
A1AG1	CEMP1	PALMD
TNFA	CEMP1	PALMD
NFAC2	CEMP1	PALMD
NOS2	CEMP1	PALMD
5HT2B	CEMP1	PALMD
HS90A	CEMP1	PALMD
LCK	CEMP1	PALMD
ADCYA	CEMP1	PALMD
HS90B	CEMP1	PALMD
ADA2A	CEMP1	PALMD
CACP	CEMP1	PALMD
RARA	CEMP1	PALMD
PYC	CEMP1	PALMD
CATL1	CEMP1	PALMD
ACHA9	CEMP1	PALMD
NH2L1	CEMP1	PALMD
AAKB2	CEMP1	PALMD
DCXR	CEMP1	PALMD
CXCL7	CEMP1	PALMD
KCNE1	CEMP1	PALMD
B3GT4	CEMP1	PALMD
ACES	CEMP1	PALMD
SCNNG	CEMP1	PALMD
HASP	CEMP1	PALMD
MMP3	CEMP1	PALMD
MET	CEMP1	PALMD
AA2BR	CEMP1	PALMD
PDE8A	CEMP1	PALMD
5HT2C	CEMP1	PALMD
AK1C3	CEMP1	PALMD
OSTCN	CEMP1	PALMD
NMD3B	CEMP1	PALMD
CDK5	CEMP1	PALMD
PPARA	CEMP1	PALMD
DRD2	CEMP1	PALMD
VGFR2	CEMP1	PALMD
CP1A2	CEMP1	PALMD
NGF	CEMP1	PALMD
GBRA6	CEMP1	PALMD
ACHA7	CEMP1	PALMD
CP2C9	CEMP1	PALMD
TBA1A	CEMP1	PALMD
IL2RA	CEMP1	PALMD
PPB1	CEMP1	PALMD
PD2R	CEMP1	PALMD
Q71TU5	CEMP1	PALMD
DCE1	CEMP1	PALMD
GBRG1	CEMP1	PALMD
FGFR2	CEMP1	PALMD
IMPA1	CEMP1	PALMD
ACM2	CEMP1	PALMD
IL8	CEMP1	PALMD
5HT6R	CEMP1	PALMD
KPCT	CEMP1	PALMD
AOC1	CEMP1	PALMD
PCNA	CEMP1	PALMD
KSYK	CEMP1	PALMD
CAH9	CEMP1	PALMD
RL11	CEMP1	PALMD
CACB3	CEMP1	PALMD
HMDH	CEMP1	PALMD
GBRA4	CEMP1	PALMD
KIT	CEMP1	PALMD
AOFA	CEMP1	PALMD
NEP	CEMP1	PALMD
GLYC	CEMP1	PALMD
NCOA2	CEMP1	PALMD
5HT1E	CEMP1	PALMD
TBA4A	CEMP1	PALMD
METH	CEMP1	PALMD
LDHA	CEMP1	PALMD
MK08	CEMP1	PALMD
IGHG4	CEMP1	PALMD
CP2CJ	CEMP1	PALMD
RXRA	CEMP1	PALMD
PA2GA	CEMP1	PALMD
CP131	CEMP1	PALMD
ACACB	CEMP1	PALMD
PTHY	CEMP1	PALMD
IL10	CEMP1	PALMD
CAH2	CEMP1	PALMD
OPRD	CEMP1	PALMD
AAPK1	CEMP1	PALMD
PDPK1	CEMP1	PALMD
ADRB3	CEMP1	PALMD
C11B1	CEMP1	PALMD
GBRP	CEMP1	PALMD
ROCK2	CEMP1	PALMD
RL8	CEMP1	PALMD
ADCY2	CEMP1	PALMD
PHOP2	CEMP1	PALMD
CAH12	CEMP1	PALMD
S10A4	CEMP1	PALMD
GRIK1	CEMP1	PALMD
CBG	CEMP1	PALMD
PRGR	CEMP1	PALMD
HCAR2	CEMP1	PALMD
DNMT1	CEMP1	PALMD
PGH2	CEMP1	PALMD
CAC1F	CEMP1	PALMD
ADA2C	CEMP1	PALMD
S15A1	CEMP1	PALMD
ADA1A	CEMP1	PALMD
A1AG2	CEMP1	PALMD
OX1R	CEMP1	PALMD
KCMA1	CEMP1	PALMD
NMDE3	CEMP1	PALMD
HIBCH	CEMP1	PALMD
IPKA	CEMP1	PALMD
S22AI	CEMP1	PALMD
S29A1	CEMP1	PALMD
HDAC1	CEMP1	PALMD
PNPH	CEMP1	PALMD
ADA2B	CEMP1	PALMD
TRFL	CEMP1	PALMD
ALBU	CEMP1	PALMD
FMO3	CEMP1	PALMD
PLK1	CEMP1	PALMD
SGMR1	CEMP1	PALMD
GUAA	CEMP1	PALMD
QOR	CEMP1	PALMD
GCR	CEMP1	PALMD
CATD	CEMP1	PALMD
MIF	CEMP1	PALMD
HPGDS	CEMP1	PALMD
MKNK1	CEMP1	PALMD
P2RY2	CEMP1	PALMD
S12A4	CEMP1	PALMD
EGFR	CEMP1	PALMD
