source	dest	edges	cum_dist	avg_dist_per_edge
ACE	FBXL2	6	0.29	0.0483333333333333
ACE	FSHB	3	0.497	0.165666666666667
ACE	RAD9A	3	0.257	0.0856666666666667
ACE	POP1	6	0.626	0.104333333333333
ACE	CDC23	4	0.137	0.03425
ACE	DNMBP	6	0.932	0.155333333333333
ACE	FBXW7	6	0.085	0.0141666666666667
ACE	PIGT	3	0.663	0.221
ACE	SACS	3	0.35	0.116666666666667
ACE	GMIP	4	0.24	0.06
ACE	GRM2	3	0.526	0.175333333333333
ACE	LHX5	4	0.352	0.088
ACE	CHD8	5	0.634	0.1268
ACE	FAF1	4	0.343	0.08575
ACE	FGGY	5	0.758	0.1516
ACE	DTL	4	0.182	0.0455
ACE	MSMO1	4	0.222	0.0555
ACE	ARMC4	4	0.814	0.2035
ACE	FNDC4	4	0.476	0.119
ACE	GRID2	4	0.66	0.165
ACE	LIMD1	5	0.466	0.0932
KAPCA	FBXL2	5	0.219	0.0438
KAPCA	FSHB	4	0.454	0.1135
KAPCA	RAD9A	3	0.242	0.0806666666666667
KAPCA	POP1	3	0.463	0.154333333333333
KAPCA	CDC23	4	0.122	0.0305
KAPCA	DNMBP	4	0.869	0.21725
KAPCA	FBXW7	7	0.083	0.0118571428571429
KAPCA	PIGT	3	0.603	0.201
KAPCA	SACS	4	0.351	0.08775
KAPCA	GMIP	5	0.238	0.0476
KAPCA	GRM2	2	0.543	0.2715
KAPCA	LHX5	5	0.35	0.07
KAPCA	CHD8	4	0.389	0.09725
KAPCA	FAF1	5	0.445	0.089
KAPCA	FGGY	6	0.923	0.153833333333333
KAPCA	DTL	4	0.167	0.04175
KAPCA	MSMO1	4	0.207	0.05175
KAPCA	ARMC4	4	0.799	0.19975
KAPCA	FNDC4	5	0.517	0.1034
KAPCA	GRID2	3	0.642	0.214
KAPCA	LIMD1	6	0.464	0.0773333333333333
NTKL	FBXL2	9	0.407	0.0452222222222222
NTKL	FSHB	5	0.42	0.084
NTKL	RAD9A	6	0.343	0.0571666666666667
NTKL	POP1	7	0.867	0.123857142857143
NTKL	CDC23	5	0.234	0.0468
NTKL	DNMBP	6	0.656	0.109333333333333
NTKL	FBXW7	8	0.209	0.026125
NTKL	PIGT	6	0.81	0.135
NTKL	SACS	5	0.418	0.0836
NTKL	GMIP	5	0.371	0.0742
NTKL	GRM2	5	0.768	0.1536
NTKL	LHX5	5	0.483	0.0966
NTKL	CHD8	7	0.557	0.0795714285714286
NTKL	FAF1	6	0.427	0.0711666666666667
NTKL	FGGY	7	0.842	0.120285714285714
NTKL	DTL	5	0.279	0.0558
NTKL	MSMO1	5	0.319	0.0638
NTKL	ARMC4	5	0.911	0.1822
NTKL	FNDC4	10	0.653	0.0653
NTKL	GRID2	6	0.744	0.124
NTKL	LIMD1	5	0.594	0.1188
CALM	FBXL2	5	0.22	0.044
CALM	FSHB	3	0.657	0.219
CALM	RAD9A	4	0.224	0.056
CALM	POP1	3	0.721	0.240333333333333
CALM	CDC23	2	0.092	0.046
CALM	DNMBP	5	0.639	0.1278
CALM	FBXW7	4	0.048	0.012
CALM	PIGT	3	0.604	0.201333333333333
CALM	SACS	4	0.298	0.0745
CALM	GMIP	4	0.23	0.0575
CALM	GRM2	2	0.506	0.253
CALM	LHX5	4	0.342	0.0855
CALM	CHD8	3	0.281	0.0936666666666667
CALM	FAF1	4	0.308	0.077
CALM	FGGY	5	0.723	0.1446
CALM	DTL	4	0.159	0.03975
CALM	MSMO1	4	0.199	0.04975
CALM	ARMC4	4	0.791	0.19775
CALM	FNDC4	7	0.496	0.0708571428571429
CALM	GRID2	2	0.519	0.2595
CALM	LIMD1	3	0.429	0.143
ACHA4	FBXL2	4	0.361	0.09025
ACHA4	FSHB	4	0.397	0.09925
ACHA4	RAD9A	4	0.316	0.079
ACHA4	POP1	7	0.845	0.120714285714286
ACHA4	CDC23	6	0.211	0.0351666666666667
ACHA4	DNMBP	6	0.793	0.132166666666667
ACHA4	FBXW7	7	0.176	0.0251428571428571
ACHA4	PIGT	3	0.86	0.286666666666667
ACHA4	SACS	4	0.389	0.09725
