source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MMP13	3	0.2	0.0666666666666667
ACE	ASIC4	5	0.95	0.19
ACE	RAD9A	3	0.257	0.0856666666666667
ACE	OR7C1	5	0.924	0.1848
ACE	PLS1	4	0.149	0.03725
ACE	PCNT	6	0.405	0.0675
ACE	ETV4	4	0.095	0.02375
ACE	MED9	4	0.454	0.1135
ACE	PNRC1	5	0.498	0.0996
ACE	RAPSN	3	0.2	0.0666666666666667
ACE	PACS1	4	0.214	0.0535
ACE	CBR4	6	0.909	0.1515
ACE	LARP7	4	0.968	0.242
ACE	VDAC1	4	0.138	0.0345
ACE	RFPL1	6	0.917	0.152833333333333
ACE	CHST1	4	0.336	0.084
ACE	NOL11	4	0.494	0.1235
ACE	NAV3	4	0.516	0.129
ACE	APOB	4	0.175	0.04375
ACE	TECTA	4	0.835	0.20875
ACE	TRIM5	4	0.621	0.15525
ACE	RAB17	4	0.441	0.11025
ACE	GRID2	4	0.66	0.165
KAPCA	MMP13	3	0.275	0.0916666666666667
KAPCA	ASIC4	3	0.883	0.294333333333333
KAPCA	RAD9A	3	0.242	0.0806666666666667
KAPCA	OR7C1	4	0.596	0.149
KAPCA	PLS1	5	0.147	0.0294
KAPCA	PCNT	3	0.222	0.074
KAPCA	ETV4	6	0.122	0.0203333333333333
KAPCA	MED9	2	0.284	0.142
KAPCA	PNRC1	6	0.496	0.0826666666666667
KAPCA	RAPSN	3	0.26	0.0866666666666667
KAPCA	PACS1	4	0.199	0.04975
KAPCA	CBR4	7	0.926	0.132285714285714
KAPCA	LARP7	5	0.925	0.185
KAPCA	VDAC1	4	0.123	0.03075
KAPCA	RFPL1	5	0.934	0.1868
KAPCA	CHST1	5	0.355	0.071
KAPCA	NOL11	5	0.537	0.1074
KAPCA	NAV3	7	0.551	0.0787142857142857
KAPCA	APOB	4	0.202	0.0505
KAPCA	TECTA	7	0.87	0.124285714285714
KAPCA	TRIM5	3	0.803	0.267666666666667
KAPCA	RAB17	4	0.426	0.1065
KAPCA	GRID2	3	0.642	0.214
NTKL	MMP13	5	0.333	0.0666
NTKL	ASIC4	7	1.04	0.148571428571429
NTKL	RAD9A	6	0.343	0.0571666666666667
NTKL	OR7C1	7	0.847	0.121
NTKL	PLS1	4	0.277	0.06925
NTKL	PCNT	6	0.378	0.063
NTKL	ETV4	6	0.253	0.0421666666666667
NTKL	MED9	5	0.452	0.0904
NTKL	PNRC1	4	0.582	0.1455
NTKL	RAPSN	5	0.333	0.0666
NTKL	PACS1	5	0.311	0.0622
NTKL	CBR4	8	1.031	0.128875
NTKL	LARP7	2	0.593	0.2965
NTKL	VDAC1	5	0.235	0.047
NTKL	RFPL1	5	0.811	0.1622
NTKL	CHST1	10	0.491	0.0491
NTKL	NOL11	6	0.553	0.0921666666666667
NTKL	NAV3	6	0.681	0.1135
NTKL	APOB	4	0.295	0.07375
NTKL	TECTA	7	0.989	0.141285714285714
NTKL	TRIM5	4	0.593	0.14825
NTKL	RAB17	5	0.538	0.1076
NTKL	GRID2	6	0.744	0.124
CALM	MMP13	4	0.213	0.05325
CALM	ASIC4	6	0.963	0.1605
CALM	RAD9A	4	0.224	0.056
CALM	OR7C1	4	0.733	0.18325
CALM	PLS1	2	0.112	0.056
CALM	PCNT	3	0.1	0.0333333333333333
CALM	ETV4	4	0.085	0.02125
CALM	MED9	2	0.181	0.0905
CALM	PNRC1	3	0.461	0.153666666666667
CALM	RAPSN	4	0.213	0.05325
CALM	PACS1	3	0.168	0.056
CALM	CBR4	5	0.862	0.1724
CALM	LARP7	3	0.675	0.225
CALM	VDAC1	4	0.115	0.02875
CALM	RFPL1	4	0.893	0.22325
CALM	CHST1	7	0.334	0.0477142857142857
CALM	NOL11	4	0.416	0.104
CALM	NAV3	2	0.44	0.22
CALM	APOB	3	0.175	0.0583333333333333
CALM	TECTA	2	0.759	0.3795
CALM	TRIM5	3	0.871	0.290333333333333
CALM	RAB17	2	0.267	0.1335
CALM	GRID2	2	0.519	0.2595
ACHA4	MMP13	5	0.311	0.0622
ACHA4	ASIC4	7	1.061	0.151571428571429
ACHA4	RAD9A	4	0.316	0.079
ACHA4	OR7C1	6	0.824	0.137333333333333
ACHA4	PLS1	5	0.24	0.048
ACHA4	PCNT	5	0.392	0.0784
ACHA4	ETV4	6	0.215	0.0358333333333333
ACHA4	MED9	4	0.429	0.10725
ACHA4	PNRC1	6	0.589	0.0981666666666667
ACHA4	RAPSN	5	0.311	0.0622
ACHA4	PACS1	6	0.288	0.048
ACHA4	CBR4	8	1.005	0.125625
ACHA4	LARP7	4	0.829	0.20725
ACHA4	VDAC1	6	0.212	0.0353333333333333
ACHA4	RFPL1	5	0.909	0.1818
ACHA4	CHST1	6	0.44	0.0733333333333333
ACHA4	NOL11	6	0.586	0.0976666666666667
ACHA4	NAV3	4	0.618	0.1545
ACHA4	APOB	4	0.271	0.06775
ACHA4	TECTA	4	0.937	0.23425
ACHA4	TRIM5	4	0.963	0.24075
ACHA4	RAB17	6	0.515	0.0858333333333333
ACHA4	GRID2	4	0.717	0.17925
ANXA2	MMP13	3	0.269	0.0896666666666667
ANXA2	ASIC4	5	1.019	0.2038
ANXA2	RAD9A	2	0.291	0.1455
ANXA2	OR7C1	5	0.91	0.182
ANXA2	PLS1	2	0.124	0.062
ANXA2	PCNT	5	0.363	0.0726
ANXA2	ETV4	5	0.151	0.0302
ANXA2	MED9	3	0.488	0.162666666666667
ANXA2	PNRC1	3	0.473	0.157666666666667
ANXA2	RAPSN	3	0.269	0.0896666666666667
ANXA2	PACS1	3	0.248	0.0826666666666667
ANXA2	CBR4	6	0.921	0.1535
ANXA2	LARP7	4	0.885	0.22125
ANXA2	VDAC1	3	0.172	0.0573333333333333
ANXA2	RFPL1	4	0.939	0.23475
ANXA2	CHST1	7	0.352	0.0502857142857143
ANXA2	NOL11	4	0.545	0.13625
ANXA2	NAV3	4	0.528	0.132
ANXA2	APOB	4	0.244	0.061
ANXA2	TECTA	4	0.847	0.21175
ANXA2	TRIM5	2	0.775	0.3875
ANXA2	RAB17	3	0.46	0.153333333333333
ANXA2	GRID2	4	0.832	0.208
AURKB	MMP13	3	0.263	0.0876666666666667
AURKB	ASIC4	8	1.053	0.131625
AURKB	RAD9A	3	0.23	0.0766666666666667
AURKB	OR7C1	8	0.84	0.105
AURKB	PLS1	6	0.178	0.0296666666666667
AURKB	PCNT	2	0.126	0.063
AURKB	ETV4	5	0.108	0.0216
AURKB	MED9	3	0.238	0.0793333333333333
AURKB	PNRC1	7	0.527	0.0752857142857143
AURKB	RAPSN	6	0.303	0.0505
AURKB	PACS1	4	0.187	0.04675
AURKB	CBR4	7	0.922	0.131714285714286
AURKB	LARP7	7	0.884	0.126285714285714
AURKB	VDAC1	4	0.111	0.02775
AURKB	RFPL1	7	0.925	0.132142857142857
AURKB	CHST1	4	0.347	0.08675
AURKB	NOL11	2	0.301	0.1505
AURKB	NAV3	4	0.555	0.13875
AURKB	APOB	4	0.19	0.0475
AURKB	TECTA	4	0.874	0.2185
AURKB	TRIM5	2	0.517	0.2585
AURKB	RAB17	4	0.414	0.1035
AURKB	GRID2	5	0.747	0.1494
GNAT3	MMP13	5	0.388	0.0776
GNAT3	ASIC4	6	1.082	0.180333333333333
GNAT3	RAD9A	4	0.365	0.09125
GNAT3	OR7C1	4	0.813	0.20325
GNAT3	PLS1	4	0.303	0.07575
GNAT3	PCNT	7	0.515	0.0735714285714286
GNAT3	ETV4	3	0.305	0.101666666666667
GNAT3	MED9	6	0.642	0.107
GNAT3	PNRC1	4	0.607	0.15175
GNAT3	RAPSN	5	0.388	0.0776
GNAT3	PACS1	5	0.387	0.0774
GNAT3	CBR4	6	0.967	0.161166666666667
GNAT3	LARP7	6	0.956	0.159333333333333
GNAT3	VDAC1	4	0.285	0.07125
GNAT3	RFPL1	6	0.978	0.163
GNAT3	CHST1	6	0.429	0.0715
GNAT3	NOL11	4	0.591	0.14775
GNAT3	NAV3	4	0.587	0.14675
GNAT3	APOB	4	0.334	0.0835
GNAT3	TECTA	4	0.906	0.2265
GNAT3	TRIM5	6	0.809	0.134833333333333
GNAT3	RAB17	6	0.629	0.104833333333333
GNAT3	GRID2	3	0.581	0.193666666666667
CA2D1	MMP13	4	0.521	0.13025
CA2D1	ASIC4	9	1.2	0.133333333333333
CA2D1	RAD9A	4	0.578	0.1445
CA2D1	OR7C1	5	0.7	0.14
CA2D1	PLS1	4	0.354	0.0885
CA2D1	PCNT	4	0.38	0.095
CA2D1	ETV4	7	0.354	0.0505714285714286
CA2D1	MED9	4	0.659	0.16475
CA2D1	PNRC1	5	0.703	0.1406
CA2D1	RAPSN	4	0.521	0.13025
CA2D1	PACS1	6	0.519	0.0865
CA2D1	CBR4	8	1.151	0.143875
CA2D1	LARP7	4	0.666	0.1665
CA2D1	VDAC1	5	0.347	0.0694
CA2D1	RFPL1	6	1.169	0.194833333333333
CA2D1	CHST1	3	0.405	0.135
CA2D1	NOL11	6	0.775	0.129166666666667
CA2D1	NAV3	4	0.563	0.14075
CA2D1	APOB	4	0.443	0.11075
CA2D1	TECTA	4	0.882	0.2205
CA2D1	TRIM5	5	0.942	0.1884
CA2D1	RAB17	5	0.762	0.1524
CA2D1	GRID2	2	0.49	0.245
CAH4	MMP13	5	0.89	0.178
CAH4	ASIC4	2	0.659	0.3295
CAH4	RAD9A	5	0.972	0.1944
CAH4	OR7C1	6	0.635	0.105833333333333
CAH4	PLS1	4	0.593	0.14825
CAH4	PCNT	7	0.913	0.130428571428571
CAH4	ETV4	4	0.444	0.111
CAH4	MED9	6	0.977	0.162833333333333
CAH4	PNRC1	8	1.007	0.125875
CAH4	RAPSN	7	0.823	0.117571428571429
CAH4	PACS1	5	0.832	0.1664
CAH4	CBR4	8	1.279	0.159875
CAH4	LARP7	6	0.883	0.147166666666667
CAH4	VDAC1	4	0.508	0.127
CAH4	RFPL1	6	0.905	0.150833333333333
CAH4	CHST1	4	0.493	0.12325
CAH4	NOL11	6	0.833	0.138833333333333
CAH4	NAV3	5	0.917	0.1834
CAH4	APOB	7	0.997	0.142428571428571
CAH4	TECTA	5	1.236	0.2472
CAH4	TRIM5	9	0.985	0.109444444444444
CAH4	RAB17	5	1.024	0.2048
CAH4	GRID2	4	0.835	0.20875
AK1C1	MMP13	5	0.733	0.1466
AK1C1	ASIC4	7	1.14	0.162857142857143
AK1C1	RAD9A	5	0.79	0.158
AK1C1	OR7C1	6	0.961	0.160166666666667
AK1C1	PLS1	6	0.505	0.0841666666666667
AK1C1	PCNT	7	0.751	0.107285714285714
AK1C1	ETV4	7	0.38	0.0542857142857143
AK1C1	MED9	5	0.871	0.1742
AK1C1	PNRC1	3	0.515	0.171666666666667
AK1C1	RAPSN	5	0.733	0.1466
AK1C1	PACS1	6	0.632	0.105333333333333
AK1C1	CBR4	7	1.034	0.147714285714286
AK1C1	LARP7	5	0.878	0.1756
AK1C1	VDAC1	5	0.352	0.0704
AK1C1	RFPL1	8	1.32	0.165
AK1C1	CHST1	8	0.513	0.064125
AK1C1	NOL11	5	0.658	0.1316
AK1C1	NAV3	6	0.688	0.114666666666667
AK1C1	APOB	4	0.517	0.12925
AK1C1	TECTA	6	1.007	0.167833333333333
AK1C1	TRIM5	6	0.919	0.153166666666667
AK1C1	RAB17	4	0.905	0.22625
AK1C1	GRID2	10	0.904	0.0904
ROCK1	MMP13	6	0.843	0.1405
ROCK1	ASIC4	7	1.107	0.158142857142857
ROCK1	RAD9A	6	0.808	0.134666666666667
ROCK1	OR7C1	6	0.797	0.132833333333333
ROCK1	PLS1	4	0.339	0.08475
ROCK1	PCNT	3	0.402	0.134
ROCK1	ETV4	6	0.276	0.046
ROCK1	MED9	6	0.965	0.160833333333333
ROCK1	PNRC1	3	0.644	0.214666666666667
ROCK1	RAPSN	6	0.843	0.1405
ROCK1	PACS1	5	0.39	0.078
ROCK1	CBR4	8	1.013	0.126625
ROCK1	LARP7	5	0.945	0.189
ROCK1	VDAC1	4	0.226	0.0565
ROCK1	RFPL1	6	1.154	0.192333333333333
ROCK1	CHST1	7	0.409	0.0584285714285714
ROCK1	NOL11	4	0.625	0.15625
ROCK1	NAV3	5	0.649	0.1298
ROCK1	APOB	5	0.314	0.0628
ROCK1	TECTA	5	0.968	0.1936
ROCK1	TRIM5	5	0.804	0.1608
ROCK1	RAB17	6	0.85	0.141666666666667
ROCK1	GRID2	8	0.474	0.05925
CHLE	MMP13	3	0.71	0.236666666666667
CHLE	ASIC4	8	1.043	0.130375
CHLE	RAD9A	6	0.695	0.115833333333333
CHLE	OR7C1	4	0.788	0.197
CHLE	PLS1	4	0.157	0.03925
CHLE	PCNT	6	0.476	0.0793333333333333
CHLE	ETV4	5	0.132	0.0264
CHLE	MED9	5	0.766	0.1532
CHLE	PNRC1	5	0.506	0.1012
CHLE	RAPSN	1	0.395	0.395
CHLE	PACS1	4	0.284	0.071
CHLE	CBR4	5	0.885	0.177
CHLE	LARP7	4	0.23	0.0575
CHLE	VDAC1	3	0.203	0.0676666666666667
CHLE	RFPL1	6	0.972	0.162
CHLE	CHST1	4	0.369	0.09225
CHLE	NOL11	3	0.509	0.169666666666667
CHLE	NAV3	4	0.539	0.13475
CHLE	APOB	6	0.278	0.0463333333333333
CHLE	TECTA	4	0.858	0.2145
CHLE	TRIM5	4	0.571	0.14275
CHLE	RAB17	5	0.658	0.1316
CHLE	GRID2	8	0.556	0.0695
J3QK85	MMP13	4	0.281	0.07025
J3QK85	ASIC4	7	0.987	0.141
J3QK85	RAD9A	3	0.237	0.079
J3QK85	OR7C1	6	0.76	0.126666666666667
J3QK85	PLS1	2	0.091	0.0455
J3QK85	PCNT	2	0.229	0.1145
J3QK85	ETV4	5	0.131	0.0262
J3QK85	MED9	4	0.365	0.09125
J3QK85	PNRC1	3	0.44	0.146666666666667
J3QK85	RAPSN	4	0.281	0.07025
J3QK85	PACS1	4	0.243	0.06075
J3QK85	CBR4	6	0.888	0.148
J3QK85	LARP7	4	0.754	0.1885
J3QK85	VDAC1	2	0.116	0.058
J3QK85	RFPL1	3	0.694	0.231333333333333
J3QK85	CHST1	7	0.319	0.0455714285714286
J3QK85	NOL11	6	0.512	0.0853333333333333
J3QK85	NAV3	4	0.495	0.12375
J3QK85	APOB	3	0.206	0.0686666666666667
J3QK85	TECTA	4	0.814	0.2035
J3QK85	TRIM5	4	0.954	0.2385
J3QK85	RAB17	4	0.47	0.1175
J3QK85	GRID2	3	0.638	0.212666666666667
ZAP70	MMP13	3	0.483	0.161
ZAP70	ASIC4	9	1.004	0.111555555555556
ZAP70	RAD9A	4	0.17	0.0425
ZAP70	OR7C1	5	0.695	0.139
ZAP70	PLS1	4	0.108	0.027
ZAP70	PCNT	5	0.358	0.0716
ZAP70	ETV4	6	0.117	0.0195
ZAP70	MED9	4	0.597	0.14925
ZAP70	PNRC1	5	0.457	0.0914
ZAP70	RAPSN	5	0.485	0.097
ZAP70	PACS1	5	0.192	0.0384
ZAP70	CBR4	8	0.859	0.107375
ZAP70	LARP7	4	0.947	0.23675
ZAP70	VDAC1	3	0.089	0.0296666666666667
ZAP70	RFPL1	6	0.923	0.153833333333333
ZAP70	CHST1	7	0.311	0.0444285714285714
ZAP70	NOL11	6	0.483	0.0805
ZAP70	NAV3	6	0.512	0.0853333333333333
ZAP70	APOB	4	0.139	0.03475
ZAP70	TECTA	6	0.831	0.1385
ZAP70	TRIM5	4	0.745	0.18625
ZAP70	RAB17	4	0.634	0.1585
ZAP70	GRID2	4	0.571	0.14275
UD14	MMP13	6	0.445	0.0741666666666667
UD14	ASIC4	6	0.882	0.147
UD14	RAD9A	7	0.455	0.065
UD14	OR7C1	8	0.959	0.119875
UD14	PLS1	6	0.325	0.0541666666666667
UD14	PCNT	7	0.49	0.07
UD14	ETV4	8	0.272	0.034
UD14	MED9	6	0.564	0.094
UD14	PNRC1	3	0.446	0.148666666666667
UD14	RAPSN	6	0.445	0.0741666666666667
UD14	PACS1	6	0.423	0.0705
UD14	CBR4	6	0.924	0.154
UD14	LARP7	5	0.907	0.1814
UD14	VDAC1	4	0.242	0.0605
UD14	RFPL1	6	0.923	0.153833333333333
UD14	CHST1	6	0.419	0.0698333333333333
UD14	NOL11	4	0.548	0.137
UD14	NAV3	5	0.578	0.1156
UD14	APOB	5	0.407	0.0814
UD14	TECTA	5	0.897	0.1794
UD14	TRIM5	5	0.705	0.141
UD14	RAB17	6	0.65	0.108333333333333
UD14	GRID2	7	0.856	0.122285714285714
S12A2	MMP13	5	0.363	0.0726
S12A2	ASIC4	7	1.113	0.159
S12A2	RAD9A	4	0.368	0.092
S12A2	OR7C1	6	0.876	0.146
S12A2	PLS1	5	0.292	0.0584
S12A2	PCNT	6	0.451	0.0751666666666667
S12A2	ETV4	6	0.267	0.0445
S12A2	MED9	4	0.481	0.12025
S12A2	PNRC1	6	0.641	0.106833333333333
S12A2	RAPSN	5	0.363	0.0726
S12A2	PACS1	6	0.34	0.0566666666666667
S12A2	CBR4	8	1.057	0.132125
S12A2	LARP7	4	0.881	0.22025
S12A2	VDAC1	6	0.264	0.044
S12A2	RFPL1	5	0.961	0.1922
S12A2	CHST1	4	0.484	0.121
S12A2	NOL11	6	0.638	0.106333333333333
S12A2	NAV3	7	0.696	0.0994285714285714
S12A2	APOB	4	0.323	0.08075
S12A2	TECTA	4	0.925	0.23125
S12A2	TRIM5	4	0.628	0.157
S12A2	RAB17	6	0.567	0.0945
S12A2	GRID2	4	0.769	0.19225
EST1A	MMP13	6	0.758	0.126333333333333
EST1A	ASIC4	8	1.071	0.133875
EST1A	RAD9A	2	0.18	0.09
EST1A	OR7C1	6	0.955	0.159166666666667
EST1A	PLS1	5	0.437	0.0874
EST1A	PCNT	2	0.199	0.0995
EST1A	ETV4	8	0.157	0.019625
EST1A	MED9	7	0.836	0.119428571428571
EST1A	PNRC1	2	0.382	0.191
EST1A	RAPSN	6	0.554	0.0923333333333333
EST1A	PACS1	4	0.338	0.0845
EST1A	CBR4	6	0.952	0.158666666666667
EST1A	LARP7	3	0.854	0.284666666666667
EST1A	VDAC1	6	0.242	0.0403333333333333
EST1A	RFPL1	7	1.252	0.178857142857143
EST1A	CHST1	7	0.343	0.049
EST1A	NOL11	4	0.455	0.11375
EST1A	NAV3	5	0.606	0.1212
EST1A	APOB	5	0.361	0.0722
EST1A	TECTA	5	0.925	0.185
EST1A	TRIM5	4	0.636	0.159
EST1A	RAB17	6	0.897	0.1495
EST1A	GRID2	8	0.832	0.104
VKOR1	MMP13	6	0.695	0.115833333333333
VKOR1	ASIC4	8	1.165	0.145625
VKOR1	RAD9A	7	0.705	0.100714285714286
VKOR1	OR7C1	6	0.814	0.135666666666667
VKOR1	PLS1	5	0.639	0.1278
VKOR1	PCNT	7	0.74	0.105714285714286
VKOR1	ETV4	5	0.6	0.12
VKOR1	MED9	6	0.896	0.149333333333333
VKOR1	PNRC1	4	0.671	0.16775
VKOR1	RAPSN	6	0.695	0.115833333333333
VKOR1	PACS1	4	0.69	0.1725
VKOR1	CBR4	8	1.288	0.161
VKOR1	LARP7	6	0.84	0.14
VKOR1	VDAC1	4	0.582	0.1455
VKOR1	RFPL1	8	0.967	0.120875
VKOR1	CHST1	5	0.683	0.1366
VKOR1	NOL11	6	0.912	0.152
VKOR1	NAV3	7	0.942	0.134571428571429
VKOR1	APOB	5	0.657	0.1314
VKOR1	TECTA	7	1.261	0.180142857142857
VKOR1	TRIM5	5	0.955	0.191
VKOR1	RAB17	7	0.964	0.137714285714286
VKOR1	GRID2	6	0.85	0.141666666666667
XDH	MMP13	5	0.711	0.1422
XDH	ASIC4	7	0.955	0.136428571428571
XDH	RAD9A	6	0.721	0.120166666666667
XDH	OR7C1	7	0.963	0.137571428571429
XDH	PLS1	5	0.581	0.1162
XDH	PCNT	6	0.756	0.126
XDH	ETV4	5	0.269	0.0538
XDH	MED9	5	0.879	0.1758
XDH	PNRC1	5	0.727	0.1454
XDH	RAPSN	5	0.711	0.1422
XDH	PACS1	5	0.689	0.1378
XDH	CBR4	7	1.008	0.144
XDH	LARP7	5	0.856	0.1712
XDH	VDAC1	3	0.232	0.0773333333333333
XDH	RFPL1	7	0.791	0.113
XDH	CHST1	7	0.507	0.0724285714285714
XDH	NOL11	4	0.836	0.209
XDH	NAV3	6	0.732	0.122
XDH	APOB	4	0.673	0.16825
XDH	TECTA	4	0.803	0.20075
XDH	TRIM5	4	0.971	0.24275
XDH	RAB17	5	0.916	0.1832
XDH	GRID2	5	0.866	0.1732
ACHB4	MMP13	5	0.363	0.0726
ACHB4	ASIC4	7	1.113	0.159
ACHB4	RAD9A	4	0.368	0.092
