source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MSRB1	5	0.883	0.1766
ACE	EPN1	3	0.381	0.127
ACE	GRIP1	3	0.091	0.0303333333333333
ACE	COPE	4	0.42	0.105
ACE	PAX7	4	0.542	0.1355
ACE	IRS1	4	0.084	0.021
ACE	ERCC2	7	0.069	0.00985714285714286
ACE	KCNN2	3	0.258	0.086
ACE	FPR3	2	0.129	0.0645
ACE	AMHR2	3	0.327	0.109
ACE	EPHB6	6	0.14	0.0233333333333333
ACE	MGLL	3	0.255	0.085
ACE	PLCB3	2	0.115	0.0575
ACE	MPP5	4	0.326	0.0815
ACE	CDC45	6	0.648	0.108
ACE	MITF	6	0.074	0.0123333333333333
ACE	MYOM2	5	0.909	0.1818
ACE	CARD8	4	0.425	0.10625
KAPCA	MSRB1	6	0.84	0.14
KAPCA	EPN1	4	0.338	0.0845
KAPCA	GRIP1	4	0.089	0.02225
KAPCA	COPE	3	0.437	0.145666666666667
KAPCA	PAX7	4	0.532	0.133
KAPCA	IRS1	5	0.116	0.0232
KAPCA	ERCC2	5	0.055	0.011
KAPCA	KCNN2	6	0.293	0.0488333333333333
KAPCA	FPR3	2	0.181	0.0905
KAPCA	AMHR2	4	0.335	0.08375
KAPCA	EPHB6	6	0.134	0.0223333333333333
KAPCA	MGLL	4	0.246	0.0615
KAPCA	PLCB3	2	0.138	0.069
KAPCA	MPP5	2	0.336	0.168
KAPCA	CDC45	3	0.505	0.168333333333333
KAPCA	MITF	3	0.082	0.0273333333333333
KAPCA	MYOM2	3	0.831	0.277
KAPCA	CARD8	5	0.382	0.0764
NTKL	MSRB1	6	0.706	0.117666666666667
NTKL	EPN1	2	0.192	0.096
NTKL	GRIP1	5	0.218	0.0436
NTKL	COPE	1	0.26	0.26
NTKL	PAX7	6	0.669	0.1115
NTKL	IRS1	5	0.2	0.04
NTKL	ERCC2	6	0.215	0.0358333333333333
NTKL	KCNN2	6	0.419	0.0698333333333333
NTKL	FPR3	5	0.299	0.0598
NTKL	AMHR2	6	0.456	0.076
NTKL	EPHB6	7	0.23	0.0328571428571429
NTKL	MGLL	7	0.415	0.0592857142857143
NTKL	PLCB3	7	0.299	0.0427142857142857
NTKL	MPP5	5	0.384	0.0768
NTKL	CDC45	7	0.368	0.0525714285714286
NTKL	MITF	5	0.209	0.0418
NTKL	MYOM2	8	0.928	0.116
NTKL	CARD8	5	0.248	0.0496
CALM	MSRB1	4	0.59	0.1475
CALM	EPN1	2	0.088	0.044
CALM	GRIP1	3	0.081	0.027
CALM	COPE	4	0.38	0.095
CALM	PAX7	4	0.532	0.133
CALM	IRS1	2	0.081	0.0405
CALM	ERCC2	7	0.059	0.00842857142857143
CALM	KCNN2	1	0.182	0.182
CALM	FPR3	2	0.147	0.0735
CALM	AMHR2	4	0.33	0.0825
CALM	EPHB6	5	0.107	0.0214
CALM	MGLL	3	0.247	0.0823333333333333
CALM	PLCB3	1	0.067	0.067
CALM	MPP5	3	0.268	0.0893333333333333
CALM	CDC45	2	0.356	0.178
CALM	MITF	4	0.071	0.01775
CALM	MYOM2	2	0.615	0.3075
CALM	CARD8	3	0.132	0.044
ACHA4	MSRB1	5	0.744	0.1488
ACHA4	EPN1	3	0.242	0.0806666666666667
ACHA4	GRIP1	4	0.182	0.0455
ACHA4	COPE	5	0.534	0.1068
ACHA4	PAX7	5	0.633	0.1266
ACHA4	IRS1	2	0.149	0.0745
ACHA4	ERCC2	8	0.174	0.02175
ACHA4	KCNN2	3	0.36	0.12
ACHA4	FPR3	4	0.294	0.0735
ACHA4	AMHR2	4	0.418	0.1045
ACHA4	EPHB6	6	0.21	0.035
ACHA4	MGLL	4	0.329	0.08225
ACHA4	PLCB3	2	0.226	0.113
ACHA4	MPP5	4	0.375	0.09375
ACHA4	CDC45	6	0.509	0.0848333333333333
ACHA4	MITF	4	0.186	0.0465
ACHA4	MYOM2	5	0.885	0.177
ACHA4	CARD8	4	0.286	0.0715
ANXA2	MSRB1	5	0.8	0.16
ANXA2	EPN1	3	0.298	0.0993333333333333
ANXA2	GRIP1	3	0.118	0.0393333333333333
ANXA2	COPE	5	0.59	0.118
ANXA2	PAX7	4	0.569	0.14225
ANXA2	IRS1	2	0.093	0.0465
ANXA2	ERCC2	6	0.077	0.0128333333333333
ANXA2	KCNN2	3	0.27	0.09
ANXA2	FPR3	3	0.311	0.103666666666667
ANXA2	AMHR2	4	0.38	0.095
ANXA2	EPHB6	5	0.119	0.0238
ANXA2	MGLL	4	0.363	0.09075
ANXA2	PLCB3	4	0.295	0.07375
ANXA2	MPP5	3	0.317	0.105666666666667
ANXA2	CDC45	4	0.46	0.115
ANXA2	MITF	4	0.083	0.02075
ANXA2	MYOM2	4	0.932	0.233
ANXA2	CARD8	4	0.342	0.0855
AURKB	MSRB1	7	0.54	0.0771428571428572
AURKB	EPN1	6	0.297	0.0495
AURKB	GRIP1	5	0.12	0.024
AURKB	COPE	8	0.589	0.073625
AURKB	PAX7	6	0.571	0.0951666666666667
AURKB	IRS1	4	0.081	0.02025
AURKB	ERCC2	4	0.027	0.00675
AURKB	KCNN2	3	0.297	0.099
AURKB	FPR3	5	0.267	0.0534
AURKB	AMHR2	5	0.391	0.0782
AURKB	EPHB6	4	0.078	0.0195
AURKB	MGLL	5	0.302	0.0604
AURKB	PLCB3	5	0.281	0.0562
AURKB	MPP5	5	0.402	0.0804
AURKB	CDC45	1	0.122	0.122
AURKB	MITF	4	0.07	0.0175
AURKB	MYOM2	6	0.761	0.126833333333333
AURKB	CARD8	7	0.341	0.0487142857142857
GNAT3	MSRB1	4	0.599	0.14975
GNAT3	EPN1	5	0.788	0.1576
GNAT3	GRIP1	4	0.279	0.06975
GNAT3	COPE	4	0.481	0.12025
GNAT3	PAX7	5	0.73	0.146
GNAT3	IRS1	3	0.227	0.0756666666666667
GNAT3	ERCC2	7	0.133	0.019
GNAT3	KCNN2	3	0.329	0.109666666666667
GNAT3	FPR3	2	0.202	0.101
GNAT3	AMHR2	5	0.411	0.0822
GNAT3	EPHB6	4	0.228	0.057
GNAT3	MGLL	7	0.517	0.0738571428571429
GNAT3	PLCB3	1	0.08	0.08
GNAT3	MPP5	6	0.466	0.0776666666666667
GNAT3	CDC45	6	0.968	0.161333333333333
GNAT3	MITF	6	0.212	0.0353333333333333
GNAT3	MYOM2	6	0.812	0.135333333333333
GNAT3	CARD8	5	0.551	0.1102
CA2D1	MSRB1	6	0.736	0.122666666666667
CA2D1	EPN1	5	0.901	0.1802
CA2D1	GRIP1	3	0.418	0.139333333333333
CA2D1	COPE	5	0.872	0.1744
CA2D1	PAX7	6	0.894	0.149
CA2D1	IRS1	3	0.277	0.0923333333333333
CA2D1	ERCC2	7	0.187	0.0267142857142857
CA2D1	KCNN2	3	0.305	0.101666666666667
CA2D1	FPR3	5	0.475	0.095
CA2D1	AMHR2	4	0.648	0.162
CA2D1	EPHB6	7	0.349	0.0498571428571429
CA2D1	MGLL	6	0.65	0.108333333333333
CA2D1	PLCB3	3	0.451	0.150333333333333
CA2D1	MPP5	8	0.55	0.06875
CA2D1	CDC45	4	0.569	0.14225
CA2D1	MITF	5	0.214	0.0428
CA2D1	MYOM2	6	0.78	0.13
CA2D1	CARD8	6	0.591	0.0985
CAH4	MSRB1	7	0.87	0.124285714285714
CAH4	EPN1	12	0.999	0.08325
CAH4	GRIP1	5	0.839	0.1678
CAH4	COPE	4	0.434	0.1085
CAH4	PAX7	7	0.941	0.134428571428571
CAH4	IRS1	4	0.773	0.19325
CAH4	ERCC2	6	0.348	0.058
CAH4	KCNN2	4	0.659	0.16475
CAH4	FPR3	5	0.916	0.1832
