source	dest	edges	cum_dist	avg_dist_per_edge
ACE	PLP2	3	0.5	0.166666666666667
ACE	VASP	4	0.168	0.042
ACE	CIDEB	2	0.129	0.0645
ACE	TFEC	4	0.288	0.072
ACE	SCYL2	5	1.086	0.2172
ACE	COBL	4	0.691	0.17275
ACE	TAF1A	3	0.094	0.0313333333333333
ACE	PCNT	6	0.405	0.0675
ACE	HHAT	4	0.565	0.14125
ACE	SPAG7	6	0.548	0.0913333333333333
ACE	LSM2	4	0.694	0.1735
ACE	SREK1	6	0.396	0.066
ACE	RHOA	5	0.052	0.0104
ACE	EMR1	3	0.954	0.318
ACE	VGF	3	0.202	0.0673333333333333
ACE	CHD1	5	0.761	0.1522
ACE	APOC1	2	0.948	0.474
ACE	TUFT1	6	1.005	0.1675
ACE	RAB17	4	0.441	0.11025
KAPCA	PLP2	4	0.657	0.16425
KAPCA	VASP	3	0.149	0.0496666666666667
KAPCA	CIDEB	3	0.385	0.128333333333333
KAPCA	TFEC	4	0.273	0.06825
KAPCA	SCYL2	6	1.043	0.173833333333333
KAPCA	COBL	5	0.856	0.1712
KAPCA	TAF1A	4	0.085	0.02125
KAPCA	PCNT	3	0.222	0.074
KAPCA	HHAT	6	0.831	0.1385
KAPCA	SPAG7	6	0.533	0.0888333333333333
KAPCA	LSM2	4	0.64	0.16
KAPCA	SREK1	5	0.413	0.0826
KAPCA	RHOA	3	0.038	0.0126666666666667
KAPCA	EMR1	3	0.455	0.151666666666667
KAPCA	VGF	3	0.227	0.0756666666666667
KAPCA	CHD1	4	0.516	0.129
KAPCA	APOC1	6	0.609	0.1015
KAPCA	TUFT1	5	1.022	0.2044
KAPCA	RAB17	4	0.426	0.1065
NTKL	PLP2	6	0.684	0.114
NTKL	VASP	4	0.294	0.0735
NTKL	CIDEB	4	0.351	0.08775
NTKL	TFEC	5	0.385	0.077
NTKL	SCYL2	5	0.913	0.1826
NTKL	COBL	6	0.775	0.129166666666667
NTKL	TAF1A	5	0.232	0.0464
NTKL	PCNT	6	0.378	0.063
NTKL	HHAT	7	0.82	0.117142857142857
NTKL	SPAG7	10	0.631	0.0631
NTKL	LSM2	5	0.791	0.1582
NTKL	SREK1	8	0.61	0.07625
NTKL	RHOA	4	0.207	0.05175
NTKL	EMR1	6	0.618	0.103
NTKL	VGF	7	0.393	0.0561428571428571
NTKL	CHD1	7	0.684	0.0977142857142857
NTKL	APOC1	7	0.598	0.0854285714285714
NTKL	TUFT1	8	1.247	0.155875
NTKL	RAB17	5	0.538	0.1076
CALM	PLP2	3	0.869	0.289666666666667
CALM	VASP	3	0.148	0.0493333333333333
CALM	CIDEB	2	0.234	0.117
CALM	TFEC	4	0.265	0.06625
CALM	SCYL2	4	0.793	0.19825
CALM	COBL	4	0.656	0.164
CALM	TAF1A	4	0.086	0.0215
CALM	PCNT	3	0.1	0.0333333333333333
CALM	HHAT	6	0.7	0.116666666666667
CALM	SPAG7	7	0.51	0.0728571428571429
CALM	LSM2	4	0.641	0.16025
CALM	SREK1	5	0.376	0.0752
CALM	RHOA	5	0.042	0.0084
CALM	EMR1	4	0.967	0.24175
CALM	VGF	3	0.192	0.064
CALM	CHD1	3	0.408	0.136
CALM	APOC1	6	0.478	0.0796666666666667
CALM	TUFT1	4	0.981	0.24525
CALM	RAB17	2	0.267	0.1335
ACHA4	PLP2	4	0.657	0.16425
ACHA4	VASP	5	0.306	0.0612
ACHA4	CIDEB	3	0.328	0.109333333333333
ACHA4	TFEC	6	0.362	0.0603333333333333
ACHA4	SCYL2	4	0.884	0.221
ACHA4	COBL	4	0.748	0.187
ACHA4	TAF1A	4	0.168	0.042
ACHA4	PCNT	5	0.392	0.0784
ACHA4	HHAT	7	0.798	0.114
ACHA4	SPAG7	8	0.622	0.07775
ACHA4	LSM2	6	0.768	0.128
ACHA4	SREK1	8	0.593	0.074125
