source	dest	edges	cum_dist	avg_dist_per_edge
ACE	CRTC3	4	0.827	0.20675
ACE	EPN1	3	0.381	0.127
ACE	TCP11	5	0.896	0.1792
ACE	TRPV4	4	0.139	0.03475
ACE	KIFC3	6	0.143	0.0238333333333333
ACE	COPZ1	6	0.192	0.032
ACE	SYNE2	4	0.23	0.0575
ACE	CCNA1	5	0.1	0.02
ACE	TLE6	5	0.87	0.174
ACE	CD226	2	0.282	0.141
ACE	MYH3	4	0.788	0.197
ACE	RPGR	5	0.282	0.0564
ACE	GNL3L	3	0.509	0.169666666666667
ACE	ISCU	4	0.484	0.121
ACE	EYA2	4	0.529	0.13225
ACE	KCNH4	5	0.428	0.0856
ACE	ABCG2	3	0.174	0.058
ACE	FXYD7	3	0.983	0.327666666666667
ACE	SCRT1	6	0.847	0.141166666666667
ACE	FZD8	2	0.143	0.0715
ACE	GGT5	4	0.611	0.15275
ACE	DHX8	3	0.545	0.181666666666667
KAPCA	CRTC3	3	0.523	0.174333333333333
KAPCA	EPN1	4	0.338	0.0845
KAPCA	TCP11	3	0.619	0.206333333333333
KAPCA	TRPV4	5	0.137	0.0274
KAPCA	KIFC3	3	0.151	0.0503333333333333
KAPCA	COPZ1	7	0.19	0.0271428571428571
KAPCA	SYNE2	4	0.215	0.05375
KAPCA	CCNA1	6	0.098	0.0163333333333333
KAPCA	TLE6	3	0.593	0.197666666666667
KAPCA	CD226	3	0.273	0.091
KAPCA	MYH3	2	0.394	0.197
KAPCA	RPGR	3	0.256	0.0853333333333333
KAPCA	GNL3L	3	0.494	0.164666666666667
KAPCA	ISCU	4	0.469	0.11725
KAPCA	EYA2	5	0.544	0.1088
KAPCA	KCNH4	2	0.28	0.14
KAPCA	ABCG2	4	0.201	0.05025
KAPCA	FXYD7	2	0.81	0.405
KAPCA	SCRT1	4	0.57	0.1425
KAPCA	FZD8	4	0.298	0.0745
KAPCA	GGT5	5	0.568	0.1136
KAPCA	DHX8	5	0.835	0.167
NTKL	CRTC3	7	0.726	0.103714285714286
NTKL	EPN1	2	0.192	0.096
NTKL	TCP11	7	0.794	0.113428571428571
NTKL	TRPV4	5	0.263	0.0526
NTKL	KIFC3	5	0.278	0.0556
NTKL	COPZ1	2	0.101	0.0505
NTKL	SYNE2	6	0.323	0.0538333333333333
NTKL	CCNA1	8	0.204	0.0255
NTKL	TLE6	7	0.768	0.109714285714286
NTKL	CD226	6	0.442	0.0736666666666667
NTKL	MYH3	7	0.633	0.0904285714285714
NTKL	RPGR	9	0.457	0.0507777777777778
NTKL	GNL3L	5	0.602	0.1204
NTKL	ISCU	6	0.577	0.0961666666666667
NTKL	EYA2	6	0.673	0.112166666666667
NTKL	KCNH4	8	0.508	0.0635
NTKL	ABCG2	6	0.303	0.0505
NTKL	FXYD7	6	0.902	0.150333333333333
NTKL	SCRT1	8	0.745	0.093125
NTKL	FZD8	8	0.462	0.05775
NTKL	GGT5	5	0.434	0.0868
NTKL	DHX8	7	0.846	0.120857142857143
CALM	CRTC3	3	0.524	0.174666666666667
CALM	EPN1	2	0.088	0.044
CALM	TCP11	5	0.575	0.115
CALM	TRPV4	2	0.102	0.051
CALM	KIFC3	4	0.14	0.035
CALM	COPZ1	6	0.176	0.0293333333333333
CALM	SYNE2	4	0.207	0.05175
CALM	CCNA1	5	0.084	0.0168
CALM	TLE6	5	0.549	0.1098
CALM	CD226	3	0.274	0.0913333333333333
CALM	MYH3	1	0.178	0.178
CALM	RPGR	2	0.196	0.098
CALM	GNL3L	3	0.486	0.162
CALM	ISCU	4	0.461	0.11525
CALM	EYA2	3	0.509	0.169666666666667
CALM	KCNH4	2	0.24	0.12
CALM	ABCG2	4	0.187	0.04675
CALM	FXYD7	3	0.761	0.253666666666667
CALM	SCRT1	6	0.526	0.0876666666666667
CALM	FZD8	3	0.19	0.0633333333333333
CALM	GGT5	3	0.318	0.106
CALM	DHX8	5	0.73	0.146
ACHA4	CRTC3	4	0.683	0.17075
ACHA4	EPN1	3	0.242	0.0806666666666667
ACHA4	TCP11	5	0.789	0.1578
ACHA4	TRPV4	5	0.23	0.046
ACHA4	KIFC3	4	0.255	0.06375
ACHA4	COPZ1	7	0.283	0.0404285714285714
ACHA4	SYNE2	6	0.304	0.0506666666666667
ACHA4	CCNA1	6	0.191	0.0318333333333333
ACHA4	TLE6	5	0.763	0.1526
ACHA4	CD226	3	0.356	0.118666666666667
ACHA4	MYH3	6	0.735	0.1225
ACHA4	RPGR	8	0.439	0.054875
ACHA4	GNL3L	5	0.583	0.1166
ACHA4	ISCU	6	0.558	0.093
ACHA4	EYA2	5	0.637	0.1274
ACHA4	KCNH4	2	0.409	0.2045
ACHA4	ABCG2	5	0.285	0.057
ACHA4	FXYD7	4	0.883	0.22075
ACHA4	SCRT1	6	0.74	0.123333333333333
ACHA4	FZD8	6	0.443	0.0738333333333333
ACHA4	GGT5	4	0.472	0.118
ACHA4	DHX8	3	0.607	0.202333333333333
ANXA2	CRTC3	4	0.818	0.2045
ANXA2	EPN1	3	0.298	0.0993333333333333
ANXA2	TCP11	5	0.76	0.152
ANXA2	TRPV4	2	0.114	0.057
ANXA2	KIFC3	4	0.152	0.038
ANXA2	COPZ1	6	0.188	0.0313333333333333
ANXA2	SYNE2	3	0.264	0.088
ANXA2	CCNA1	5	0.096	0.0192
ANXA2	TLE6	5	0.734	0.1468
ANXA2	CD226	3	0.39	0.13
ANXA2	MYH3	3	0.495	0.165
ANXA2	RPGR	6	0.397	0.0661666666666667
ANXA2	GNL3L	2	0.543	0.2715
ANXA2	ISCU	3	0.518	0.172666666666667
ANXA2	EYA2	4	0.573	0.14325
ANXA2	KCNH4	5	0.6	0.12
ANXA2	ABCG2	3	0.23	0.0766666666666667
ANXA2	FXYD7	2	0.665	0.3325
ANXA2	SCRT1	6	0.711	0.1185
ANXA2	FZD8	4	0.669	0.16725
ANXA2	GGT5	4	0.528	0.132
ANXA2	DHX8	6	0.921	0.1535
AURKB	CRTC3	6	0.596	0.0993333333333333
AURKB	EPN1	6	0.297	0.0495
AURKB	TCP11	6	0.61	0.101666666666667
AURKB	TRPV4	2	0.16	0.08
