source	dest	edges	cum_dist	avg_dist_per_edge
ACE	GDF9	4	0.218	0.0545
ACE	APOL6	4	0.454	0.1135
ACE	STX17	4	0.495	0.12375
ACE	LIN7B	4	0.593	0.14825
ACE	MARK1	4	0.405	0.10125
ACE	RGS9	4	0.245	0.06125
ACE	PDK1	3	0.219	0.073
ACE	RIT1	4	0.812	0.203
ACE	TMA16	4	0.827	0.20675
ACE	WBP5	6	0.579	0.0965
ACE	WDR4	6	0.964	0.160666666666667
ACE	PDYN	2	0.075	0.0375
ACE	CCDC6	4	0.506	0.1265
ACE	RNF25	5	0.271	0.0542
ACE	XAF1	3	0.285	0.095
ACE	CD244	4	0.228	0.057
ACE	CHD8	5	0.634	0.1268
ACE	GMPPA	5	0.423	0.0846
ACE	GCNT4	5	0.516	0.1032
ACE	MNT	6	0.251	0.0418333333333333
KAPCA	GDF9	3	0.235	0.0783333333333333
KAPCA	APOL6	4	0.439	0.10975
KAPCA	STX17	3	0.512	0.170666666666667
KAPCA	LIN7B	2	0.503	0.2515
KAPCA	MARK1	4	0.493	0.12325
KAPCA	RGS9	4	0.289	0.07225
KAPCA	PDK1	4	0.23	0.0575
KAPCA	RIT1	2	0.535	0.2675
KAPCA	TMA16	4	0.812	0.203
KAPCA	WBP5	4	0.48	0.12
KAPCA	WDR4	5	0.981	0.1962
KAPCA	PDYN	2	0.132	0.066
KAPCA	CCDC6	2	0.147	0.0735
KAPCA	RNF25	3	0.257	0.0856666666666667
KAPCA	XAF1	2	0.475	0.2375
KAPCA	CD244	4	0.213	0.05325
KAPCA	CHD8	4	0.389	0.09725
KAPCA	GMPPA	3	0.409	0.136333333333333
KAPCA	GCNT4	6	0.473	0.0788333333333333
KAPCA	MNT	6	0.236	0.0393333333333333
NTKL	GDF9	4	0.334	0.0835
NTKL	APOL6	5	0.551	0.1102
NTKL	STX17	5	0.635	0.127
NTKL	LIN7B	8	0.805	0.100625
NTKL	MARK1	6	0.489	0.0815
NTKL	RGS9	8	0.49	0.06125
NTKL	PDK1	5	0.303	0.0606
NTKL	RIT1	5	0.714	0.1428
NTKL	TMA16	3	0.963	0.321
NTKL	WBP5	6	0.609	0.1015
NTKL	WDR4	4	0.985	0.24625
NTKL	PDYN	5	0.334	0.0668
NTKL	CCDC6	5	0.354	0.0708
NTKL	RNF25	4	0.426	0.1065
NTKL	XAF1	4	0.382	0.0955
NTKL	CD244	5	0.325	0.065
