source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RRAS2	3	0.201	0.067
ACE	RECK	4	0.218	0.0545
ACE	UPP1	4	0.397	0.09925
ACE	RHOH	4	0.161	0.04025
ACE	ADAT1	4	0.455	0.11375
ACE	TNNT1	5	0.568	0.1136
ACE	SDC3	3	0.475	0.158333333333333
ACE	DSC1	4	0.276	0.069
ACE	RGR	6	0.817	0.136166666666667
ACE	GDF3	4	0.305	0.07625
ACE	FGF6	4	0.137	0.03425
ACE	KIF15	7	0.117	0.0167142857142857
ACE	CDR2L	8	0.783	0.097875
ACE	EPS8	3	0.395	0.131666666666667
KAPCA	RRAS2	4	0.366	0.0915
KAPCA	RECK	4	0.243	0.06075
KAPCA	UPP1	5	0.418	0.0836
KAPCA	RHOH	5	0.159	0.0318
KAPCA	ADAT1	4	0.499	0.12475
KAPCA	TNNT1	3	0.209	0.0696666666666667
KAPCA	SDC3	4	0.432	0.108
KAPCA	DSC1	2	0.56	0.28
KAPCA	RGR	5	0.834	0.1668
KAPCA	GDF3	5	0.303	0.0606
KAPCA	FGF6	5	0.241	0.0482
KAPCA	KIF15	5	0.103	0.0206
KAPCA	CDR2L	6	0.917	0.152833333333333
KAPCA	EPS8	4	0.352	0.088
NTKL	RRAS2	5	0.285	0.057
NTKL	RECK	4	0.274	0.0685
NTKL	UPP1	6	0.504	0.084
NTKL	RHOH	5	0.292	0.0584
NTKL	ADAT1	5	0.672	0.1344
NTKL	TNNT1	6	0.416	0.0693333333333333
NTKL	SDC3	3	0.302	0.100666666666667
NTKL	DSC1	4	0.263	0.06575
NTKL	RGR	8	1.031	0.128875
NTKL	GDF3	5	0.436	0.0872
NTKL	FGF6	5	0.214	0.0428
NTKL	KIF15	10	0.26	0.026
NTKL	CDR2L	8	0.926	0.11575
NTKL	EPS8	3	0.222	0.074
CALM	RRAS2	3	0.166	0.0553333333333333
CALM	RECK	3	0.154	0.0513333333333333
CALM	UPP1	4	0.377	0.09425
CALM	RHOH	4	0.151	0.03775
CALM	ADAT1	4	0.462	0.1155
CALM	TNNT1	3	0.262	0.0873333333333333
CALM	SDC3	2	0.182	0.091
CALM	DSC1	3	0.143	0.0476666666666667
CALM	RGR	5	0.797	0.1594
CALM	GDF3	4	0.284	0.071
CALM	FGF6	4	0.102	0.0255
CALM	KIF15	7	0.107	0.0152857142857143
CALM	CDR2L	5	0.809	0.1618
CALM	EPS8	2	0.102	0.051
ACHA4	RRAS2	3	0.258	0.086
ACHA4	RECK	3	0.245	0.0816666666666667
ACHA4	UPP1	6	0.602	0.100333333333333
ACHA4	RHOH	5	0.252	0.0504
ACHA4	ADAT1	5	0.65	0.13
ACHA4	TNNT1	4	0.369	0.09225
ACHA4	SDC3	3	0.336	0.112
ACHA4	DSC1	4	0.297	0.07425
ACHA4	RGR	8	1.014	0.12675
ACHA4	GDF3	5	0.396	0.0792
ACHA4	FGF6	4	0.194	0.0485
ACHA4	KIF15	7	0.227	0.0324285714285714
ACHA4	CDR2L	7	0.867	0.123857142857143
ACHA4	EPS8	3	0.256	0.0853333333333333
ANXA2	RRAS2	3	0.373	0.124333333333333
ANXA2	RECK	5	0.271	0.0542
ANXA2	UPP1	5	0.556	0.1112
ANXA2	RHOH	4	0.188	0.047
ANXA2	ADAT1	6	0.607	0.101166666666667
ANXA2	TNNT1	4	0.504	0.126
ANXA2	SDC3	3	0.392	0.130666666666667
ANXA2	DSC1	4	0.353	0.08825
ANXA2	RGR	6	0.959	0.159833333333333
ANXA2	GDF3	4	0.332	0.083
ANXA2	FGF6	3	0.212	0.0706666666666667
ANXA2	KIF15	6	0.125	0.0208333333333333
ANXA2	CDR2L	8	0.779	0.097375
ANXA2	EPS8	3	0.312	0.104
AURKB	RRAS2	2	0.164	0.082
AURKB	RECK	5	0.231	0.0462
AURKB	UPP1	3	0.234	0.078
AURKB	RHOH	2	0.099	0.0495
AURKB	ADAT1	5	0.568	0.1136
AURKB	TNNT1	6	0.282	0.047
AURKB	SDC3	6	0.391	0.0651666666666667
AURKB	DSC1	7	0.352	0.0502857142857143
AURKB	RGR	5	0.85	0.17
AURKB	GDF3	6	0.334	0.0556666666666667
AURKB	FGF6	5	0.224	0.0448
AURKB	KIF15	3	0.03	0.01
AURKB	CDR2L	2	0.567	0.2835
AURKB	EPS8	3	0.254	0.0846666666666667
GNAT3	RRAS2	3	0.307	0.102333333333333
GNAT3	RECK	6	0.357	0.0595
GNAT3	UPP1	6	0.462	0.077
GNAT3	RHOH	5	0.349	0.0698
GNAT3	ADAT1	4	0.512	0.128
GNAT3	TNNT1	4	0.735	0.18375
GNAT3	SDC3	5	0.882	0.1764
GNAT3	DSC1	4	0.382	0.0955
GNAT3	RGR	6	0.878	0.146333333333333
GNAT3	GDF3	5	0.493	0.0986
GNAT3	FGF6	4	0.243	0.06075
GNAT3	KIF15	7	0.215	0.0307142857142857
GNAT3	CDR2L	8	0.902	0.11275
GNAT3	EPS8	5	0.802	0.1604
CA2D1	RRAS2	2	0.343	0.1715
CA2D1	RECK	6	0.45	0.075
CA2D1	UPP1	6	0.832	0.138666666666667
CA2D1	RHOH	2	0.301	0.1505
CA2D1	ADAT1	5	0.838	0.1676
CA2D1	TNNT1	4	0.412	0.103
CA2D1	SDC3	4	0.603	0.15075
CA2D1	DSC1	5	0.782	0.1564
CA2D1	RGR	8	1.189	0.148625
CA2D1	GDF3	6	0.657	0.1095
CA2D1	FGF6	4	0.405	0.10125
CA2D1	KIF15	7	0.235	0.0335714285714286
CA2D1	CDR2L	8	0.955	0.119375
CA2D1	EPS8	6	0.749	0.124833333333333
CAH4	RRAS2	8	0.945	0.118125
CAH4	RECK	3	0.497	0.165666666666667
CAH4	UPP1	5	0.723	0.1446
CAH4	RHOH	4	0.779	0.19475
CAH4	ADAT1	8	1.037	0.129625
CAH4	TNNT1	6	0.936	0.156
CAH4	SDC3	5	0.818	0.1636
