source	dest	edges	cum_dist	avg_dist_per_edge
ACE	LGI2	4	0.467	0.11675
ACE	PAX9	3	0.617	0.205666666666667
ACE	WFDC2	6	0.98	0.163333333333333
ACE	FGF13	4	0.272	0.068
ACE	UBE2C	4	0.143	0.03575
ACE	KCNV2	5	0.282	0.0564
ACE	CD226	2	0.282	0.141
ACE	ING2	7	0.13	0.0185714285714286
ACE	GPR6	4	0.377	0.09425
ACE	SIX6	4	0.697	0.17425
ACE	AP1AR	4	0.319	0.07975
ACE	MATN4	4	0.83	0.2075
ACE	BMP15	4	0.316	0.079
ACE	RINT1	5	0.547	0.1094
ACE	HELLS	7	0.202	0.0288571428571429
ACE	AEBP1	6	0.761	0.126833333333333
ACE	SOX18	3	0.277	0.0923333333333333
ACE	RGR	6	0.817	0.136166666666667
ACE	PARP1	3	0.109	0.0363333333333333
ACE	CUX2	4	0.529	0.13225
ACE	ADRB2	3	0.093	0.031
ACE	CPSF7	4	0.259	0.06475
ACE	LBX1	3	0.306	0.102
KAPCA	LGI2	4	0.448	0.112
KAPCA	PAX9	4	0.664	0.166
KAPCA	WFDC2	2	0.842	0.421
KAPCA	FGF13	6	0.288	0.048
KAPCA	UBE2C	4	0.128	0.032
KAPCA	KCNV2	2	0.229	0.1145
KAPCA	CD226	3	0.273	0.091
KAPCA	ING2	5	0.116	0.0232
KAPCA	GPR6	5	0.375	0.075
KAPCA	SIX6	3	0.469	0.156333333333333
KAPCA	AP1AR	4	0.304	0.076
KAPCA	MATN4	5	0.828	0.1656
KAPCA	BMP15	5	0.314	0.0628
KAPCA	RINT1	3	0.27	0.09
KAPCA	HELLS	4	0.197	0.04925
KAPCA	AEBP1	8	0.77	0.09625
KAPCA	SOX18	4	0.326	0.0815
KAPCA	RGR	5	0.834	0.1668
KAPCA	PARP1	3	0.105	0.035
KAPCA	CUX2	4	0.517	0.12925
KAPCA	ADRB2	2	0.11	0.055
KAPCA	CPSF7	3	0.276	0.092
KAPCA	LBX1	3	0.291	0.097
NTKL	LGI2	6	0.6	0.1
NTKL	PAX9	5	0.75	0.15
NTKL	WFDC2	8	1.144	0.143
NTKL	FGF13	3	0.245	0.0816666666666667
NTKL	UBE2C	5	0.24	0.048
NTKL	KCNV2	5	0.41	0.082
NTKL	CD226	5	0.446	0.0892
NTKL	ING2	5	0.237	0.0474
NTKL	GPR6	5	0.508	0.1016
NTKL	SIX6	6	0.648	0.108
NTKL	AP1AR	5	0.416	0.0832
NTKL	MATN4	6	0.828	0.138
NTKL	BMP15	6	0.397	0.0661666666666667
NTKL	RINT1	6	0.449	0.0748333333333333
NTKL	HELLS	7	0.299	0.0427142857142857
NTKL	AEBP1	8	0.87	0.10875
NTKL	SOX18	6	0.363	0.0605
NTKL	RGR	8	1.031	0.128875
NTKL	PARP1	4	0.226	0.0565
NTKL	CUX2	5	0.629	0.1258
NTKL	ADRB2	4	0.297	0.07425
NTKL	CPSF7	6	0.442	0.0736666666666667
NTKL	LBX1	4	0.403	0.10075
CALM	LGI2	6	0.45	0.075
CALM	PAX9	4	0.629	0.15725
CALM	WFDC2	4	0.968	0.242
CALM	FGF13	1	0.1	0.1
CALM	UBE2C	4	0.118	0.0295
CALM	KCNV2	3	0.239	0.0796666666666667
CALM	CD226	3	0.274	0.0913333333333333
CALM	ING2	4	0.095	0.02375
CALM	GPR6	5	0.351	0.0702
CALM	SIX6	5	0.425	0.085
CALM	AP1AR	4	0.296	0.074
CALM	MATN4	4	0.682	0.1705
CALM	BMP15	5	0.285	0.057
CALM	RINT1	5	0.226	0.0452
CALM	HELLS	7	0.186	0.0265714285714286
CALM	AEBP1	7	0.75	0.107142857142857
CALM	SOX18	3	0.218	0.0726666666666667
CALM	RGR	5	0.797	0.1594
CALM	PARP1	3	0.099	0.033
CALM	CUX2	3	0.486	0.162
CALM	ADRB2	2	0.073	0.0365
CALM	CPSF7	3	0.239	0.0796666666666667
CALM	LBX1	3	0.283	0.0943333333333333
ACHA4	LGI2	6	0.578	0.0963333333333333
ACHA4	PAX9	5	0.728	0.1456
ACHA4	WFDC2	9	1.107	0.123
ACHA4	FGF13	3	0.279	0.093
ACHA4	UBE2C	6	0.217	0.0361666666666667
ACHA4	KCNV2	6	0.373	0.0621666666666667
ACHA4	CD226	3	0.356	0.118666666666667
ACHA4	ING2	6	0.214	0.0356666666666667
ACHA4	GPR6	5	0.468	0.0936
ACHA4	SIX6	5	0.639	0.1278
ACHA4	AP1AR	6	0.393	0.0655
ACHA4	MATN4	5	0.805	0.161
ACHA4	BMP15	5	0.377	0.0754
ACHA4	RINT1	5	0.44	0.088
ACHA4	HELLS	6	0.286	0.0476666666666667
ACHA4	AEBP1	6	0.974	0.162333333333333
ACHA4	SOX18	5	0.388	0.0776
ACHA4	RGR	8	1.014	0.12675
ACHA4	PARP1	4	0.2	0.05
ACHA4	CUX2	6	0.606	0.101
ACHA4	ADRB2	5	0.26	0.052
ACHA4	CPSF7	6	0.427	0.0711666666666667
ACHA4	LBX1	5	0.38	0.076
ANXA2	LGI2	6	0.462	0.077
ANXA2	PAX9	3	0.686	0.228666666666667
ANXA2	WFDC2	6	0.991	0.165166666666667
ANXA2	FGF13	3	0.265	0.0883333333333333
ANXA2	UBE2C	5	0.142	0.0284
ANXA2	KCNV2	3	0.257	0.0856666666666667
ANXA2	CD226	3	0.39	0.13
ANXA2	ING2	6	0.132	0.022
ANXA2	GPR6	4	0.363	0.09075
ANXA2	SIX6	5	0.61	0.122
ANXA2	AP1AR	3	0.353	0.117666666666667
ANXA2	MATN4	4	0.857	0.21425
ANXA2	BMP15	4	0.343	0.08575
ANXA2	RINT1	5	0.411	0.0822
ANXA2	HELLS	7	0.198	0.0282857142857143
ANXA2	AEBP1	7	0.867	0.123857142857143
ANXA2	SOX18	3	0.346	0.115333333333333
ANXA2	RGR	7	1.018	0.145428571428571
ANXA2	PARP1	3	0.136	0.0453333333333333
ANXA2	CUX2	3	0.566	0.188666666666667
ANXA2	ADRB2	2	0.144	0.072
ANXA2	CPSF7	5	0.507	0.1014
ANXA2	LBX1	2	0.34	0.17
AURKB	LGI2	6	0.481	0.0801666666666667
AURKB	PAX9	5	0.715	0.143
AURKB	WFDC2	6	1.013	0.168833333333333
AURKB	FGF13	5	0.253	0.0506
AURKB	UBE2C	2	0.003	0.0015
AURKB	KCNV2	7	0.311	0.0444285714285714
AURKB	CD226	4	0.329	0.08225
AURKB	ING2	6	0.086	0.0143333333333333
AURKB	GPR6	6	0.406	0.0676666666666667
AURKB	SIX6	6	0.46	0.0766666666666667
AURKB	AP1AR	4	0.292	0.073
AURKB	MATN4	7	0.821	0.117285714285714
AURKB	BMP15	6	0.345	0.0575
AURKB	RINT1	6	0.261	0.0435
AURKB	HELLS	3	0.095	0.0316666666666667
AURKB	AEBP1	8	0.816	0.102
AURKB	SOX18	4	0.275	0.06875
AURKB	RGR	5	0.85	0.17
AURKB	PARP1	2	0.069	0.0345
AURKB	CUX2	4	0.505	0.12625
AURKB	ADRB2	6	0.198	0.033
AURKB	CPSF7	4	0.266	0.0665
AURKB	LBX1	3	0.279	0.093
GNAT3	LGI2	6	0.639	0.1065
GNAT3	PAX9	5	0.805	0.161
GNAT3	WFDC2	4	1.042	0.2605
GNAT3	FGF13	4	0.378	0.0945
GNAT3	UBE2C	5	0.265	0.053
GNAT3	KCNV2	5	0.436	0.0872
GNAT3	CD226	6	0.544	0.0906666666666667
GNAT3	ING2	7	0.227	0.0324285714285714
GNAT3	GPR6	6	0.542	0.0903333333333333
GNAT3	SIX6	6	0.885	0.1475
GNAT3	AP1AR	6	0.507	0.0845
GNAT3	MATN4	5	1.018	0.2036
GNAT3	BMP15	5	0.426	0.0852
GNAT3	RINT1	6	0.813	0.1355
GNAT3	HELLS	7	0.321	0.0458571428571429
GNAT3	AEBP1	8	0.953	0.119125
GNAT3	SOX18	5	0.465	0.093
GNAT3	RGR	6	0.878	0.146333333333333
GNAT3	PARP1	4	0.297	0.07425
GNAT3	CUX2	4	0.59	0.1475
