source	dest	edges	cum_dist	avg_dist_per_edge
ACE	AMBP	3	0.082	0.0273333333333333
ACE	MGST3	2	0.213	0.1065
ACE	NGLY1	4	0.992	0.248
ACE	PON3	2	0.919	0.4595
ACE	HPGDS	2	0.457	0.2285
ACE	DSE	4	0.304	0.076
ACE	LAMA5	4	0.16	0.04
ACE	LFNG	4	0.35	0.0875
ACE	GAR1	5	0.317	0.0634
ACE	RGS20	3	0.114	0.038
ACE	COLQ	3	0.866	0.288666666666667
ACE	RAB21	3	0.557	0.185666666666667
ACE	ASCC1	4	0.472	0.118
ACE	FOXL2	4	0.438	0.1095
ACE	BRSK2	5	0.51	0.102
ACE	OTC	3	0.624	0.208
ACE	COQ2	5	0.426	0.0852
ACE	SH2B2	3	0.412	0.137333333333333
ACE	CD1B	6	0.68	0.113333333333333
ACE	CCR3	2	0.118	0.059
KAPCA	AMBP	5	0.118	0.0236
KAPCA	MGST3	5	0.543	0.1086
KAPCA	NGLY1	5	0.949	0.1898
KAPCA	PON3	6	1.348	0.224666666666667
KAPCA	HPGDS	4	0.468	0.117
KAPCA	DSE	4	0.289	0.07225
KAPCA	LAMA5	7	0.215	0.0307142857142857
KAPCA	LFNG	4	0.335	0.08375
KAPCA	GAR1	4	0.322	0.0805
KAPCA	RGS20	3	0.139	0.0463333333333333
KAPCA	COLQ	3	0.812	0.270666666666667
KAPCA	RAB21	4	0.514	0.1285
KAPCA	ASCC1	5	0.47	0.094
KAPCA	FOXL2	4	0.298	0.0745
KAPCA	BRSK2	2	0.386	0.193
KAPCA	OTC	2	0.468	0.234
KAPCA	COQ2	5	0.422	0.0844
KAPCA	SH2B2	4	0.369	0.09225
KAPCA	CD1B	7	0.637	0.091
KAPCA	CCR3	2	0.175	0.0875
NTKL	AMBP	10	0.254	0.0254
NTKL	MGST3	5	0.388	0.0776
NTKL	NGLY1	4	0.819	0.20475
NTKL	PON3	6	1.213	0.202166666666667
NTKL	HPGDS	4	0.313	0.07825
NTKL	DSE	5	0.401	0.0802
NTKL	LAMA5	4	0.32	0.08
NTKL	LFNG	5	0.447	0.0894
NTKL	GAR1	5	0.434	0.0868
NTKL	RGS20	5	0.308	0.0616
NTKL	COLQ	5	0.787	0.1574
NTKL	RAB21	3	0.384	0.128
NTKL	ASCC1	5	0.603	0.1206
NTKL	FOXL2	5	0.461	0.0922
NTKL	BRSK2	6	0.582	0.097
NTKL	OTC	4	0.488	0.122
NTKL	COQ2	6	0.543	0.0905
NTKL	SH2B2	4	0.234	0.0585
NTKL	CD1B	8	0.434	0.05425
NTKL	CCR3	5	0.37	0.074
CALM	AMBP	7	0.097	0.0138571428571429
CALM	MGST3	3	0.307	0.102333333333333
CALM	NGLY1	3	0.699	0.233
CALM	PON3	4	1.167	0.29175
CALM	HPGDS	4	0.532	0.133
CALM	DSE	4	0.281	0.07025
CALM	LAMA5	4	0.18	0.045
CALM	LFNG	4	0.327	0.08175
CALM	GAR1	5	0.307	0.0614
CALM	RGS20	3	0.102	0.034
CALM	COLQ	4	0.667	0.16675
CALM	RAB21	2	0.264	0.132
CALM	ASCC1	4	0.449	0.11225
CALM	FOXL2	5	0.286	0.0572
CALM	BRSK2	5	0.462	0.0924
CALM	OTC	2	0.146	0.073
CALM	COQ2	5	0.416	0.0832
CALM	SH2B2	2	0.379	0.1895
CALM	CD1B	5	0.387	0.0774
CALM	CCR3	2	0.138	0.069
ACHA4	AMBP	6	0.203	0.0338333333333333
ACHA4	MGST3	4	0.461	0.11525
ACHA4	NGLY1	4	0.853	0.21325
ACHA4	PON3	6	1.311	0.2185
ACHA4	HPGDS	4	0.411	0.10275
ACHA4	DSE	6	0.378	0.063
ACHA4	LAMA5	6	0.283	0.0471666666666667
ACHA4	LFNG	6	0.424	0.0706666666666667
ACHA4	GAR1	6	0.411	0.0685
ACHA4	RGS20	5	0.25	0.05
ACHA4	COLQ	2	0.282	0.141
ACHA4	RAB21	3	0.418	0.139333333333333
ACHA4	ASCC1	5	0.563	0.1126
ACHA4	FOXL2	4	0.438	0.1095
ACHA4	BRSK2	6	0.558	0.093
ACHA4	OTC	4	0.522	0.1305
ACHA4	COQ2	6	0.517	0.0861666666666667
ACHA4	SH2B2	2	0.154	0.077
ACHA4	CD1B	6	0.541	0.0901666666666667
ACHA4	CCR3	4	0.294	0.0735
ANXA2	AMBP	3	0.083	0.0276666666666667
ANXA2	MGST3	3	0.361	0.120333333333333
ANXA2	NGLY1	4	0.909	0.22725
ANXA2	PON3	3	1.071	0.357
ANXA2	HPGDS	3	0.596	0.198666666666667
ANXA2	DSE	3	0.338	0.112666666666667
ANXA2	LAMA5	4	0.192	0.048
ANXA2	LFNG	3	0.384	0.128
ANXA2	GAR1	3	0.371	0.123666666666667
ANXA2	RGS20	4	0.204	0.051
ANXA2	COLQ	4	0.876	0.219
ANXA2	RAB21	3	0.474	0.158
ANXA2	ASCC1	4	0.461	0.11525
ANXA2	FOXL2	5	0.471	0.0942
ANXA2	BRSK2	5	0.579	0.1158
ANXA2	OTC	4	0.578	0.1445
ANXA2	COQ2	5	0.453	0.0906
ANXA2	SH2B2	2	0.322	0.161
ANXA2	CD1B	6	0.522	0.087
ANXA2	CCR3	5	0.294	0.0588
AURKB	AMBP	4	0.11	0.0275
AURKB	MGST3	7	0.502	0.0717142857142857
AURKB	NGLY1	2	0.458	0.229
AURKB	PON3	6	1.297	0.216166666666667
AURKB	HPGDS	6	0.427	0.0711666666666667
AURKB	DSE	4	0.277	0.06925
AURKB	LAMA5	6	0.18	0.03
AURKB	LFNG	4	0.323	0.08075
AURKB	GAR1	2	0.279	0.1395
AURKB	RGS20	6	0.206	0.0343333333333333
AURKB	COLQ	6	0.782	0.130333333333333
AURKB	RAB21	6	0.473	0.0788333333333333
AURKB	ASCC1	6	0.501	0.0835
AURKB	FOXL2	6	0.321	0.0535
AURKB	BRSK2	6	0.528	0.088
AURKB	OTC	7	0.577	0.0824285714285714
AURKB	COQ2	4	0.386	0.0965
AURKB	SH2B2	6	0.328	0.0546666666666667
AURKB	CD1B	6	0.407	0.0678333333333333
AURKB	CCR3	4	0.253	0.06325
GNAT3	AMBP	6	0.192	0.032
GNAT3	MGST3	7	0.607	0.0867142857142857
GNAT3	NGLY1	8	0.985	0.123125
GNAT3	PON3	7	1.044	0.149142857142857
GNAT3	HPGDS	6	0.75	0.125
GNAT3	DSE	6	0.492	0.082
GNAT3	LAMA5	5	0.286	0.0572
GNAT3	LFNG	6	0.538	0.0896666666666667
GNAT3	GAR1	6	0.485	0.0808333333333333
GNAT3	RGS20	2	0.102	0.051
GNAT3	COLQ	5	0.694	0.1388
GNAT3	RAB21	6	0.765	0.1275
GNAT3	ASCC1	6	0.64	0.106666666666667
GNAT3	FOXL2	5	0.503	0.1006
GNAT3	BRSK2	6	0.665	0.110833333333333
GNAT3	OTC	5	0.841	0.1682
GNAT3	COQ2	6	0.614	0.102333333333333
