source	destinations_disconnected_to
ACE	TSSK2	PTCD2
KAPCA	TSSK2	PTCD2
NTKL	TSSK2	PTCD2
CALM	TSSK2	PTCD2
ACHA4	TSSK2	PTCD2
ANXA2	TSSK2	PTCD2
AURKB	TSSK2	PTCD2
GNAT3	TSSK2	PTCD2
CA2D1	TSSK2	PTCD2
CAH4	TSSK2	PTCD2
AK1C1	TSSK2	PTCD2
ROCK1	TSSK2	PTCD2
CHLE	TSSK2	PTCD2
J3QK85	TSSK2	PTCD2
ZAP70	TSSK2	PTCD2
UD14	TSSK2	PTCD2
S12A2	TSSK2	PTCD2
EST1A	TSSK2	PTCD2
VKOR1	TSSK2	PTCD2
XDH	TSSK2	PTCD2
ACHB4	TSSK2	PTCD2
RLP24	TSSK2	PTCD2
EDN1	TSSK2	PTCD2
GBRB3	TSSK2	PTCD2
TKT	TSSK2	PTCD2
NEU2	TSSK2	PTCD2
3HAO	TSSK2	PTCD2
RL10L	TSSK2	PTCD2
ADA1D	TSSK2	PTCD2
CANB2	TSSK2	PTCD2
KAP3	TSSK2	PTCD2
PANX1	TSSK2	PTCD2
ST2A1	TSSK2	PTCD2
UPP2	TSSK2	PTCD2
AK1D1	TSSK2	PTCD2
CAC1A	TSSK2	PTCD2
CUBN	TSSK2	PTCD2
THA	TSSK2	PTCD2
TBB5	TSSK2	PTCD2
CATA	TSSK2	PTCD2
RL3	TSSK2	PTCD2
PA2GE	TSSK2	PTCD2
HRH2	TSSK2	PTCD2
ATTY	TSSK2	PTCD2
S29A2	TSSK2	PTCD2
GBRT	TSSK2	PTCD2
ACHA3	TSSK2	PTCD2
CDK6	TSSK2	PTCD2
5HT7R	TSSK2	PTCD2
ADRB1	TSSK2	PTCD2
CP11A	TSSK2	PTCD2
CSK	TSSK2	PTCD2
5HT3A	TSSK2	PTCD2
AT12A	TSSK2	PTCD2
IOD3	TSSK2	PTCD2
PGFRA	TSSK2	PTCD2
A1AG1	TSSK2	PTCD2
TNFA	TSSK2	PTCD2
NFAC2	TSSK2	PTCD2
NOS2	TSSK2	PTCD2
5HT2B	TSSK2	PTCD2
HS90A	TSSK2	PTCD2
LCK	TSSK2	PTCD2
ADCYA	TSSK2	PTCD2
HS90B	TSSK2	PTCD2
ADA2A	TSSK2	PTCD2
CACP	TSSK2	PTCD2
RARA	TSSK2	PTCD2
PYC	TSSK2	PTCD2
CATL1	TSSK2	PTCD2
ACHA9	TSSK2	PTCD2
NH2L1	TSSK2	PTCD2
AAKB2	TSSK2	PTCD2
DCXR	TSSK2	PTCD2
CXCL7	TSSK2	PTCD2
KCNE1	TSSK2	PTCD2
B3GT4	TSSK2	PTCD2
ACES	TSSK2	PTCD2
SCNNG	TSSK2	PTCD2
HASP	TSSK2	PTCD2
MMP3	TSSK2	PTCD2
MET	TSSK2	PTCD2
AA2BR	TSSK2	PTCD2
PDE8A	TSSK2	PTCD2
5HT2C	TSSK2	PTCD2
AK1C3	TSSK2	PTCD2
OSTCN	TSSK2	PTCD2
NMD3B	TSSK2	PTCD2
CDK5	TSSK2	PTCD2
PPARA	TSSK2	PTCD2
DRD2	TSSK2	PTCD2
VGFR2	TSSK2	PTCD2
CP1A2	TSSK2	PTCD2
NGF	TSSK2	PTCD2
GBRA6	TSSK2	PTCD2
ACHA7	TSSK2	PTCD2
CP2C9	TSSK2	PTCD2
TBA1A	TSSK2	PTCD2
IL2RA	TSSK2	PTCD2
PPB1	TSSK2	PTCD2
PD2R	TSSK2	PTCD2
Q71TU5	TSSK2	PTCD2
DCE1	TSSK2	PTCD2
GBRG1	TSSK2	PTCD2
FGFR2	TSSK2	PTCD2
IMPA1	TSSK2	PTCD2
ACM2	TSSK2	PTCD2
IL8	TSSK2	PTCD2
5HT6R	TSSK2	PTCD2
KPCT	TSSK2	PTCD2
AOC1	TSSK2	PTCD2
PCNA	TSSK2	PTCD2
KSYK	TSSK2	PTCD2
CAH9	TSSK2	PTCD2
RL11	TSSK2	PTCD2
CACB3	TSSK2	PTCD2
HMDH	TSSK2	PTCD2
GBRA4	TSSK2	PTCD2
KIT	TSSK2	PTCD2
AOFA	TSSK2	PTCD2
