source	dest	edges	cum_dist	avg_dist_per_edge
ACE	COPZ2	3	0.565	0.188333333333333
ACE	PVRL3	4	0.176	0.044
ACE	ZIC1	3	0.286	0.0953333333333333
ACE	FMOD	4	0.334	0.0835
ACE	CDT1	5	0.524	0.1048
ACE	EXOC2	3	0.227	0.0756666666666667
ACE	HERC3	4	0.682	0.1705
ACE	MED9	4	0.454	0.1135
ACE	BMS1	3	0.246	0.082
ACE	SMPX	3	0.528	0.176
ACE	ZNF81	4	0.614	0.1535
ACE	GIT1	6	0.106	0.0176666666666667
ACE	E2F5	5	0.14	0.028
ACE	TPBG	4	0.457	0.11425
ACE	OAT	3	0.155	0.0516666666666667
ACE	FAT1	4	0.398	0.0995
ACE	SCG2	3	0.63	0.21
KAPCA	COPZ2	5	0.527	0.1054
KAPCA	PVRL3	5	0.174	0.0348
KAPCA	ZIC1	4	0.333	0.08325
KAPCA	FMOD	5	0.332	0.0664
KAPCA	CDT1	4	0.279	0.06975
KAPCA	EXOC2	5	0.312	0.0624
KAPCA	HERC3	6	0.629	0.104833333333333
KAPCA	MED9	2	0.284	0.142
KAPCA	BMS1	5	0.273	0.0546
KAPCA	SMPX	5	0.706	0.1412
KAPCA	ZNF81	4	0.599	0.14975
KAPCA	GIT1	7	0.104	0.0148571428571429
KAPCA	E2F5	3	0.108	0.036
KAPCA	TPBG	4	0.482	0.1205
KAPCA	OAT	5	0.363	0.0726
KAPCA	FAT1	3	0.415	0.138333333333333
KAPCA	SCG2	4	0.774	0.1935
NTKL	COPZ2	1	0.101	0.101
NTKL	PVRL3	4	0.304	0.076
NTKL	ZIC1	5	0.419	0.0838
NTKL	FMOD	5	0.465	0.093
NTKL	CDT1	7	0.447	0.0638571428571429
NTKL	EXOC2	5	0.293	0.0586
NTKL	HERC3	4	0.546	0.1365
NTKL	MED9	5	0.452	0.0904
NTKL	BMS1	5	0.404	0.0808
NTKL	SMPX	7	0.827	0.118142857142857
NTKL	ZNF81	5	0.711	0.1422
NTKL	GIT1	4	0.222	0.0555
NTKL	E2F5	7	0.248	0.0354285714285714
NTKL	TPBG	8	0.648	0.081
NTKL	OAT	6	0.352	0.0586666666666667
NTKL	FAT1	6	0.574	0.0956666666666667
NTKL	SCG2	6	0.744	0.124
CALM	COPZ2	3	0.277	0.0923333333333333
CALM	PVRL3	2	0.139	0.0695
CALM	ZIC1	4	0.298	0.0745
CALM	FMOD	4	0.324	0.081
CALM	CDT1	3	0.171	0.057
CALM	EXOC2	4	0.173	0.04325
CALM	HERC3	3	0.426	0.142
CALM	MED9	2	0.181	0.0905
CALM	BMS1	3	0.236	0.0786666666666667
CALM	SMPX	3	0.594	0.198
CALM	ZNF81	5	0.586	0.1172
CALM	GIT1	4	0.069	0.01725
CALM	E2F5	3	0.109	0.0363333333333333
CALM	TPBG	4	0.447	0.11175
CALM	OAT	3	0.145	0.0483333333333333
CALM	FAT1	3	0.378	0.126
CALM	SCG2	4	0.625	0.15625
ACHA4	COPZ2	4	0.431	0.10775
ACHA4	PVRL3	5	0.267	0.0534
ACHA4	ZIC1	5	0.397	0.0794
ACHA4	FMOD	5	0.425	0.085
ACHA4	CDT1	6	0.424	0.0706666666666667
ACHA4	EXOC2	4	0.264	0.066
ACHA4	HERC3	4	0.529	0.13225
ACHA4	MED9	4	0.429	0.10725
ACHA4	BMS1	5	0.366	0.0732
ACHA4	SMPX	5	0.799	0.1598
ACHA4	ZNF81	6	0.688	0.114666666666667
ACHA4	GIT1	7	0.197	0.0281428571428571
ACHA4	E2F5	6	0.231	0.0385
ACHA4	TPBG	5	0.586	0.1172
ACHA4	OAT	6	0.33	0.055
ACHA4	FAT1	5	0.617	0.1234
ACHA4	SCG2	4	0.717	0.17925
ANXA2	COPZ2	4	0.487	0.12175
ANXA2	PVRL3	2	0.151	0.0755
ANXA2	ZIC1	3	0.355	0.118333333333333
ANXA2	FMOD	4	0.361	0.09025
ANXA2	CDT1	4	0.849	0.21225
ANXA2	EXOC2	3	0.296	0.0986666666666667
ANXA2	HERC3	4	0.636	0.159
ANXA2	MED9	3	0.488	0.162666666666667
ANXA2	BMS1	4	0.302	0.0755
ANXA2	SMPX	4	0.735	0.18375
ANXA2	ZNF81	3	0.648	0.216
ANXA2	GIT1	4	0.081	0.02025
ANXA2	E2F5	5	0.136	0.0272
ANXA2	TPBG	4	0.528	0.132
ANXA2	OAT	4	0.288	0.072
ANXA2	FAT1	5	0.586	0.1172
ANXA2	SCG2	3	0.699	0.233
AURKB	COPZ2	7	0.486	0.0694285714285714
AURKB	PVRL3	6	0.205	0.0341666666666667
AURKB	ZIC1	5	0.384	0.0768
AURKB	FMOD	6	0.363	0.0605
AURKB	CDT1	2	0.094	0.047
AURKB	EXOC2	5	0.318	0.0636
AURKB	HERC3	2	0.368	0.184
AURKB	MED9	3	0.238	0.0793333333333333
AURKB	BMS1	4	0.259	0.06475
AURKB	SMPX	6	0.737	0.122833333333333
AURKB	ZNF81	4	0.587	0.14675
AURKB	GIT1	5	0.097	0.0194
AURKB	E2F5	3	0.071	0.0236666666666667
AURKB	TPBG	5	0.533	0.1066
AURKB	OAT	7	0.322	0.046
AURKB	FAT1	3	0.491	0.163666666666667
AURKB	SCG2	6	0.733	0.122166666666667
GNAT3	COPZ2	4	0.651	0.16275
GNAT3	PVRL3	3	0.327	0.109
GNAT3	ZIC1	5	0.474	0.0948
GNAT3	FMOD	5	0.462	0.0924
GNAT3	CDT1	8	0.98	0.1225
GNAT3	EXOC2	4	0.337	0.08425
GNAT3	HERC3	6	0.87	0.145
GNAT3	MED9	6	0.642	0.107
GNAT3	BMS1	5	0.463	0.0926
GNAT3	SMPX	5	0.896	0.1792
GNAT3	ZNF81	6	0.802	0.133666666666667
GNAT3	GIT1	5	0.192	0.0384
GNAT3	E2F5	5	0.259	0.0518
GNAT3	TPBG	7	0.683	0.0975714285714286
GNAT3	OAT	6	0.407	0.0678333333333333
GNAT3	FAT1	4	0.459	0.11475
GNAT3	SCG2	4	0.766	0.1915
CA2D1	COPZ2	4	0.689	0.17225
CA2D1	PVRL3	4	0.381	0.09525
CA2D1	ZIC1	4	0.607	0.15175
CA2D1	FMOD	3	0.471	0.157
CA2D1	CDT1	4	0.901	0.22525
CA2D1	EXOC2	4	0.548	0.137
CA2D1	HERC3	5	0.245	0.049
CA2D1	MED9	4	0.659	0.16475
CA2D1	BMS1	8	0.517	0.064625
CA2D1	SMPX	4	0.744	0.186
CA2D1	ZNF81	5	0.935	0.187
CA2D1	GIT1	6	0.311	0.0518333333333333
CA2D1	E2F5	5	0.312	0.0624
CA2D1	TPBG	6	0.842	0.140333333333333
CA2D1	OAT	5	0.54	0.108
CA2D1	FAT1	7	0.816	0.116571428571429
CA2D1	SCG2	4	0.951	0.23775
CAH4	COPZ2	6	0.854	0.142333333333333
CAH4	PVRL3	8	0.921	0.115125
CAH4	ZIC1	4	0.861	0.21525
CAH4	FMOD	6	0.942	0.157
CAH4	CDT1	6	0.931	0.155166666666667
CAH4	EXOC2	6	0.988	0.164666666666667
CAH4	HERC3	4	0.406	0.1015
CAH4	MED9	6	0.977	0.162833333333333
CAH4	BMS1	8	0.96	0.12
CAH4	SMPX	6	0.968	0.161333333333333
CAH4	ZNF81	6	0.885	0.1475
CAH4	GIT1	4	0.42	0.105
CAH4	E2F5	5	0.755	0.151
CAH4	TPBG	6	1.157	0.192833333333333
CAH4	OAT	6	0.886	0.147666666666667
CAH4	FAT1	7	0.992	0.141714285714286
CAH4	SCG2	5	0.833	0.1666
AK1C1	COPZ2	7	0.425	0.0607142857142857
AK1C1	PVRL3	6	0.532	0.0886666666666667
AK1C1	ZIC1	7	0.7	0.1
AK1C1	FMOD	6	0.595	0.0991666666666667
AK1C1	CDT1	9	0.972	0.108
AK1C1	EXOC2	6	0.705	0.1175
AK1C1	HERC3	6	0.297	0.0495
AK1C1	MED9	5	0.871	0.1742
AK1C1	BMS1	9	0.531	0.059
AK1C1	SMPX	8	0.859	0.107375
AK1C1	ZNF81	8	0.847	0.105875
AK1C1	GIT1	5	0.352	0.0704
AK1C1	E2F5	6	0.326	0.0543333333333333
AK1C1	TPBG	5	0.962	0.1924
AK1C1	OAT	4	0.66	0.165
AK1C1	FAT1	5	0.91	0.182
AK1C1	SCG2	5	0.885	0.177
ROCK1	COPZ2	6	0.957	0.1595
ROCK1	PVRL3	5	0.417	0.0834
ROCK1	ZIC1	5	0.574	0.1148
ROCK1	FMOD	2	0.425	0.2125
ROCK1	CDT1	8	0.96	0.12
ROCK1	EXOC2	2	0.158	0.079
ROCK1	HERC3	5	0.689	0.1378
ROCK1	MED9	6	0.965	0.160833333333333
ROCK1	BMS1	8	0.448	0.056
ROCK1	SMPX	5	0.931	0.1862
ROCK1	ZNF81	4	0.966	0.2415
ROCK1	GIT1	4	0.158	0.0395
ROCK1	E2F5	2	0.124	0.062
ROCK1	TPBG	5	0.723	0.1446
ROCK1	OAT	6	0.735	0.1225
ROCK1	FAT1	5	0.695	0.139
ROCK1	SCG2	4	0.964	0.241
CHLE	COPZ2	6	0.88	0.146666666666667
CHLE	PVRL3	4	0.184	0.046
CHLE	ZIC1	4	0.36	0.09
CHLE	FMOD	4	0.342	0.0855
CHLE	CDT1	3	0.737	0.245666666666667
CHLE	EXOC2	6	0.391	0.0651666666666667
CHLE	HERC3	4	0.799	0.19975
CHLE	MED9	5	0.766	0.1532
CHLE	BMS1	4	0.283	0.07075
CHLE	SMPX	4	0.716	0.179
CHLE	ZNF81	9	0.899	0.0998888888888889
CHLE	GIT1	6	0.114	0.019
CHLE	E2F5	5	0.148	0.0296
CHLE	TPBG	4	0.509	0.12725
CHLE	OAT	5	0.915	0.183
CHLE	FAT1	7	0.619	0.0884285714285714
CHLE	SCG2	4	0.992	0.248
J3QK85	COPZ2	4	0.356	0.089
J3QK85	PVRL3	2	0.118	0.059
J3QK85	ZIC1	4	0.367	0.09175
J3QK85	FMOD	4	0.394	0.0985
J3QK85	CDT1	6	0.36	0.06
J3QK85	EXOC2	3	0.209	0.0696666666666667
J3QK85	HERC3	4	0.505	0.12625
J3QK85	MED9	4	0.365	0.09125
J3QK85	BMS1	4	0.282	0.0705
J3QK85	SMPX	4	0.768	0.192
J3QK85	ZNF81	4	0.643	0.16075
J3QK85	GIT1	4	0.048	0.012
J3QK85	E2F5	5	0.103	0.0206
J3QK85	TPBG	5	0.559	0.1118
J3QK85	OAT	4	0.298	0.0745
J3QK85	FAT1	5	0.553	0.1106
J3QK85	SCG2	3	0.638	0.212666666666667
ZAP70	COPZ2	4	0.549	0.13725
ZAP70	PVRL3	3	0.132	0.044
ZAP70	ZIC1	6	0.343	0.0571666666666667
ZAP70	FMOD	5	0.327	0.0654
ZAP70	CDT1	6	0.912	0.152
ZAP70	EXOC2	4	0.142	0.0355
ZAP70	HERC3	4	0.698	0.1745
ZAP70	MED9	4	0.597	0.14925
ZAP70	BMS1	5	0.268	0.0536
ZAP70	SMPX	5	0.701	0.1402
ZAP70	ZNF81	4	0.807	0.20175
ZAP70	GIT1	4	0.047	0.01175
ZAP70	E2F5	4	0.116	0.029
ZAP70	TPBG	6	0.492	0.082
ZAP70	OAT	6	0.252	0.042
ZAP70	FAT1	4	0.558	0.1395
ZAP70	SCG2	4	0.571	0.14275
UD14	COPZ2	5	0.509	0.1018
UD14	PVRL3	6	0.352	0.0586666666666667
UD14	ZIC1	5	0.512	0.1024
UD14	FMOD	5	0.485	0.097
UD14	CDT1	8	0.559	0.069875
UD14	EXOC2	6	0.405	0.0675
UD14	HERC3	5	0.658	0.1316
UD14	MED9	6	0.564	0.094
UD14	BMS1	8	0.421	0.052625
UD14	SMPX	6	0.884	0.147333333333333
UD14	ZNF81	6	0.823	0.137166666666667
UD14	GIT1	4	0.242	0.0605
UD14	E2F5	5	0.216	0.0432
UD14	TPBG	6	0.671	0.111833333333333
UD14	OAT	5	0.461	0.0922
UD14	FAT1	7	0.686	0.098
UD14	SCG2	3	0.639	0.213
S12A2	COPZ2	4	0.483	0.12075
S12A2	PVRL3	5	0.319	0.0638
S12A2	ZIC1	5	0.449	0.0898
S12A2	FMOD	5	0.477	0.0954
S12A2	CDT1	6	0.476	0.0793333333333333
S12A2	EXOC2	4	0.316	0.079
S12A2	HERC3	4	0.581	0.14525
S12A2	MED9	4	0.481	0.12025
S12A2	BMS1	5	0.418	0.0836
S12A2	SMPX	5	0.851	0.1702
S12A2	ZNF81	6	0.74	0.123333333333333
S12A2	GIT1	7	0.249	0.0355714285714286
S12A2	E2F5	6	0.283	0.0471666666666667
S12A2	TPBG	5	0.638	0.1276
S12A2	OAT	6	0.382	0.0636666666666667
S12A2	FAT1	5	0.669	0.1338
S12A2	SCG2	4	0.769	0.19225
EST1A	COPZ2	4	0.979	0.24475
EST1A	PVRL3	6	0.514	0.0856666666666667
EST1A	ZIC1	6	0.475	0.0791666666666667
EST1A	FMOD	6	0.377	0.0628333333333333
EST1A	CDT1	4	0.991	0.24775
EST1A	EXOC2	4	0.378	0.0945
EST1A	HERC3	2	0.398	0.199
EST1A	MED9	7	0.836	0.119428571428571
EST1A	BMS1	8	0.306	0.03825
EST1A	SMPX	8	0.899	0.112375
EST1A	ZNF81	4	0.802	0.2005
EST1A	GIT1	6	0.192	0.032
EST1A	E2F5	5	0.101	0.0202
EST1A	TPBG	7	0.799	0.114142857142857
EST1A	OAT	7	0.833	0.119
EST1A	FAT1	3	0.521	0.173666666666667
EST1A	SCG2	5	0.997	0.1994
VKOR1	COPZ2	5	0.759	0.1518
VKOR1	PVRL3	5	0.666	0.1332
VKOR1	ZIC1	6	0.781	0.130166666666667
VKOR1	FMOD	5	0.754	0.1508
VKOR1	CDT1	7	0.875	0.125
VKOR1	EXOC2	6	0.655	0.109166666666667
VKOR1	HERC3	5	0.908	0.1816
VKOR1	MED9	6	0.896	0.149333333333333
VKOR1	BMS1	6	0.766	0.127666666666667
VKOR1	SMPX	6	1.042	0.173666666666667
VKOR1	ZNF81	6	0.908	0.151333333333333
VKOR1	GIT1	5	0.584	0.1168
VKOR1	E2F5	7	0.58	0.0828571428571429
VKOR1	TPBG	9	1.01	0.112222222222222
VKOR1	OAT	7	0.714	0.102
VKOR1	FAT1	7	0.936	0.133714285714286
VKOR1	SCG2	9	0.892	0.0991111111111111
XDH	COPZ2	4	0.775	0.19375
XDH	PVRL3	5	0.608	0.1216
XDH	ZIC1	5	0.74	0.148
XDH	FMOD	4	0.691	0.17275
XDH	CDT1	6	0.697	0.116166666666667
XDH	EXOC2	5	0.671	0.1342
XDH	HERC3	4	0.924	0.231
XDH	MED9	5	0.879	0.1758
XDH	BMS1	4	0.678	0.1695
XDH	SMPX	3	0.728	0.242666666666667
XDH	ZNF81	7	0.84	0.12
XDH	GIT1	5	0.502	0.1004
XDH	E2F5	6	0.507	0.0845
XDH	TPBG	5	0.889	0.1778
XDH	OAT	4	0.587	0.14675
XDH	FAT1	6	0.952	0.158666666666667
XDH	SCG2	6	0.977	0.162833333333333
ACHB4	COPZ2	4	0.483	0.12075
ACHB4	PVRL3	5	0.319	0.0638
ACHB4	ZIC1	5	0.449	0.0898
ACHB4	FMOD	5	0.477	0.0954
ACHB4	CDT1	6	0.476	0.0793333333333333
ACHB4	EXOC2	4	0.316	0.079
ACHB4	HERC3	4	0.581	0.14525
ACHB4	MED9	4	0.481	0.12025
ACHB4	BMS1	5	0.418	0.0836
ACHB4	SMPX	5	0.851	0.1702
ACHB4	ZNF81	6	0.74	0.123333333333333
ACHB4	GIT1	7	0.249	0.0355714285714286
ACHB4	E2F5	6	0.283	0.0471666666666667
ACHB4	TPBG	5	0.638	0.1276
ACHB4	OAT	6	0.382	0.0636666666666667
ACHB4	FAT1	5	0.669	0.1338
ACHB4	SCG2	4	0.769	0.19225
RLP24	COPZ2	2	0.534	0.267
RLP24	PVRL3	4	0.429	0.10725
RLP24	ZIC1	5	0.509	0.1018
RLP24	FMOD	5	0.411	0.0822
RLP24	CDT1	2	0.585	0.2925
RLP24	EXOC2	6	0.432	0.072
RLP24	HERC3	4	0.452	0.113
RLP24	MED9	6	0.9	0.15
RLP24	BMS1	7	0.34	0.0485714285714286
RLP24	SMPX	4	0.961	0.24025
RLP24	ZNF81	6	0.979	0.163166666666667
RLP24	GIT1	5	0.226	0.0452
RLP24	E2F5	4	0.135	0.03375
RLP24	TPBG	9	0.853	0.0947777777777778
RLP24	OAT	6	0.88	0.146666666666667
RLP24	FAT1	5	0.575	0.115
RLP24	SCG2	5	0.594	0.1188
EDN1	COPZ2	3	0.243	0.081
EDN1	PVRL3	4	0.12	0.03
EDN1	ZIC1	4	0.265	0.06625
EDN1	FMOD	3	0.27	0.09
EDN1	CDT1	4	0.197	0.04925
EDN1	EXOC2	4	0.139	0.03475
EDN1	HERC3	3	0.392	0.130666666666667
EDN1	MED9	2	0.202	0.101
EDN1	BMS1	4	0.219	0.05475
EDN1	SMPX	4	0.678	0.1695
EDN1	ZNF81	4	0.557	0.13925
EDN1	GIT1	6	0.05	0.00833333333333333
EDN1	E2F5	5	0.084	0.0168
EDN1	TPBG	4	0.439	0.10975
EDN1	OAT	3	0.165	0.055
EDN1	FAT1	3	0.39	0.13
EDN1	SCG2	2	0.501	0.2505
GBRB3	COPZ2	6	0.861	0.1435
GBRB3	PVRL3	6	0.586	0.0976666666666667
GBRB3	ZIC1	6	0.711	0.1185
GBRB3	FMOD	6	0.565	0.0941666666666667
GBRB3	CDT1	8	0.936	0.117
GBRB3	EXOC2	6	0.752	0.125333333333333
GBRB3	HERC3	2	0.732	0.366
GBRB3	MED9	6	0.941	0.156833333333333
GBRB3	BMS1	6	0.685	0.114166666666667
GBRB3	SMPX	8	0.843	0.105375
