source	dest	edges	cum_dist	avg_dist_per_edge
ACE	MSRB1	5	0.883	0.1766
ACE	APOL6	4	0.454	0.1135
ACE	ZMAT3	6	0.639	0.1065
ACE	HABP2	2	0.368	0.184
ACE	FHL5	4	0.775	0.19375
ACE	BAP1	7	0.175	0.025
ACE	PCBP1	4	0.193	0.04825
ACE	CD79B	5	0.099	0.0198
ACE	SPIB	3	0.168	0.056
ACE	TMA16	4	0.827	0.20675
ACE	WDR3	4	0.31	0.0775
ACE	CUBN	4	0.651	0.16275
ACE	CCNL2	4	0.522	0.1305
ACE	KCNK2	5	0.663	0.1326
ACE	THAP1	6	0.283	0.0471666666666667
ACE	PICK1	4	0.454	0.1135
ACE	ADCK3	5	0.559	0.1118
ACE	CCR3	2	0.118	0.059
KAPCA	MSRB1	6	0.84	0.14
KAPCA	APOL6	4	0.439	0.10975
KAPCA	ZMAT3	4	0.977	0.24425
KAPCA	HABP2	4	0.661	0.16525
KAPCA	FHL5	2	0.416	0.208
KAPCA	BAP1	5	0.161	0.0322
KAPCA	PCBP1	4	0.178	0.0445
KAPCA	CD79B	7	0.113	0.0161428571428571
KAPCA	SPIB	4	0.159	0.03975
KAPCA	TMA16	4	0.812	0.203
KAPCA	WDR3	3	0.327	0.109
KAPCA	CUBN	5	0.795	0.159
KAPCA	CCNL2	3	0.351	0.117
KAPCA	KCNK2	3	0.304	0.101333333333333
KAPCA	THAP1	5	0.212	0.0424
KAPCA	PICK1	5	0.576	0.1152
KAPCA	ADCK3	5	0.555	0.111
KAPCA	CCR3	2	0.175	0.0875
NTKL	MSRB1	5	0.71	0.142
NTKL	APOL6	5	0.551	0.1102
NTKL	ZMAT3	6	0.764	0.127333333333333
NTKL	HABP2	5	0.627	0.1254
NTKL	FHL5	5	0.623	0.1246
NTKL	BAP1	5	0.325	0.065
NTKL	PCBP1	5	0.29	0.058
NTKL	CD79B	5	0.212	0.0424
NTKL	SPIB	5	0.282	0.0564
NTKL	TMA16	3	0.963	0.321
NTKL	WDR3	6	0.552	0.092
NTKL	CUBN	4	0.706	0.1765
