source	dest	edges	cum_dist	avg_dist_per_edge
ACE	LIN7B	4	0.541	0.13525
ACE	LRP4	5	0.361	0.0722
ACE	GRM6	4	0.622	0.1555
ACE	CCL17	4	0.258	0.0645
ACE	SEC13	6	0.267	0.0445
ACE	CLN6	6	0.271	0.0451666666666667
ACE	IL12A	2	0.178	0.089
ACE	COX5A	4	0.882	0.2205
ACE	KLF1	4	0.157	0.03925
ACE	BRSK2	5	0.51	0.102
ACE	CREB5	6	0.162	0.027
ACE	XCR1	2	0.428	0.214
ACE	LSP1	4	0.33	0.0825
ACE	KCNQ3	5	0.261	0.0522
ACE	ZFP37	4	0.816	0.204
ACE	BAALC	4	0.518	0.1295
ACE	CHAD	4	0.654	0.1635
ACE	GPR88	4	0.728	0.182
ACE	AKAP3	4	0.55	0.1375
ACE	MYOZ1	4	0.504	0.126
ACE	PEX26	5	0.976	0.1952
ACE	TSSC1	6	0.466	0.0776666666666667
KAPCA	LIN7B	2	0.503	0.2515
KAPCA	LRP4	4	0.378	0.0945
KAPCA	GRM6	3	0.639	0.213
KAPCA	CCL17	3	0.275	0.0916666666666667
KAPCA	SEC13	6	0.252	0.042
KAPCA	CLN6	3	0.279	0.093
KAPCA	IL12A	3	0.169	0.0563333333333333
KAPCA	COX5A	5	0.839	0.1678
KAPCA	KLF1	4	0.143	0.03575
KAPCA	BRSK2	2	0.386	0.193
KAPCA	CREB5	3	0.166	0.0553333333333333
KAPCA	XCR1	3	0.385	0.128333333333333
KAPCA	LSP1	4	0.315	0.07875
KAPCA	KCNQ3	6	0.259	0.0431666666666667
KAPCA	ZFP37	4	0.801	0.20025
KAPCA	BAALC	4	0.503	0.12575
KAPCA	CHAD	5	0.611	0.1222
KAPCA	GPR88	3	0.4	0.133333333333333
KAPCA	AKAP3	5	0.694	0.1388
KAPCA	MYOZ1	5	0.571	0.1142
KAPCA	PEX26	3	0.79	0.263333333333333
KAPCA	TSSC1	6	0.49	0.0816666666666667
NTKL	LIN7B	8	0.805	0.100625
NTKL	LRP4	6	0.514	0.0856666666666667
NTKL	GRM6	6	0.864	0.144
NTKL	CCL17	5	0.418	0.0836
NTKL	SEC13	2	0.105	0.0525
NTKL	CLN6	7	0.431	0.0615714285714286
NTKL	IL12A	4	0.282	0.0705
NTKL	COX5A	4	0.709	0.17725
NTKL	KLF1	5	0.279	0.0558
NTKL	BRSK2	6	0.582	0.097
NTKL	CREB5	9	0.309	0.0343333333333333
NTKL	XCR1	4	0.351	0.08775
NTKL	LSP1	5	0.427	0.0854
NTKL	KCNQ3	5	0.389	0.0778
NTKL	ZFP37	5	0.913	0.1826
NTKL	BAALC	5	0.615	0.123
NTKL	CHAD	4	0.481	0.12025
NTKL	GPR88	6	0.651	0.1085
NTKL	AKAP3	6	0.683	0.113833333333333
NTKL	MYOZ1	7	0.511	0.073
NTKL	PEX26	6	0.969	0.1615
NTKL	TSSC1	4	0.95	0.2375
CALM	LIN7B	2	0.213	0.1065
CALM	LRP4	4	0.341	0.08525
CALM	GRM6	2	0.435	0.2175
CALM	CCL17	3	0.238	0.0793333333333333
CALM	SEC13	2	0.186	0.093
CALM	CLN6	6	0.29	0.0483333333333333
CALM	IL12A	3	0.162	0.054
CALM	COX5A	3	0.589	0.196333333333333
CALM	KLF1	4	0.144	0.036
CALM	BRSK2	5	0.462	0.0924
CALM	CREB5	6	0.152	0.0253333333333333
CALM	XCR1	2	0.234	0.117
